ST	adk	atpA	dxr	glyA	recA	sodA	tpi	mlst_clade
783	2	68	6	1	1	5	1	
784	30	41	66	59	58	53	88	
785	30	41	68	97	61	82	86	
786	30	63	65	97	57	53	86	
787	3	7	3	8	6	79	11	
788	4	1	69	1	1	5	1	
789	5	8	5	98	9	11	8	
790	64	21	67	87	48	36	30	
791	65	1	4	7	2	8	7	
792	66	7	14	14	6	20	10	
793	67	1	2	1	5	5	3	
794	68	70	28	104	21	36	30	
795	69	1	2	6	1	5	1	
796	70	77	71	110	64	91	95	
797	71	78	73	113	65	92	97	
798	72	5	2	1	1	3	1	
799	1	1	74	9	1	3	2	2
800	3	7	10	8	6	20	15	
801	11	7	14	43	28	20	8	
802	73	7	6	1	1	5	6	
803	74	5	7	1	1	13	1	
804	1	1	75	6	1	5	1	
805	1	80	9	22	14	3	2	
806	5	8	5	27	9	29	8	
807	5	8	76	115	15	93	8	
808	5	7	5	114	15	20	8	
809	9	12	10	1	6	18	15	
810	3	7	20	8	6	16	10	
811	1	7	14	46	6	20	10	
812	1	7	6	1	4	3	4	
813	1	1	2	6	1	5	6	
814	3	7	14	43	6	20	15	
815	1	8	2	1	1	3	1	
816	5	1	2	1	1	12	1	
817	11	8	2	1	1	12	8	
818	1	1	2	6	9	12	12	
819	1	1	2	1	1	1	8	
820	75	1	9	9	1	3	2	
821	11	7	14	116	41	39	10	
822	76	81	77	120	66	94	101	
823	77	82	78	117	67	95	99	
824	79	81	77	118	66	94	102	
825	76	81	77	121	70	94	98	
826	76	83	79	120	66	94	100	
827	80	81	77	120	66	97	98	
828	76	81	82	120	66	94	102	
829	76	81	83	121	66	94	101	
830	76	85	81	120	66	94	102	
831	76	85	84	118	71	94	98	
832	76	81	81	121	69	94	104	
833	76	86	77	120	69	94	104	
834	81	81	79	121	66	98	101	
835	78	84	80	119	68	96	103	
836	11	7	10	14	42	20	9	
837	71	78	73	122	65	92	97	
838	13	65	85	123	17	31	105	
839	82	63	66	59	61	99	97	
840	1	43	9	9	1	64	38	
841	1	1	9	9	1	22	2	
842	1	1	2	1	72	60	6	
843	83	1	2	1	1	7	1	
844	1	87	2	1	13	3	1	
845	84	46	22	40	17	32	68	
846	85	1	2	124	1	7	1	
847	1	88	2	1	1	5	1	
848	86	89	86	125	73	100	106	
849	87	89	86	125	73	101	106	
850	88	39	54	57	74	50	56	
851	89	90	87	126	75	102	107	
852	23	91	88	127	76	37	108	
853	87	89	86	128	77	103	106	
854	1	92	7	1	1	1	6	
855	1	1	2	1	5	5	15	
856	1	3	13	1	5	23	3	
857	3	7	10	8	7	2	1	
858	2	1	2	1	1	1	1	
859	1	4	7	1	1	3	1	
860	1	1	2	1	1	1	10	
861	37	1	11	23	1	1	1	
862	1	5	11	9	78	3	109	
863	1	1	2	81	2	7	1	
864	1	1	2	5	3	3	1	
865	1	1	2	1	5	104	1	
866	1	1	6	5	1	33	2	
867	90	7	89	14	6	20	9	
868	1	1	6	35	1	33	1	
869	91	5	9	23	1	1	38	
870	1	1	63	6	1	5	1	
871	1	7	6	1	55	5	1	
872	63	5	7	1	1	13	1	
873	62	5	7	1	1	3	1	
874	3	51	60	46	42	9	37	
875	3	51	60	44	42	9	11	
876	56	28	8	86	47	72	43	
877	56	59	57	81	47	43	43	
878	56	54	2	86	5	63	3	
879	51	54	8	86	47	70	82	
880	56	54	57	81	47	13	1	
881	54	58	59	88	49	69	79	
882	11	7	10	43	42	20	9	
883	3	1	3	1	1	5	1	
884	13	46	22	33	18	31	68	
885	1	5	6	23	1	33	1	
886	1	1	11	9	1	22	109	
887	1	1	9	23	1	51	1	
888	97	95	93	131	79	108	88	
889	96	94	92	79	29	37	108	
890	95	21	91	53	21	106	110	
891	94	93	90	104	21	36	30	
892	93	39	41	130	43	50	56	
893	92	1	1	10	1	3	5	
894	1	1	44	9	1	105	2	
895	1	1	2	129	5	3	1	
896	1	1	9	9	1	107	2	
897	1	1	2	1	40	17	1	
898	28	39	54	57	30	50	71	
899	8	7	14	14	6	58	10	
900	1	1	6	15	1	17	1	
901	1	1	7	7	6	5	1	
902	11	25	10	42	6	20	9	
903	32	18	22	108	18	32	28	
904	1	1	2	1	5	12	1	
905	94	21	28	38	21	109	111	
906	2	1	2	1	1	110	3	
907	1	1	2	132	1	7	1	
908	1	11	2	14	6	3	9	
909	1	1	2	15	8	5	1	
910	1	1	1	1	1	1	1	
911	4	96	2	5	1	1	1	
912	1	1	2	6	1	12	6	
913	1	1	2	5	1	1	1	
914	3	92	3	93	6	9	11	
915	1	1	2	1	1	9	1	
916	3	1	3	8	6	5	1	
917	1	1	2	1	1	3	6	
918	16	23	29	61	23	65	75	
919	28	39	94	133	80	50	112	
920	98	61	95	134	30	111	113	
921	16	23	29	135	29	65	61	
922	50	23	96	79	45	65	61	
923	11	7	14	43	6	20	10	
924	2	1	6	85	1	1	6	
925	1	1	11	1	1	22	5	
926	1	5	2	1	6	3	1	
927	1	1	1	84	3	3	1	
928	1	76	2	1	3	3	1	
929	1	1	7	1	4	3	16	
930	4	1	2	1	1	3	1	
931	2	5	2	1	1	5	1	
932	2	1	2	100	1	3	1	
933	99	1	2	1	1	7	1	
934	100	1	6	6	1	12	12	
935	1	1	97	1	1	7	1	
936	1	1	1	10	1	112	5	
937	1	1	1	136	1	3	5	
938	1	1	1	137	1	3	5	
939	1	1	2	1	5	113	3	
940	1	1	2	6	1	114	1	
941	2	5	2	138	1	3	1	
942	13	46	22	139	17	115	114	
943	2	1	6	1	81	5	1	
944	1	1	6	1	1	5	12	
945	11	11	14	14	6	20	9	
946	15	21	28	38	82	106	30	
947	53	21	58	140	48	36	30	
948	1	3	13	1	5	116	1	
949	1	97	2	1	1	7	1	
950	1	1	2	1	4	3	1	
951	1	1	9	9	14	3	5	
952	11	7	14	8	6	20	9	
953	1	6	4	8	2	8	7	
954	2	1	6	6	1	12	9	
955	1	1	13	1	2	5	6	
956	11	7	14	43	6	20	47	
957	2	2	16	1	1	1	3	
958	11	7	49	14	6	20	9	
959	1	7	14	43	6	20	47	
960	1	1	2	1	1	117	1	
961	1	5	11	1	1	3	78	
962	2	1	16	1	1	61	1	
963	11	7	98	43	83	20	115	
964	5	8	5	141	15	118	22	
