ST	adk	atpG	frdB	fucK	mdh	pgi	recA	clonal_complex
820	71	57	46	36	193	168	3	
821	6	6	43	5	194	52	10	
822	1	1	44	14	61	45	5	
823	136	79	126	9	10	139	95	
824	105	18	53	2	30	3	34	
825	1	1	44	30	61	112	5	
826	3	9	8	13	14	8	109	
827	14	8	16	11	17	2	31	
828	5	1	1	80	1	2	5	
829	28	1	13	1	62	13	1	
830	23	3	5	1	64	66	21	
831	22	19	11	82	22	19	15	
832	51	36	1	81	158	38	18	
833	13	16	5	2	3	11	110	
834	55	11	16	14	89	113	3	
835	42	2	22	18	71	8	4	
836	1	11	18	18	62	1	5	
837	47	60	19	14	119	21	62	
838	40	3	38	1	35	122	21	
839	1	1	1	35	15	1	5	
840	63	33	7	1	26	41	29	
841	51	36	36	29	1	50	18	
842	23	3	38	1	166	38	21	
843	1	80	128	1	1	13	5	
844	14	51	16	1	29	2	31	
845	138	94	127	14	196	169	111	
846	1	24	18	14	27	1	5	
847	26	2	15	7	22	170	3	
848	50	8	36	51	113	171	64	
849	5	33	7	1	197	172	29	
850	18	6	3	16	10	28	12	
851	1	7	1	13	13	25	16	
852	44	36	52	7	78	28	83	
853	38	36	36	11	56	12	11	
854	18	6	3	18	10	28	5	
855	14	7	13	1	1	21	112	
856	3	9	19	4	14	8	4	
857	16	4	17	1	7	12	11	
858	20	12	9	14	21	3	34	
859	14	43	35	11	22	31	5	
860	1	1	121	1	1	1	5	
861	42	57	12	81	7	130	4	
862	139	95	23	83	99	40	4	
863	5	33	7	73	78	173	113	
864	22	19	11	11	22	19	3	
865	23	3	5	1	166	8	21	
866	1	1	1	54	1	2	5	
867	5	15	12	8	10	174	29	
868	40	57	22	43	7	70	4	
869	18	6	3	18	10	28	101	
870	3	18	53	15	7	14	23	
871	5	33	130	73	199	58	113	
872	60	8	129	54	198	133	29	
873	42	8	58	4	116	133	29	
874	140	45	48	18	89	62	37	
875	140	45	48	18	200	58	43	
876	42	60	12	18	7	70	4	
877	1	1	1	1	15	78	3	
878	124	8	16	16	31	2	3	
879	4	86	70	84	7	7	63	
880	1	7	1	15	16	4	1	
881	11	33	7	15	142	2	29	
882	141	2	15	8	26	61	3	
883	45	33	7	15	11	14	29	
884	1	37	1	14	22	14	13	
885	5	34	7	15	47	77	29	
886	4	15	7	41	62	175	41	
887	16	21	14	16	22	14	3	
888	42	9	8	85	76	8	114	
889	142	26	53	86	21	3	42	
890	143	22	5	19	201	58	2	
891	45	45	48	9	84	58	115	
892	35	33	7	15	202	71	29	
893	144	43	131	11	45	13	45	
894	60	14	129	7	198	14	116	
895	144	43	131	11	45	172	45	
896	5	33	7	15	142	1	29	
897	95	54	19	72	161	55	48	
898	1	96	1	14	9	14	13	
899	16	8	16	16	22	1	3	
900	1	8	1	14	15	14	13	
901	44	97	16	37	17	2	3	
902	5	33	7	1	203	41	29	
903	145	2	132	9	22	176	10	
904	7	4	17	1	7	12	11	
905	3	18	53	2	86	177	23	
906	38	36	41	7	72	178	18	
907	146	8	35	11	65	48	19	
908	45	34	34	1	52	44	1	
909	122	43	120	7	202	180	117	
910	42	26	8	86	21	181	48	
911	147	99	133	14	204	179	118	
912	63	98	22	15	62	40	3	
913	6	20	23	41	33	29	7	
914	1	1	1	14	89	127	37	
915	3	2	53	2	7	8	10	
916	63	57	52	7	26	130	21	
917	14	7	1	15	10	4	1	
918	5	33	7	73	205	182	29	
919	6	100	121	5	206	130	19	
920	40	57	22	43	7	70	119	
921	148	3	58	1	207	2	56	
922	3	18	53	15	86	62	23	
923	13	101	5	2	3	11	7	
924	1	1	1	35	15	53	120	
925	37	35	57	8	7	183	13	
926	149	1	1	1	1	1	4	
927	6	20	7	66	202	184	43	
928	16	8	106	16	29	1	3	
929	13	16	5	2	30	11	121	
930	11	33	7	15	142	117	29	
931	35	33	7	15	46	71	29	
932	5	14	7	8	62	156	29	
933	5	33	7	11	22	66	21	
934	51	36	26	29	64	50	18	
935	39	8	35	4	65	48	19	
936	3	18	53	15	86	6	23	
937	39	8	35	43	65	4	19	
938	23	3	5	70	1	66	21	
939	5	8	58	14	111	13	29	
940	35	20	36	1	51	40	31	
941	6	42	43	9	78	52	35	
942	113	33	7	1	10	41	29	
943	1	102	19	19	10	185	2	
944	39	6	3	22	10	28	12	
945	105	18	53	2	208	3	34	
946	151	77	53	8	210	2	34	
947	152	103	109	7	167	145	97	
948	4	15	106	87	178	189	41	
949	70	25	1	15	10	167	123	
950	1	1	44	14	10	21	5	
951	14	1	16	37	170	187	3	
952	1	3	38	1	15	188	21	
953	153	11	18	18	62	1	5	
954	154	20	23	1	33	29	7	
955	155	1	1	1	1	2	5	
956	3	77	53	2	7	189	34	
957	127	14	136	43	62	14	89	
958	1	1	137	13	13	25	16	
959	33	8	3	16	17	190	3	
960	1	104	1	1	1	1	5	
961	40	3	38	1	15	183	21	
962	42	2	17	18	71	8	4	
963	1	3	1	1	31	2	5	
964	3	9	8	4	64	8	4	
965	1	1	13	13	13	25	16	
966	18	6	7	7	10	28	12	
967	22	19	138	11	22	19	15	
968	22	19	11	43	35	18	15	
969	18	6	139	7	10	28	12	
970	32	6	26	7	10	28	12	
971	10	20	21	5	4	191	8	
972	99	6	35	54	78	192	124	
973	22	19	140	11	22	19	15	
974	1	1	1	1	73	42	5	
975	22	19	11	88	22	19	15	
976	1	1	1	13	13	2	16	
977	26	2	15	7	22	1	3	
978	10	14	4	5	211	7	20	
979	121	103	109	7	212	145	97	
980	22	19	11	11	213	19	15	
981	18	24	3	7	10	28	12	
982	68	43	38	16	95	165	18	
983	51	36	1	7	158	38	18	
984	26	2	15	7	22	57	3	
985	105	18	135	2	208	3	34	
986	35	1	22	36	7	58	29	
987	156	19	11	88	22	19	15	
988	14	7	16	1	214	21	1	
989	6	20	41	40	22	63	43	
990	42	2	23	41	7	55	21	
991	63	50	22	15	10	40	3	
992	47	60	19	1	94	90	62	
993	3	18	53	15	86	14	3	
994	17	4	17	1	7	2	3	
995	95	3	22	15	161	138	21	
996	37	35	57	14	26	14	9	
997	60	51	107	48	15	2	31	
998	11	43	35	11	51	14	19	
999	6	20	16	15	77	8	43	
1000	3	54	65	1	88	78	48	
1001	50	12	32	89	215	130	125	
1002	33	8	1	16	49	2	3	
1003	68	43	55	11	216	58	18	
1004	5	8	35	14	91	13	29	
1005	69	54	8	47	80	1	12	
1006	5	33	7	15	45	90	48	
1007	3	2	15	8	26	61	3	
1008	3	54	65	26	64	78	48	
1009	40	8	29	14	1	59	8	
1010	5	33	7	15	26	14	29	
1011	71	17	18	18	35	39	56	
1012	35	25	16	53	7	40	10	
1013	5	33	7	15	45	58	48	
1014	107	20	7	12	26	13	29	
1015	98	33	7	15	7	14	29	
1016	3	18	53	7	86	14	23	
1017	1	1	1	14	9	7	13	
1018	42	2	7	41	84	14	10	
1019	5	8	58	14	66	13	29	
1020	16	21	14	16	89	14	3	
1021	7	11	6	5	7	16	10	
1022	11	7	7	1	7	41	29	
1023	26	2	15	7	62	56	3	
1024	40	3	38	1	69	40	21	
1025	6	20	107	15	77	8	43	
1026	5	2	3	1	26	41	29	
1027	45	34	66	1	85	55	31	
1028	71	18	53	18	11	118	34	
1029	40	3	38	18	35	40	21	
1030	23	3	5	1	166	66	21	
1031	105	18	53	14	11	3	34	
1032	52	1	1	14	15	1	5	
1033	5	2	7	1	26	46	29	
1034	125	1	1	1	1	2	5	
1035	13	16	5	90	3	11	7	
1036	6	20	7	7	7	39	43	
1037	11	2	15	8	220	26	3	
1038	37	35	37	14	7	14	9	
1039	40	33	7	1	26	41	29	
1040	63	8	58	14	92	58	29	
1041	47	5	141	14	26	54	42	
1042	5	33	7	11	217	66	21	
1043	50	12	32	50	147	193	125	
1044	1	6	142	1	1	83	5	
1045	11	2	15	8	28	194	3	
1046	95	43	31	33	47	195	18	
1047	157	50	22	15	30	3	3	
1048	6	20	107	15	77	196	43	
1049	5	33	7	18	62	197	29	
1050	4	15	106	87	178	186	41	
1051	1	1	1	14	218	1	5	
1052	63	102	19	19	10	185	2	
1053	5	33	143	15	26	198	29	
1054	3	18	53	15	86	199	23	
1055	23	3	5	1	166	200	21	
1056	5	9	7	15	26	201	29	
1057	37	41	57	8	69	183	29	
1058	33	8	16	91	161	13	3	
1059	50	8	32	11	186	130	125	
1060	135	105	52	7	78	202	96	
1061	40	3	38	1	15	203	21	
1062	42	9	8	1	219	8	4	
1063	63	106	144	4	46	204	117	
1064	50	79	36	10	162	205	48	
1065	4	15	7	14	78	206	41	
1066	1	1	1	38	151	207	5	
1067	39	8	35	11	65	60	19	
1068	50	12	145	4	22	118	18	
1069	14	107	1	1	22	1	5	
1070	26	8	46	1	79	64	23	
1071	10	14	4	5	4	208	8	
1072	14	7	13	7	17	13	29	
1073	55	11	16	14	102	14	3	
1074	158	43	146	11	10	198	96	
1075	26	2	15	7	22	62	3	
1076	33	8	16	16	17	190	3	
1077	39	8	35	11	65	48	12	
1078	1	1	11	14	10	21	5	
1079	3	15	124	13	26	63	41	
1080	3	15	124	13	26	163	41	
1081	3	18	1	2	86	163	23	
1082	3	18	7	2	86	163	23	
1083	3	18	53	2	30	163	23	
1084	3	18	53	2	86	21	23	
1085	3	18	53	2	86	74	23	
1086	3	18	53	2	190	163	23	
1087	3	18	53	8	86	163	23	
1088	3	18	53	29	222	63	23	
1089	3	18	53	92	86	163	23	
1090	3	18	124	2	10	63	23	
1091	4	15	53	8	26	163	41	
1092	4	15	53	8	190	8	41	
1093	4	15	53	8	190	63	41	
1094	32	109	75	93	76	209	126	
1095	42	9	12	2	7	8	23	
1096	42	32	12	2	7	74	23	
1097	42	32	12	2	46	63	23	
1098	45	45	1	77	190	14	92	
1099	45	45	1	77	221	58	92	
1100	45	93	1	78	25	83	92	
1101	45	93	8	78	25	83	92	
1102	45	93	48	78	25	63	92	
1103	45	93	48	78	224	83	92	
1104	63	32	7	79	11	163	29	
1105	63	32	7	79	46	163	29	
1106	63	108	7	77	17	63	29	
1107	63	108	7	77	17	74	29	
1108	63	108	7	77	86	74	29	
1109	134	9	12	2	7	8	23	
1110	134	33	7	2	223	125	48	
1111	134	33	7	7	7	163	48	
1112	159	14	120	36	46	124	89	
1113	16	1	1	14	70	1	37	
1114	16	1	1	1	67	1	8	
1115	33	8	8	16	1	2	8	
1116	16	21	14	16	89	14	8	
1117	33	8	16	16	49	2	8	
1118	16	8	16	16	30	1	8	
1119	11	2	15	16	28	2	8	
1120	33	8	16	16	17	2	8	
1121	33	8	16	16	225	2	3	
1122	70	25	15	16	10	167	8	
1123	70	25	1	16	10	167	123	
1124	22	19	11	11	22	7	15	
1125	19	19	11	11	22	19	15	
1126	22	19	11	11	46	19	15	
1127	22	14	11	11	22	19	15	
1128	11	2	15	8	28	1	3	
1129	6	20	7	94	226	39	43	
1130	131	2	15	8	26	39	3	
1131	68	43	38	7	77	165	18	
1132	1	43	38	7	77	165	37	
1133	6	43	7	7	77	55	43	
1134	5	33	7	10	202	10	29	
1135	70	25	9	7	10	167	123	
1136	3	9	8	4	14	210	4	
1137	1	14	1	1	1	90	5	
1138	33	8	16	95	49	2	3	
1139	4	17	4	5	2	9	6	
1140	30	1	7	36	22	58	29	
1141	14	7	13	7	17	7	17	
1142	22	19	11	11	22	19	13	
1143	69	54	130	7	80	82	61	
1144	136	79	126	1	10	28	95	
1145	37	35	57	14	202	183	13	
1146	1	11	18	18	10	28	5	
1147	4	110	71	4	7	57	35	
1148	63	54	102	7	11	31	10	
1149	10	111	4	5	4	7	8	
1150	1	1	1	1	227	1	5	
1151	14	8	13	14	17	13	29	
1152	5	7	58	7	71	13	17	
1153	1	1	16	14	9	14	13	
1154	22	19	11	11	22	211	15	
1155	1	1	1	13	95	25	16	
1156	22	6	126	12	58	212	15	
1157	10	14	18	5	4	7	8	
1158	5	8	58	14	91	13	127	
1159	45	112	111	5	62	126	23	
1160	99	6	35	54	78	213	124	
1161	105	18	147	2	228	3	34	
1162	50	12	32	50	147	49	125	
1163	50	11	1	14	15	1	5	
1164	42	2	33	41	104	55	10	
1165	1	1	1	14	89	2	37	
1166	45	45	48	7	11	125	92	
1167	45	34	66	1	85	55	1	
1168	29	7	13	7	45	13	1	
1169	35	33	7	66	154	8	29	
1170	3	4	17	1	58	3	34	
1171	1	107	1	1	22	1	5	
1172	28	20	41	8	181	77	43	
1173	44	2	15	8	26	61	3	
1174	68	12	32	50	147	183	125	
1175	5	33	7	73	205	1	29	
1176	160	1	1	14	15	1	5	
1177	124	113	16	16	69	2	3	
1178	1	22	148	19	10	216	2	
1179	42	2	149	41	30	55	10	
1180	30	33	7	36	229	45	29	
1181	23	3	5	1	230	66	21	
1182	3	18	53	15	231	14	23	
1183	26	57	121	14	77	214	23	
1184	145	2	132	9	141	215	10	
1185	17	4	17	1	76	12	128	
1186	161	43	70	20	62	217	129	
1187	1	1	101	1	232	38	5	
1188	22	19	11	11	22	19	131	
1189	50	41	32	50	147	82	29	
1190	40	3	38	1	15	70	21	
1191	39	8	35	1	63	160	19	
1192	47	5	141	14	77	54	42	
1193	1	1	1	13	13	1	16	
1194	5	2	7	1	10	41	29	
1195	5	41	41	8	69	60	29	
1196	10	2	15	8	30	61	3	
1197	14	51	16	48	15	2	42	
1198	17	18	53	7	112	3	34	
1199	1	114	1	14	22	14	13	
1200	162	2	15	8	26	61	3	
1201	5	1	1	1	1	2	130	
1202	131	2	15	8	141	61	3	
1203	14	7	13	15	81	13	1	
1204	10	2	15	8	28	61	3	
1205	1	102	19	19	8	185	2	
1206	5	1	1	1	233	2	5	
1207	44	1	52	7	78	28	98	
1208	18	14	3	11	10	28	12	
1209	40	18	53	15	86	14	23	
1210	10	14	4	18	4	7	8	
1211	1	1	1	14	89	1	37	
1212	1	3	1	1	31	14	5	
1213	1	3	1	1	15	78	5	
1214	25	1	1	1	190	58	5	
1215	165	78	105	7	20	134	94	
1216	35	1	22	36	7	1	29	
1217	42	2	38	41	7	55	10	
1218	33	8	16	16	17	2	127	
1219	113	33	7	1	210	41	29	
1220	5	33	7	15	26	1	29	
1221	63	32	7	18	46	74	29	
1222	33	117	16	16	17	142	29	
1223	95	54	58	72	7	55	48	
1224	42	9	8	2	158	8	4	
1225	1	24	18	18	234	1	5	
1226	167	1	1	35	15	53	38	
1227	44	35	16	37	17	2	3	
1228	14	7	13	7	17	218	17	
1229	69	119	10	36	79	82	56	
1230	14	7	13	7	17	13	132	
1231	10	14	4	5	4	7	133	
1232	26	2	15	16	22	38	3	
1233	1	11	22	18	62	1	5	
1234	3	18	53	2	7	1	10	
1235	168	1	1	14	15	1	5	
1236	1	1	1	13	180	25	16	
1237	18	6	3	96	10	28	12	
1238	35	33	7	15	154	71	29	
1239	14	7	150	7	17	13	17	
1240	1	1	44	97	61	219	5	
1241	23	33	7	1	235	41	29	
1242	16	8	16	16	78	1	3	
1243	23	3	151	1	11	66	21	
1244	39	8	35	11	22	48	19	
1245	45	45	107	9	26	58	18	
1246	60	51	1	48	15	1	31	
1247	169	9	8	2	14	8	4	
1248	52	1	1	14	16	62	37	
1249	5	33	7	15	142	62	29	
1250	33	11	16	14	102	113	3	
1251	10	7	58	72	47	13	48	
1252	50	12	32	54	147	1	125	
1253	63	32	7	18	46	1	29	
1254	63	50	22	15	30	1	3	
1255	14	7	13	7	17	14	17	
1256	60	51	16	48	15	14	37	
1257	1	115	71	1	31	1	5	
1258	33	33	22	15	51	14	3	
1259	14	3	154	14	238	14	21	
1260	52	1	156	14	15	1	3	
1261	173	33	7	101	11	1	31	
1262	170	50	152	15	30	1	31	
1263	28	33	7	1	236	1	48	
1264	170	50	155	15	30	14	134	
1265	33	1	22	100	51	14	125	
1266	5	115	7	15	237	1	29	
1267	1	122	1	14	9	14	31	
1268	33	8	155	14	239	14	134	
1269	174	121	1	14	240	1	8	
1270	174	121	8	14	240	1	8	
1271	1	8	1	98	70	1	37	
1272	10	121	4	3	4	1	8	
1273	3	4	19	1	86	3	34	
1274	44	43	52	7	78	28	98	
1275	175	1	156	102	13	1	135	
1276	171	33	153	99	238	1	29	
1277	172	120	8	2	14	14	136	
1278	171	33	1	99	238	14	31	
1279	171	33	4	99	238	14	31	
1280	1	22	19	19	45	215	2	
1281	16	8	16	14	70	1	3	
1282	33	8	16	16	111	2	29	
1283	132	25	21	103	78	220	18	
1284	19	22	11	11	22	19	15	
1285	40	33	12	8	95	221	4	
1286	1	123	16	16	30	1	3	
1287	3	18	144	2	86	55	23	
1288	5	15	7	1	7	5	11	
1289	14	51	16	48	49	2	31	
1290	13	16	5	104	3	11	7	
1291	5	124	7	15	142	1	29	
1292	176	83	157	14	241	145	137	
1293	5	51	7	15	15	1	29	
1294	6	20	107	15	22	57	43	
1295	98	33	7	105	7	14	29	
1296	26	1	46	1	79	2	23	
1297	50	35	41	1	104	126	90	
1298	1	1	1	14	9	19	13	
1299	22	19	1	11	22	26	15	
1300	1	1	18	13	13	25	16	
1301	1	11	1	18	62	1	5	
1302	1	11	15	18	62	1	5	
1303	14	7	11	30	1	21	1	
1304	17	4	1	1	7	1	11	
1305	14	11	13	7	17	13	17	
1306	1	1	13	14	45	14	21	
1307	14	7	13	1	17	13	17	
1308	17	4	17	7	7	13	17	
1309	11	2	15	1	28	26	3	
1310	3	9	18	4	14	8	4	
1311	11	2	18	8	28	25	3	
1312	14	9	13	7	17	13	17	
1313	1	1	1	7	17	53	38	
1314	121	81	109	48	167	145	97	
1315	1	1	1	1	15	1	5	
1316	14	51	16	48	29	4	31	
1317	177	8	126	7	105	222	138	
1318	1	1	1	14	15	1	13	
1319	178	6	35	54	78	213	124	
1320	1	2	15	7	22	38	3	
1321	3	18	53	15	86	223	23	
1322	11	2	15	8	144	26	3	
1323	130	3	70	7	10	3	18	
1324	14	7	13	15	81	224	1	
1325	22	19	11	11	242	19	15	
1326	3	77	53	14	72	8	34	
1327	152	103	109	7	74	145	97	
1328	120	1	109	10	74	144	97	
1329	121	82	109	14	167	145	97	
1330	18	6	3	7	32	28	12	
1331	121	82	109	1	167	145	97	
1332	52	1	1	14	15	21	5	
1333	120	1	109	1	74	144	97	
1334	6	43	7	7	77	14	43	
1335	121	83	109	48	169	145	97	
1336	18	6	3	1	10	225	12	
1337	1	24	18	14	55	1	139	
1338	11	6	3	7	10	28	12	
1339	179	81	16	58	167	143	97	
1340	61	8	18	11	17	2	3	
1341	1	1	54	106	98	1	5	
1342	99	6	35	54	143	119	124	
1343	5	33	106	15	87	58	29	
1344	10	14	4	5	11	7	8	
1345	10	14	5	7	4	89	8	
1346	10	14	5	5	4	7	8	
1347	52	14	4	5	4	7	8	
1348	13	16	21	2	3	11	7	
1349	10	14	4	11	4	3	8	
1350	3	4	17	16	22	3	34	
1351	10	6	3	10	10	28	14	
1352	13	16	158	2	3	11	89	
1353	5	54	71	1	243	31	10	
1354	10	14	4	110	4	7	8	
1355	44	2	16	108	17	2	3	
1356	10	14	4	109	10	7	126	
1357	127	14	136	2	62	226	89	
1358	10	14	4	5	244	7	8	
1359	10	14	4	111	4	7	8	
1360	180	3	38	1	35	3	21	
1361	10	14	4	107	4	7	8	
1362	14	7	53	15	17	13	1	
1363	1	20	159	112	245	214	115	
1364	31	1	1	5	4	7	8	
1365	44	2	16	14	17	2	3	
1366	16	8	160	37	10	1	3	
1367	1	8	1	48	9	14	13	
1368	11	100	121	5	51	130	19	
1369	71	17	58	18	35	39	56	
1370	7	33	7	13	246	1	29	
1371	1	1	1	1	61	1	5	
1372	181	125	161	18	247	227	21	
1373	121	83	109	48	169	21	97	
1374	121	83	1	48	248	21	97	
1375	182	83	162	30	111	228	140	
1376	177	8	126	7	249	222	138	
1377	26	11	104	7	217	5	42	
1378	6	43	7	7	77	21	43	
1379	5	33	7	1	7	41	29	
1380	11	33	7	1	85	41	29	
1381	33	8	163	16	49	2	3	
1382	50	12	32	50	147	82	125	
1383	148	8	38	78	200	2	56	
1384	5	14	7	8	62	26	29	
1385	68	14	57	7	26	38	115	
1386	4	15	53	14	78	216	41	
1387	6	42	132	9	182	52	35	
1388	63	57	131	13	112	12	21	
1389	35	18	53	2	141	1	34	
1390	28	33	7	1	11	125	48	
1391	42	9	8	2	149	8	4	
1392	1	8	29	1	57	25	8	
1393	16	51	14	48	15	4	31	
1394	5	33	7	73	199	173	113	
1395	130	33	107	55	201	39	29	
1396	102	18	57	7	30	130	117	
1397	33	8	16	16	17	1	29	
1398	22	8	102	30	30	31	18	
1399	1	1	1	1	111	1	5	
1400	161	43	70	20	62	82	129	
1401	50	35	41	7	76	126	90	
1402	113	89	16	47	203	8	1	
1403	3	102	21	1	72	1	110	
1404	17	4	17	1	30	12	11	
1405	93	8	35	11	65	48	19	
1406	147	56	133	30	109	169	57	
1407	145	33	7	18	10	125	89	
1408	3	18	53	15	86	14	21	
1409	5	33	7	15	58	77	29	
1410	142	26	8	86	21	3	48	
1411	42	9	8	2	78	8	4	
1412	148	3	58	1	207	229	58	
1413	71	18	29	18	11	118	34	
1414	116	1	1	13	13	25	16	
1415	42	4	7	1	7	12	11	
1416	4	15	7	14	11	1	41	
1417	45	1	1	1	1	1	5	
1418	17	4	77	1	7	137	11	
1419	5	33	7	5	7	58	29	
1420	42	77	8	2	159	8	4	
1421	63	22	121	53	62	74	18	
1422	98	33	7	7	7	58	29	
1423	26	2	15	7	22	49	3	
1424	42	4	17	1	7	19	11	
1425	68	14	164	8	7	2	115	
1426	40	3	38	1	35	40	21	
1427	55	11	16	14	89	113	4	
1428	183	115	21	1	26	124	17	
1429	26	14	104	7	250	5	42	
1430	1	1	1	14	45	14	89	
1431	63	54	165	1	1	17	31	
1432	63	43	38	7	95	165	18	
1433	139	1	16	8	62	40	4	
1434	35	1	22	36	7	14	29	
1435	14	51	16	48	68	2	31	
1436	3	18	53	1	86	14	23	
1437	11	33	7	113	7	41	29	
1438	62	90	166	1	107	81	46	
1439	10	14	22	5	107	7	22	
1440	116	1	16	13	17	25	16	
1441	14	7	13	114	17	13	17	
1442	14	7	13	7	17	230	17	
1443	146	115	6	4	108	231	54	
1444	26	11	104	7	26	5	42	
1445	5	33	7	15	22	77	29	
1446	1	24	18	14	55	232	5	
1447	18	6	19	7	10	159	12	
1448	119	14	4	5	4	7	8	
1449	1	1	1	1	77	42	5	
1450	1	2	1	38	15	1	5	
1451	110	8	38	1	7	12	11	
1452	47	60	19	1	119	130	62	
1453	63	14	136	18	62	3	89	
1454	5	33	7	1	47	41	29	
1455	18	6	167	7	10	28	12	
1456	6	14	4	5	4	7	8	
1457	95	33	7	1	26	41	29	
1458	13	16	5	115	3	11	7	
1459	11	49	4	5	4	7	138	
1460	32	54	13	1	7	40	48	
1461	42	2	15	8	26	61	3	
1462	33	8	8	16	78	2	3	
1463	118	8	1	14	70	1	3	
1464	132	1	38	11	60	44	5	
1465	145	6	131	7	178	174	18	
1466	46	33	7	1	26	41	29	
1467	132	1	38	1	60	44	5	
1468	6	20	3	40	88	63	43	
1469	1	1	1	13	22	25	16	
1470	13	16	168	2	3	11	7	
1471	42	2	38	41	104	55	1	
1472	143	22	5	19	51	233	2	
1473	6	20	7	40	7	39	43	
1474	50	11	1	14	17	1	5	
1475	3	18	53	15	86	234	23	
1476	5	33	7	1	26	74	10	
1477	41	8	29	9	30	57	8	
1478	42	57	12	81	64	55	4	
1479	6	34	169	5	252	44	1	
1480	184	2	33	70	251	36	21	
1481	95	52	163	14	76	123	55	
1482	14	107	52	1	22	1	5	
1483	55	11	16	14	22	2	3	
1484	10	14	4	2	4	7	8	
1485	10	14	4	2	4	2	8	
1486	55	14	16	14	4	2	3	
1487	31	2	163	5	4	7	8	
1488	1	1	1	1	4	42	5	
1489	10	14	4	5	234	7	8	
1490	55	14	16	14	1	2	3	
1491	22	11	11	11	102	40	15	
1492	31	14	4	5	102	7	8	
1493	1	24	18	1	77	1	5	
1494	1	1	101	10	1	31	13	
1495	44	14	16	37	17	2	3	
1496	1	24	18	1	234	1	5	
1497	1	1	1	1	1	2	5	
1498	1	80	1	1	1	21	5	
1499	42	2	49	14	71	8	4	
1500	14	51	16	48	111	2	31	
1501	185	51	16	48	29	2	31	
1502	118	8	16	14	7	1	141	
1503	5	53	1	1	1	2	5	
1504	1	126	1	14	45	55	5	
1505	26	2	15	7	22	13	3	
1506	1	18	1	13	13	25	16	
1507	14	7	13	7	17	83	17	
1508	14	14	6	8	6	5	21	
1509	5	2	33	70	7	36	21	
1510	5	8	1	14	9	14	13	
1511	13	16	5	18	46	11	7	
1512	11	2	15	8	28	145	3	
1513	43	1	46	1	30	166	18	
1514	50	33	41	7	254	126	90	
1515	6	20	7	7	62	236	43	
1516	40	33	38	1	255	40	21	
1517	5	33	7	15	87	239	29	
1518	42	9	8	2	258	63	4	
1519	5	43	107	11	190	148	19	
1520	1	1	1	14	253	1	37	
1521	14	8	18	11	161	138	3	
1522	1	1	1	14	15	21	5	
1523	14	7	15	14	9	235	1	
1524	1	10	1	1	259	6	5	
1525	6	1	1	14	9	14	13	
1526	179	128	109	116	212	143	97	
1527	11	2	1	8	28	26	3	
1528	30	1	22	7	156	58	29	
1529	118	8	16	14	70	1	3	
1530	47	33	16	21	11	1	42	
1531	1	1	1	1	1	57	5	
1532	5	1	1	14	15	21	5	
1533	45	14	1	15	62	71	29	
1534	35	25	16	53	7	14	63	
1535	110	8	38	53	78	140	28	
1536	14	7	13	53	17	13	17	
1537	5	33	7	15	7	63	10	
1538	40	57	22	7	7	40	4	
1539	52	1	1	14	89	92	37	
1540	14	7	13	14	17	13	17	
1541	1	1	1	14	13	25	16	
1542	6	4	16	1	7	12	11	
1543	1	2	1	9	62	78	5	
1544	52	1	1	14	7	1	5	
1545	71	1	1	14	89	62	37	
1546	14	7	1	30	17	21	1	
1547	14	7	13	1	17	13	1	
1548	1	1	1	14	45	55	5	
1549	5	1	1	1	1	1	5	
1550	11	2	16	8	99	40	4	
1551	30	1	7	36	30	58	29	
1552	30	33	7	14	89	71	29	
1553	33	8	18	11	17	2	3	
1554	33	8	16	14	49	2	3	
1555	33	8	71	16	49	2	3	
1556	33	8	38	16	78	2	3	
1557	42	2	38	41	28	55	10	
1558	44	2	101	37	17	2	3	
1559	60	20	7	7	31	49	31	
1560	63	57	48	13	49	2	21	
1561	107	20	7	12	26	8	29	
1562	1	7	1	1	67	1	5	
1563	60	51	16	118	15	1	31	
1564	190	8	16	16	49	2	3	
1565	1	8	1	14	260	14	13	
1566	177	8	126	7	249	200	138	
1567	3	57	48	59	72	243	34	
1568	33	8	175	16	49	2	3	
1569	188	8	58	14	17	133	29	
1570	93	131	72	119	265	58	28	
1571	60	20	7	117	51	49	31	
1572	188	8	58	14	62	133	29	
1573	5	33	7	73	205	54	29	
1574	29	7	13	56	45	13	142	
1575	149	130	171	43	15	92	143	
1576	5	33	7	15	262	28	29	
1577	32	8	35	54	263	31	90	
1578	32	33	7	73	205	182	29	
1579	40	107	50	7	25	240	64	
1580	1	1	1	14	15	241	5	
1581	1	1	1	14	264	14	13	
1582	17	4	17	1	7	242	11	
1583	17	4	174	18	62	71	3	
1584	5	33	7	1	255	58	145	
1585	51	36	41	1	158	233	18	
1586	1	126	173	14	45	55	5	
1587	7	129	6	6	6	16	9	
1588	3	4	17	1	7	13	34	
1589	3	4	17	1	86	3	34	
1590	150	8	16	16	49	2	3	
1591	1	11	13	18	62	1	5	
1592	10	1	1	14	9	14	13	
1593	28	57	38	1	9	204	21	
1594	1	25	176	14	15	1	5	
1595	50	57	177	120	46	125	3	
1596	5	8	58	14	266	13	29	
1597	63	14	136	18	62	244	89	
1598	14	14	6	8	51	245	21	
1599	5	33	7	15	87	58	146	
1600	116	50	19	8	24	185	2	
1601	35	33	7	15	46	58	29	
1602	5	33	7	15	77	1	29	
1603	119	33	7	75	66	1	29	
1604	63	8	58	14	92	58	89	
