ST	colA	groEL	sodA	plc	gyrB	sigK	pgk	nadA	clonal_complex
735	23	12	27	55	18	110	14	20	
736	185	24	23	1	11	4	8	172	
737	80	12	78	56	112	32	15	27	
738	129	5	1	1	8	111	4	1	
739	105	1	1	4	3	112	1	1	
740	64	141	46	176	2	113	22	41	
741	164	146	157	178	50	114	73	148	
742	165	147	38	179	23	115	18	46	
743	1	93	171	9	98	62	4	105	
744	23	12	24	55	18	116	14	18	
745	169	16	89	9	38	117	4	51	
746	4	29	19	43	1	108	4	1	
747	26	56	1	24	1	118	11	159	
748	85	19	91	188	38	119	8	11	
749	3	154	1	191	101	120	4	1	
750	26	14	23	117	43	121	4	112	
751	88	95	89	201	107	122	4	105	
752	12	44	56	38	37	123	26	62	
753	20	12	41	56	16	130	41	83	
754	189	45	56	58	37	25	26	47	
755	7	165	172	144	75	2	1	119	
756	3	6	1	7	1	5	4	1	
757	2	94	82	206	2	2	2	173	
758	55	51	10	11	5	5	3	105	
759	26	14	23	117	60	4	4	112	
760	6	3	5	3	2	5	4	72	
761	5	166	173	207	97	5	71	51	
762	6	6	1	7	11	5	4	174	
763	163	33	38	208	55	25	18	36	
764	64	10	10	63	2	27	22	41	
765	33	4	40	31	6	4	3	19	
766	1	3	5	11	43	5	80	10	
767	88	95	89	103	107	12	4	105	
768	41	45	174	209	55	131	18	175	
769	125	167	108	113	74	76	8	154	
770	55	51	10	54	5	5	3	11	
771	26	19	1	128	38	132	4	51	
772	83	168	52	210	55	133	18	168	
773	186	41	1	1	49	19	4	1	
774	129	5	5	1	8	19	4	1	
775	19	169	1	5	5	2	3	1	
776	44	57	146	7	1	89	7	143	
777	3	19	1	4	1	5	4	113	
778	40	49	89	9	25	4	1	105	
779	23	12	29	23	18	17	15	20	
780	20	1	14	211	5	2	2	14	
781	45	96	175	212	29	14	8	176	
782	187	170	176	153	10	73	9	177	
783	4	5	1	5	4	4	3	178	
784	55	51	10	11	5	5	3	52	
785	188	171	177	10	2	5	81	179	
786	20	12	27	23	18	134	15	45	
787	125	105	108	143	74	76	8	101	
788	7	165	172	144	75	62	1	119	
789	18	18	149	18	100	14	11	16	
790	151	113	138	171	67	75	56	16	
791	6	6	1	7	1	5	4	180	
792	115	14	9	11	9	38	8	52	
793	182	163	41	203	16	1	41	171	
794	10	24	1	62	11	109	8	61	
795	6	3	1	50	1	41	4	1	
796	4	19	79	4	3	5	22	1	
797	29	1	71	3	3	5	1	13	
798	151	138	149	131	29	14	8	95	
799	123	12	106	20	16	17	14	83	
800	1	10	25	23	16	42	15	91	
801	133	126	6	46	3	7	1	1	
802	151	138	91	131	29	14	8	95	
803	23	12	29	91	18	17	16	20	
804	1	93	89	9	98	62	82	105	
805	105	24	49	6	3	2	1	39	
806	66	5	49	50	1	41	3	39	
807	1	12	41	56	35	32	15	27	
808	77	127	49	1	2	19	4	1	
809	94	110	6	11	43	42	15	97	
810	94	5	1	5	1	2	3	1	
811	19	3	1	50	1	7	4	1	
812	84	1	22	136	12	2	8	13	
813	84	19	1	4	3	5	20	1	
814	105	24	49	6	3	2	1	1	
815	3	10	6	126	4	9	6	72	
816	25	24	134	24	25	88	8	105	
817	19	60	49	3	5	2	2	64	
818	66	5	49	50	1	41	3	1	
819	19	60	49	3	9	2	2	64	
820	33	4	40	39	6	4	3	141	
821	33	4	40	17	6	4	3	19	
822	7	48	4	8	32	6	5	5	
823	33	4	40	215	113	4	3	183	
824	190	20	73	214	1	135	12	182	
825	148	173	4	216	2	136	1	184	
826	162	99	1	54	11	4	8	62	
827	204	4	40	39	7	4	3	19	
828	33	4	187	39	7	4	3	19	
829	33	4	188	39	7	4	3	19	
830	33	4	40	39	7	149	3	19	
831	130	4	46	97	2	27	22	41	
832	74	76	32	80	71	62	3	88	
833	64	52	46	176	3	2	22	41	
834	4	1	1	75	3	54	20	1	
835	4	1	3	52	8	54	20	1	
836	129	41	1	1	8	19	4	1	
837	149	1	46	88	2	24	1	1	
838	101	69	79	96	2	2	8	1	
839	4	5	74	7	85	9	1	1	
840	19	90	1	5	1	64	3	1	
841	4	66	1	5	5	2	3	1	
842	19	56	90	5	66	9	8	1	
843	1	46	1	97	11	2	44	23	
844	4	95	1	201	3	60	4	1	
845	19	5	1	5	3	2	3	1	
846	4	29	79	7	1	5	4	1	
847	105	24	1	6	3	2	1	1	
848	25	16	191	9	43	4	8	11	
849	164	172	193	213	50	53	86	181	
850	33	4	40	39	7	4	3	141	
851	88	95	89	103	25	12	4	152	
852	33	4	187	39	7	4	3	141	
853	33	135	40	21	7	4	3	19	
854	204	4	40	39	117	4	3	19	
855	33	4	40	17	117	88	3	19	
856	33	4	190	39	7	4	3	19	
857	3	58	87	3	77	80	4	13	
858	188	14	48	10	2	151	81	198	
859	25	4	46	46	2	27	22	199	
860	3	29	3	1	3	5	20	1	
861	10	99	1	62	11	27	8	61	
862	33	181	40	233	7	4	3	19	
863	205	20	5	232	1	84	2	201	
864	206	10	6	11	2	8	2	10	
865	3	19	14	10	3	5	20	1	
866	114	113	189	230	64	101	8	202	
867	3	3	3	4	3	2	1	1	
868	153	149	86	11	90	7	2	13	
869	207	58	1	3	2	2	1	13	
870	64	4	46	168	2	12	64	41	
871	3	94	192	231	118	150	8	200	
872	212	184	196	236	119	2	11	204	
873	1	110	59	20	43	4	8	16	
874	209	58	3	235	3	2	61	13	
875	211	1	46	1	3	2	1	1	
876	3	4	3	1	3	2	1	15	
877	95	4	46	97	2	2	64	41	
878	4	1	1	10	3	64	1	4	
879	3	1	77	1	3	54	1	1	
880	130	4	46	97	2	2	64	41	
881	32	5	112	31	5	66	4	45	
882	3	1	3	4	3	2	1	4	
883	74	82	32	150	1	57	3	88	
884	205	3	195	105	8	5	87	13	
885	66	58	1	4	1	41	4	1	
886	3	4	1	3	5	3	3	1	
887	23	12	29	20	18	17	27	153	
888	5	16	102	24	25	66	8	52	
889	20	19	1	177	30	4	51	75	
890	19	87	3	5	4	2	3	153	
891	6	58	1	92	25	62	48	11	
892	33	85	3	10	3	5	20	1	
893	33	4	26	39	7	4	3	19	
894	33	4	82	4	7	88	3	19	
895	3	3	20	10	8	2	1	1	
896	3	3	5	7	1	57	4	1	
897	75	151	10	109	25	62	6	75	
898	4	5	1	5	1	2	3	1	
899	17	3	42	5	4	5	3	1	
900	75	151	131	4	2	62	25	75	
901	9	10	141	11	52	10	6	44	
902	4	77	1	50	1	5	4	1	
903	4	1	1	1	25	2	1	1	
904	17	3	42	5	4	2	3	1	
905	11	177	7	12	2	9	6	1	
906	26	103	118	109	49	66	46	105	
907	29	19	159	3	3	5	1	1	
908	10	1	3	4	76	2	1	1	
909	4	1	77	1	3	2	1	1	
910	3	1	3	51	3	4	1	10	
911	19	5	79	5	1	2	3	1	
912	66	58	161	4	1	41	4	1	
913	11	63	111	12	4	9	6	1	
914	74	82	32	80	49	5	3	88	
915	9	10	6	139	2	9	6	1	
916	13	25	7	139	2	9	6	44	
917	66	3	1	50	4	12	4	1	
918	6	5	32	33	24	4	7	1	
919	3	3	1	10	8	2	1	1	
920	3	5	1	5	1	2	3	1	
921	4	1	1	1	3	9	1	1	
922	4	3	1	10	8	2	1	105	
923	44	1	12	17	12	54	10	15	
924	13	10	6	5	2	9	6	1	
925	3	1	3	4	3	154	1	1	
926	19	88	3	5	5	2	49	1	
927	11	10	7	12	2	9	6	1	
928	66	5	1	3	1	41	4	1	
929	19	86	1	5	2	2	3	1	
930	3	1	3	255	3	2	1	1	
931	130	4	46	97	2	2	93	41	
932	3	3	1	1	3	2	49	1	
933	213	5	197	237	38	4	88	105	
934	214	185	198	127	29	155	8	205	
935	4	1	1	1	3	90	1	1	
936	4	1	63	10	3	64	1	4	
937	149	49	137	126	2	156	61	129	
938	116	16	89	238	25	4	4	91	
939	215	186	199	239	120	101	8	176	
940	6	14	6	97	9	62	3	206	
941	216	187	6	240	2	9	6	1	
942	217	188	200	241	121	157	89	207	
943	25	4	6	148	2	27	22	82	
944	43	4	46	97	2	27	22	82	
945	25	4	46	148	2	27	22	41	
946	19	5	1	243	5	2	48	1	
947	4	77	1	11	1	5	4	14	
948	11	10	141	126	52	10	6	44	
949	3	10	6	12	52	159	6	44	
950	4	1	3	4	3	2	1	209	
951	19	5	42	5	4	2	3	1	
952	3	4	1	1	3	2	3	15	
953	74	14	32	4	49	5	3	88	
954	20	1	1	10	3	2	2	72	
955	195	66	89	117	25	12	4	51	
956	43	4	46	97	2	27	22	41	
957	1	93	102	9	98	12	4	105	
958	64	1	63	4	2	2	1	11	
959	25	4	46	102	2	4	22	82	
960	130	4	45	97	2	27	22	41	
961	219	189	79	110	89	158	49	1	
962	220	3	3	50	33	30	12	1	
963	4	1	3	244	3	147	1	1	
964	221	96	202	18	67	77	52	210	
965	18	186	123	183	44	77	23	157	
966	75	151	10	109	25	62	6	211	
967	12	56	1	9	11	4	90	8	
968	125	105	108	256	74	76	8	154	
969	218	183	201	242	122	2	3	208	
970	12	182	1	9	11	62	90	8	
971	12	14	6	9	43	5	4	52	
972	75	196	118	177	49	63	46	8	
973	112	34	1	3	5	4	3	1	
974	11	10	6	12	2	9	6	10	
975	105	190	1	7	3	5	4	45	
976	4	1	77	1	3	54	1	15	
977	4	1	3	1	3	54	1	1	
978	12	182	1	9	11	160	90	8	
979	4	4	3	4	3	4	1	1	
980	12	191	1	245	38	4	88	212	
981	207	58	3	246	2	2	1	13	
982	4	3	1	133	3	2	2	1	
983	12	14	203	247	38	62	4	52	
984	64	141	46	176	2	2	22	41	
985	14	14	1	11	38	8	8	213	
986	74	82	124	4	49	5	3	88	
987	25	95	63	248	38	89	91	41	
988	105	192	1	247	123	62	22	105	
989	25	4	46	97	2	2	75	41	
990	3	192	1	9	25	63	92	214	
991	222	193	204	249	38	4	88	105	
992	66	58	1	50	25	41	4	1	
993	22	19	71	81	3	5	1	128	
994	2	7	99	250	1	5	19	53	
995	20	70	205	24	38	4	8	215	
996	3	29	206	43	1	5	4	1	
997	44	17	12	17	12	13	10	52	
998	12	5	1	3	56	2	39	72	
999	66	3	1	251	1	41	4	1	
1000	223	56	1	4	3	2	1	13	
1001	119	19	91	106	38	63	8	11	
1002	4	1	63	257	3	64	1	4	
1003	64	4	207	63	2	27	22	41	
1004	224	119	208	146	73	161	57	42	
1005	71	63	1	109	25	5	48	61	
1006	45	18	91	183	29	14	8	151	
1007	43	4	45	252	2	27	22	41	
1008	130	4	45	97	2	2	22	41	
1009	64	4	46	97	2	2	75	41	
1010	95	4	46	97	2	27	64	41	
1011	12	19	1	117	25	4	94	52	
1012	229	4	46	97	2	2	93	41	
1013	113	194	149	183	29	14	8	157	
1014	32	5	209	31	5	162	4	45	
1015	225	1	3	4	3	2	1	1	
1016	113	195	108	253	124	76	8	154	
1017	3	1	3	4	3	163	1	1	
1018	226	104	108	67	74	76	8	154	
1019	4	60	1	5	5	30	2	3	
1020	161	49	154	11	1	12	61	129	
1021	137	49	124	245	76	164	95	216	
1022	227	100	63	61	11	8	91	13	
1023	75	16	1	254	125	66	6	8	
1024	33	4	40	39	126	4	3	19	
1025	33	4	40	17	117	4	3	19	
1026	33	4	40	39	113	4	3	19	
1027	33	4	210	39	7	4	3	19	
1028	228	1	3	4	3	2	1	1	
1029	33	4	40	17	7	4	3	141	
1030	44	17	12	39	12	13	10	15	
1031	33	4	40	39	7	88	3	19	
1032	231	19	1	4	3	2	1	1	
1033	230	4	211	39	6	4	96	19	
1034	4	1	46	1	3	2	1	13	
1035	120	99	1	54	38	4	51	75	
1036	210	19	5	227	114	153	46	105	
1037	19	41	1	5	5	2	3	1	
1038	12	80	1	264	7	56	97	217	
1039	23	12	29	20	16	129	14	20	
1040	148	10	117	25	16	17	14	20	
1041	109	183	23	34	38	61	41	203	
1042	6	58	5	92	25	62	48	11	
1043	3	5	1	3	1	3	3	1	
1044	1	93	87	9	98	12	4	105	
1045	75	80	118	109	49	63	56	8	
1046	66	3	1	265	1	41	4	1	
1047	23	26	27	91	16	17	14	20	
1048	134	113	219	142	131	75	11	117	
1049	240	57	146	237	1	89	7	143	
1050	5	203	5	117	38	4	8	51	
1051	1	151	5	118	25	5	100	51	
1052	239	202	218	266	130	166	56	225	
1053	241	204	220	114	67	166	8	226	
1054	122	99	102	267	11	5	8	1	
1055	242	104	221	173	29	14	8	58	
1056	2	3	1	10	3	2	1	114	
1057	66	5	1	50	1	5	4	1	
1058	4	1	3	156	1	1	2	46	
1059	3	5	1	1	7	7	5	1	
1060	26	29	140	10	25	24	8	33	
1061	1	16	89	9	98	12	8	105	
1062	173	12	29	91	3	17	14	153	
1063	111	151	5	54	25	4	8	39	
1064	6	5	1	5	1	4	3	1	
1065	4	34	1	6	4	5	3	3	
1066	1	12	80	20	16	17	14	18	
1067	9	10	7	139	52	9	6	1	
1068	3	81	6	109	2	8	6	1	
1069	206	157	6	11	2	8	6	1	
1070	245	177	141	12	52	10	6	44	
1071	173	12	29	20	134	17	15	29	
1072	26	29	5	41	3	24	19	38	
1073	134	113	219	142	131	75	8	117	
1074	40	58	1	1	1	41	4	1	
1075	4	1	1	1	3	2	6	13	
1076	37	3	1	34	8	19	1	8	
1077	3	24	1	46	3	2	1	1	
1078	38	1	3	4	3	2	1	4	
1079	3	1	5	136	2	7	1	11	
1080	64	4	46	63	2	2	22	41	
1081	148	39	4	216	2	7	1	184	
1082	246	26	98	55	18	50	40	26	
1083	236	119	119	141	73	83	9	223	
1084	62	139	119	136	73	91	65	190	
1085	161	201	59	88	38	4	4	89	
1086	75	8	215	227	38	12	31	222	
1087	3	19	3	10	3	5	20	3	
1088	132	1	32	136	2	7	1	11	
1089	130	112	225	126	52	8	2	1	
1090	131	16	89	118	25	4	4	91	
1091	9	13	7	274	2	8	6	229	
1092	115	14	9	11	38	8	8	11	
1093	38	85	3	260	5	2	3	1	
1094	58	93	89	1	25	12	4	112	
1095	234	199	214	263	129	2	99	221	
1096	36	33	37	69	55	25	18	36	
1097	14	19	1	5	9	8	8	220	
1098	4	85	1	5	1	2	3	1	
1099	233	18	68	127	119	40	8	16	
1100	235	200	68	262	128	99	11	1	
1101	115	29	213	20	25	63	46	193	
1102	237	180	216	261	127	25	18	175	
1103	44	17	3	259	12	2	1	15	
1104	71	197	75	258	1	27	98	218	
1105	20	201	23	16	25	12	4	230	
1106	133	207	71	275	2	24	4	231	
1107	247	104	226	121	67	172	102	232	
1108	94	208	227	276	63	19	4	70	
1109	105	22	6	22	17	18	1	21	
1110	54	58	5	3	1	7	1	28	
1111	7	7	4	8	32	6	5	5	
1112	150	82	99	99	58	84	35	79	
1113	19	5	3	5	5	122	3	1	
1114	11	81	141	126	52	8	6	44	
1115	9	144	6	12	4	9	6	44	
1116	13	10	6	12	2	9	6	10	
1117	9	177	141	126	52	9	6	44	
1118	9	81	141	126	52	8	6	44	
1119	194	1	3	88	3	147	1	1	
1120	9	81	7	12	52	10	6	44	
1121	11	10	6	11	1	9	2	1	
1122	11	81	6	12	52	10	6	44	
1123	33	4	40	31	113	19	3	19	
1124	6	19	3	10	3	5	20	1	
1125	64	3	63	4	2	2	1	11	
1126	9	81	141	126	52	10	6	44	
1127	9	177	6	12	52	8	6	44	
1128	12	5	72	13	1	46	34	9	
1129	33	4	228	39	6	4	3	19	
1130	33	4	229	39	7	4	3	19	
1131	249	10	6	278	2	9	6	10	
1132	250	177	6	126	52	8	6	44	
1133	129	5	230	1	8	19	4	1	
1134	3	10	6	126	4	9	6	235	
1135	252	160	151	279	136	174	18	62	
1136	251	5	1	11	2	4	7	8	
1137	13	10	6	12	2	8	2	234	
1138	253	186	198	280	100	175	105	236	
1139	11	81	231	126	52	8	6	44	
1140	254	81	231	126	52	10	6	44	
1141	255	63	141	139	52	10	6	44	
1142	248	12	6	11	2	8	28	1	
1143	256	4	46	148	2	27	22	41	
1144	13	209	7	12	52	9	6	44	
1145	9	177	6	281	52	8	6	44	
1146	4	63	232	1	3	2	1	1	
1147	19	5	1	5	1	177	3	1	
1148	62	15	119	282	73	73	84	237	
1149	257	139	119	149	73	91	65	122	
1150	25	24	134	283	43	4	8	238	
1151	258	10	111	139	2	9	6	1	
1152	4	29	19	43	1	173	4	240	
1153	33	4	40	285	7	4	3	19	
1154	64	4	46	176	2	176	22	240	
1155	259	5	17	21	15	16	7	19	
