ST	S14Z	L35	S19	L19	S12	S8	L16	S7	species
734	304	332	304	360	346	380	395	391	
735	305	333	305	361	347	381	396	392	
736	306	334	306	362	348	382	397	393	
737	307	335	307	363	349	383	398	394	
738	264	290	262	314	202	233	247	395	
739	308	336	308	364	350	384	399	396	
740	309	337	309	365	351	385	400	397	
741	310	338	310	366	352	386	401	398	
742	311	339	85	367	353	387	402	399	
743	313	341	311	369	355	389	404	401	
744	101	104	98	109	106	121	127	124	
745	8	342	9	9	8	9	9	8	
746	8	343	9	9	8	9	9	8	
747	314	344	312	370	356	390	405	402	
748	315	74	313	371	357	391	406	403	
749	316	114	107	372	118	392	143	136	
750	91	91	86	95	94	101	110	110	
751	317	345	314	373	358	393	407	404	
752	319	347	93	374	359	395	409	405	
753	320	348	315	375	360	396	410	406	
754	231	252	226	376	256	289	307	407	
755	168	169	157	196	176	221	220	408	
756	157	158	146	377	165	210	207	192	
757	101	104	98	111	108	121	132	409	
758	47	45	138	378	50	50	55	59	
759	169	45	316	208	361	397	411	238	
760	91	94	91	94	94	398	115	110	
761	321	349	317	379	362	399	412	410	
762	131	138	126	146	136	400	165	411	
763	131	136	126	141	363	152	165	159	
764	131	138	176	141	136	152	165	412	
765	101	103	98	109	106	121	127	123	
766	131	136	126	141	136	152	165	414	
767	133	137	126	141	136	152	170	159	
768	131	138	126	141	365	400	165	415	
769	131	136	126	142	136	152	165	159	
770	131	136	126	142	136	152	413	158	
771	131	138	126	142	136	401	165	158	
772	131	138	190	146	136	402	165	159	
773	131	138	126	380	365	152	165	162	
774	131	136	126	141	136	152	165	156	
775	343	374	335	404	390	427	439	440	
776	131	136	318	141	136	152	165	157	
777	131	138	126	141	136	400	165	411	
778	120	125	117	129	126	141	152	144	
779	131	350	126	142	136	152	414	158	
780	131	136	126	141	366	152	165	157	
781	239	261	237	276	367	403	415	305	
782	155	159	319	381	368	378	219	207	
783	91	93	90	95	96	101	416	416	
784	132	137	128	144	136	153	167	222	
785	102	103	98	109	106	120	127	124	
786	222	242	217	270	246	280	295	292	
787	91	91	86	95	96	101	111	416	
788	101	104	320	111	106	122	132	125	
789	322	1	1	1	1	404	417	1	
790	1	1	1	1	369	405	293	1	
791	323	351	321	382	370	406	418	418	
792	324	352	322	383	371	407	419	419	
793	326	354	323	385	373	409	421	421	
794	327	355	54	386	374	410	422	422	
795	10	10	12	11	375	411	13	11	
796	102	103	98	109	106	120	128	124	
797	328	10	13	11	11	11	13	424	
798	10	10	13	387	11	12	13	11	
799	102	103	98	109	106	120	128	123	
800	101	103	98	110	106	121	127	124	
801	318	346	217	268	246	394	408	292	
802	140	15	20	19	155	18	22	19	
803	69	68	65	68	71	75	79	81	
804	10	356	12	12	11	12	13	10	
805	329	250	224	262	254	413	304	196	
806	101	357	98	109	106	121	130	425	
807	335	367	343	396	382	420	432	433	
808	330	359	324	389	376	415	426	426	
809	331	360	325	390	377	416	427	427	
810	332	362	326	393	378	417	428	428	
811	257	365	328	394	380	419	430	430	
812	8	8	9	9	8	9	9	431	
813	101	103	98	110	106	121	130	125	
814	334	8	9	9	8	9	9	431	
815	337	369	330	398	384	421	433	434	
816	312	340	342	368	354	388	403	400	
817	194	275	344	298	217	323	334	326	
818	338	370	331	399	385	422	434	435	
819	339	371	332	400	386	423	435	436	
820	101	103	98	110	106	121	128	124	
821	340	372	333	401	387	424	436	437	
822	325	353	339	384	372	408	420	420	
823	131	136	126	288	136	152	165	163	
824	341	64	61	64	67	70	75	77	
825	78	373	334	402	388	425	437	438	
826	342	135	125	403	389	426	438	439	
827	101	103	98	110	107	121	128	125	
828	344	375	93	405	391	428	440	441	
829	345	376	201	406	392	429	441	442	
830	346	377	336	407	393	430	442	443	
831	101	103	98	109	107	121	130	125	
832	130	378	126	140	136	152	166	156	
833	101	103	98	109	107	121	127	125	
834	131	138	126	142	136	152	165	444	
835	133	139	126	284	136	152	169	164	
836	17	15	20	408	20	18	22	19	
837	232	253	340	265	257	290	209	199	
838	118	120	353	127	124	139	149	142	
839	187	205	357	216	400	440	456	464	
840	17	15	337	19	144	18	22	19	
841	351	381	348	418	396	445	423	461	
842	17	15	20	19	20	18	22	446	
843	85	51	346	51	410	95	101	462	
844	85	50	81	51	88	412	60	319	
845	292	379	291	413	399	442	448	458	
846	292	379	291	413	330	442	448	458	
847	290	319	347	344	329	365	379	373	
848	355	382	290	416	397	446	424	448	
849	355	386	290	416	397	446	424	448	
850	357	255	288	420	167	437	381	452	
851	313	341	311	369	355	444	404	401	
852	101	103	98	111	106	119	129	123	
853	352	383	352	412	401	436	443	453	
854	350	391	354	410	411	439	449	454	
855	353	384	356	409	398	447	454	451	
856	359	380	350	415	395	432	425	460	
857	354	385	349	411	406	435	444	463	
858	356	388	355	414	405	438	446	457	
859	124	129	120	135	131	431	159	149	
860	360	389	32	417	409	434	445	450	
861	339	371	332	400	386	423	452	459	
862	37	390	359	337	324	358	373	365	
863	83	19	79	86	402	92	451	445	
864	78	76	74	78	80	85	92	95	
865	71	71	358	71	407	77	82	455	
866	10	10	13	11	394	443	450	10	
867	7	7	7	422	7	8	8	7	
868	349	17	22	21	403	21	453	21	
869	19	387	22	419	408	433	457	21	
870	19	17	22	419	404	20	447	21	
871	91	91	86	97	94	101	111	447	
872	91	93	90	95	94	101	416	456	
873	358	392	351	421	261	441	455	449	
874	17	15	20	19	412	18	22	19	
875	17	15	20	423	20	18	22	19	
876	17	15	20	19	20	18	22	465	
877	17	15	360	19	20	18	22	19	
878	17	15	20	424	20	18	22	19	
879	17	15	361	19	20	18	22	19	
880	17	15	20	19	413	18	22	19	
881	17	15	20	19	20	448	22	19	
882	17	15	20	19	20	449	22	19	
883	17	15	20	19	20	450	22	19	
884	17	15	20	19	414	18	22	19	
885	17	15	20	425	20	18	22	19	
886	17	15	20	426	20	18	22	19	
887	17	15	20	19	20	18	458	19	
888	17	393	20	19	415	18	22	19	
889	361	15	20	19	20	18	22	19	
890	17	15	20	19	20	18	459	19	
891	17	15	20	19	20	18	22	466	
892	17	15	362	19	20	18	22	19	
893	17	15	20	19	20	451	22	19	
894	17	15	20	427	20	18	22	19	
895	17	15	20	19	20	18	22	467	
896	17	15	20	19	20	18	460	19	
897	140	183	20	19	20	18	22	19	
898	17	15	363	19	20	18	22	19	
899	17	15	20	428	20	18	22	19	
900	17	15	20	19	20	18	22	468	
901	142	15	20	19	146	18	22	19	
902	17	15	20	429	20	18	22	19	
903	17	15	20	19	20	452	22	19	
904	17	15	20	19	415	18	22	19	
905	17	15	20	159	20	453	22	19	
906	361	15	20	19	20	18	461	19	
907	17	15	20	19	20	18	22	469	
908	17	15	20	19	20	454	22	19	
909	17	15	20	430	20	18	22	19	
910	17	15	20	19	20	18	22	470	
911	362	15	20	431	20	18	22	19	
912	17	15	20	19	20	18	462	19	
913	17	394	20	19	416	18	22	19	
914	17	15	20	19	20	455	22	19	
915	17	15	20	19	417	18	22	19	
916	17	15	20	19	20	18	463	19	
917	17	15	20	19	20	456	22	19	
918	17	395	20	19	20	18	22	19	
919	363	15	20	19	20	18	22	19	
920	17	15	20	19	20	18	22	471	
921	17	15	20	19	20	457	22	19	
922	17	15	364	19	20	18	22	19	
923	17	15	20	19	20	458	22	19	
924	17	15	20	432	20	18	22	19	
925	17	15	20	19	20	18	464	19	
926	17	15	365	19	20	18	22	19	
927	17	15	20	433	20	18	22	19	
928	17	396	20	19	20	18	22	19	
929	17	15	20	434	20	18	22	19	
930	17	15	20	19	20	18	465	19	
931	140	15	20	19	20	459	22	19	
932	17	15	20	19	20	460	22	19	
933	17	397	20	19	20	18	22	19	
934	17	15	20	19	20	18	466	19	
935	17	398	20	19	20	18	22	19	
936	17	15	20	19	20	18	22	472	
937	364	15	20	19	20	18	22	19	
938	17	15	366	19	145	18	22	19	
939	17	15	20	19	418	18	22	19	
940	17	15	20	19	419	18	22	19	
941	17	15	20	19	144	461	22	19	
942	17	15	20	19	144	18	467	19	
943	17	15	20	435	20	18	22	19	
944	17	399	20	19	20	18	22	19	
945	39	36	38	37	420	41	44	49	
946	39	36	38	37	39	41	44	49	
947	38	36	38	37	420	41	44	49	
948	101	104	98	111	106	121	468	123	
949	17	15	20	436	20	18	22	19	
950	10	10	13	257	250	462	13	296	
951	365	15	20	19	20	18	22	19	
952	137	146	134	437	141	158	469	473	
953	17	15	20	19	20	18	22	474	
954	17	15	20	19	20	18	470	19	
955	10	10	13	257	296	12	13	338	
956	101	104	98	111	108	121	132	475	
957	101	104	98	111	108	463	132	123	
958	17	15	20	19	20	18	22	476	
959	366	15	20	19	20	18	22	19	
960	17	15	367	19	20	18	22	19	
961	17	15	368	19	20	18	22	19	
962	17	15	20	19	20	18	22	477	
963	17	15	20	19	20	18	22	478	
964	17	183	20	19	20	18	22	19	
965	17	15	20	159	20	465	22	19	
966	17	188	20	159	20	18	22	19	
967	17	15	20	438	20	18	22	19	
968	17	400	20	19	20	18	22	19	
969	101	103	98	110	106	122	129	125	
970	17	15	20	159	144	18	22	178	
971	17	15	20	439	20	18	22	19	
972	141	15	20	19	421	18	22	19	
973	17	15	20	19	422	18	22	19	
974	17	15	369	19	144	18	22	19	
975	17	15	20	159	20	464	22	178	
976	17	15	20	19	423	18	22	19	
977	17	401	20	19	20	18	22	19	
978	17	15	20	440	20	18	22	19	
979	139	15	20	156	20	162	179	173	
980	139	180	20	163	20	162	179	173	
981	136	151	132	441	137	157	213	479	
982	136	142	132	441	137	157	213	168	
983	93	94	91	99	94	107	116	110	
