ST	aroA	cpn60	dpr	gki	mutS	recA	thrA	clonal_complex
820	244	310	183	228	53	26	56	
821	203	311	34	248	247	198	8	
822	203	311	34	248	247	198	1	
823	96	45	32	108	45	42	34	
824	245	314	209	274	281	201	103	
825	8	313	49	15	267	73	125	
826	8	30	5	45	44	22	4	
827	62	315	72	16	45	42	62	
828	62	45	143	49	6	42	194	
829	62	316	211	276	283	203	62	
830	23	45	37	277	166	204	34	
831	62	85	88	278	45	42	34	
832	8	77	210	275	282	202	12	
833	17	312	71	223	9	13	12	
834	1	1	1	1	284	1	1	
835	225	189	74	164	143	173	8	
836	26	85	58	27	134	37	94	
837	16	119	131	142	23	153	51	
838	23	264	7	12	9	46	37	
839	8	21	5	45	44	22	25	
840	18	8	24	267	1	10	4	
841	8	317	5	45	44	22	109	
842	225	319	74	164	286	205	8	
843	26	320	212	27	287	37	94	
844	16	321	131	279	288	206	195	
845	8	30	5	45	44	22	196	
846	245	323	213	129	211	207	61	
847	23	322	7	12	9	46	37	
848	246	318	37	272	285	40	20	
849	247	324	99	163	288	36	197	
850	8	1	5	125	1	10	1	
851	1	326	214	222	290	208	1	
852	140	325	193	103	289	158	198	
853	91	77	73	104	133	37	81	
854	8	30	5	34	64	3	25	
855	31	8	24	12	1	10	4	
856	8	30	5	34	31	3	25	
857	31	7	109	13	6	7	6	
858	38	75	45	15	84	26	149	
859	38	10	30	66	84	71	174	
860	49	90	19	128	75	77	125	
861	23	99	52	101	220	194	11	
862	26	8	24	12	55	10	4	
863	37	34	29	5	8	19	28	
864	23	39	52	4	14	33	18	
865	223	68	5	4	76	107	8	
866	23	68	5	4	76	107	8	
867	18	30	5	34	31	3	25	
868	30	8	24	12	1	10	4	
869	1	1	1	7	1	1	1	
870	15	99	52	39	220	194	12	
871	25	68	9	4	7	30	12	
872	91	77	99	138	133	37	100	
873	1	1	1	293	1	1	1	
874	38	344	20	7	5	214	8	
875	202	6	18	39	52	216	12	
876	37	339	227	296	304	217	36	
877	15	11	9	7	305	30	12	
878	15	68	9	12	305	30	11	
879	63	68	21	297	7	30	8	
880	157	341	228	11	307	36	178	
881	114	342	58	188	25	219	8	
882	35	36	27	9	308	28	29	
883	37	344	230	66	75	20	204	
884	49	340	231	14	16	46	12	
885	256	344	232	128	220	26	56	
886	257	344	231	61	76	26	125	
887	114	342	58	188	310	219	8	
888	49	340	20	290	54	46	27	
889	257	344	232	298	8	26	125	
890	25	13	235	254	117	38	113	
891	1	1	1	299	1	1	1	
892	15	11	236	7	16	77	8	
893	254	88	22	298	16	213	157	
894	188	152	220	163	306	113	178	
895	21	25	221	14	8	21	27	
896	255	152	112	286	309	58	178	
897	13	77	233	287	117	38	205	
898	49	344	234	61	300	26	125	
899	49	344	30	288	84	6	56	
900	91	296	99	289	82	218	98	
901	188	343	229	103	301	58	202	
902	49	10	8	298	76	32	170	
903	49	335	20	294	84	26	8	
904	31	345	222	212	9	10	8	
905	31	332	223	15	302	46	143	
906	258	336	99	129	303	113	51	
907	8	30	238	34	30	21	4	
908	38	340	237	298	84	26	9	
909	1	1	1	1	311	1	1	
910	157	346	224	300	117	38	206	
911	8	21	5	45	44	22	203	
912	259	337	30	128	312	7	44	
913	21	344	225	128	76	26	56	
914	25	344	27	291	308	69	29	
915	260	338	193	292	25	39	207	
916	254	88	22	298	16	21	157	
917	23	99	52	73	220	194	23	
918	25	55	42	199	9	13	63	
919	25	33	30	4	9	13	12	
920	15	299	5	7	220	162	11	
921	56	44	28	106	94	71	126	
922	13	110	23	161	108	34	81	
923	25	55	42	223	9	13	63	
924	119	177	2	60	53	190	76	
925	63	327	42	223	9	13	12	
926	93	328	75	165	292	91	53	
927	63	33	2	280	43	64	12	
928	63	312	2	280	43	64	12	
929	16	329	23	281	293	35	51	
930	248	330	216	282	294	77	138	
931	249	66	52	86	292	91	55	
932	25	327	47	212	228	28	200	
933	91	331	74	155	296	34	100	
934	63	55	217	86	43	68	12	
935	77	142	49	283	221	64	38	
936	88	134	44	284	105	91	55	
937	250	332	9	72	295	209	82	
938	251	333	23	161	109	90	111	
939	252	327	109	72	228	28	63	
940	39	38	30	12	297	210	201	
941	8	23	36	24	298	38	12	
942	88	132	30	60	299	20	55	
943	88	134	218	72	105	211	55	
944	9	124	221	29	8	21	27	
945	261	1	1	301	1	1	3	
946	265	197	215	303	176	138	128	
947	37	41	239	294	75	20	204	
948	25	39	226	295	315	215	8	
949	25	39	226	25	315	215	8	
950	43	340	227	296	304	217	36	
951	1	1	1	1	316	1	1	
952	13	347	131	54	313	221	12	
953	91	140	74	129	314	34	81	
954	266	348	240	304	317	223	208	
955	267	349	241	305	256	224	127	
956	1	1	1	1	1	222	1	
957	63	55	53	4	43	68	12	
958	144	350	129	307	109	34	111	
959	95	37	30	156	101	114	84	
960	1	1	5	1	1	10	1	
961	2	30	5	34	44	3	25	
962	8	21	5	45	16	22	4	
963	29	252	25	32	11	163	6	
964	8	21	14	45	44	22	25	
965	48	77	44	60	139	20	174	
966	8	21	5	45	44	22	76	
967	198	77	44	73	224	20	8	
968	229	291	36	24	21	38	12	
969	31	21	5	45	44	22	23	
970	63	33	45	154	77	6	12	
971	8	68	5	34	30	177	63	
972	114	296	49	254	82	182	8	
973	8	30	5	34	30	3	214	
974	220	279	189	246	245	225	173	
975	254	90	30	66	48	214	76	
976	269	90	30	66	48	214	125	
977	270	21	5	45	44	22	23	
978	270	25	24	12	11	3	8	
979	8	21	5	45	318	22	211	
980	8	21	5	312	44	22	4	
981	8	354	5	45	44	137	25	
982	8	361	5	45	44	22	109	
983	13	357	32	95	109	113	113	
984	13	358	248	254	324	38	149	
985	25	52	25	61	319	3	213	
986	37	10	244	294	320	32	27	
987	38	259	14	310	323	26	76	
988	38	259	245	15	323	26	149	
989	89	108	28	311	34	88	44	
990	89	355	28	311	48	88	44	
991	94	90	246	31	32	26	8	
992	114	296	249	188	82	182	8	
993	117	356	247	15	76	26	57	
994	192	77	66	308	300	76	12	
995	198	32	242	7	224	64	8	
996	203	360	88	313	247	227	62	
997	271	188	213	103	325	207	16	
998	272	359	250	278	326	226	194	
999	254	53	46	7	72	20	79	
1000	45	49	175	7	72	45	174	
1001	268	351	243	12	299	77	15	
1002	273	363	2	7	72	26	215	
1003	274	363	2	7	72	45	216	
1004	31	57	5	34	31	3	199	
1005	168	1	28	1	1	1	1	
1006	278	44	257	39	291	93	126	
1007	197	32	44	86	16	6	76	
1008	27	22	11	87	53	27	15	
1009	57	49	40	6	220	15	193	
1010	8	1	5	12	151	10	193	
1011	8	1	5	12	1	10	3	
1012	94	83	251	314	328	230	1	
1013	275	364	252	315	329	149	217	
1014	74	159	63	39	330	76	70	
1015	94	63	11	106	331	141	28	
1016	49	365	77	117	332	26	69	
1017	188	366	253	316	333	113	218	
1018	276	64	132	129	143	231	51	
1019	25	116	77	317	334	26	11	
1020	103	197	77	317	335	26	11	
1021	25	116	258	318	336	72	8	
1022	122	367	254	40	281	232	51	
1023	212	368	24	242	30	23	1	
1024	25	39	226	87	337	215	156	
1025	138	15	9	319	338	107	18	
1026	31	32	255	12	135	28	106	
1027	8	369	256	320	339	233	1	
1028	94	370	21	314	53	230	1	
1029	31	371	5	15	84	22	1	
1030	277	2	17	36	340	233	15	
1031	280	332	261	323	6	235	1	
1032	279	31	5	237	295	234	63	
1033	282	275	239	87	75	20	219	
1034	281	291	36	24	21	38	12	
1035	284	19	196	305	344	102	127	
1036	283	3	5	34	30	3	25	
1037	15	3	53	66	43	68	12	
1038	16	29	58	188	21	38	12	
1039	17	6	28	7	2	6	12	
1040	18	37	24	12	1	10	4	
1041	2	3	5	34	341	3	23	
1042	25	37	30	128	5	123	56	
1043	25	1	38	60	1	6	8	
1044	25	34	45	30	2	6	12	
1045	31	37	5	34	31	3	25	
1046	31	37	5	34	31	3	220	
1047	31	3	5	34	30	3	25	
1048	38	28	239	89	342	26	149	
1049	43	37	20	66	5	26	56	
1050	63	5	52	322	5	68	12	
1051	63	9	260	321	43	68	12	
1052	8	2	262	103	21	22	12	
1053	8	2	36	24	21	38	12	
1054	91	27	259	126	343	37	51	
1055	2	30	5	34	30	3	23	
1056	206	284	239	324	84	26	76	
1057	194	261	263	238	234	102	127	
1058	210	69	264	74	71	236	53	
1059	285	376	74	325	65	237	103	
1060	119	377	30	114	7	23	221	
1061	286	378	173	85	345	67	222	
1062	287	379	2	39	245	225	173	
1063	45	132	30	326	218	52	55	
1064	45	132	28	327	218	86	55	
1065	144	380	74	164	347	239	92	
1066	91	110	265	164	133	98	149	
1067	289	76	54	72	54	45	42	
1068	63	33	49	162	43	6	12	
1069	13	168	100	328	348	113	12	
1070	16	170	53	329	133	34	198	
1071	91	77	266	103	349	140	103	
1072	290	60	267	101	350	240	224	
1073	292	381	268	269	351	241	225	
1074	293	382	269	269	351	242	226	
1075	291	259	30	330	163	18	166	
1076	13	168	100	163	348	113	94	
1077	63	32	49	162	43	6	12	
1078	294	383	52	294	16	55	170	
1079	74	170	17	104	133	34	16	
1080	13	384	73	331	352	158	111	
1081	295	83	270	332	353	67	227	
1082	296	77	23	164	145	124	94	
1083	250	332	9	333	295	209	24	
1084	297	83	172	84	83	67	228	
1085	45	132	28	326	218	52	55	
1086	298	168	100	163	348	113	12	
1087	299	385	172	83	83	67	228	
1088	210	69	30	74	71	236	53	
1089	122	77	142	334	303	113	16	
1090	38	259	30	64	163	18	229	
1091	118	259	239	138	354	170	60	
1092	45	386	30	187	354	243	79	
1093	300	246	173	85	356	67	155	
1094	122	171	100	335	133	113	230	
1095	62	296	271	16	139	42	34	
1096	302	56	53	15	7	23	55	
1097	150	394	193	343	108	113	92	
1098	308	395	124	188	364	254	12	
1099	305	389	273	340	361	246	16	
1100	43	54	5	21	49	253	38	
1101	31	1	5	151	358	27	170	
1102	62	85	72	62	82	244	62	
1103	1	1	1	65	1	1	1	
1104	25	392	15	41	15	23	10	
1105	206	393	239	342	363	20	231	
1106	307	6	5	20	362	7	25	
1107	303	68	38	338	360	248	12	
1108	62	85	58	339	82	249	62	
1109	307	6	5	20	6	7	25	
1110	202	391	5	341	1	71	1	
1111	303	327	38	338	360	248	12	
1112	202	1	5	12	1	71	1	
1113	304	6	5	20	6	7	25	
1114	306	387	272	106	359	141	28	
1115	31	44	18	38	350	8	33	
1116	303	30	38	338	360	248	12	
1117	157	396	13	11	367	198	232	
1118	38	397	217	151	360	192	1	
1119	108	44	46	344	350	15	33	
1120	192	390	274	337	307	247	232	
1121	15	398	42	31	369	251	11	
1122	140	77	275	340	244	86	233	
1123	157	399	99	129	313	159	234	
1124	224	399	277	346	118	252	113	
1125	49	388	226	114	366	245	235	
1126	31	397	217	342	368	46	12	
1127	303	327	184	347	12	46	15	
1128	106	389	193	340	118	133	197	
1129	1	400	85	345	16	255	8	
1130	8	8	24	12	1	10	236	
1131	1	1	1	348	1	1	3	
1132	8	401	5	45	44	22	23	
1133	2	30	5	349	31	3	25	
1134	31	30	276	280	370	8	1	
1135	63	68	53	86	43	68	12	
1136	90	30	11	223	107	77	18	
1137	91	77	88	102	143	113	94	
1138	301	197	23	336	357	256	127	
1139	310	23	36	129	145	22	12	
1140	8	21	5	45	348	22	4	
1141	91	110	32	164	133	37	111	
1142	91	110	265	164	133	38	149	
1143	137	145	121	103	137	38	94	
1144	91	402	259	164	145	113	12	
1145	144	168	100	103	348	113	12	
1146	48	383	52	294	16	55	170	
1147	311	170	132	167	159	113	51	
1148	315	182	165	103	192	158	94	
1149	18	8	24	12	105	10	4	
1150	31	57	5	34	212	3	25	
1151	1	1	1	1	374	1	111	
1152	88	113	30	49	1	153	80	
1153	314	77	278	352	1	110	6	
1154	88	134	44	39	105	91	55	
1155	91	296	193	108	133	113	103	
1156	91	296	193	108	133	38	103	
1157	23	99	49	31	14	13	12	
1158	16	169	74	350	212	37	81	
1159	8	21	5	45	54	22	4	
1160	18	8	24	12	373	10	4	
1161	312	77	279	9	10	156	18	
1162	8	21	36	45	44	22	4	
1163	313	4	74	351	372	113	178	
1164	1	356	1	1	1	1	1	
1165	91	58	74	45	113	113	111	
1166	91	58	74	143	44	113	111	
1167	18	8	24	12	375	10	4	
1168	197	21	5	45	44	22	4	
1169	8	21	280	45	44	22	23	
1170	23	30	5	45	44	22	109	
1171	242	308	281	134	376	257	33	
1172	1	1	282	1	378	1	1	
1173	63	75	21	15	7	30	1	
1174	8	30	283	34	44	21	4	
1175	8	21	5	45	44	22	109	
1176	23	68	25	354	11	3	8	
1177	2	30	5	45	44	22	23	
1178	8	23	36	24	2	22	12	
1179	254	403	46	15	379	26	76	
1180	2	30	5	34	31	3	212	
1181	316	8	24	12	1	10	4	
1182	37	90	14	298	8	55	76	
1183	8	21	5	353	44	22	25	
1184	17	30	5	45	44	22	109	
1185	8	21	5	34	44	22	25	
1186	222	21	5	45	44	22	23	
1187	8	21	5	34	44	22	23	
1188	117	403	21	15	35	26	76	
1189	8	21	5	355	44	22	4	
1190	117	404	52	103	377	258	23	
1191	8	21	53	45	44	22	25	
1192	270	21	5	312	44	22	4	
1193	23	21	5	45	44	22	23	
1194	8	25	24	32	11	3	8	
1195	15	55	174	4	43	68	37	
1196	23	21	5	45	44	22	25	
1197	31	21	5	45	44	22	109	
1198	23	25	21	128	14	46	106	
1199	18	30	5	45	44	22	109	
1200	23	25	19	32	11	3	8	
1201	317	405	11	356	44	27	240	
1202	63	68	44	357	9	194	12	
1203	210	36	29	358	34	259	4	
1204	140	300	23	359	380	260	197	
1205	31	30	284	282	6	18	138	
1206	38	406	49	66	61	55	57	
1207	318	407	285	163	381	261	8	
1208	39	408	7	32	16	3	37	
1209	48	108	49	31	382	26	18	
1210	254	90	30	66	76	214	76	
1211	222	35	286	12	35	18	239	
1212	223	38	216	7	295	262	20	
1213	320	409	30	361	52	115	31	
1214	119	352	2	360	139	20	174	
1215	254	90	30	66	16	214	76	
1216	210	410	30	7	383	253	55	
1217	18	8	5	12	1	10	4	
1218	8	30	24	34	30	3	25	
1219	151	411	287	30	2	26	12	
1220	279	259	278	362	302	14	241	
1221	29	252	25	254	11	163	6	
1222	63	75	21	15	7	30	8	
1223	63	1	5	12	1	10	1	
1224	16	169	74	1	212	37	81	
1225	91	77	100	129	133	38	12	
1226	8	30	5	34	371	21	4	
1227	91	77	74	158	171	90	81	
1228	1	1	1	1	1	1	242	
1229	269	415	132	103	371	113	178	
1230	319	227	99	158	27	90	81	
1231	269	13	132	364	371	113	102	
1232	269	13	132	364	30	113	102	
1233	269	414	132	103	371	113	102	
1234	100	13	58	363	212	38	102	
1235	91	416	168	164	80	34	94	
1236	62	85	288	16	45	42	34	
1237	62	85	88	16	45	42	34	
1238	321	417	273	198	384	38	16	
1239	23	46	20	365	16	10	11	
1240	62	85	88	366	45	42	34	
1241	9	30	5	34	30	3	4	
1242	48	383	30	294	16	189	170	
1243	323	423	129	163	388	250	16	
1244	325	421	193	143	387	265	149	
1245	1	12	1	1	389	21	21	
1246	326	424	46	7	69	15	80	
1247	308	425	74	103	390	34	224	
1248	2	30	5	45	44	22	109	
1249	5	25	31	57	34	3	31	
1250	242	426	8	6	14	15	245	
1251	242	426	5	6	31	15	245	
1252	327	428	290	369	138	267	94	
1253	46	429	5	139	156	58	103	
1254	129	200	5	371	391	131	120	
1255	17	427	2	370	2	215	8	
1256	31	57	2	34	31	3	25	
1257	144	83	289	222	31	34	111	
1258	8	1	5	12	1	10	246	
1259	154	170	266	372	171	268	94	
1260	192	110	74	373	214	269	111	
1261	188	110	74	217	172	34	102	
1262	23	33	45	86	2	6	12	
1263	91	110	74	158	109	34	101	
1264	329	299	30	374	392	91	12	
1265	122	77	127	104	159	158	70	
1266	29	19	25	375	11	270	6	
1267	330	167	98	103	144	34	247	
1268	1	1	1	1	1	21	1	
1269	8	21	5	34	137	137	25	
1270	48	106	54	39	54	45	42	
1271	328	170	127	103	192	36	94	
1272	203	58	176	103	94	34	94	
1273	137	145	164	178	156	34	113	
1274	17	33	53	30	220	6	12	
1275	25	32	53	86	43	68	12	
1276	63	55	30	86	392	13	63	
1277	91	431	291	376	281	271	113	
1278	58	10	38	72	8	245	80	
1279	332	432	292	143	211	38	92	
1280	33	433	293	377	358	26	12	
1281	333	431	291	378	281	272	113	
1282	210	36	2	358	52	21	4	
1283	248	35	294	282	368	18	138	
1284	31	434	243	82	394	110	18	
1285	334	435	295	379	108	113	92	
1286	17	39	296	30	2	6	1	
1287	25	436	101	12	395	273	25	
1288	157	437	291	380	281	265	113	
1289	194	197	202	221	256	102	127	
1290	8	21	36	24	21	22	12	
1291	223	38	5	14	44	41	175	
1292	197	368	45	15	2	214	12	
1293	335	283	34	248	21	142	13	
1294	219	438	297	61	244	113	66	
1295	336	58	17	381	396	37	102	
1296	331	430	181	5	10	156	18	
1297	8	439	5	12	1	10	1	
1298	25	32	298	86	43	68	12	
1299	1	1	1	1	397	1	3	
1300	331	430	181	138	10	156	18	
1301	15	32	44	60	16	6	76	
1302	46	171	100	367	147	113	92	
1303	95	37	30	156	101	263	84	
1304	16	418	106	103	398	38	178	
1305	64	177	2	6	232	103	42	
1306	77	142	49	15	221	26	38	
1307	117	32	66	7	365	20	8	
1308	117	32	66	7	20	20	8	
1309	11	58	112	1	399	39	8	
1310	144	419	129	307	109	34	111	
1311	269	353	301	309	321	274	25	
1312	338	262	181	383	2	18	31	
1313	96	58	299	235	400	275	13	
1314	88	134	30	72	105	91	55	
1315	63	33	22	162	295	6	12	
1316	91	402	259	164	145	265	12	
1317	13	168	100	163	348	37	244	
1318	96	45	72	108	45	42	34	
1319	91	442	131	103	347	113	149	
1320	63	33	49	162	2	6	12	
1321	90	443	30	4	232	6	12	
1322	25	32	44	60	16	6	76	
1323	202	405	181	386	16	156	18	
1324	137	145	121	103	137	276	94	
1325	340	168	100	163	348	113	12	
1326	91	170	302	103	401	37	12	
1327	26	384	303	129	402	113	92	
1328	16	444	304	105	403	35	51	
1329	91	445	32	163	108	265	12	
1330	270	30	5	45	44	22	1	
1331	186	21	5	45	44	3	4	
1332	341	450	137	161	212	38	179	
1333	18	8	315	12	1	10	4	
1334	23	30	166	34	31	3	25	
1335	43	28	30	66	407	123	149	
1336	18	25	21	128	14	46	106	
1337	343	348	201	393	408	277	249	
1338	18	1	5	34	30	177	63	
1339	229	291	36	24	21	38	13	
1340	342	451	284	161	245	18	37	
1341	342	451	284	79	245	18	37	
1342	117	177	2	15	139	26	27	
1343	8	25	21	128	14	46	106	
1344	336	58	190	381	396	37	102	
1345	117	403	19	15	35	26	76	
1346	2	30	5	34	31	3	250	
1347	2	21	36	24	2	22	251	
1348	8	30	5	34	44	22	252	
1349	8	30	5	34	44	22	253	
1350	13	452	129	254	409	278	254	
1351	344	453	49	4	14	6	255	
1352	18	1	5	12	1	10	25	
1353	345	297	91	260	410	279	225	
1354	346	454	307	394	254	280	256	
1355	345	455	268	238	411	281	225	
1356	119	456	49	73	139	20	174	
1357	90	409	30	361	312	115	31	
1358	270	25	25	356	11	3	8	
1359	219	404	188	61	244	176	66	
1360	8	21	5	45	44	22	269	
1361	347	409	30	361	312	115	31	
1362	219	77	188	66	244	176	6	
1363	2	1	5	34	30	177	63	
1364	192	38	25	32	16	18	37	
1365	347	409	30	361	16	115	31	
1366	270	21	5	395	44	22	23	
1367	15	349	49	30	2	6	12	
1368	13	281	190	95	324	113	257	
1369	8	21	24	32	11	3	8	
1370	13	77	168	95	324	113	179	
1371	2	21	5	34	31	3	25	
1372	23	1	5	34	30	177	63	
1373	49	25	30	310	16	190	258	
1374	8	23	36	24	2	22	259	
1375	13	286	197	246	252	38	260	
1376	8	21	21	45	44	22	23	
1377	8	23	36	24	42	22	12	
1378	317	405	11	403	44	27	240	
1379	348	457	308	95	117	34	179	
1380	222	21	5	45	44	22	4	
1381	23	25	309	32	11	3	8	
1382	254	458	25	32	14	3	8	
1383	39	459	49	32	319	18	37	
1384	29	252	25	10	11	163	6	
1385	8	21	5	45	44	22	270	
1386	31	3	16	12	14	21	6	
1387	349	1	5	34	30	177	63	
1388	141	58	143	359	159	282	92	
1389	100	58	143	359	412	282	92	
1390	141	58	143	359	159	282	197	
1391	100	460	143	359	159	34	261	
1392	31	3	5	396	35	21	1	
1393	1	1	1	1	1	1	271	
1394	192	77	306	60	382	26	38	
1395	246	318	37	272	49	40	262	
1396	1	1	1	1	1	1	272	
1397	105	356	2	397	76	26	57	
1398	77	90	19	31	382	214	76	
1399	350	281	133	103	413	34	51	
1400	13	452	168	254	212	283	179	
1401	13	457	129	95	117	38	179	
1402	13	461	129	254	38	38	263	
1403	351	462	310	39	166	214	264	
1404	105	356	311	310	48	284	265	
1405	26	8	24	12	1	288	4	
1406	240	302	17	212	414	46	190	
1407	2	30	5	34	31	3	273	
1408	63	131	49	4	7	190	12	
1409	31	3	16	12	35	21	6	
1410	28	31	139	390	65	289	120	
1411	222	68	25	354	11	285	8	
1412	281	77	312	95	212	38	113	
1413	13	463	313	398	212	113	266	
1414	31	38	25	32	76	214	204	
1415	352	348	314	399	415	286	267	
1416	353	348	201	400	416	223	208	
1417	354	464	201	401	416	184	267	
1418	203	311	34	402	247	198	8	
1419	1	1	1	1	1	1	274	
1420	17	68	21	4	14	6	8	
1421	17	453	21	4	14	6	8	
1422	355	28	49	15	221	20	38	
1423	356	348	201	304	408	287	268	
1424	1	1	1	1	1	1	275	
1425	1	1	1	1	1	1	276	
1426	2	30	5	34	31	3	277	
1427	8	21	5	45	44	22	278	
1428	8	21	5	45	44	22	279	
1429	2	30	5	34	31	3	280	
1430	1	1	1	1	1	1	281	
1431	1	1	1	1	1	1	282	
1432	2	30	5	34	31	3	283	
1433	1	1	1	1	1	1	284	
1434	1	1	1	1	1	1	285	
1435	1	1	1	1	1	1	286	
1436	1	1	1	1	1	1	287	
1437	1	1	1	1	1	1	288	
1438	357	110	32	138	108	34	81	
1439	253	334	219	285	143	212	104	
1440	8	465	5	45	44	137	289	
1441	38	259	14	310	324	26	76	
1442	89	108	28	45	34	88	44	
1443	38	284	239	89	342	26	149	
1444	16	291	58	188	21	38	12	
1445	2	30	5	34	341	3	23	
1446	63	55	52	322	5	68	12	
1447	284	197	196	305	344	102	127	
1448	25	374	30	128	5	123	56	
1449	17	68	28	7	2	6	12	
1450	63	99	260	321	43	68	12	
1451	8	23	262	103	21	22	12	
1452	2	30	5	34	31	3	290	
1453	43	375	20	66	5	26	56	
1454	23	21	5	45	44	22	291	
1455	25	11	38	60	1	6	8	
1456	18	8	24	12	1	10	292	
1457	15	33	53	66	43	68	12	
1458	31	373	5	34	31	3	25	
1459	31	373	5	34	31	3	220	
1460	25	344	45	30	2	6	12	
1461	178	58	176	404	419	35	293	
1462	358	466	316	394	420	280	294	
1463	2	30	5	34	31	3	295	
1464	91	275	259	126	343	37	51	
1465	283	30	5	34	30	3	25	
1466	8	23	36	24	21	38	12	
1467	229	291	317	248	421	38	296	
1468	31	30	5	34	30	3	25	
1469	18	372	24	12	1	10	4	
1470	31	21	42	45	44	22	25	
1471	1	1	1	1	1	1	297	
1472	197	247	174	223	16	6	298	
1473	8	465	5	45	44	137	25	
1474	2	30	5	34	31	3	299	
1475	344	310	49	4	7	6	300	
1476	31	21	5	45	44	22	301	
1477	1	1	1	1	1	1	302	
1478	2	30	5	34	31	3	303	
1479	9	30	5	34	30	3	290	
1480	31	21	5	45	44	22	304	
1481	8	8	24	12	1	10	305	
1482	186	21	5	45	44	3	306	
1483	359	296	233	405	422	34	307	
1484	279	409	7	39	16	18	37	
1485	198	32	191	406	224	20	308	
1486	8	21	5	45	16	22	310	
1487	31	21	5	45	44	22	273	
1488	23	1	5	34	30	177	311	
1489	31	21	5	45	44	22	312	
1490	18	8	24	12	1	10	313	
1491	8	21	5	45	44	137	322	
1492	23	1	5	34	30	177	314	
1493	8	21	5	45	44	22	315	
1494	186	21	5	45	44	3	316	
1495	344	453	49	4	14	6	317	
1496	344	453	49	4	14	6	318	
1497	31	21	5	45	44	22	319	
1498	1	1	1	1	1	1	320	
1499	360	281	318	407	55	38	321	
1500	8	1	5	34	16	26	323	
1501	77	90	245	310	382	214	324	
1502	31	21	5	45	44	22	325	
1503	361	348	319	401	408	290	249	
1504	1	1	1	1	1	1	326	
1505	6	8	24	12	1	10	4	
1506	17	1	5	12	29	10	1	
1507	5	17	24	12	1	10	4	
1508	18	1	5	12	29	10	1	
1509	48	33	49	7	61	55	48	
1510	77	108	245	31	382	26	327	
1511	77	108	245	31	382	26	328	
1512	119	456	49	73	139	20	329	
1513	1	1	1	1	1	1	330	
1514	2	30	320	34	31	3	25	
1515	8	30	5	408	30	3	25	
1516	8	30	5	34	30	291	25	
1517	362	467	209	409	144	271	92	
1518	363	17	5	12	1	10	4	
1519	364	101	46	410	218	53	114	
1520	5	17	5	12	1	292	4	
1521	365	3	5	396	28	21	1	
1522	31	6	321	20	6	7	25	
1523	1	12	1	1	6	293	21	
1524	15	468	17	270	16	21	12	
1525	91	469	131	411	423	294	41	
1526	1	470	1	1	1	1	1	
1527	48	33	49	412	299	55	57	
1528	18	8	322	12	1	10	331	
1529	8	21	5	413	44	295	23	
1530	366	395	129	414	117	149	8	
1531	222	282	5	415	308	18	175	
1532	367	177	53	31	53	189	74	
1533	312	471	181	386	10	156	18	
1534	223	472	46	416	14	52	332	
1535	223	302	17	270	414	46	190	
1536	223	282	46	416	14	28	332	
1537	280	90	46	15	16	64	8	
1538	15	68	231	4	14	296	8	
1539	31	7	5	145	6	7	24	
1540	5	17	21	212	224	28	333	
1541	5	473	109	212	424	28	1	
1542	40	321	40	417	16	26	34	
1543	8	21	5	418	44	22	4	
1544	8	21	5	418	44	22	333	
1545	18	46	5	12	1	10	4	
1546	18	3	5	396	28	21	1	
1547	18	473	109	212	424	28	1	
1548	31	30	18	12	6	7	334	
1549	8	17	21	212	224	28	333	
1550	312	77	279	9	371	156	18	
1551	25	13	132	26	10	38	18	
1552	368	1	1	1	1	1	1	
1553	95	37	30	135	101	81	158	
1554	119	134	30	15	94	20	76	
1555	95	37	30	7	101	81	158	
1556	52	198	28	79	218	18	28	
1557	87	255	30	7	140	114	145	
1558	249	69	46	7	135	114	79	
1559	45	255	21	7	67	52	33	
1560	278	44	46	165	291	103	77	
1561	108	198	46	7	135	15	80	
1562	183	386	28	165	128	52	64	
1563	87	386	28	165	128	52	64	
1564	53	386	28	165	291	114	64	
1565	87	255	30	7	140	15	145	
1566	87	255	46	7	181	114	44	
1567	38	386	46	7	292	15	145	
1568	52	220	28	77	47	15	44	
1569	45	177	2	6	139	26	76	
1570	95	37	30	107	101	81	84	
1571	53	113	30	7	54	52	158	
1572	242	275	8	6	14	15	149	
1573	67	255	46	7	94	112	126	
1574	66	32	47	96	352	15	54	
1575	87	255	28	7	135	52	44	
1576	53	198	46	7	135	15	80	
1577	95	386	28	66	128	52	64	
1578	52	66	28	7	231	55	44	
1579	183	205	28	79	218	103	126	
1580	88	134	284	15	299	112	76	
1581	168	53	47	77	231	79	64	
1582	95	37	30	72	135	52	84	
1583	17	177	2	31	53	189	74	
1584	48	177	30	267	16	55	170	
1585	51	386	28	165	128	52	64	
1586	256	386	46	165	128	52	64	
1587	87	28	53	267	16	189	74	
1588	49	116	30	294	34	189	76	
1589	285	77	327	164	109	113	111	
1590	122	474	100	163	172	195	101	
1591	122	474	100	262	208	195	101	
1592	144	475	326	351	133	182	81	
1593	16	58	73	39	133	297	111	
1594	144	77	73	421	133	37	61	
1595	203	283	36	24	42	182	13	
1596	144	58	328	420	133	90	115	
1597	91	77	323	419	171	298	111	
1598	144	25	131	11	55	221	111	
1599	124	476	100	163	133	195	101	
1600	1	1	1	1	1	1	323	
1601	1	1	1	1	1	1	336	
1602	1	1	1	1	1	1	343	
1603	8	21	5	45	44	22	342	
1604	8	8	24	12	1	10	341	
