ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA	CC	Lineage
641	41	33	43	122	70	111	28	CC641	III
642	5	6	2	7	5	3	1	CC8	II
643	5	7	3	5	1	26	6	CC37	II
644	5	13	63	21	5	2	6	ST644	II
645	5	10	8	116	1	3	1	CC645	II
646	5	13	3	6	5	7	1	CC20	II
647	5	13	3	6	5	96	1	CC20	II
648	5	29	102	62	6	7	34	ST648	II
649	5	6	10	21	1	252	85	ST649	II
650	5	10	3	116	1	3	1	CC645	II
651	52	1	9	1	3	1	4	CC651	I
652	57	6	2	29	5	7	1	CC8	II
653	57	6	10	29	5	3	1	CC8	II
654	59	11	21	24	71	164	47	CC434	III
655	6	10	15	7	12	7	1	ST655	II
656	7	14	8	6	2	27	1	CC193	II
657	7	6	3	66	5	7	7	CC14	II
658	7	6	17	115	5	26	1	ST658	II
659	7	10	17	5	5	2	1	CC659	II
660	7	10	17	115	1	26	1	CC177	II
661	7	85	10	118	13	3	1	ST661	II
662	7	14	8	6	1	27	1	CC193	II
663	88	79	12	3	18	1	5	CC663	I
664	92	83	98	113	68	245	83	ST664	III
665	93	84	101	6	1	251	1	CC665	II
666	94	2	11	3	18	1	5	CC666	I
667	95	6	3	7	5	2	84	ST667	II
668	96	45	29	114	61	150	39	ST668	III
669	97	11	103	24	17	123	13	CC669	III
670	62	57	99	77	43	163	83	ST670	III
671	5	10	8	6	1	253	1	CC671	II
672	5	7	6	4	5	254	1	CC204	II
673	5	6	2	9	5	255	1	CC8	II
674	34	4	4	3	2	1	5	CC3	I
675	11	12	4	15	3	12	2	CC195	I
676	34	39	11	60	3	9	2	CC288	I
677	7	10	16	7	5	50	1	CC155	II
678	7	10	16	7	5	38	1	CC155	II
679	1	1	1	11	2	1	5	CC2	I
680	5	6	8	62	39	7	34	CC321	II
681	7	15	15	8	6	256	9	CC101	II
682	1	2	12	3	2	257	3	CC4	I
683	5	5	17	124	39	2	6	CC415	II
684	7	10	16	7	5	85	1	CC155	II
685	2	1	11	3	3	1	3	CC5	I
686	102	9	11	15	3	1	2	CC77	I
687	11	9	11	15	3	1	7	CC77	I
688	3	9	1	3	7	1	5	CC688	I
689	8	6	8	6	1	37	1	CC689	II
690	11	5	48	3	2	1	31	CC426	I
691	5	8	5	125	6	2	1	CC7	II
692	3	1	1	1	74	1	3	CC1	I
693	2	90	1	17	2	1	3	CC240	I
694	5	7	6	4	5	258	1	CC204	II
695	7	27	107	41	5	2	1	CC207	II
696	1	3	7	2	4	7	2	CC220	I
697	7	7	108	10	5	6	1	CC21	II
698	3	92	1	1	3	1	3	CC1	I
699	8	91	15	6	6	2	1	CC14	II
700	3	9	1	3	3	1	3	CC1/CC6	I
701	3	9	9	1	3	1	5	CC6	I
702	3	9	9	3	3	1	22	CC6	I
703	3	1	3	1	3	1	3	CC1	I
704	3	93	9	3	3	1	86	ST704	I
705	7	10	16	7	5	259	1	CC155	II
706	5	29	8	21	1	7	1	CC229	II
707	74	30	35	126	75	148	26	ST707	III
708	7	6	8	8	76	37	1	CC121	II
709	21	6	15	8	6	2	1	CC90	II
710	3	1	1	1	3	1	87	CC1	I
711	7	15	15	8	6	2	9	CC101	II
712	7	10	16	7	5	3	1	CC155	II
713	6	5	109	4	1	4	1	CC9	II
714	7	6	8	127	6	37	1	CC121	II
715	7	13	19	6	1	260	1	CC19	II
716	7	6	8	8	6	261	1	CC121	II
717	7	6	8	107	6	37	1	CC121	II
718	6	5	6	4	1	4	80	CC9	II
719	89	6	2	9	5	3	1	CC8	II
720	5	8	5	128	6	2	1	CC7	II
721	1	2	110	3	2	5	3	CC4	I
722	5	29	8	129	1	7	1	CC229	II
723	103	1	1	1	3	1	3	CC1	I
724	1	1	11	11	2	48	5	CC2	I
725	7	7	3	10	5	186	1	CC21	II
726	7	6	15	6	5	25	1	CC14	II
727	3	1	1	1	3	17	3	CC1	I
728	5	7	3	5	1	262	6	CC37	II
729	28	21	84	97	45	218	68	CC537	L. innocua
730	12	94	4	14	3	39	4	CC87	I
731	65	95	33	130	45	263	88	CC731	L. innocua
732	5	8	5	7	77	2	1	CC7	II
733	7	5	10	21	1	63	1	CC11	II
734	3	1	1	1	78	1	3	CC1	I
735	8	6	8	131	6	37	1	CC121	II
736	11	96	4	16	2	1	5	CC736	I
737	34	1	57	3	2	1	2	CC5	I
738	7	7	10	4	5	267	1	CC403	II
739	5	5	10	6	5	266	48	CC739	II
740	5	10	17	20	1	265	1	CC177	II
741	7	6	8	8	6	264	1	CC121	II
742	5	6	2	9	5	233	1	CC8	II
743	5	6	2	9	5	268	1	CC8	II
744	5	5	65	21	39	84	6	CC415	II
745	2	1	11	3	3	30	7	CC5	I
746	3	1	1	1	3	59	3	CC1	I
747	5	7	3	5	1	270	6	CC37	II
748	7	14	10	19	1	269	1	CC31	II
749	104	8	8	8	6	37	1	CC121	II
750	5	10	8	21	6	271	1	CC26	II
751	6	5	6	4	1	274	1	CC9	II
752	5	8	5	7	6	92	1	CC7	II
753	6	5	6	4	1	254	1	CC9	II
754	5	10	8	21	6	272	1	CC26	II
755	7	6	8	8	6	273	1	CC121	II
756	7	6	15	18	12	275	1	CC18	II
757	105	6	15	18	12	6	1	CC18	II
758	5	6	2	9	5	276	1	CC8	II
759	17	13	3	132	5	7	1	CC20	II
760	9	10	15	6	8	37	1	CC199	II
761	3	1	1	1	3	1	89	CC1	I
762	3	1	1	1	3	43	3	CC1	I
763	6	37	6	133	1	4	1	CC9	II
764	6	5	111	4	1	4	1	CC9	II
765	4	4	4	3	6	1	9	ST765	I
766	2	6	2	9	5	3	1	CC8	II
767	12	5	6	4	1	4	1	CC9	II
768	7	97	16	116	6	96	1	CC768	II
769	19	17	22	25	15	166	12	CC69	III
770	7	10	8	8	6	37	1	CC121	II
771	5	13	3	5	1	8	6	CC37	II
772	5	7	3	6	5	96	1	CC20	II
773	11	9	12	14	3	94	5	ST773	I
774	5	3	3	5	1	8	6	CC37	II
775	7	15	15	78	6	166	9	CC101	II
776	7	98	8	8	6	37	1	CC121	II
777	7	99	10	4	5	24	1	CC403	II
778	4	4	4	3	79	1	5	CC3	I
779	5	6	2	6	1	2	1	CC779	II
780	1	2	12	3	2	5	7	CC4	I
781	1	1	1	3	2	1	5	CC2	I
782	1	2	1	3	2	1	5	CC2	I
783	1	2	12	3	3	5	3	CC4	I
784	2	1	11	38	3	1	3	CC5	I
785	5	5	8	7	5	7	1	ST785	II
786	5	5	17	7	12	26	1	ST786	II
787	5	7	8	7	1	26	6	CC787	II
788	5	8	5	21	6	2	1	CC7	II
789	5	15	6	21	40	4	1	ST789	II
790	7	6	8	4	5	26	1	ST790	II
791	7	6	10	21	1	2	1	CC11	II
792	7	6	10	21	1	4	1	CC11	II
793	7	6	17	6	12	2	6	ST793	II
794	7	10	17	20	1	7	1	CC177	II
795	7	10	18	6	5	7	1	ST795	II
796	7	14	17	6	1	27	1	CC193	II
797	7	49	8	131	6	2	1	ST797	II
798	7	49	17	21	1	96	6	ST798	II
799	11	9	48	71	3	1	4	CC799	I
800	41	30	43	54	70	111	28	CC641	III
801	52	1	4	1	3	1	4	CC651	I
802	7	13	19	134	1	7	1	CC19	II
803	7	10	112	7	5	2	1	CC155	II
804	4	4	4	3	5	1	5	CC3	I
805	4	4	4	3	1	1	1	ST805	I
806	7	10	16	7	5	1	1	CC155	II
807	106	1	1	1	3	1	3	CC1	I
808	11	1	4	3	3	1	5	CC379	I
809	1	1	113	11	2	1	5	CC2	I
810	107	4	4	3	2	1	5	CC3	I
811	108	1	11	11	2	1	5	CC2	I
812	3	9	9	3	3	277	5	CC6	I
813	3	9	9	3	3	1	90	CC6	I
814	1	1	11	11	80	1	5	CC2	I
815	1	2	9	1	2	284	3	CC4	I
816	1	2	12	3	83	5	3	CC4	I
817	1	2	116	1	2	5	3	CC4	I
818	2	1	9	140	3	5	5	CC554	I
819	2	1	11	3	3	294	7	CC5	I
820	2	1	120	3	3	1	7	CC5	I
821	3	1	1	1	3	282	3	CC1	I
822	3	1	1	1	3	281	3	CC1	I
823	3	9	9	3	85	1	5	CC6	I
824	3	102	12	70	2	1	5	CC388	I
825	3	114	1	1	3	1	3	CC1	I
826	5	6	8	151	6	7	34	CC321	II
827	5	6	114	9	5	3	1	CC8	II
828	5	10	8	143	1	26	1	ST828	II
829	5	47	2	161	1	6	1	CC829	II
830	5	111	5	7	6	2	1	CC7	II
831	6	5	2	4	13	302	6	CC831	II
832	6	5	6	4	1	279	1	CC9	II
833	7	6	8	8	84	37	1	CC121	II
834	7	6	10	137	6	6	1	ST834	II
835	7	6	10	153	1	2	1	CC11	II
836	7	10	16	7	82	2	1	CC155	II
837	7	14	10	135	1	8	1	CC31	II
838	7	47	10	139	1	26	1	CC838	II
839	7	100	10	72	1	14	6	ST839	II
840	7	103	8	8	1	3	92	ST840	II
841	7	104	10	21	1	2	1	CC11	II
842	7	106	8	147	1	288	6	CC842	II
843	7	106	122	149	1	290	6	CC842	II
844	8	6	8	6	1	37	91	CC689	II
845	11	3	12	141	3	94	2	CC224	I
846	12	1	4	14	94	39	4	CC87	I
847	12	1	133	14	3	39	4	CC87	I
848	12	12	12	154	3	1	4	CC88	I
849	15	10	18	18	1	280	1	CC29	II
850	17	13	3	136	5	7	1	CC20	II
851	41	33	125	54	70	246	28	CC640	III
852	52	1	126	71	2	1	5	CC389	I
853	58	107	121	148	27	289	44	CC853	III
854	71	118	132	158	89	300	100	ST854	III
855	76	30	128	156	92	297	63	ST855	III
856	76	68	119	146	88	287	56	CC856	III
857	92	115	127	155	91	296	97	ST857	III
858	92	117	130	157	93	299	99	ST858	III
859	92	117	134	159	96	301	83	ST859	III
860	109	4	4	3	2	1	5	CC3	I
861	110	2	12	3	83	5	3	CC4	I
862	111	15	15	8	6	14	9	CC101	II
863	112	101	115	138	36	283	72	ST863	IV
864	113	10	131	68	13	2	1	ST864	II
865	113	47	16	68	13	3	1	ST865	II
866	114	32	117	142	41	285	93	ST866	III
867	115	1	9	14	2	286	5	ST867	I
868	116	105	118	144	86	111	28	ST868	III
869	117	32	35	145	87	285	94	ST869	III
870	118	71	74	48	89	285	50	ST870	III
871	119	11	21	27	25	34	13	ST871	III
872	121	108	59	68	13	7	1	ST872	II
873	122	109	99	150	28	291	95	ST873	III
874	123	44	29	102	61	292	38	ST874	IV
875	124	110	123	99	53	293	69	ST875	L. innocua
876	125	1	1	1	3	1	3	CC1	I
877	126	8	5	7	6	2	1	CC7	II
878	127	112	124	152	90	295	96	ST878	III
879	128	1	11	3	3	1	7	CC5	I
880	129	116	129	48	41	298	98	CC880	III
881	130	119	135	17	18	1	3	ST881	I
882	131	33	77	160	97	303	50	ST882	III
883	132	0	90	163	57	226	70	CC883	L. ivanovii ivanovii
884	132	0	136	163	57	304	70	CC883	L. ivanovii ivanovii
885	132	0	90	163	57	304	70	CC883	L. ivanovii ivanovii
886	133	113	137	162	95	305	101	ST886	L. ivanovii londoniensis
887	133	120	137	164	95	306	101	CC127	L. ivanovii londoniensis
888	5	125	6	4	5	4	1	CC204	II
889	5	6	16	9	5	3	1	CC8	II
890	11	3	12	38	109	94	2	CC224	I
891	7	10	16	11	5	2	1	CC155	II
892	4	4	4	3	2	1	115	CC3	I
893	145	1	11	3	3	1	7	CC5	I
894	146	1	12	16	3	1	7	CC59	I
895	5	7	147	4	5	4	1	CC204	II
896	4	4	4	3	2	1	116	CC3	I
897	76	71	149	48	110	295	1	CC897	III
898	2	9	135	14	98	1	5	ST898	I
899	5	5	17	166	12	96	6	ST899	II
900	5	8	5	4	6	2	1	CC7	II
901	5	10	3	7	1	26	6	CC901	II
902	5	10	3	7	5	6	6	CC901	II
903	5	10	3	7	5	26	6	CC901	II
904	5	10	3	21	5	2	6	CC901	II
905	5	10	3	21	5	26	6	CC901	II
906	5	10	3	30	6	3	1	CC906	II
907	5	10	3	177	5	6	6	CC901	II
908	5	10	10	7	5	26	6	CC901	II
909	5	13	10	6	1	312	1	ST909	II
910	5	29	2	7	6	2	1	CC910	II
911	5	29	2	7	13	2	1	CC910	II
912	5	47	10	173	13	2	1	CC912	II
913	5	47	10	185	1	314	1	ST913	II
914	5	124	10	173	13	2	104	ST914	II
915	5	127	10	173	13	2	1	CC912	II
916	5	128	6	7	40	4	1	ST916	II
917	6	5	2	6	13	302	6	CC831	II
918	6	6	8	137	12	2	1	CC918	II
919	6	6	8	180	12	2	1	CC918	II
920	7	5	10	4	1	302	6	CC920	II
921	7	5	10	21	6	4	1	CC11	II
922	7	5	140	174	13	3	1	ST922	II
923	7	6	2	7	1	7	6	ST923	II
924	7	6	10	30	5	2	1	CC14	II
925	7	6	16	6	5	7	1	CC14	II
926	7	6	19	8	1	2	1	CC926	II
927	7	6	19	8	13	2	1	CC926	II
928	7	6	138	6	5	7	1	CC14	II
929	7	10	8	21	1	7	1	ST929	II
930	7	10	17	20	12	26	1	CC177	II
931	7	15	17	6	5	25	1	CC931	II
932	7	15	17	6	5	26	1	CC931	II
933	7	15	17	181	5	26	1	CC931	II
934	7	27	16	4	5	4	1	CC934	II
935	7	47	10	68	1	2	1	CC935	II
936	7	47	10	172	13	302	1	ST936	II
937	7	121	10	175	5	26	1	ST937	II
938	7	122	8	6	1	4	1	CC938	II
939	7	123	10	67	13	314	1	ST939	II
940	7	128	10	174	13	3	1	CC940	II
941	7	128	140	174	108	3	1	ST941	II
942	15	10	18	18	107	3	1	CC29	II
943	41	33	142	144	101	246	28	ST943	III
944	53	47	10	6	13	24	1	ST944	II
945	53	47	10	67	13	2	1	CC945	II
946	53	47	10	67	13	3	1	CC945	II
947	113	10	10	4	1	3	103	ST947	II
948	113	46	10	183	5	308	104	ST948	II
949	113	47	3	173	13	2	1	ST949	II
950	113	47	10	173	1	314	1	CC950	II
951	113	47	10	184	5	308	104	ST951	II
952	113	126	10	173	1	314	1	CC950	II
953	134	130	118	171	32	317	105	CC953	III
954	136	122	139	20	1	26	1	ST954	II
955	137	47	10	187	1	2	1	ST955	II
956	138	10	10	149	13	3	104	ST956	II
957	139	130	146	168	102	315	109	CC957	III
958	140	30	144	171	33	309	108	CC959	III
959	140	30	144	171	33	309	106	CC959	III
960	140	30	144	171	33	309	111	CC959	III
961	141	131	35	187	75	164	107	ST961	III
962	142	130	21	187	16	317	105	ST962	III
963	142	130	118	171	32	317	105	CC953	III
964	142	131	21	171	33	311	105	ST964	III
965	142	131	21	171	75	311	114	CC965	III
966	142	131	21	171	75	311	113	CC965	III
967	142	131	21	187	16	319	105	ST967	III
968	142	131	118	171	32	317	105	CC953	III
969	142	131	148	148	16	317	105	CC969	III
970	142	131	148	188	16	317	105	CC969	III
971	142	132	21	171	75	311	114	CC965	III
972	144	30	21	171	104	319	112	CC972	III
973	144	30	21	171	105	319	112	CC972	III
974	144	30	141	187	32	318	110	ST974	III
975	144	30	144	171	106	310	106	ST975	III
976	144	130	143	171	16	319	106	ST976	III
977	144	131	21	186	99	317	106	ST977	III
978	144	131	35	170	32	316	1	ST978	III
979	144	131	140	187	103	313	105	ST979	III
980	144	131	145	187	33	313	112	ST980	III
981	144	131	145	187	106	313	105	ST981	III
982	144	133	21	187	99	317	106	ST982	III
983	7	134	10	6	13	2	41	ST983	II
984	142	133	35	178	16	319	107	ST984	III
985	5	135	10	179	1	3	1	ST985	II
986	144	133	35	187	75	164	107	ST986	III
987	135	129	150	187	100	316	30	ST987	III
988	144	129	151	178	112	311	106	ST988	III
989	139	130	146	168	113	315	109	CC957	III
990	5	47	3	6	111	3	1	ST990	II
991	81	5	10	6	1	8	1	CC991	II
992	1	9	12	3	7	5	3	CC217	I
993	7	14	37	127	6	27	1	ST993	II
994	7	10	16	198	5	2	1	CC155	II
995	5	8	5	7	6	2	41	CC7	II
996	7	14	37	6	127	27	1	CC193	II
997	5	8	170	7	6	2	1	CC7	II
998	41	22	43	205	70	111	28	ST998	III
999	170	1	9	1	3	5	5	CC554	I
1000	172	9	135	3	3	1	4	CC1000	I
1001	3	1	1	1	133	1	3	CC1	I
1002	131	141	171	204	134	339	27	ST1002	III
1003	20	58	21	206	17	123	56	ST1003	III
1004	7	106	8	147	1	340	6	CC842	II
1005	171	142	172	207	135	244	137	ST1005	L. welshimeri
1006	6	15	3	116	1	2	85	ST1006	II
1007	5	10	10	116	1	3	1	CC645	II
1008	173	140	173	208	136	341	138	ST1008	L. innocua
1009	2	1	11	3	3	1	139	CC5	I
1010	65	21	40	33	45	170	53	CC448	L. innocua
1011	6	5	85	4	1	207	1	ST1011	II
1012	175	6	8	209	6	37	140	ST1012	II
1013	61	6	3	4	1	26	1	ST1013	II
1014	23	5	19	210	13	24	6	ST1014	II
1015	53	13	6	4	1	2	1	ST1015	II
1016	5	97	8	20	5	8	1	CC1016	II
1017	3	1	1	1	3	1	141	CC1	I
1018	177	144	2	29	5	3	1	ST1018	II
1019	176	10	66	18	1	3	1	CC29	II
1020	7	10	16	7	5	344	1	CC155	II
1021	17	13	102	6	1	7	34	ST1021	II
1022	5	6	2	29	5	345	1	CC8	II
1023	27	54	64	74	22	123	55	CC396	III
1024	5	143	8	7	5	3	1	ST1024	II
1025	5	6	175	29	5	3	1	CC8	II
1026	52	1	1	17	2	1	5	ST1026	I
1027	178	1	1	1	3	1	3	CC1	I
1028	1	145	11	11	2	1	5	CC2	I
1029	6	5	6	4	1	218	1	CC9	II
1030	6	146	6	4	1	4	1	CC9	II
1031	6	147	6	4	1	4	1	CC9	II
1032	2	1	11	211	3	1	7	CC5	I
1033	3	1	1	1	3	346	3	CC1	I
1034	3	148	1	1	3	1	3	CC1	I
1035	6	149	6	4	1	4	1	CC9	II
1036	179	6	19	6	1	24	1	CC19	II
1037	180	150	137	164	95	323	101	ST1037	L. innocua
1038	7	15	15	8	6	14	142	CC101	II
1039	1	18	12	3	2	1	5	CC2	I
1040	2	1	11	3	3	9	7	CC5	I
1041	2	1	135	38	3	1	2	CC1041	I
1042	2	12	12	3	3	1	2	ST1042	I
1043	7	6	8	21	6	37	6	ST1043	II
1044	7	6	10	72	6	37	1	ST1044	II
1045	7	10	16	7	5	41	1	CC155	II
1046	11	3	12	38	2	1	2	ST1046	I
1047	11	12	4	3	3	1	7	CC1047	I
1048	12	9	135	3	3	1	2	ST1048	I
1049	12	12	12	1	3	1	5	CC88	I
1050	22	11	21	24	70	123	55	ST1050	III
1051	41	41	53	73	16	156	50	CC450	III
1052	53	143	10	67	13	3	41	ST1052	II
1053	59	11	21	51	32	159	44	ST1053	III
1054	61	10	8	29	1	7	1	ST1054	II
1055	138	10	8	68	1	3	1	CC1055	II
1056	138	47	16	6	1	2	1	CC1056	II
1057	203	8	5	7	1	2	1	CC7	II
1058	38	31	42	47	28	108	1	CC262	III
1059	53	170	10	18	1	370	6	ST1059	II
1060	7	47	10	222	13	3	1	ST1060	II
1061	1	1	27	17	2	1	5	ST1061	I
1062	5	27	3	6	13	2	6	ST1062	II
1063	2	1	11	3	3	28	7	CC5	I
1064	30	6	10	241	6	37	1	ST1064	II
1065	7	171	10	6	1	3	1	ST1065	II
1066	7	49	8	242	5	2	103	CC1066	II
1067	116	33	193	243	89	111	160	ST1067	III
1068	5	10	3	6	150	26	1	ST1068	II
1069	204	105	194	24	151	145	161	ST1069	III
1070	189	159	99	225	32	371	150	CC1070	III
1071	7	47	10	6	1	7	1	ST1071	II
1072	7	156	59	221	140	123	1	ST1072	II
1073	5	5	195	6	5	26	48	CC739	II
1074	11	1	4	43	69	1	2	ST1074	I
1075	1	1	1	3	3	1	2	ST1075	I
1076	205	172	8	8	1	26	103	CC1076	II
1077	206	5	196	244	5	314	6	ST1077	II
1078	113	173	10	4	1	372	103	CC1078	II
1079	2	2	12	43	2	1	162	ST1079	I
1080	7	5	17	6	1	151	85	ST1080	II
1081	5	97	17	6	5	358	6	ST1081	II
1082	93	15	17	212	1	6	1	ST1082	II
1083	181	152	177	214	138	347	143	ST1083	L. seeligeri
1084	182	153	178	215	128	348	126	ST1084	L. welshimeri
1085	188	157	182	223	136	353	148	ST1085	L. innocua
1086	190	23	183	97	45	192	152	CC1086	L. innocua
1087	191	21	184	110	45	356	16	ST1087	L. innocua
1088	192	160	185	226	142	357	143	ST1088	L. seeligeri
1089	190	23	183	97	45	362	152	CC1086	L. innocua
1090	163	164	189	232	64	363	156	ST1090	L. seeligeri
1091	163	138	190	233	64	364	157	ST1091	L. seeligeri
1092	201	169	85	237	149	369	159	ST1092	L. innocua
1093	2	1	179	3	3	1	7	CC5	I
1094	2	1	11	3	144	1	7	CC5	I
1095	2	1	11	235	3	1	7	CC5	I
1096	2	1	11	239	3	1	7	CC5	I
1097	3	1	1	1	3	1	146	CC1	I
1098	3	1	12	230	2	1	5	CC388	I
1099	3	1	12	234	2	1	5	CC388	I
1100	3	167	9	3	3	1	5	CC6	I
1101	3	9	9	3	3	366	5	CC6	I
1102	34	12	11	16	3	1	151	CC288	I
1103	34	12	187	16	3	1	2	CC288	I
1104	52	1	176	3	2	1	5	ST1104	I
1105	172	9	135	3	3	1	154	CC1000	I
1106	187	1	11	3	3	1	7	CC5	I
1107	194	1	57	3	2	1	2	CC5	I
1108	5	6	8	217	6	7	34	CC321	II
1109	5	97	10	7	39	351	48	ST1109	II
1110	5	166	10	6	1	7	1	ST1110	II
1111	5	8	5	236	6	2	1	CC7	II
1112	5	6	8	62	148	7	34	CC321	II
1113	6	5	188	4	1	4	1	CC9	II
1114	6	5	6	4	1	365	1	CC9	II
1115	6	5	191	4	1	4	1	CC9	II
1116	6	5	6	4	1	368	1	CC9	II
1117	7	6	8	219	6	7	1	CC573	II
1118	7	10	17	18	5	352	1	ST1118	II
1119	7	6	3	6	5	7	149	CC14	II
1120	7	10	16	7	145	2	1	CC155	II
1121	7	10	17	6	146	96	1	CC226	II
1122	7	10	16	238	5	2	1	CC155	II
1123	15	163	18	18	1	3	1	CC29	II
1124	53	47	8	240	13	3	41	CC369	II
1125	184	154	2	139	6	14	1	ST1125	II
1126	186	6	17	6	1	2	1	ST1126	II
1127	195	162	10	228	1	3	1	CC1127	II
1128	197	15	15	8	6	14	142	CC101	II
1129	202	7	6	4	5	4	1	CC204	II
1130	20	33	180	218	139	164	46	ST1130	III
1131	41	71	129	220	16	201	145	ST1131	III
1132	41	161	43	144	16	111	28	ST1132	III
1133	44	40	50	59	24	360	26	ST444	III
1134	56	165	61	72	41	155	43	CC406	III
1135	58	71	78	73	16	285	147	ST1135	III
1136	58	158	99	224	141	354	150	ST1136	III
1137	71	151	53	213	16	206	93	ST1137	III
1138	183	32	68	216	41	349	50	ST1138	III
1139	185	155	181	146	89	350	144	CC1139	III
1140	189	159	99	225	32	355	150	CC1070	III
1141	193	129	50	227	25	73	153	ST1141	III
1142	196	68	186	229	143	359	155	ST1142	III
1143	198	30	171	231	97	361	50	ST1143	III
1144	199	168	192	126	89	73	94	ST1144	III
1145	200	117	134	157	147	367	158	ST1145	III
1146	1	2	197	245	2	5	3	ST1146	I
1147	1	1	12	17	2	1	7	CC54	I
1148	1	174	7	2	4	1	5	ST1148	I
1149	1	3	7	2	5	1	2	CC220	I
1150	1	2	9	1	5	5	3	CC4	I
1151	2	1	11	246	3	1	7	CC5	I
1152	3	1	12	1	3	1	3	CC1	I
1153	5	6	2	1	3	2	1	ST1153	II
1154	5	175	3	5	1	8	6	CC37	II
1155	5	7	3	5	1	8	163	CC37	II
1156	5	7	3	5	1	373	6	CC37	II
1157	5	8	5	7	6	2	164	CC7	II
1158	7	52	8	6	3	2	1	CC412	II
1159	7	52	8	6	152	2	1	CC412	II
1160	7	5	10	21	1	323	1	CC11	II
1161	15	10	18	18	3	3	1	CC29	II
1162	17	13	8	6	5	3	1	ST1162	II
1163	208	1	1	1	3	1	3	CC1	I
1164	6	176	6	4	1	4	1	CC9	II
1165	7	6	15	6	153	2	1	CC14	II
1166	12	1	4	14	3	374	4	CC87	I
1167	209	5	6	4	1	4	1	CC9	II
1168	1	1	11	11	154	1	5	CC2	I
1169	3	1	1	1	3	1	165	CC1	I
1170	1	3	7	2	155	1	2	CC220	I
1171	1	1	11	11	2	375	5	CC2	I
1172	6	5	6	247	1	4	1	CC9	II
1173	3	9	9	3	3	1	18	CC6	I
1174	41	71	198	148	110	377	100	ST1174	III
1175	71	151	53	72	16	295	169	ST1175	III
1176	9	10	15	6	156	265	1	ST1176	II
1177	7	14	10	19	9	378	1	CC31	II
1178	187	1	11	3	3	90	7	CC5	I
1179	11	3	12	38	3	379	2	CC224	I
1180	92	117	199	113	157	380	170	CC1180	III
1181	5	7	3	5	1	381	6	CC37	II
1182	185	178	200	249	158	382	171	ST1182	III
1183	212	179	118	250	159	383	111	ST1183	III
1184	116	33	201	251	160	111	105	ST1184	III
1185	41	36	46	54	161	115	28	CC269	III
1186	1	3	48	90	3	30	4	CC506	I
1187	213	30	202	48	75	360	172	ST1187	III
1188	40	40	42	52	32	113	25	CC267	III
1189	214	180	203	252	32	384	173	ST1189	III
1190	215	181	204	54	70	111	28	ST1190	III
1191	20	182	21	83	25	385	113	ST1191	III
1192	40	30	42	52	32	386	25	CC267	III
1193	127	33	13	146	89	387	174	ST1193	III
1194	116	33	204	253	34	388	28	ST1194	III
1195	41	33	204	54	151	285	175	ST1195	III
1196	41	33	205	144	70	246	28	ST1196	III
1197	42	183	118	72	162	389	176	ST1197	III
1198	216	184	206	254	163	285	177	ST1198	III
1199	116	33	201	255	33	111	105	ST1199	III
1200	185	32	207	256	86	111	178	ST1200	III
1201	83	19	91	257	58	178	72	CC562	IV
1202	217	185	32	258	89	390	179	ST1202	III
1203	44	71	198	48	164	391	180	ST1203	III
1204	7	6	10	6	1	271	1	CC11	II
1205	9	10	15	6	8	392	1	CC199	II
1206	34	1	57	3	3	1	2	CC5	I
1207	3	9	9	3	3	105	5	CC6	I
1208	131	186	21	72	34	285	50	ST1208	III
1209	58	71	46	259	16	285	147	ST1209	III
1210	7	6	8	7	6	7	1	CC573	II
1211	5	8	17	5	6	2	1	CC1211	II
1212	7	187	10	6	1	2	1	CC11	II
1213	218	30	53	260	27	390	26	ST1213	III
1214	219	30	198	158	27	393	27	ST1214	III
1215	1	9	1	3	7	1	5	CC688	I
1216	7	10	10	6	1	2	1	CC11	II
1217	8	6	8	8	6	37	1	CC121	II
1218	1	1	11	14	2	1	5	CC2	I
1219	1	1	11	7	6	1	5	ST1219	I
1220	12	1	4	11	3	39	4	CC87	I
1221	12	1	4	4	3	39	4	CC87	I
1222	12	1	11	14	3	39	4	CC87	I
1223	12	8	4	14	3	39	4	CC87	I
1224	12	1	11	11	3	39	4	CC87	I
1225	12	1	4	14	2	39	4	CC87	I
1226	12	1	4	11	2	39	4	CC87	I
1227	5	8	5	8	6	2	1	CC7	II
1228	7	6	8	14	3	37	1	ST1228	II
1229	220	188	208	262	165	394	181	ST1229	L. marthii
1230	221	189	157	263	166	395	182	ST1230	L. marthii
1231	222	190	209	263	167	396	182	ST1231	L. marthii
1232	7	13	19	6	1	125	1	CC19	II
1233	7	10	16	7	5	398	1	CC155	II
1234	2	1	11	3	3	104	7	CC5	I
1235	7	7	3	10	5	399	1	CC21	II
1236	4	4	4	3	2	43	5	CC3	I
1237	3	18	27	3	4	106	184	CC315	I
1238	7	7	3	10	5	253	1	CC21	II
1239	1	1	1	1	3	1	3	CC1	I
1240	3	9	1	3	7	5	3	CC217	I
1241	224	7	3	5	1	8	6	CC37	II
1242	5	7	3	5	1	400	6	CC37	II
1243	5	10	17	264	1	26	1	CC177	II
1244	3	1	1	1	3	1	185	CC1	I
1245	8	6	15	6	6	2	186	CC14	II
1246	15	10	211	18	1	280	1	CC29	II
1247	5	6	2	265	5	3	1	CC8	II
1248	6	5	6	4	1	401	1	CC9	II
1249	2	191	11	3	3	1	7	CC5	I
1250	5	194	8	62	6	7	34	CC321	II
