ST	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	clonal_complex
733	109	24	23	31	23	27	23	30	
734	239	27	29	38	29	36	27	33	
735	240	201	184	213	219	230	194	214	
736	241	202	185	214	220	231	195	215	
737	242	203	29	215	221	232	196	216	
738	243	204	47	216	222	233	197	215	
739	243	205	47	57	220	234	198	28	
740	8	1	1	1	5	6	1	7	
741	244	2	1	2	1	16	4	2	
742	160	122	113	139	138	136	199	124	
743	46	76	29	43	34	40	31	37	
744	43	28	30	39	30	87	28	34	
745	42	33	34	36	36	38	30	38	
746	46	76	30	43	34	42	31	37	
747	99	77	81	91	88	235	82	33	
748	245	73	186	42	91	76	32	36	
749	43	28	187	90	87	36	28	34	
750	44	29	31	40	223	87	80	77	
751	48	34	33	44	37	42	42	39	
752	36	150	23	35	117	172	23	28	
753	109	24	23	31	23	30	23	28	
754	4	1	1	1	224	6	1	217	
755	4	4	3	217	3	3	3	3	
756	4	12	1	11	2	15	1	2	
757	128	12	1	8	1	6	1	10	
758	14	1	1	2	1	6	200	7	
759	4	1	1	1	225	6	1	7	
760	5	5	188	5	5	5	1	6	
761	4	1	189	1	1	6	1	7	
762	218	182	166	218	201	209	174	193	
763	246	206	190	219	226	236	201	218	
764	247	207	191	220	227	237	202	219	
765	176	208	192	221	228	238	203	220	
766	248	18	18	22	14	22	14	25	
767	109	24	25	86	107	96	184	221	
768	180	171	154	177	188	194	163	180	
769	180	172	155	178	189	196	164	180	
770	180	172	155	178	189	196	164	181	
771	180	171	154	178	188	194	163	180	
772	36	24	23	32	25	29	23	29	
773	39	24	23	35	26	33	23	28	
774	109	24	23	89	22	27	23	29	
775	36	24	132	32	118	30	23	29	
776	35	24	25	35	26	29	23	28	
777	109	24	24	35	25	27	23	29	
778	109	24	24	85	22	91	23	29	
779	114	24	24	31	92	92	23	28	
780	39	24	22	32	96	165	184	29	
781	38	24	25	32	90	239	24	28	
782	36	24	24	32	21	31	140	28	
783	109	24	24	85	119	27	24	29	
784	109	24	23	49	26	32	23	29	
785	51	24	96	31	92	240	23	28	
786	249	24	23	32	20	27	183	28	
787	36	24	23	86	22	96	23	28	
788	36	82	96	31	92	220	23	221	
789	109	24	23	31	30	152	24	29	
790	36	24	24	31	96	220	23	28	
791	109	24	24	85	85	220	24	29	
792	36	82	96	31	85	220	184	28	
793	250	209	193	222	229	241	204	222	
794	251	1	1	1	1	1	1	1	
795	252	2	1	2	2	2	2	2	
796	6	1	194	1	1	7	1	223	
797	6	1	5	1	230	242	1	224	
798	253	1	1	1	1	6	1	7	
799	15	9	12	223	1	11	8	16	
800	48	34	34	44	37	42	182	39	
801	226	28	34	197	207	215	180	200	
802	254	74	34	201	209	217	182	36	
803	48	34	34	44	37	42	205	39	
804	185	147	134	160	34	170	144	225	
805	255	210	196	225	232	244	206	227	
806	256	211	197	226	233	245	207	228	
807	14	1	11	1	168	1	8	10	
808	43	28	30	90	87	42	28	229	
809	36	212	23	30	92	27	23	29	
810	43	28	34	90	87	36	28	34	
811	40	213	26	36	28	34	28	31	
812	183	24	23	31	27	27	23	29	
813	109	24	25	31	92	52	23	28	
814	15	1	1	1	168	1	1	1	
815	39	24	23	87	92	27	23	78	
816	42	27	29	38	29	39	80	33	
817	51	24	23	86	85	92	23	29	
818	35	24	24	32	21	27	208	28	
819	46	214	29	43	98	40	31	37	
820	50	36	37	45	234	44	36	40	
821	172	24	23	85	98	27	24	28	
822	109	24	24	31	92	246	23	28	
823	37	215	24	31	22	91	23	29	
824	257	37	37	86	39	93	36	40	
825	109	24	24	85	90	91	209	29	
826	36	24	23	89	95	27	23	28	
827	36	24	23	89	118	27	23	28	
828	38	24	25	32	90	247	24	28	
829	36	24	24	32	21	31	23	30	
830	37	24	24	31	235	248	23	28	
831	37	24	25	31	236	92	23	28	
832	51	24	23	86	85	27	23	230	
833	36	24	23	86	237	27	23	28	
834	258	24	23	203	26	96	23	156	
835	37	24	24	88	22	92	23	28	
836	14	1	11	1	168	10	1	10	
837	109	24	24	31	22	246	24	28	
838	47	73	33	90	91	76	32	33	
839	259	24	24	31	22	92	23	28	
840	36	24	23	37	92	27	23	231	
841	35	24	22	32	98	27	23	28	
842	48	34	90	44	37	111	33	39	
843	131	217	24	88	92	27	23	28	
844	260	218	81	91	88	249	82	33	
845	35	24	23	86	22	27	23	28	
846	36	24	23	87	92	27	23	78	
847	36	82	24	88	92	27	23	28	
848	37	24	23	31	22	92	23	30	
849	37	24	25	31	238	92	23	30	
850	44	29	76	40	31	37	80	77	
851	261	22	94	123	18	118	74	102	
852	40	216	26	36	27	250	25	31	
853	262	219	198	227	239	251	210	232	
854	263	220	199	228	240	252	211	233	
855	264	221	200	229	241	253	212	234	
856	265	222	201	230	242	241	213	235	
857	266	223	202	231	243	254	214	236	
858	267	224	203	232	244	241	215	237	
859	269	226	204	234	246	256	217	237	
860	271	228	205	236	248	258	219	239	
861	271	229	206	237	249	259	220	240	
862	271	229	207	237	249	259	220	240	
863	272	230	208	238	246	260	221	241	
864	273	231	209	239	246	261	222	242	
865	274	232	210	240	250	262	223	243	
866	272	230	208	238	251	260	221	241	
867	275	233	211	241	252	252	224	244	
868	276	234	212	242	250	263	225	245	
869	277	235	213	232	253	264	226	246	
870	278	236	214	243	254	265	227	238	
871	276	239	215	244	257	267	229	248	
872	268	240	216	245	258	268	230	249	
873	281	241	217	246	259	269	231	250	
874	282	242	213	232	253	270	226	246	
875	284	244	219	248	261	273	234	253	
876	285	245	210	249	262	274	235	254	
877	286	246	220	250	246	275	236	255	
878	287	247	210	251	246	276	237	256	
879	288	248	221	245	263	277	238	257	
880	290	251	222	253	265	277	239	232	
881	268	240	223	254	266	278	240	249	
882	291	239	224	255	267	279	241	248	
883	292	252	225	243	229	280	242	258	
884	276	253	226	256	268	281	243	259	
885	278	254	227	257	269	282	244	254	
886	266	255	228	236	229	283	245	260	
887	268	256	229	258	239	284	246	232	
888	293	240	223	254	258	268	247	249	
889	291	239	224	259	267	279	241	248	
890	269	257	230	260	246	285	248	256	
891	271	258	205	236	248	258	219	239	
892	289	257	230	261	246	285	249	238	
893	36	24	23	32	96	27	23	28	
894	39	24	24	31	22	37	23	28	
895	37	24	24	31	85	27	23	28	
896	36	24	23	31	92	27	23	28	
897	294	24	24	85	57	27	23	28	
898	295	24	24	31	20	27	23	29	
899	296	150	24	35	117	37	23	28	
900	101	22	20	123	18	172	250	261	
901	36	24	25	31	116	52	23	156	
902	45	33	231	36	36	38	30	38	
903	130	93	93	118	114	54	98	50	
