ST	aspA	glnA	gltA	glyA	pgm	tkt	uncA	clonal_complex
3324	7	2	5	2	11	331	1	ST-607 complex
3325	8	289	5	10	11	12	6	ST-354 complex
3326	10	186	2	62	412	223	6	
3327	218	17	5	2	10	3	6	ST-353 complex
3328	55	21	2	327	11	37	3	
3329	2	15	4	28	17	3	35	ST-433 complex
3330	2	114	5	298	13	61	70	
3331	7	2	2	212	309	253	147	
3332	9	4	27	25	11	3	5	
3333	24	30	5	2	89	59	6	ST-460 complex
3334	62	4	5	2	23	1	5	ST-48 complex
3335	62	4	5	10	2	1	5	ST-206 complex
3336	33	38	30	82	104	332	17	ST-828 complex
3337	33	38	30	82	104	332	245	ST-828 complex
3338	33	38	30	82	413	43	36	ST-828 complex
3339	33	39	30	82	414	43	17	ST-828 complex
3340	33	39	30	328	104	43	17	ST-828 complex
3341	33	290	30	82	104	333	17	ST-828 complex
3342	33	291	30	82	104	44	17	ST-828 complex
3343	10	38	30	82	113	43	17	ST-828 complex
3344	32	38	134	82	113	35	17	
3345	32	39	44	82	104	117	36	
3346	33	38	30	82	189	44	17	ST-828 complex
3347	33	38	30	174	104	35	17	ST-828 complex
3348	33	39	66	79	104	47	41	
3349	33	218	30	82	104	35	17	ST-828 complex
3350	4	7	41	4	42	1	1	ST-45 complex
3351	1	4	2	3	6	3	17	ST-61 complex
3352	2	1	2	2	2	3	5	ST-21 complex
3353	2	1	23	4	2	1	5	ST-21 complex
3354	2	2	42	4	98	58	5	
3355	2	7	2	3	2	3	5	ST-21 complex
3356	2	17	2	3	2	3	5	ST-21 complex
3357	4	7	10	3	42	51	1	ST-45 complex
3358	2	7	2	4	2	9	5	
3359	2	4	2	2	2	3	5	ST-61 complex
3360	2	17	5	4	2	1	5	ST-206 complex
3361	1	3	6	4	415	3	3	ST-22 complex
3362	4	7	40	4	42	334	1	ST-283 complex
3363	2	7	5	37	2	1	5	ST-206 complex
3364	19	24	42	20	300	259	57	
3365	19	24	23	20	26	259	15	
3366	9	25	2	10	22	259	6	ST-52 complex
3367	2	1	5	3	2	9	5	ST-21 complex
3368	1	4	2	3	6	9	17	ST-61 complex
3369	10	23	16	19	6	9	7	ST-403 complex
3370	2	1	21	3	2	16	5	ST-21 complex
3371	1	2	3	4	5	18	3	ST-42 complex
3372	2	21	5	37	2	9	5	ST-206 complex
3373	2	21	5	37	2	3	5	ST-206 complex
3374	2	21	16	37	2	1	5	ST-206 complex
3375	10	27	43	19	6	1	7	ST-403 complex
3376	8	10	149	2	11	18	6	ST-354 complex
3377	2	1	1	3	2	3	3	ST-21 complex
3378	1	2	3	4	5	1	3	ST-42 complex
3379	1	2	16	4	5	9	3	ST-42 complex
3380	1	4	2	2	6	9	17	ST-61 complex
3381	2	4	1	2	7	9	5	ST-48 complex
3382	4	7	10	1	1	7	6	ST-45 complex
3383	1	4	2	246	300	3	17	ST-61 complex
3384	19	1	1	3	2	1	3	ST-21 complex
3385	1	4	16	2	10	3	1	ST-61 complex
3386	10	23	1	19	6	18	1	
3387	2	2	42	4	3	40	3	
3388	1	23	16	19	6	18	7	
3389	10	4	1	2	7	1	5	ST-48 complex
3390	10	1	1	3	2	1	3	ST-21 complex
3391	2	1	2	3	2	1	3	ST-21 complex
3392	19	23	16	19	6	18	7	
3393	10	27	16	19	6	5	7	ST-403 complex
3394	10	21	16	19	10	5	7	ST-403 complex
3395	1	4	2	2	300	3	17	ST-61 complex
3396	2	1	5	3	1	54	5	ST-21 complex
3397	2	1	10	3	2	54	5	ST-21 complex
3398	4	7	61	2	6	3	1	
3399	19	7	23	20	26	16	15	
3400	7	1	5	3	2	54	5	ST-21 complex
3401	7	1	5	62	4	61	44	
3402	7	4	5	62	4	61	44	
3403	19	23	42	246	300	259	57	
3404	61	23	22	18	2	74	47	
3405	7	23	2	15	22	3	12	ST-443 complex
3406	7	17	2	246	300	3	12	ST-443 complex
3407	1	23	3	4	5	9	3	ST-42 complex
3408	2	23	5	3	2	54	5	ST-21 complex
3409	2	4	5	3	2	54	5	ST-21 complex
3410	4	4	10	4	42	7	1	ST-45 complex
3411	4	23	10	4	42	7	1	ST-45 complex
3412	7	23	5	2	4	61	44	
3413	7	23	5	62	4	61	44	
3414	1	1	5	4	5	9	3	ST-42 complex
3415	1	4	2	2	5	3	6	ST-61 complex
3416	1	1	2	2	6	3	7	ST-61 complex
3417	10	23	16	19	5	18	7	ST-403 complex
3418	8	1	149	2	11	12	6	ST-354 complex
3419	8	10	149	19	11	12	6	ST-354 complex
3420	1	4	16	19	6	18	7	
3421	2	23	16	19	6	18	7	
3422	10	4	16	19	2	18	7	ST-403 complex
3423	1	4	16	2	6	3	7	ST-61 complex
3424	10	4	16	19	6	18	7	ST-403 complex
3425	1	4	5	2	6	3	5	ST-61 complex
3426	19	24	43	20	26	16	7	
3427	4	4	2	2	6	3	17	ST-61 complex
3428	10	23	16	19	6	18	17	
3429	10	27	43	19	6	18	5	
3430	1	1	2	2	6	3	5	ST-61 complex
3431	4	7	10	4	22	51	17	ST-45 complex
3432	19	24	10	20	26	16	1	
3433	1	25	2	10	22	3	7	ST-52 complex
3434	9	4	2	2	6	3	6	ST-61 complex
3435	10	27	43	19	6	16	15	
3436	42	27	43	19	6	18	7	
3437	1	4	2	54	6	3	17	ST-61 complex
3438	1	4	2	2	6	6	38	ST-61 complex
3439	2	1	5	3	2	2	5	ST-21 complex
3440	2	1	1	3	2	2	5	ST-21 complex
3441	1	4	2	2	6	6	17	ST-61 complex
3442	10	23	16	19	6	6	7	ST-403 complex
3443	19	23	23	20	397	16	15	
3444	9	2	4	62	4	4	6	ST-257 complex
3445	1	4	2	2	26	16	15	ST-61 complex
3446	1	7	10	4	42	7	1	ST-45 complex
3447	2	1	5	3	2	1	7	ST-21 complex
3448	48	7	85	4	1	7	1	ST-45 complex
3449	84	106	10	28	136	1	35	
3450	10	81	50	99	42	76	52	ST-677 complex
3451	4	38	10	4	1	7	1	ST-45 complex
3452	33	38	30	82	2	35	1	
3453	64	89	77	100	94	103	16	
3454	10	81	50	99	104	76	52	ST-677 complex
3455	2	39	30	82	104	44	36	ST-828 complex
3456	4	7	12	4	1	7	1	ST-45 complex
3457	1	2	42	4	2	58	34	
3458	64	33	30	98	94	17	16	
3459	33	7	30	82	118	43	17	ST-828 complex
3460	2	1	12	3	98	1	5	ST-21 complex
3461	64	22	22	100	134	204	16	
3462	9	2	218	2	11	3	1	ST-607 complex
3463	8	112	5	62	23	67	6	
3464	2	4	1	2	371	1	5	ST-48 complex
3465	4	7	10	292	1	7	1	ST-45 complex
3466	9	2	4	62	264	5	6	ST-257 complex
3467	80	22	72	18	134	103	126	
3468	8	10	2	2	67	291	6	ST-354 complex
3469	2	75	21	48	2	34	1	ST-661 complex
3470	1	21	5	293	13	9	6	
3471	1	7	5	4	261	3	1	
3472	7	21	2	2	22	3	12	
3473	2	1	21	3	2	298	5	ST-21 complex
3474	186	7	41	4	42	7	1	ST-45 complex
3475	55	172	21	49	114	83	51	
3476	3	2	5	17	11	11	6	ST-49 complex
3477	64	33	22	111	122	303	16	
3478	2	1	1	5	11	1	5	ST-21 complex
3479	2	1	1	5	2	1	144	ST-21 complex
3480	2	4	1	2	7	297	5	ST-48 complex
3481	2	1	12	3	366	1	5	ST-21 complex
3482	2	75	4	4	1	34	1	ST-661 complex
3483	2	1	5	3	2	1	195	ST-21 complex
3484	7	2	5	2	342	3	6	ST-353 complex
3485	22	29	75	48	341	5	23	
3486	1	2	42	4	98	12	34	
3487	4	7	10	4	1	174	1	ST-45 complex
3488	64	105	85	77	19	103	16	
3489	2	17	12	3	126	1	5	ST-21 complex
3490	2	4	2	4	94	3	6	ST-658 complex
3491	18	22	22	18	410	103	9	
3492	18	2	100	98	138	86	16	ST-952 complex
3493	2	61	4	64	2	7	23	ST-1034 complex
3494	18	33	22	288	122	17	243	
3495	214	15	4	48	126	25	23	
3496	7	287	5	2	135	3	26	ST-353 complex
3497	55	172	21	49	22	48	23	
3498	55	38	30	82	104	30	17	ST-828 complex
3499	2	4	5	2	1	1	5	ST-48 complex
3500	4	7	10	4	51	1	1	ST-45 complex
3501	18	22	77	98	122	94	16	ST-952 complex
3502	18	33	72	325	116	104	6	
3503	7	4	52	2	11	1	5	ST-48 complex
3504	7	55	5	10	11	68	6	ST-446 complex
3505	7	4	5	68	11	3	5	
3506	2	71	1	62	4	67	6	
3507	2	1	12	3	310	1	5	ST-21 complex
3508	10	81	50	99	120	51	52	ST-677 complex
3509	1	4	2	4	6	3	38	ST-61 complex
3510	7	17	5	2	13	3	6	ST-353 complex
3511	2	9	1	2	7	1	5	ST-48 complex
3512	2	21	2	2	2	1	5	ST-206 complex
3513	4	4	10	4	1	7	1	ST-45 complex
3514	1	1	3	3	5	9	3	ST-42 complex
3515	7	17	2	2	10	3	6	ST-353 complex
3516	7	84	5	2	156	3	6	ST-353 complex
3517	33	39	30	78	104	3	17	ST-828 complex
3518	7	2	5	2	156	1	6	ST-353 complex
3519	33	39	30	78	104	7	17	ST-828 complex
3520	4	7	10	4	4	7	1	ST-45 complex
3521	1	39	30	82	211	3	17	ST-828 complex
3522	2	1	1	3	366	1	5	ST-21 complex
3523	9	17	2	2	11	3	1	ST-464 complex
3524	2	1	227	3	2	1	3	ST-21 complex
3525	1	2	42	4	98	3	34	
3526	2	1	21	3	23	1	5	ST-21 complex
3527	1	6	137	147	416	180	3	
3528	2	17	2	3	2	1	246	ST-21 complex
3529	7	84	5	10	119	178	247	
3530	219	2	4	62	4	5	17	ST-257 complex
3531	1	2	244	4	5	9	3	ST-42 complex
3532	89	86	237	198	398	209	156	
3533	86	104	69	113	143	119	67	
3534	64	81	111	143	134	153	16	
3535	81	86	87	320	270	238	242	
3536	64	22	20	100	134	160	16	
3537	24	17	30	10	23	68	5	
3538	47	2	4	2	6	5	17	
3539	1	1	3	4	5	9	1	ST-42 complex
3540	37	52	4	26	127	29	1	ST-692 complex
3541	47	2	4	2	6	5	1	
3542	2	59	4	27	128	25	1	
3543	215	262	30	79	104	43	42	
3544	7	112	5	62	11	3	249	ST-581 complex
3545	2	28	4	329	74	25	35	ST-1034 complex
3546	9	17	5	10	350	335	3	
3547	7	84	5	25	2	1	5	ST-206 complex
3548	7	4	2	2	19	1	248	
3549	2	52	96	48	127	99	23	ST-702 complex
3550	2	1	1	3	258	1	5	ST-21 complex
3551	22	28	4	243	23	29	35	
3552	47	84	5	10	11	48	8	ST-446 complex
3553	1	84	42	4	153	9	8	
3554	7	84	5	25	11	1	5	
3555	4	7	40	4	42	1	1	ST-283 complex
3556	2	1	5	3	2	231	5	ST-21 complex
3557	43	194	2	213	19	3	148	
3558	24	61	4	64	74	25	23	ST-1034 complex
3559	2	56	1	3	2	1	5	ST-21 complex
3560	7	4	2	2	11	1	5	ST-48 complex
3561	9	17	5	2	11	12	6	ST-353 complex
3562	8	30	2	2	11	12	12	ST-354 complex
3563	66	39	30	82	188	47	17	ST-828 complex
3564	24	39	30	82	189	43	68	ST-828 complex
3565	33	39	30	79	189	44	74	
3566	33	176	65	79	104	85	17	
3567	33	124	30	82	189	47	74	
3568	33	39	30	140	112	56	17	ST-828 complex
3569	33	124	30	82	189	44	74	
3570	7	60	4	28	2	3	35	
3571	7	4	1	68	11	58	12	
3572	7	2	42	4	4	12	8	
3573	7	172	21	49	125	224	51	
3574	2	1	12	3	2	1	23	ST-21 complex
3575	24	25	2	2	89	120	6	ST-460 complex
3576	99	127	91	125	184	148	109	
3577	222	2	3	4	5	9	3	ST-42 complex
3578	180	194	2	213	19	231	147	
3579	7	4	27	68	11	1	6	
3580	223	251	216	282	359	293	102	
3581	192	295	216	332	359	293	102	
3582	61	2	15	18	2	9	47	
3583	1	282	3	4	5	9	3	ST-42 complex
3584	7	17	2	15	23	2	12	ST-443 complex
3585	2	75	4	48	11	4	1	ST-661 complex
3586	33	38	66	82	104	34	17	ST-828 complex
3587	7	28	4	18	17	34	12	ST-573 complex
3588	2	270	4	48	141	34	1	ST-661 complex
3589	2	4	2	4	19	3	1	ST-658 complex
3590	103	110	103	82	189	164	79	ST-1150 complex
3591	8	115	57	15	127	29	35	
3592	7	17	2	15	23	177	12	ST-443 complex
3593	6	5	2	2	3	3	2	
3594	7	112	5	2	167	336	6	ST-353 complex
3595	2	112	1	2	7	1	5	ST-48 complex
3596	12	6	61	147	261	180	3	
3597	2	2	2	3	2	3	5	ST-21 complex
3598	1	6	137	176	423	32	3	ST-179 complex
3599	2	173	1	3	2	1	6	ST-21 complex
3600	2	292	29	250	303	25	35	
3601	2	222	29	250	2	25	35	
3602	2	2	29	250	2	25	35	
3603	7	1	5	2	167	67	6	ST-353 complex
3604	2	4	1	2	7	309	5	ST-48 complex
3605	2	222	29	250	417	25	35	
3606	55	21	2	71	11	37	6	
3607	2	1	4	28	58	25	5	ST-1332 complex
3608	22	7	4	28	141	25	23	
3609	2	4	12	2	7	1	5	ST-48 complex
3610	2	1	5	88	2	11	5	ST-21 complex
3611	9	2	5	333	11	3	1	ST-607 complex
3612	224	38	44	82	118	85	36	
3613	4	296	10	4	1	7	1	ST-45 complex
3614	33	39	30	79	19	62	5	
3615	33	39	252	79	104	35	17	ST-828 complex
3616	226	39	30	82	189	43	68	ST-828 complex
3617	33	304	30	82	113	47	17	ST-828 complex
3618	225	39	30	79	189	44	74	
3619	8	2	5	68	11	338	1	ST-607 complex
3620	1	302	3	4	5	9	3	ST-42 complex
3621	2	298	42	2	2	1	5	ST-21 complex
3622	4	299	10	4	1	7	1	ST-45 complex
3623	8	2	5	336	11	3	1	ST-607 complex
3624	7	17	250	15	23	3	12	ST-443 complex
3625	230	7	10	4	1	7	1	ST-45 complex
3626	2	1	251	3	2	1	5	ST-21 complex
3627	7	2	5	72	2	342	6	
3628	7	17	2	337	23	3	12	ST-443 complex
3629	228	33	22	49	43	82	31	ST-1275 complex
3630	9	2	42	4	11	9	253	
3631	2	28	4	28	426	60	35	
3632	91	2	42	4	169	25	8	
3633	2	1	1	5	2	343	5	ST-21 complex
3634	87	39	30	81	189	44	74	
3635	103	110	103	82	188	164	79	ST-1150 complex
3636	87	39	30	82	189	44	17	ST-828 complex
3637	102	123	102	100	134	103	16	
3638	175	6	216	282	261	346	3	
3639	27	305	22	49	43	9	31	ST-1275 complex
3640	1	6	5	4	261	7	3	
3641	81	7	10	4	1	7	1	ST-45 complex
3642	10	31	63	129	101	9	49	
3643	27	22	31	18	178	86	16	
3644	7	4	27	68	11	3	6	
3645	9	2	4	62	10	5	17	ST-257 complex
3646	8	2	1	53	11	3	1	ST-607 complex
3647	9	25	2	10	431	3	6	ST-52 complex
3648	2	195	1	3	2	1	5	ST-21 complex
3649	220	7	41	4	42	7	1	ST-45 complex
3650	4	7	41	4	1	7	1	ST-45 complex
3651	2	294	1	3	2	1	5	ST-21 complex
3652	1	3	6	331	3	75	3	ST-22 complex
3653	7	1	2	298	2	3	6	
3654	221	1	5	2	11	1	26	
3655	1	6	5	282	261	7	3	
3656	175	251	216	282	359	293	3	
3657	27	33	22	104	134	7	31	ST-1275 complex
3658	1	295	216	282	359	293	102	
3659	37	52	57	26	127	29	1	ST-692 complex
3660	192	295	216	282	359	293	102	
3661	27	33	22	49	134	7	31	ST-1275 complex
3662	27	33	22	49	43	110	31	ST-1275 complex
3663	175	6	216	282	261	7	3	
3664	37	52	4	26	127	29	23	ST-692 complex
3665	2	4	5	2	87	1	5	ST-48 complex
3666	1	4	2	3	432	3	17	ST-61 complex
3667	7	110	103	140	188	164	79	ST-1150 complex
3668	87	39	30	79	189	35	17	
3669	87	110	30	82	189	44	74	
3670	2	33	61	104	134	86	51	
3671	130	155	34	113	39	88	31	
3672	236	306	254	339	433	349	255	
3673	175	6	216	4	434	7	3	
3674	27	33	22	49	43	350	31	ST-1275 complex
3675	237	2	254	340	435	349	256	
3676	1	307	3	4	5	9	3	ST-42 complex
3677	27	33	22	49	43	351	31	ST-1275 complex
3678	2	59	4	48	131	352	57	
3679	33	39	30	79	104	47	36	ST-828 complex
3680	33	39	65	79	104	85	36	
3681	7	4	5	2	428	1	5	ST-48 complex
3682	2	1	21	3	189	1	5	ST-21 complex
3683	4	7	40	4	42	341	1	ST-283 complex
3684	2	300	1	3	2	1	5	ST-21 complex
3685	2	1	1	62	7	47	12	
3686	4	7	40	4	42	339	1	ST-283 complex
3687	229	17	2	15	427	3	252	ST-443 complex
3688	9	2	2	10	10	3	254	ST-52 complex
3689	231	2	1	2	10	3	1	ST-464 complex
3690	14	17	1	2	2	344	6	
3691	2	4	2	4	425	3	6	ST-658 complex
3692	9	2	249	62	4	5	6	ST-257 complex
3693	2	1	3	3	2	1	5	ST-21 complex
3694	2	2	1	2	7	1	5	ST-48 complex
3695	7	2	12	2	11	3	6	ST-353 complex
3696	9	17	5	10	11	3	6	ST-353 complex
3697	7	17	12	2	10	1	6	ST-353 complex
3698	33	39	30	82	253	47	41	ST-828 complex
3699	53	38	44	82	118	47	36	
3700	119	39	44	82	118	35	36	
3701	33	157	30	82	113	47	17	ST-828 complex
3702	33	39	30	82	113	65	17	ST-828 complex
3703	33	39	30	140	104	47	41	ST-828 complex
3704	227	297	253	338	424	337	250	
3705	64	22	212	100	134	301	60	
3706	2	1	1	3	3	1	5	ST-21 complex
3707	2	15	4	105	126	24	23	
3708	7	1	52	83	2	3	6	
3709	2	1	12	121	2	1	5	ST-21 complex
3710	33	39	30	82	439	43	17	ST-828 complex
3711	1	2	4	62	4	5	17	ST-257 complex
3712	1	2	215	4	90	24	8	ST-362 complex
3713	2	1	12	3	11	1	6	ST-21 complex
3714	2	1	12	3	2	1	52	ST-21 complex
3715	2	1	12	3	357	1	5	ST-21 complex
3716	2	1	12	88	2	3	5	ST-21 complex
3717	2	1	21	3	62	1	5	ST-21 complex
3718	2	4	1	4	1	1	5	ST-48 complex
3719	2	4	12	2	2	1	5	ST-48 complex
3720	3	1	5	10	11	11	6	ST-49 complex
3721	8	10	149	2	1	12	6	ST-354 complex
3722	10	1	12	3	2	5	7	
3723	33	39	12	82	104	173	5	ST-828 complex
3724	33	39	149	2	104	12	6	
3725	37	1	57	26	107	29	35	ST-692 complex
3726	37	253	4	48	126	25	3	
3727	48	7	10	4	183	7	1	ST-45 complex
3728	166	2	1	10	17	3	1	
3729	33	310	103	82	113	64	41	
3730	4	7	256	4	1	7	1	ST-45 complex
3731	7	2	5	342	156	3	6	ST-353 complex
3732	2	309	1	2	7	1	5	ST-48 complex
3733	7	17	5	2	440	1	6	ST-353 complex
3734	7	17	5	2	441	3	6	ST-353 complex
3735	7	17	5	2	10	3	12	ST-353 complex
3736	7	311	5	2	11	67	6	ST-353 complex
3737	7	311	257	2	11	67	6	
3738	24	30	2	2	2	120	6	ST-460 complex
3739	7	4	5	68	11	1	6	
3740	7	4	5	68	11	1	257	
3741	234	10	2	2	67	12	6	ST-354 complex
3742	1	308	95	49	436	353	258	
3743	233	2	42	4	90	25	8	
3744	7	2	5	341	10	3	6	ST-353 complex
3745	24	30	255	2	89	59	6	ST-460 complex
3746	7	84	5	10	437	3	6	ST-353 complex
3747	124	39	30	79	438	47	17	
3748	235	2	42	62	11	9	8	ST-41 complex
3749	2	4	1	2	442	1	5	ST-48 complex
3750	7	53	2	10	11	7	3	ST-574 complex
3751	7	4	1	25	11	358	5	
3752	2	4	95	2	7	1	5	ST-48 complex
3753	33	176	30	82	104	43	17	ST-828 complex
3754	7	17	5	2	10	360	6	ST-353 complex
3755	64	33	22	344	122	17	16	
3756	27	2	22	104	115	86	31	
3757	2	1	1	3	444	1	5	ST-21 complex
3758	24	2	5	72	22	102	6	
3759	7	53	2	15	13	3	3	ST-574 complex
3760	33	39	30	79	104	47	139	ST-828 complex
3761	64	22	85	77	94	355	16	
3762	24	17	5	2	10	3	6	ST-353 complex
3763	2	4	52	93	14	3	6	ST-658 complex
3764	24	17	12	15	23	3	12	ST-443 complex
3765	160	84	2	10	11	3	5	ST-574 complex
3766	22	28	4	28	363	3	35	
3767	7	2	5	2	10	356	6	ST-353 complex
3768	4	312	10	4	42	25	1	ST-45 complex
3769	2	1	12	3	2	1	12	ST-21 complex
3770	188	313	1	2	89	5	6	
3771	3	1	5	17	445	11	6	ST-49 complex
3772	1	2	3	4	5	9	260	ST-42 complex
3773	2	4	1	93	11	3	259	
3774	15	22	77	98	138	320	16	ST-952 complex
3775	162	215	200	270	326	357	187	
3776	11	33	22	49	43	82	31	ST-1275 complex
3777	33	39	30	115	113	85	17	ST-828 complex
3778	9	2	42	4	11	361	253	
3779	55	21	27	10	14	37	6	
3780	2	15	4	3	15	25	35	
3781	18	17	5	10	11	3	6	ST-353 complex
3782	2	21	12	62	11	359	6	
3783	2	1	259	3	2	1	5	ST-21 complex
3784	8	315	2	2	11	12	6	ST-354 complex
3785	10	81	50	4	120	76	5	ST-677 complex
3786	2	17	21	3	2	1	5	ST-21 complex
3787	1	4	1	4	19	62	5	
3788	4	1	6	3	2	1	5	ST-21 complex
3789	18	22	30	345	1	7	47	
3790	238	106	29	28	74	161	87	ST-1287 complex
3791	48	7	10	346	1	7	1	ST-45 complex
3792	9	316	4	62	4	5	6	ST-257 complex
3793	1	4	2	2	446	3	17	ST-61 complex
3794	2	1	12	3	447	1	5	ST-21 complex
3795	10	1	16	19	448	5	7	ST-403 complex
3796	33	283	16	82	6	3	17	
3797	1	317	2	2	6	3	17	ST-61 complex
3798	239	27	16	19	10	5	7	ST-403 complex
3799	1	4	2	348	6	3	17	ST-61 complex
3800	175	6	5	282	261	7	262	
3801	175	318	216	282	359	293	102	
3802	4	319	10	4	1	7	1	ST-45 complex
3803	27	8	34	6	39	88	3	
3804	37	52	57	26	129	29	1	ST-692 complex
3805	4	7	260	4	1	7	1	ST-45 complex
3806	64	83	112	100	134	103	16	
3807	4	7	50	4	1	7	1	ST-45 complex
3808	84	106	29	28	1	1	35	ST-1287 complex
3809	2	1	2	3	19	68	6	ST-658 complex
3810	14	4	1	3	19	1	5	ST-21 complex
3811	7	17	79	2	10	3	6	ST-353 complex
3812	9	25	2	3	22	3	6	ST-52 complex
3813	33	39	30	174	113	47	17	ST-828 complex
3814	33	153	30	82	104	295	17	ST-828 complex
3815	33	160	44	82	118	43	36	
3816	33	39	30	82	104	173	17	ST-828 complex
3817	33	38	30	82	104	363	17	ST-828 complex
3818	33	39	30	82	104	35	263	ST-828 complex
3819	33	39	30	82	113	364	17	ST-828 complex
3820	86	86	86	319	419	362	75	
3821	136	273	189	314	420	126	76	
3822	86	314	239	330	418	129	261	
3823	86	314	239	330	418	129	156	
3824	135	188	69	113	276	126	152	
3825	128	274	233	347	421	208	235	
3826	89	86	236	198	398	209	157	
3827	33	39	167	113	265	219	67	
3828	209	189	86	124	422	244	153	
3829	81	86	87	113	270	209	152	
3830	81	39	69	113	276	43	152	
3831	2	1	52	89	2	1	5	ST-21 complex
3832	2	4	5	2	114	1	5	ST-48 complex
3833	67	2	42	2	3	40	3	
3834	1	4	2	2	42	3	17	ST-61 complex
3835	4	2	4	4	4	51	6	ST-257 complex
3836	4	7	10	87	42	7	1	ST-45 complex
3837	8	1	6	2	2	1	1	
3838	10	81	50	87	2	76	52	ST-677 complex
3839	129	39	30	82	113	56	17	ST-828 complex
3840	129	39	30	82	113	47	17	ST-828 complex
3841	129	39	65	82	104	365	17	ST-828 complex
3842	1	14	2	2	6	1	5	ST-61 complex
3843	79	15	4	48	360	25	23	
3844	33	283	44	82	189	44	1	
3845	1	6	216	282	261	346	3	
3846	1	6	5	332	261	293	3	
3847	2	1	12	9	2	1	25	ST-21 complex
3848	9	1	4	6	4	5	1	ST-257 complex
3849	4	44	10	1	1	7	1	ST-45 complex
3850	232	2	42	4	90	25	6	
3851	3	1	5	17	430	11	6	ST-49 complex
3852	8	2	2	2	11	345	6	ST-354 complex
3853	2	1	21	334	2	1	5	ST-21 complex
3854	7	2	5	2	74	3	6	ST-353 complex
3855	1	1	2	2	225	3	5	ST-61 complex
3856	2	21	1	2	7	1	5	ST-48 complex
3857	2	1	2	10	2	1	5	ST-21 complex
3858	33	38	30	79	104	64	17	ST-828 complex
3859	33	38	30	167	104	44	36	
3860	53	321	44	82	104	35	36	
3861	33	38	30	78	104	44	36	
3862	33	322	30	173	104	35	68	
3863	22	172	4	64	74	25	23	ST-1034 complex
3864	2	59	84	105	126	25	23	
3865	17	5	10	5	8	2	4	ST-177 complex
3866	33	153	30	78	104	43	17	ST-828 complex
3867	33	110	103	350	188	368	265	
3868	33	176	30	82	451	43	17	ST-828 complex
3869	33	39	261	79	104	64	17	ST-828 complex
3870	33	39	30	79	452	43	17	ST-828 complex
3871	33	39	30	140	189	43	41	ST-828 complex
3872	33	39	103	82	104	324	41	ST-828 complex
3873	241	39	262	82	113	56	17	
3874	8	10	2	2	23	3	12	ST-354 complex
3875	2	1	1	3	5	9	3	ST-21 complex
3876	7	2	52	2	10	48	6	ST-353 complex
3877	2	1	1	15	2	1	5	ST-21 complex
3878	73	266	2	10	86	3	6	ST-52 complex
3879	7	17	5	2	10	67	6	ST-353 complex
3880	1	2	3	53	5	9	3	ST-42 complex
3881	9	33	2	2	89	59	6	ST-460 complex
3882	24	33	2	2	89	59	6	ST-460 complex
3883	4	7	10	53	1	3	1	ST-45 complex
3884	4	7	40	4	10	51	1	ST-283 complex
3885	2	84	5	64	119	178	26	
3886	22	1	4	4	58	25	58	ST-1332 complex
3887	4	7	10	4	381	7	1	ST-45 complex
3888	7	2	5	2	156	3	12	ST-353 complex
3889	1	6	137	176	40	32	3	ST-179 complex
3890	18	22	20	104	205	94	6	
3891	2	33	4	48	13	25	23	ST-1034 complex
3892	1	3	6	3	3	3	3	ST-22 complex
3893	2	4	2	2	7	51	5	ST-48 complex
3894	10	4	2	3	6	3	17	ST-61 complex
3895	7	17	5	2	149	34	6	ST-353 complex
3896	7	2	2	10	10	37	1	ST-464 complex
3897	7	17	2	2	11	3	1	ST-353 complex
3898	7	320	2	2	10	3	6	ST-353 complex
3899	33	39	66	82	5	9	3	
3900	1	6	29	2	449	32	3	ST-179 complex
3901	33	39	30	79	450	85	17	ST-828 complex
3902	33	39	30	78	113	85	17	ST-828 complex
3903	240	22	164	111	116	366	264	
3904	1	7	10	349	261	7	1	ST-45 complex
3905	4	7	10	4	1	7	23	ST-45 complex
3906	24	2	2	2	156	3	1	ST-464 complex
3907	2	17	5	3	104	1	5	ST-21 complex
3908	7	2	52	2	10	3	6	ST-353 complex
3909	7	2	6	10	2	37	1	
3910	7	4	52	2	11	3	5	
3911	7	17	1	2	86	3	1	ST-353 complex
3912	7	17	1	2	86	3	50	ST-353 complex
3913	8	2	2	212	23	100	147	
3914	9	17	52	10	89	3	6	ST-52 complex
3915	9	17	2	10	11	3	6	ST-52 complex
3916	9	2	4	62	4	37	6	ST-257 complex
3917	9	114	52	10	23	3	3	
3918	9	2	2	2	156	3	1	ST-464 complex
3919	24	30	2	2	11	59	6	ST-460 complex
3920	24	17	2	2	2	3	6	ST-353 complex
3921	33	39	2	82	104	3	6	ST-828 complex
3922	37	15	4	10	127	25	57	
3923	2	61	120	38	40	34	35	
3924	14	2	2	10	11	3	6	ST-52 complex
3925	27	99	22	356	43	375	31	ST-1275 complex
3926	2	2	12	3	2	1	5	ST-21 complex
3927	14	17	5	10	350	3	3	
3928	7	10	2	10	11	12	6	ST-354 complex
3929	2	61	2	133	74	80	23	ST-1034 complex
3930	7	78	42	4	11	12	8	
3931	166	2	1	10	11	12	1	
3932	1	3	6	266	3	75	3	ST-22 complex
3933	10	81	268	87	120	76	52	ST-677 complex
3934	4	7	10	360	1	7	1	ST-45 complex
3935	64	22	22	97	134	301	16	
3936	1	4	267	2	6	3	17	ST-61 complex
3937	2	1	1	359	2	1	5	ST-21 complex
3938	64	22	68	97	134	301	16	
