ST	aspA	atpA	glnA	gltA	glyA	pgm	tkt	clonal_complex
820	216	141	26	48	638	246	317	
821	368	15	186	48	638	74	86	
822	376	151	46	55	770	38	50	
823	378	141	26	48	169	43	324	
824	379	260	26	144	169	420	32	
825	380	62	26	240	767	97	329	
826	381	33	26	241	117	417	50	
827	381	158	227	248	109	418	79	
828	382	15	186	48	638	74	86	
829	383	261	26	48	773	418	56	
830	384	141	26	48	375	43	324	
831	385	64	26	40	776	423	333	
832	20	34	9	5	778	239	2	
833	39	7	19	2	53	52	31	
