ST	gdh	gyd	pstS	gki	aroE	xpt	yqiL	clonal_complex
823	4	6	7	4	8	1	20	
824	19	1	1	32	6	2	23	
825	81	1	1	3	7	7	23	
826	17	17	1	3	14	10	1	
827	19	7	9	1	19	10	14	
828	4	2	1	3	14	14	1	
829	11	6	4	95	11	13	34	
830	29	5	7	21	1	1	17	
831	4	4	8	3	8	7	6	
832	4	4	3	3	8	1	3	
833	9	6	4	49	11	4	61	
834	14	1	18	22	16	1	12	
835	2	2	15	5	1	1	48	
836	18	1	93	24	83	47	92	
837	18	1	24	24	20	85	15	
838	17	2	22	1	14	58	93	
839	34	2	17	37	29	24	6	
840	96	2	19	16	17	15	11	
841	12	6	94	29	7	10	20	
842	3	6	23	12	96	10	7	
843	3	6	11	72	78	20	22	
844	64	36	36	68	92	25	30	
845	9	6	6	33	13	11	8	
846	1	1	22	22	7	17	69	
847	12	4	46	3	8	31	47	
848	27	2	16	28	26	49	1	
849	9	7	3	2	6	1	8	
850	12	7	3	7	97	1	5	
851	8	7	7	5	98	4	94	
852	56	8	12	96	99	86	13	
853	97	2	30	85	89	22	26	
854	1	7	20	97	1	1	1	
855	18	1	93	98	83	47	92	
856	1	7	92	3	14	2	1	
857	1	7	10	1	1	87	1	
858	17	2	95	3	14	14	1	
859	12	6	37	29	39	1	11	
860	17	7	96	4	10	20	1	
861	8	1	24	9	4	70	1	
862	14	7	30	3	39	2	22	
863	15	2	84	54	17	15	11	
864	12	5	30	5	95	20	90	
865	5	1	1	100	7	7	6	
866	5	6	27	11	6	2	72	
867	4	4	8	3	8	7	3	
868	5	1	18	28	39	80	19	
869	12	1	32	31	6	20	5	
870	5	1	97	3	7	7	6	
871	69	1	70	70	16	24	12	
872	56	8	12	8	40	6	13	
873	41	6	15	33	63	22	32	
874	5	1	1	3	7	1	95	
875	12	6	17	17	3	2	5	
876	12	1	32	6	4	2	28	
877	56	1	3	102	6	15	96	
878	34	2	17	37	29	23	17	
879	3	7	3	7	6	1	5	
880	69	1	7	12	73	1	1	
881	5	1	1	3	100	7	6	
882	4	4	8	99	8	1	3	
883	56	1	49	8	25	1	14	
884	98	1	24	101	19	17	15	
885	12	7	35	17	6	2	5	
886	12	2	98	51	6	88	5	
887	5	1	24	3	7	2	6	
888	12	1	32	31	8	20	5	
889	9	6	22	49	7	15	6	
890	1	7	22	22	4	4	6	
891	5	7	3	2	6	1	6	
892	5	7	7	5	4	4	6	
893	27	8	16	103	26	2	1	
894	1	1	92	3	14	17	1	
895	5	1	22	22	7	17	6	
896	19	37	14	22	19	2	14	
897	17	2	1	1	14	14	1	
898	14	2	9	57	16	35	12	
899	63	1	67	11	23	1	68	
900	17	6	67	11	19	1	68	
901	14	2	18	57	16	35	12	
902	1	5	77	1	1	13	1	
903	98	2	93	24	3	17	27	
904	27	12	1	32	6	2	12	
905	14	2	18	10	16	2	23	
906	14	2	18	72	16	52	12	
907	14	2	1	10	16	2	12	
908	20	6	17	15	15	2	12	
909	17	2	1	3	14	14	5	
910	20	1	14	32	6	1	5	
911	8	1	22	22	4	17	1	
912	9	1	49	83	25	15	5	
913	8	7	9	5	4	4	22	
914	9	1	49	83	25	15	1	
915	39	2	49	45	7	2	17	
916	12	7	99	32	1	78	1	
917	14	2	18	10	16	7	12	
918	27	2	16	3	26	2	1	
919	17	4	8	3	14	1	1	
920	14	2	15	45	4	38	3	
921	14	2	15	45	3	38	3	
922	25	2	7	10	23	18	26	
923	61	39	51	53	103	90	50	
924	3	7	3	32	9	26	31	
925	5	1	1	3	7	7	1	
926	2	7	11	3	3	14	2	
927	3	6	23	12	32	10	7	
928	15	2	2	3	3	14	11	
929	27	2	16	28	17	2	1	
930	13	2	37	14	10	9	72	
931	38	7	34	39	11	27	66	
932	12	1	17	6	4	14	28	
933	14	2	18	10	16	2	97	
934	5	1	1	3	7	7	98	
935	12	7	3	11	6	89	5	
936	12	1	32	6	4	14	99	
937	2	7	13	11	3	20	2	
938	20	38	45	6	44	20	2	
939	14	2	18	51	102	38	19	
940	1	1	100	104	1	2	1	
941	9	5	7	16	11	11	8	
942	14	7	9	1	1	10	1	
943	15	2	102	46	17	15	11	
944	27	1	16	1	27	20	23	
945	4	4	8	3	2	7	3	
946	12	4	22	1	14	14	1	
947	17	4	22	1	14	14	1	
948	27	1	37	28	27	1	17	
949	1	7	9	24	1	45	1	
950	99	2	30	3	21	1	7	
951	12	7	30	17	1	91	20	
952	4	6	16	4	9	1	7	
953	60	8	11	33	6	2	100	
954	5	2	30	32	27	20	3	
955	15	40	33	54	76	92	11	
956	100	2	37	47	17	15	11	
957	30	6	98	6	1	20	20	
958	5	1	1	3	7	97	6	
959	87	2	1	3	14	14	1	
960	1	42	9	1	1	10	1	
961	2	1	72	8	52	37	14	
962	2	1	72	8	52	6	14	
963	42	7	43	52	39	24	41	
964	12	2	3	32	1	78	1	
965	17	4	8	3	14	21	1	
966	4	4	8	3	8	21	3	
967	87	2	1	3	14	93	1	
968	17	2	1	3	14	70	1	
969	17	2	1	80	14	70	1	
970	5	7	1	11	7	4	6	
971	14	7	35	3	10	1	1	
972	14	2	15	105	16	18	12	
973	12	7	16	17	6	2	5	
974	27	1	1	32	6	98	23	
975	5	1	1	3	19	7	6	
976	98	2	31	54	75	45	30	
977	33	7	27	31	31	24	101	
978	11	6	8	33	1	38	10	
979	14	1	98	5	21	20	21	
980	9	7	6	13	6	27	8	
981	14	6	6	17	11	18	5	
982	5	1	22	22	7	7	6	
983	1	7	69	1	1	94	1	
984	12	2	3	11	6	2	5	
985	5	1	1	3	19	1	6	
986	14	2	18	10	16	1	102	
987	56	8	12	8	29	6	96	
988	1	41	22	22	7	17	6	
989	12	2	30	1	78	1	21	
990	81	1	32	6	4	14	28	
991	50	1	1	3	21	7	2	
992	14	1	25	106	25	19	19	
993	5	1	1	3	7	7	103	
994	14	7	3	17	6	18	5	
995	17	2	1	57	14	35	1	
996	89	6	7	25	24	95	17	
997	17	6	96	24	10	20	1	
998	17	7	96	24	10	20	1	
999	101	6	3	5	6	20	54	
1000	102	1	18	28	39	80	19	
1001	23	6	7	25	24	96	17	
1002	14	6	45	6	44	20	55	
1003	27	1	1	32	41	2	23	
1004	5	6	27	11	104	2	72	
1005	27	7	7	10	26	2	7	
1006	5	1	1	3	105	99	6	
1007	3	1	11	12	9	14	6	
1008	15	10	37	54	3	15	11	
1009	12	6	28	29	106	1	20	
1010	17	2	1	3	14	68	1	
1011	12	7	3	2	32	1	31	
1012	95	6	12	93	40	15	91	
1013	92	1	3	22	6	17	4	
1014	56	2	1	3	14	14	1	
1015	53	6	23	12	9	10	7	
1016	42	1	18	28	39	80	19	
1017	39	2	49	45	100	2	17	
1018	34	19	1	22	39	45	18	
1019	27	2	3	32	50	2	23	
1020	27	2	3	32	50	39	23	
1021	27	2	16	3	7	7	6	
1022	17	2	1	3	14	1	1	
1023	17	2	1	3	14	31	1	
1024	17	1	1	3	14	17	1	
1025	17	8	31	8	40	6	13	
1026	14	24	18	22	16	17	12	
1027	14	6	7	42	13	35	99	
1028	14	2	14	11	50	1	17	
1029	12	1	3	22	6	17	4	
1030	12	1	3	22	25	2	4	
1031	12	2	18	10	16	1	12	
1032	92	2	3	32	50	2	23	
1033	10	1	51	24	49	12	50	
1034	6	10	11	17	4	2	46	
1035	5	23	1	3	100	7	69	
1036	3	1	1	12	7	14	69	
1037	11	6	4	51	11	13	34	
1038	14	1	3	22	16	17	12	
1039	3	1	1	12	7	14	6	
1040	16	6	7	42	13	35	28	
1041	3	7	11	1	23	12	2	
1042	3	2	49	45	7	2	17	
1043	39	7	9	5	4	4	1	
1044	4	1	1	12	7	14	6	
1045	47	6	11	45	4	20	28	
1046	14	2	7	11	50	1	17	
1047	12	1	22	22	7	17	6	
1048	27	2	1	32	50	2	23	
1049	17	24	1	3	14	14	1	
1050	38	10	85	17	10	2	1	
1051	17	27	1	3	14	84	46	
1052	4	1	1	3	7	7	6	
1053	17	2	1	3	14	100	1	
1054	5	1	1	3	107	1	6	
1055	9	6	4	49	11	18	61	
1056	1	2	12	8	1	16	1	
1057	3	7	23	1	9	6	7	
1058	1	1	22	22	106	17	6	
1059	3	1	1	12	106	14	6	
1060	4	7	9	1	1	1	1	
1061	5	1	1	3	106	7	6	
1062	5	4	1	3	7	1	6	
1063	8	7	18	5	73	4	1	
1064	14	2	18	10	16	50	12	
1065	14	6	32	5	21	1	12	
1066	17	7	7	4	4	4	1	
1067	17	2	18	10	16	1	12	
1068	27	2	3	32	50	1	23	
1069	39	1	22	22	106	17	6	
1070	2	3	7	39	23	2	2	
1071	9	6	4	49	11	15	10	
1072	18	1	93	22	83	47	92	
1073	92	11	43	52	39	1	41	
1074	5	1	56	52	7	7	6	
1075	92	11	6	70	11	32	2	
1076	20	1	1	3	6	1	5	
1077	5	1	14	32	7	7	6	
1078	29	2	32	5	74	1	17	
1079	103	1	103	107	108	1	8	
1080	34	28	17	22	29	23	17	
1081	20	2	14	20	6	21	5	
1082	17	2	1	3	78	1	1	
1083	17	2	30	3	14	14	1	
1084	17	6	11	72	78	20	22	
1085	14	6	11	72	78	20	22	
1086	14	2	18	22	16	17	12	
1087	14	2	30	13	37	22	32	
1088	12	7	7	4	4	4	1	
1089	8	10	1	12	7	14	6	
1090	8	10	11	17	4	2	1	
1091	5	6	11	72	78	20	22	
1092	3	1	1	3	7	7	6	
1093	3	2	1	3	14	1	1	
1094	2	2	1	3	14	1	1	
1095	8	1	1	12	7	14	6	
1096	12	1	16	22	6	17	4	
1097	39	2	49	45	106	2	17	
1098	39	6	11	45	4	20	28	
1099	17	7	29	30	27	1	1	
1100	45	2	33	52	3	15	11	
1101	14	2	18	10	19	1	12	
1102	1	2	16	28	26	2	1	
1103	1	7	9	1	1	1	2	
1104	17	7	9	5	4	4	1	
1105	12	2	18	10	16	2	12	
1106	63	6	4	16	11	13	61	
1107	101	2	3	5	6	20	54	
1108	59	5	78	53	109	101	79	
1109	3	1	11	22	9	14	7	
1110	104	6	7	29	8	1	20	
1111	5	1	1	3	106	1	6	
1112	9	7	3	2	6	1	5	
1113	105	2	18	4	1	69	56	
1114	14	2	16	108	110	24	2	
1115	5	1	1	3	7	2	6	
1116	1	1	104	22	7	17	6	
1117	1	2	105	8	1	6	1	
1118	27	2	30	5	95	22	90	
1119	14	2	7	3	10	1	1	
1120	2	7	13	11	3	4	2	
1121	12	1	18	28	27	80	5	
1122	17	3	29	30	27	1	9	
1123	14	1	3	22	6	17	4	
1124	40	4	1	3	14	7	1	
1125	40	2	103	25	3	15	11	
1126	5	1	1	3	7	14	6	
1127	34	28	17	37	29	23	97	
1128	27	40	29	32	50	100	23	
1129	27	17	101	89	50	82	23	
1130	9	6	41	42	13	32	38	
1131	3	1	16	1	1	1	58	
1132	27	40	13	89	50	54	23	
1133	27	17	13	84	92	101	23	
1134	27	17	101	107	92	54	26	
1135	27	17	1	84	50	82	95	
1136	17	2	3	1	14	10	1	
1137	4	6	16	4	53	1	4	
1138	27	1	40	32	32	26	31	
1139	27	40	1	84	75	62	95	
1140	14	5	29	107	95	22	104	
1141	27	40	1	89	50	80	23	
1142	30	6	31	33	11	22	8	
1143	27	1	30	32	6	2	23	
1144	27	1	30	32	6	100	23	
1145	27	2	1	32	50	97	23	
1146	14	2	15	45	111	38	104	
1147	27	2	1	32	50	2	32	
1148	24	1	30	32	6	2	23	
1149	17	2	1	3	14	17	1	
1150	12	1	3	22	7	17	6	
1151	12	1	3	22	106	17	6	
1152	1	1	1	6	7	10	6	
1153	5	17	3	3	50	81	103	
1154	5	33	1	3	106	70	6	
1155	5	3	1	3	106	1	6	
1156	3	1	11	108	9	14	7	
1157	1	1	22	22	7	38	6	
1158	8	1	1	3	7	1	6	
1159	12	7	3	57	1	35	1	
1160	15	9	33	2	3	70	11	
1161	19	1	24	22	7	17	14	
1162	22	7	7	26	22	10	1	
1163	106	1	1	3	7	7	6	
1164	12	7	7	12	73	1	46	
1165	12	7	7	12	112	1	1	
1166	17	2	1	3	113	14	1	
1167	107	2	93	24	3	102	105	
1168	15	2	102	46	14	15	1	
1169	20	6	17	109	15	2	5	
1170	6	43	11	17	4	2	1	
1171	15	6	33	2	3	49	11	
1172	8	7	1	5	4	4	1	
1173	14	1	22	22	16	17	12	
1174	17	6	7	1	8	14	1	
1175	17	10	1	17	14	2	1	
1176	17	1	1	22	14	17	1	
1177	14	7	18	10	16	2	12	
1178	14	2	77	10	16	2	12	
1179	8	1	22	22	114	17	6	
1180	4	7	11	1	115	12	2	
1181	108	8	106	110	21	6	106	
1182	4	6	56	29	7	1	107	
1183	12	7	3	32	116	78	1	
1184	9	6	4	49	11	103	61	
1185	15	40	33	54	76	15	11	
1186	109	8	11	33	6	2	14	
1187	56	1	3	102	6	2	96	
1188	9	6	6	13	11	27	108	
1189	68	1	70	72	1	63	31	
1190	110	1	3	32	6	1	5	
1191	22	2	30	17	117	104	20	
1192	8	7	17	4	73	4	1	
1193	5	1	30	3	7	7	6	
1194	5	1	30	3	106	7	6	
1195	5	2	18	10	16	1	12	
1196	14	1	30	3	106	7	6	
1197	5	2	17	10	10	2	7	
1198	3	2	18	10	16	1	12	
1199	8	1	30	3	7	7	6	
1200	27	2	30	32	50	39	23	
1201	17	2	1	48	14	14	1	
1202	27	2	16	32	50	39	23	
1203	27	7	18	1	1	2	1	
1204	1	1	30	3	7	7	6	
1205	5	2	16	3	50	7	6	
1206	5	2	7	10	10	2	7	
1207	3	2	17	10	10	39	7	
1208	3	2	17	10	10	2	7	
1209	3	2	3	32	50	39	7	
1210	17	2	3	32	50	2	23	
1211	27	2	1	3	14	14	1	
1212	4	1	22	22	106	17	6	
1213	27	24	3	32	50	2	23	
1214	44	1	22	22	7	17	6	
1215	27	2	3	32	50	4	1	
1216	8	7	9	5	4	2	23	
1217	34	1	3	22	6	17	4	
1218	14	28	17	37	29	23	17	
1219	8	2	17	1	3	3	17	
1220	12	7	9	5	4	4	1	
1221	34	2	18	10	16	1	12	
1222	8	1	3	22	7	17	6	
1223	14	2	14	11	50	38	17	
1224	27	2	3	35	50	2	23	
1225	17	2	1	3	14	1	14	
1226	3	2	11	72	78	20	22	
1227	1	7	7	5	4	14	1	
1228	11	4	5	16	11	13	10	
1229	17	2	49	45	106	2	17	
1230	14	6	7	36	13	35	28	
1231	5	2	30	17	14	14	1	
1232	3	29	11	12	9	14	6	
1233	27	24	1	32	50	2	23	
1234	3	35	11	12	9	14	6	
1235	3	36	11	12	9	14	6	
1236	111	1	107	111	118	105	109	
1237	4	2	11	5	35	4	4	
1238	112	2	1	3	14	14	1	
1239	4	6	17	17	3	2	70	
1240	12	2	3	5	6	34	110	
1241	34	2	17	37	29	23	1	
1242	15	2	84	54	17	106	11	
1243	27	44	1	32	6	2	23	
1244	4	4	8	3	119	1	3	
1245	5	1	1	3	7	1	111	
1246	5	1	108	3	7	7	6	
1247	1	45	9	1	1	1	1	
1248	58	1	3	32	120	1	5	
1249	5	1	109	3	7	7	6	
1250	14	1	18	10	16	2	12	
1251	12	6	7	10	20	1	34	
1252	18	1	24	10	83	70	15	
1253	4	2	15	9	115	18	2	
1254	20	2	14	32	6	1	5	
1255	4	6	7	28	8	1	20	
1256	14	1	3	1	19	1	14	
1257	4	7	9	1	2	1	3	
1258	12	7	110	7	6	1	5	
1259	3	1	22	22	7	17	6	
1260	1	1	22	22	7	7	6	
1261	81	1	1	3	7	7	6	
1262	17	4	22	1	14	1	1	
1263	64	46	36	68	30	25	30	
1264	95	2	111	112	3	107	112	
1265	12	32	3	17	6	2	72	
1266	14	1	30	32	10	20	113	
1267	113	2	84	54	17	108	11	
1268	68	6	27	31	6	24	9	
1269	114	7	3	7	6	1	5	
1270	34	2	112	37	29	23	6	
1271	15	2	3	2	3	1	11	
1272	27	7	113	21	9	4	1	
1273	120	7	69	1	1	10	1	
1274	115	1	18	57	3	35	53	
1275	1	2	15	5	17	27	104	
1276	9	6	114	13	13	11	8	
1277	10	1	11	6	5	1	114	
1278	5	1	1	113	7	7	6	
1279	116	47	115	53	109	109	115	
1280	11	6	50	33	1	38	116	
1281	117	1	1	3	7	7	6	
1282	27	2	16	28	121	2	1	
1283	12	5	30	5	3	20	12	
1284	118	1	3	22	19	1	14	
1285	12	6	53	17	55	47	3	
1286	119	6	5	14	10	9	5	
1287	15	1	24	2	83	70	11	
1288	15	2	19	16	17	15	11	
