ST	atpA	ddl	gdh	purK	gyd	pstS	adk	clonal_complex
760	7	5	1	1	5	20	1	
761	70	1	1	1	12	1	1	CC17
762	52	1	1	1	1	20	1	CC17
763	7	5	1	18	5	1	3	
764	1	1	1	1	1	1	18	CC17
765	47	1	34	1	19	1	18	
766	1	58	1	1	1	1	1	CC17
767	1	6	1	1	1	1	1	CC17
768	15	1	1	44	12	1	1	CC17
769	9	5	1	1	12	1	1	CC17
770	3	1	1	1	5	1	1	CC17
771	5	2	1	11	2	1	5	
772	15	1	1	44	1	1	1	CC17
773	13	8	52	17	6	10	6	CC94
774	5	1	1	1	1	1	20	CC17
775	7	3	1	6	5	7	1	
776	13	8	8	8	11	1	1	CC94
777	15	1	1	1	1	3	1	CC17
778	15	1	1	1	12	7	1	CC17
779	3	1	1	2	1	1	1	CC17
780	9	1	1	1	1	7	1	CC17
781	13	1	1	1	1	1	1	CC17
782	1	5	1	1	1	10	3	CC17
783	1	1	3	5	1	1	1	CC17
784	2	3	1	67	1	30	25	
785	2	3	1	67	1	86	1	
786	9	1	1	44	1	20	1	CC17
787	9	1	1	1	12	7	1	CC17
788	6	8	4	4	3	3	27	
789	1	1	1	1	12	1	1	CC17
790	15	1	1	12	12	1	1	CC17
791	9	1	1	1	12	87	1	CC17
792	1	3	1	44	1	1	28	CC17
793	71	5	1	1	1	20	1	CC17
794	15	3	1	66	1	1	1	CC17
795	9	59	1	1	1	1	1	CC17
796	4	1	1	1	1	20	1	CC17
797	12	9	6	3	1	19	1	
798	5	13	18	17	8	19	6	
799	13	8	8	8	40	27	6	CC94
800	13	8	8	8	6	88	6	CC94
801	70	27	1	1	12	1	1	CC17
802	7	1	1	44	14	1	1	CC17
803	1	1	1	1	1	57	1	CC17
804	7	5	1	1	1	1	3	CC17
805	7	5	1	1	14	1	18	
806	7	1	1	1	14	1	1	CC17
807	7	1	1	1	38	1	1	CC17
808	5	21	52	17	6	41	6	
809	15	3	9	17	8	49	6	
810	13	8	8	8	1	27	1	CC94
811	9	1	1	12	1	1	1	CC17
812	6	6	4	4	3	3	27	
813	6	6	4	4	3	3	1	
814	6	6	4	4	3	73	27	
815	6	6	4	4	5	3	27	
816	1	8	14	22	1	1	6	
817	9	1	1	1	12	1	3	CC17
818	2	7	1	1	1	80	1	CC17
819	19	8	52	33	10	6	6	
820	5	7	5	7	1	1	1	
821	11	13	18	17	10	89	6	
822	4	5	1	3	1	7	1	
823	13	8	19	8	14	10	6	CC94
824	13	13	9	17	6	19	6	
825	13	8	8	68	6	10	6	CC94
826	14	4	61	6	1	1	5	
827	15	7	50	2	1	70	1	
828	9	60	1	2	25	1	1	
829	19	13	8	17	10	9	6	
830	11	61	8	8	10	10	6	CC94
831	26	3	62	3	1	1	1	
832	60	3	1	2	2	1	1	
833	5	7	5	7	41	90	1	
834	11	8	8	17	10	19	6	
835	7	1	1	69	5	7	1	
836	7	1	1	69	5	20	1	
837	52	5	1	1	1	1	3	CC17
838	15	8	8	8	1	10	6	CC94
839	2	1	1	2	1	59	1	CC17
840	9	2	13	6	22	7	1	
841	2	7	1	6	1	25	5	
842	5	3	6	6	1	16	1	
843	20	9	1	3	1	91	1	
844	15	2	1	1	1	11	1	CC17
845	25	2	1	3	10	1	5	
846	2	3	1	2	8	1	1	
847	15	5	6	6	1	55	1	
848	5	2	1	70	1	1	5	
849	13	3	1	2	1	1	1	CC17
850	9	2	1	71	1	1	5	
851	15	1	1	17	1	20	1	CC17
852	9	3	1	1	12	1	7	
853	13	13	8	8	11	19	6	CC94
854	13	8	8	8	11	27	6	CC94
855	36	8	8	8	10	27	6	CC94
856	15	1	1	1	1	1	3	CC17
857	7	1	1	3	5	1	1	CC17
858	45	43	22	44	16	20	18	
859	5	3	1	1	1	2	1	CC17
860	3	3	1	2	1	1	29	
861	15	62	1	1	1	1	1	CC17
862	72	13	9	33	10	19	6	
863	4	59	1	1	1	20	1	CC17
864	1	59	1	1	1	1	1	CC17
865	4	12	1	3	1	7	1	
866	13	8	58	72	6	27	6	CC94
867	3	7	3	73	1	1	1	
868	4	5	1	6	1	92	1	
869	15	1	1	6	1	7	1	CC17
870	25	8	14	22	10	19	11	
871	36	21	9	17	10	59	6	
872	9	1	1	1	12	6	1	CC17
873	5	4	1	3	1	1	5	
874	25	13	18	17	17	6	6	
875	15	1	1	22	1	20	6	
876	15	1	1	1	1	20	30	CC17
877	9	1	1	1	42	1	1	CC17
878	5	2	1	3	2	20	1	
879	36	8	10	8	17	10	6	CC94
880	43	5	1	1	12	93	1	
881	73	1	1	1	1	1	1	CC17
882	5	5	1	9	1	1	1	CC17
883	9	4	12	3	1	20	1	
884	5	63	1	1	1	1	1	CC17
885	4	3	1	6	1	20	1	
886	5	3	32	6	1	7	18	
887	2	2	1	3	1	1	1	CC17
888	2	4	1	9	43	1	10	
889	9	1	1	1	1	94	1	CC17
890	5	13	64	74	6	95	6	
891	10	8	9	17	17	46	6	
892	4	2	12	9	1	92	5	
893	7	3	1	1	5	1	3	
894	1	8	1	44	1	20	6	
895	1	24	1	44	1	1	1	CC17
896	15	2	1	44	1	20	1	
897	9	64	1	1	12	1	1	CC17
898	4	4	12	9	1	7	5	
899	2	3	1	46	1	60	1	
900	5	2	1	43	1	2	5	
901	9	2	12	9	1	7	5	
902	5	8	8	17	1	19	6	
903	11	13	9	17	10	61	24	
904	1	3	1	1	1	54	1	CC17
905	2	3	65	2	1	7	1	
906	1	2	6	6	1	7	9	
907	9	1	1	2	1	1	1	CC17
908	9	2	1	2	1	1	1	CC17
909	15	1	1	75	1	1	1	CC17
910	9	1	1	1	16	1	18	CC17
911	9	1	1	6	1	1	1	CC17
912	7	1	1	76	5	1	1	CC17
913	15	1	6	6	1	11	1	
914	74	1	32	1	19	1	1	CC17
915	5	2	13	6	1	1	1	
916	75	1	1	1	1	1	1	CC17
917	7	1	66	1	5	1	1	CC17
918	15	8	1	1	1	1	6	CC17
919	9	5	8	1	1	7	3	
920	1	5	1	1	1	96	1	CC17
921	59	12	1	1	1	1	1	CC17
922	15	5	1	1	1	20	3	
923	7	12	1	1	5	7	5	
924	7	3	1	6	5	7	18	
925	15	1	1	1	1	72	1	CC17
926	15	8	1	1	1	20	1	CC17
927	15	5	1	1	1	7	1	CC17
928	5	13	52	17	8	19	6	
929	5	9	6	3	8	26	1	
930	10	13	18	15	17	19	6	
931	11	8	18	17	10	19	6	
932	13	8	8	23	6	59	6	CC94
933	13	8	8	8	6	49	6	CC94
934	14	4	58	6	1	1	5	
935	15	3	6	1	1	7	1	
936	19	13	18	17	10	19	6	
937	3	25	1	11	1	1	5	
938	3	3	1	2	25	1	1	
939	3	4	12	6	1	1	5	
940	4	5	1	1	1	20	1	CC17
941	5	13	18	17	8	26	6	
942	5	2	1	71	1	1	5	
943	5	25	1	11	1	10	5	
944	5	3	6	6	1	7	1	
945	5	8	52	17	2	19	6	
946	5	8	8	8	8	35	6	CC94
947	7	1	1	1	5	2	1	CC17
948	9	4	1	2	1	1	1	CC17
949	9	5	36	8	1	1	1	
950	9	6	4	4	1	1	2	
951	76	13	18	17	10	19	6	
952	4	2	12	6	1	1	5	
953	77	2	67	6	44	1	31	
954	77	2	67	6	44	16	31	
955	2	7	1	6	1	80	1	
956	4	5	5	3	1	1	1	
957	5	1	1	2	45	11	1	
958	15	1	1	2	1	2	1	CC17
959	5	3	6	6	1	20	1	
960	15	1	1	3	1	1	1	CC17
961	5	5	1	1	1	20	1	CC17
962	15	2	1	44	1	7	1	
963	15	2	1	44	1	11	1	
964	15	1	1	44	1	11	1	CC17
965	15	65	1	1	1	20	1	CC17
966	5	2	1	1	5	1	1	CC17
967	7	1	1	1	5	1	32	CC17
968	15	1	1	44	1	83	33	
969	1	1	1	44	1	7	1	CC17
970	5	2	1	6	1	16	1	
971	5	5	1	3	2	7	1	
972	15	5	1	1	1	7	6	
973	1	5	1	1	12	1	3	CC17
974	5	1	1	1	1	3	1	CC17
975	1	5	1	1	1	7	3	CC17
976	9	5	1	1	12	1	3	
977	9	8	1	8	1	10	8	
978	1	1	1	1	12	7	3	CC17
979	15	1	1	1	1	7	3	CC17
980	1	1	1	1	1	1	3	CC17
981	15	5	1	1	1	7	3	
982	9	66	1	1	1	1	1	CC17
983	9	44	1	1	1	1	1	CC17
984	9	1	68	1	1	1	1	CC17
985	9	2	1	3	1	14	5	
986	5	4	1	3	1	7	1	
987	15	1	1	1	5	11	1	CC17
988	1	1	1	1	12	7	1	CC17
989	7	1	1	1	5	33	1	CC17
990	1	7	1	1	1	1	1	CC17
991	15	5	1	47	1	1	1	CC17
992	9	1	1	1	12	20	1	CC17
993	5	1	13	2	1	1	1	CC17
994	78	8	8	8	6	10	6	CC94
995	8	4	1	9	1	1	5	
996	15	1	1	1	1	1	34	CC17
997	15	1	1	1	15	1	1	CC17
998	15	67	1	1	1	1	1	CC17
999	79	1	1	1	1	1	1	CC17
1000	1	3	32	1	14	1	23	
1001	15	59	1	1	1	20	1	CC17
1002	80	1	1	1	1	20	1	CC17
1003	1	1	1	1	1	1	31	CC17
1004	13	8	52	23	6	27	35	
1005	15	1	1	1	1	20	36	CC17
1006	3	3	1	2	1	1	37	
1007	9	3	1	2	12	1	1	
1008	5	3	6	6	1	97	1	
1009	4	3	1	2	1	92	1	
1010	4	68	1	6	1	7	1	
1011	9	5	1	9	1	19	1	
1012	9	1	1	77	1	1	1	CC17
1013	1	3	1	1	12	1	1	CC17
1014	15	1	1	1	1	61	1	CC17
1015	15	1	1	1	1	8	1	CC17
1016	7	4	1	6	5	33	1	
1017	5	5	12	12	1	1	1	
1018	5	3	69	1	1	1	1	CC17
1019	47	1	1	1	19	1	18	CC17
1020	5	69	12	78	1	1	1	
1021	1	1	1	1	1	10	1	CC17
1022	15	49	1	1	1	1	1	CC17
1023	5	1	1	53	2	7	1	
1024	74	1	33	1	14	10	18	
1025	13	8	9	17	6	10	6	CC94
1026	15	5	1	1	12	1	3	
1027	2	2	12	2	1	1	1	
1028	2	1	1	2	1	11	1	CC17
1029	9	3	1	1	5	1	1	CC17
1030	7	27	1	1	1	1	1	CC17
1031	9	33	36	8	2	49	6	
1032	9	1	1	44	12	1	1	CC17
1033	5	8	8	8	8	26	6	CC94
1034	9	4	12	9	1	7	5	
1035	25	4	10	6	10	73	5	
1036	11	13	9	17	10	19	6	
1037	3	3	70	2	1	1	1	
1038	1	1	1	1	1	1	38	CC17
1039	15	1	1	1	1	98	1	CC17
1040	7	3	71	1	5	1	1	
1041	13	71	8	23	6	10	6	CC94
1042	1	72	1	1	1	1	1	CC17
1043	7	73	1	1	5	1	1	CC17
1044	11	70	58	8	10	10	6	
1045	51	2	12	9	1	1	5	
1046	3	7	5	7	1	1	1	
1047	27	3	25	2	1	12	1	
1048	8	74	12	6	1	1	5	
1049	7	1	1	1	5	1	39	CC17
1050	1	1	1	1	46	1	1	CC17
1051	5	13	18	15	8	19	6	
1052	13	8	52	22	6	27	6	CC94
1053	7	75	1	1	5	1	1	CC17
1054	9	3	1	2	2	1	1	
1055	5	13	9	15	8	19	6	
1056	15	2	1	1	1	1	1	CC17
1057	7	1	1	44	5	1	32	
1058	2	76	2	2	1	1	1	
1059	81	1	1	2	1	1	1	CC17
1060	67	54	14	80	36	99	6	
1061	1	1	1	1	1	2	1	CC17
1062	1	1	1	1	1	7	3	CC17
1063	1	1	1	1	12	33	1	CC17
1064	1	1	1	1	12	2	1	CC17
1065	1	1	1	1	14	1	1	CC17
1066	1	1	47	1	1	1	1	CC17
1067	1	5	1	1	12	7	1	CC17
1068	7	1	1	1	1	1	3	CC17
1069	7	5	1	1	1	7	3	
1070	15	1	1	1	12	1	3	CC17
1071	15	1	1	1	12	2	1	CC17
1072	15	1	1	1	12	33	1	CC17
1073	15	1	1	1	33	7	3	
1074	15	5	1	1	5	7	3	
1075	15	5	1	1	12	7	1	
1076	15	5	1	1	12	7	3	
1077	15	5	1	1	19	1	1	CC17
1078	38	1	1	1	19	1	1	CC17
1079	11	8	52	23	10	27	6	
1080	4	3	1	1	1	20	1	CC17
1081	2	9	72	7	22	100	1	
1082	2	9	1	7	22	100	1	
1083	20	77	6	81	1	101	1	
1084	62	9	1	7	1	1	1	CC17
1085	7	3	1	18	1	1	3	
1086	5	8	9	17	8	19	6	
1087	36	21	9	17	17	41	6	
1088	15	78	1	1	1	20	1	CC17
1089	9	1	1	1	1	1	5	CC17
1090	5	4	1	1	2	1	8	
1091	5	2	1	3	1	16	1	
1092	6	6	4	4	3	19	2	
1093	5	1	1	3	1	16	1	CC17
1094	5	5	1	1	1	1	1	CC17
1095	2	2	1	3	1	36	1	
1096	9	4	12	6	2	2	5	
1097	4	2	12	3	1	20	5	
1098	5	3	5	6	1	7	1	
1099	5	2	1	6	2	7	1	
1100	5	3	69	6	1	1	1	
1101	36	21	9	17	17	6	6	
1102	5	13	18	17	8	35	6	
1103	11	13	9	17	10	9	6	
1104	13	8	8	8	17	27	6	CC94
1105	25	13	52	17	10	26	6	
1106	82	3	1	2	1	1	1	CC17
1107	83	8	8	82	6	49	6	CC94
1108	84	8	8	8	6	59	6	CC94
1109	5	79	6	6	1	1	1	
1110	36	21	9	17	47	102	6	
1111	36	45	9	17	17	103	26	
1112	7	1	1	69	38	1	1	CC17
1113	85	1	1	1	1	1	1	CC17
1114	15	1	1	44	1	104	1	CC17
1115	86	1	1	1	1	1	1	CC17
1116	10	13	9	15	17	19	6	
1117	15	1	73	1	1	20	1	CC17
1118	11	13	9	17	10	105	40	
1119	1	80	1	1	1	1	1	CC17
1120	2	50	1	3	1	7	41	
1121	3	3	1	83	1	1	1	CC17
1122	5	2	1	6	1	1	5	
1123	13	13	8	8	6	27	6	CC94
1124	11	13	9	84	17	106	6	
1125	5	2	1	43	1	1	5	
1126	4	5	8	3	1	1	1	
1127	2	3	5	7	1	1	1	
1128	4	2	12	9	1	20	1	
1129	28	2	1	9	2	20	5	
1130	18	5	9	6	1	1	5	
1131	21	2	1	9	1	20	5	
1132	4	2	1	9	1	108	5	
1133	5	2	12	9	1	63	5	
1134	4	2	12	12	1	1	5	
1135	13	8	8	8	6	109	6	CC94
1136	13	8	8	8	6	64	6	CC94
1137	11	13	9	15	17	19	6	
1138	36	45	8	8	11	27	26	
1139	3	3	1	2	1	110	1	
1140	2	1	1	2	4	11	1	
1141	21	2	12	9	1	2	5	
1142	87	2	1	6	1	16	1	
1143	5	2	1	3	1	7	42	
1144	4	3	40	3	1	1	1	
1145	5	4	1	1	48	1	8	
1146	21	2	12	3	1	20	5	
1147	18	2	12	6	1	1	1	
1148	88	5	6	6	1	55	1	
1149	15	1	6	6	12	7	1	
1150	4	2	1	6	1	1	5	
1151	5	5	6	6	1	111	1	
1152	15	3	6	6	1	11	1	
1153	14	7	74	3	1	1	1	
1154	49	2	31	24	3	17	27	
1155	27	29	11	21	4	2	1	
1156	6	81	14	85	49	112	6	
1157	89	6	4	4	1	39	2	
1158	6	15	1	6	1	1	1	CC17
1159	3	6	1	2	1	1	1	CC17
1160	5	2	24	6	1	7	1	
1161	5	2	1	2	1	7	1	
1162	4	2	1	86	1	7	5	
1163	3	7	1	2	1	1	1	CC17
1164	1	7	5	7	1	39	1	
1165	3	8	8	2	1	59	6	
1166	1	9	2	1	1	32	7	
1167	1	9	2	1	7	6	20	
1168	1	9	2	1	7	6	39	
1169	5	9	12	1	1	3	20	
1170	1	9	2	1	13	6	20	
1171	5	9	4	1	1	6	7	
1172	3	3	2	2	22	1	1	
1173	7	5	1	1	5	7	3	
1174	4	5	1	3	1	63	1	
1175	19	13	52	37	6	19	6	
1176	5	2	12	9	1	20	5	
1177	7	1	1	1	5	113	1	CC17
1178	13	8	8	8	6	114	6	CC94
1179	5	13	75	17	8	6	6	
1180	9	82	1	1	1	1	1	CC17
1181	7	1	1	1	1	11	43	CC17
1182	13	8	8	8	6	107	44	CC94
1183	1	12	1	1	1	1	45	CC17
1184	9	1	1	1	50	1	1	CC17
1185	15	83	1	1	1	7	1	CC17
1186	9	1	76	1	12	1	1	CC17
1187	9	7	1	1	1	1	1	CC17
1188	25	70	58	8	10	19	6	
1189	3	10	36	87	51	1	1	
1190	2	2	77	88	1	1	5	
1191	13	8	18	15	6	40	6	CC94
1192	5	13	9	17	8	19	6	
1193	9	1	1	2	1	115	1	CC17
1194	9	4	1	6	21	7	5	
1195	9	84	1	1	12	1	1	CC17
1196	9	1	78	1	12	1	1	CC17
1197	90	1	1	1	12	1	1	CC17
1198	9	85	1	1	12	1	1	CC17
1199	91	1	1	1	1	1	1	CC17
1200	9	86	1	1	1	1	1	CC17
1201	9	63	1	1	1	1	1	CC17
1202	5	8	52	17	2	26	6	
1203	5	3	2	2	1	1	1	
1204	3	3	1	7	1	1	1	CC17
1205	24	8	8	8	2	27	6	CC94
1206	24	13	8	8	2	10	6	CC94
1207	3	3	65	2	1	1	1	
1208	2	3	1	2	4	4	1	
1209	2	2	79	88	1	1	5	
1210	9	3	1	89	1	1	1	CC17
1211	9	3	1	2	1	1	46	
1212	40	4	1	9	1	116	5	
1213	1	40	12	3	1	1	1	CC17
1214	92	3	12	2	1	1	1	
1215	93	25	1	11	1	14	15	
1216	94	2	6	3	1	117	1	
1217	7	1	1	90	5	2	1	
1218	13	8	80	8	11	10	6	CC94
1219	25	13	81	15	10	119	6	
1220	9	87	1	1	12	1	1	CC17
1221	95	13	9	17	10	19	6	
1222	15	2	1	6	1	1	1	CC17
1223	12	7	5	7	1	10	1	
1224	3	2	1	3	1	1	1	CC17
1225	2	2	6	6	1	36	1	
1226	5	4	12	6	2	1	8	
1227	5	5	1	1	1	7	1	CC17
1228	5	1	1	1	1	2	1	CC17
1229	5	2	1	12	1	20	5	
1230	5	2	6	3	1	36	1	
1231	3	23	1	6	1	42	1	
1232	26	7	5	7	1	1	1	
1233	9	5	1	12	1	1	1	CC17
1234	3	3	49	2	1	1	1	
1235	15	2	1	12	1	1	5	
1236	5	40	12	3	1	1	1	
1237	5	5	12	6	1	1	5	
1238	13	8	8	59	6	59	6	CC94
1239	21	4	12	6	1	20	5	
1240	5	5	1	3	2	62	1	
1241	5	5	40	3	1	7	1	
1242	9	5	1	3	2	1	1	
1243	9	2	6	32	1	7	1	
1244	36	8	8	23	17	27	15	
1245	3	5	1	12	1	1	1	CC17
1246	7	2	6	6	1	7	1	
1247	5	2	1	91	2	7	1	
1248	5	5	1	3	1	111	1	
1249	5	2	1	3	1	7	47	
1250	2	3	1	2	1	118	1	
1251	9	2	1	6	1	120	1	
1252	96	3	1	14	2	2	1	
1253	3	31	1	92	1	45	1	
1254	97	2	6	6	1	16	1	
1255	25	8	52	17	10	26	6	
1256	2	88	1	3	1	117	1	
1257	2	89	1	14	1	1	1	CC17
1258	11	8	8	17	10	121	6	
1259	5	5	1	1	1	111	1	CC17
1260	4	5	1	93	1	20	1	
1261	36	8	10	23	17	28	6	
1262	7	1	6	6	5	1	1	
1263	7	1	1	1	5	59	1	CC17
1264	15	1	1	1	12	7	3	
1265	9	1	1	1	1	1	48	CC17
1266	5	4	6	6	1	122	1	
1267	98	1	1	1	1	1	1	CC17
1268	83	8	8	94	6	49	6	CC94
1269	5	2	1	9	52	1	5	
1270	99	3	32	2	1	1	31	
1271	99	1	1	1	1	11	1	CC17
1272	16	5	1	3	2	1	1	
1273	15	1	82	1	1	20	1	CC17
1274	3	1	1	1	1	11	1	CC17
1275	25	13	18	15	10	19	40	
1276	2	7	3	3	1	39	1	
1277	40	4	1	9	1	1	5	
1278	36	13	9	17	17	19	49	
1279	100	90	52	17	8	102	6	
1280	1	1	1	1	12	27	5	CC17
1281	9	91	1	1	1	1	1	CC17
1282	7	1	1	1	5	11	1	CC17
1283	9	1	1	95	5	1	1	CC17
1284	13	61	8	96	11	10	6	CC94
1285	5	2	6	3	2	41	5	
1286	7	2	1	3	5	1	1	
1287	5	3	6	6	2	33	1	
1288	9	12	1	3	1	1	5	
1289	9	12	1	6	1	7	5	
1290	2	5	1	3	1	7	1	
1291	5	12	83	6	1	1	5	
1292	5	8	4	12	1	1	9	
1293	5	8	4	12	1	123	9	
1294	5	8	4	12	53	124	9	
1295	5	8	4	12	53	1	6	
1296	15	64	1	1	1	20	1	CC17
1297	101	1	1	1	1	20	1	CC17
1298	15	1	84	1	1	20	1	CC17
1299	9	1	1	97	12	1	1	CC17
1300	102	1	1	1	12	1	1	CC17
1301	9	92	1	1	12	1	1	CC17
1302	9	93	1	1	1	1	1	CC17
1303	7	1	1	1	14	84	5	
1304	3	1	1	1	5	1	5	CC17
1305	7	1	1	1	5	7	5	
1306	3	1	19	1	14	1	1	CC17
1307	10	8	8	2	17	41	6	
1308	15	4	12	7	1	1	5	
1309	40	4	12	9	5	1	5	
1310	8	8	8	23	5	27	15	
1311	5	4	12	9	2	1	5	
1312	13	4	8	8	6	27	5	CC94
1313	7	1	1	1	5	1	50	CC17
1314	1	3	1	44	1	1	51	CC17
1315	1	3	1	44	1	94	51	
1316	25	13	18	17	17	6	53	
1317	9	21	18	23	6	125	6	
1318	36	45	9	17	17	19	52	
1319	103	5	1	3	5	10	6	
1320	104	4	1	9	1	20	5	
1321	5	1	1	1	12	27	1	CC17
1322	1	1	1	5	12	1	1	CC17
1323	9	4	1	1	1	1	1	CC17
1324	5	3	1	2	2	7	1	
1325	9	1	1	1	12	4	1	CC17
1326	15	3	1	1	1	11	1	CC17
1327	15	38	1	1	1	20	1	CC17
1328	9	38	41	1	12	1	1	
1329	9	1	22	1	14	1	1	CC17
1330	9	1	1	1	12	117	1	CC17
1331	9	1	1	98	12	1	1	CC17
1332	14	4	10	6	1	1	5	
1333	15	1	1	1	12	20	1	CC17
1334	105	1	1	1	1	1	1	CC17
1335	1	1	1	1	1	126	1	CC17
1336	9	1	1	1	12	1	28	CC17
1337	3	1	85	1	14	1	1	CC17
1338	47	1	72	1	12	1	31	
1339	70	92	1	1	12	123	1	
1340	70	92	1	1	12	1	1	CC17
1341	75	12	24	2	1	59	5	
1342	52	12	6	2	1	59	5	
1343	52	2	6	2	1	59	5	
1344	9	2	1	2	1	7	5	
1345	9	12	24	2	1	7	5	
1346	9	12	1	2	1	7	5	
1347	52	12	1	2	1	7	5	
1348	9	12	1	2	1	59	5	
1349	7	1	1	44	5	7	1	
1350	9	95	1	1	12	1	1	CC17
1351	9	94	1	1	1	1	1	CC17
1352	9	1	86	1	1	1	1	CC17
1353	9	1	1	95	12	1	1	CC17
1354	52	2	1	1	1	1	1	CC17
1355	98	89	1	2	1	123	37	
1356	27	33	18	17	8	35	6	
1357	13	61	8	8	40	10	6	CC94
1358	96	89	17	2	10	123	1	
1359	2	89	1	2	4	4	1	
1360	47	81	6	3	1	41	1	
1361	51	5	42	3	1	7	1	
1362	80	61	8	8	11	10	49	
1363	13	61	8	8	11	27	6	CC94
1364	11	21	52	2	10	102	6	
1365	80	61	8	23	6	10	11	
1366	86	89	50	2	50	70	1	
1367	27	89	37	2	1	123	1	
1368	6	6	37	4	3	3	2	
1369	95	21	18	17	40	19	6	
1370	98	61	8	8	11	89	6	
1371	36	45	9	2	17	89	26	
1372	36	89	47	2	1	123	1	
1373	98	61	14	8	3	10	49	
1374	80	61	8	2	11	10	6	
1375	98	89	1	2	1	123	15	
1376	98	89	2	17	1	123	1	
1377	98	13	18	17	8	19	6	
1378	11	21	18	2	10	19	6	
1379	82	89	42	8	1	123	1	
1380	9	1	1	1	12	27	1	CC17
1381	36	8	8	23	1	27	15	
1382	2	1	1	1	4	27	1	CC17
1383	1	97	1	1	1	1	1	CC17
1384	9	3	1	3	54	1	1	
1385	9	96	1	1	1	1	1	CC17
1386	4	9	6	3	1	20	1	
1387	13	8	8	8	9	10	6	CC94
1388	8	38	8	8	39	10	16	
1389	25	8	8	8	39	10	15	CC94
1390	7	1	1	1	5	127	1	CC17
1391	7	1	1	1	5	128	1	CC17
1392	11	1	1	1	1	7	1	CC17
1393	5	5	1	44	1	1	1	CC17
1394	1	1	1	1	1	129	1	CC17
1395	9	7	1	1	12	1	1	CC17
1396	5	1	1	6	1	7	1	CC17
1397	1	1	1	1	2	130	1	CC17
1398	1	98	1	1	1	130	1	CC17
1399	1	3	3	1	1	32	2	
1400	1	5	3	6	2	2	9	
1401	1	9	1	1	2	2	2	
1402	1	14	3	1	1	1	6	CC17
1403	1	14	5	1	1	1	12	CC17
1404	1	15	1	1	16	7	1	CC17
1405	1	15	3	1	1	1	44	CC17
1406	1	43	5	1	1	1	1	CC17
1407	2	13	6	4	11	10	4	
1408	5	5	2	8	1	1	9	
1409	5	7	12	1	5	1	1	
1410	5	21	2	12	1	1	6	
1411	5	40	4	1	1	116	6	
1412	6	11	8	8	10	27	8	
1413	6	13	8	8	11	27	23	
1414	6	13	13	8	6	40	8	
1415	6	13	13	8	6	109	8	
1416	6	13	13	8	10	27	8	
1417	6	13	13	8	11	10	8	
1418	6	36	8	9	20	19	17	
1419	1	2	3	1	1	20	1	CC17
1420	6	9	70	36	6	46	8	
1421	1	1	1	1	1	0	1	CC17
1422	1	1	1	1	12	0	1	CC17
1423	4	1	1	1	1	0	1	CC17
1424	9	1	1	1	12	0	1	CC17
1425	4	1	1	1	12	0	1	CC17
1426	1	1	1	95	1	1	1	CC17
1427	1	99	1	1	1	130	1	CC17
1428	4	1	1	1	1	92	1	CC17
1429	106	1	1	1	1	20	1	CC17
1430	15	1	1	1	1	20	54	CC17
1431	7	100	1	1	5	1	1	CC17
1432	4	5	59	3	1	7	1	
1433	12	81	6	3	1	41	1	
1434	9	3	17	2	1	1	1	
1435	11	13	18	17	8	19	6	
1436	5	8	36	8	8	27	6	
1437	25	8	14	22	10	26	6	
1438	11	13	9	17	10	102	6	
1439	13	8	14	8	3	125	6	CC94
1440	11	13	9	33	10	19	6	
1441	5	33	18	17	8	35	6	
1442	36	45	9	17	17	19	26	
1443	11	13	9	17	10	6	6	
1444	3	46	1	6	1	7	1	
1445	13	8	10	23	6	59	6	CC94
1446	11	13	18	15	10	19	6	
1447	36	13	9	15	17	19	6	
1448	5	4	1	6	1	1	8	
1449	40	4	12	9	1	116	5	
1450	25	8	8	8	55	10	6	CC94
1451	36	13	9	17	56	19	6	
1452	25	8	52	17	10	131	6	
1453	40	4	1	6	1	116	5	
1454	9	1	1	1	12	132	1	CC17
1455	9	1	1	1	12	133	1	CC17
1456	36	45	9	17	57	19	26	
1457	11	13	18	99	10	41	6	
1458	11	13	9	100	10	134	6	
1459	13	8	8	8	6	135	6	CC94
1460	7	101	1	1	5	1	1	CC17
1461	12	7	5	7	1	136	1	
1462	2	3	1	2	58	1	1	
1463	9	1	1	1	4	14	1	CC17
1464	70	1	38	29	12	14	1	
1465	9	1	1	1	1	137	1	CC17
1466	9	1	1	1	59	7	1	CC17
1467	7	1	8	1	5	1	1	CC17
1468	1	32	1	1	1	1	1	CC17
1469	1	98	1	44	1	1	1	CC17
1470	1	47	1	1	1	1	1	CC17
1471	1	1	1	1	1	130	1	CC17
1472	1	13	1	1	1	1	1	CC17
1473	1	1	1	44	1	130	1	CC17
1474	15	64	1	44	1	20	1	
1475	8	8	8	8	39	10	16	CC94
1476	15	8	1	1	1	61	1	CC17
1477	7	2	1	1	1	0	1	CC17
1478	9	1	1	1	1	0	1	CC17
1479	65	3	1	14	1	1	1	CC17
1480	2	3	1	6	61	80	1	
1481	7	1	1	102	5	1	1	CC17
1482	1	102	1	1	1	7	1	CC17
1483	15	1	1	103	60	7	1	
1484	108	8	52	17	2	26	6	
1485	25	13	87	17	10	19	6	
1486	9	64	1	1	1	1	1	CC17
1487	15	1	1	1	62	20	1	CC17
1488	4	3	1	1	1	0	1	CC17
1489	15	1	1	1	1	0	1	CC17
1490	83	8	8	8	2	27	6	CC94
1491	5	2	1	11	2	14	5	
1492	14	40	12	3	1	27	1	
1493	83	8	8	22	2	1	6	
