ST	adk	fumC	gyrB	icd	mdh	purA	recA	clonal_complex
2104	6	19	3	18	9	8	7	
2105	6	19	4	18	22	8	7	
2106	6	65	5	1	9	8	14	
2107	6	65	5	1	9	8	2	
2108	6	4	4	16	24	8	2	
2109	6	8	4	16	7	8	14	
2110	6	4	4	18	24	13	2	
2111	6	4	32	88	7	7	6	
2112	6	4	87	96	70	58	2	ST648 Cplx
2113	6	88	78	29	59	58	62	ST354 Cplx
2114	6	37	12	1	20	8	7	ST23 Cplx
2115	8	7	1	8	8	5	6	
2116	9	23	64	18	11	8	14	ST278 Cplx
2117	10	11	4	8	8	7	7	
2118	16	4	12	16	9	8	2	
2119	23	4	4	16	7	13	2	
2120	23	4	4	18	24	8	14	ST155 Cplx
2121	43	41	15	18	11	13	2	
2122	48	46	43	45	11	8	7	
2123	57	11	1	109	7	8	14	
2124	63	30	15	18	43	12	6	
2125	64	4	5	83	24	8	2	
2126	66	6	14	10	9	7	7	
2127	73	38	19	37	17	11	26	ST95 Cplx
2128	85	29	32	16	11	8	44	ST156 Cplx
2129	92	29	32	16	11	8	44	ST156 Cplx
2130	179	8	4	16	7	7	6	
2131	214	19	12	16	9	34	35	
2132	214	19	12	16	9	13	2	
2133	57	11	1	109	7	8	6	
2134	116	4	12	16	9	7	7	
2135	221	40	93	13	17	28	166	
2136	175	275	184	18	150	190	130	
2137	6	6	15	88	11	26	6	
2138	109	65	29	25	4	13	73	
2139	10	7	57	8	8	8	2	
2140	10	11	19	8	8	13	2	
2141	101	88	262	281	59	215	196	
2142	4	26	263	25	5	5	19	ST38 Cplx
2143	85	88	78	282	59	58	62	ST354 Cplx
2144	6	6	15	56	11	26	6	
2145	6	326	12	1	9	2	7	
2147	6	241	4	8	78	8	2	
2148	6	284	174	6	4	216	4	
2152	6	23	266	26	9	8	7	ST205 Cplx
2154	6	29	4	16	11	217	14	
2155	21	35	27	212	5	5	4	
2156	6	329	4	1	24	2	6	
2158	80	331	6	285	24	2	17	
2160	6	23	32	88	9	13	7	ST205 Cplx
2161	6	4	5	18	9	8	2	
2162	31	58	54	10	11	35	47	
2163	6	23	3	18	9	8	7	
2164	6	95	3	16	11	8	14	
2165	6	23	3	16	9	7	7	
2166	6	29	5	16	9	8	44	
2168	83	332	136	286	193	1	2	
2169	6	29	5	26	11	8	2	
2170	6	333	14	16	24	8	14	
2171	260	88	78	29	70	158	2	
2172	8	7	1	8	226	84	6	
2173	170	43	10	37	227	11	26	
2174	6	19	57	13	9	13	6	
2175	6	4	15	88	43	8	14	
2176	9	65	5	1	9	13	58	ST469 Cplx
2177	10	11	4	8	5	8	2	
2178	9	6	15	56	11	26	6	
2179	9	65	5	18	11	8	6	
2180	6	19	3	18	9	193	6	
2181	6	4	14	16	24	8	19	
2182	33	26	2	31	5	16	14	
2183	6	334	5	28	1	1	2	ST350 Cplx
2184	6	31	4	28	228	1	2	ST350 Cplx
2185	53	40	1	13	36	28	29	ST131 Cplx
2186	6	4	5	16	11	8	6	
2187	6	4	33	16	9	8	6	
2188	6	4	9	1	20	13	7	ST23 Cplx
2189	34	36	78	87	67	16	4	ST349 Cplx
2190	9	6	47	131	24	8	7	ST86 Cplx
2191	85	88	39	29	59	58	62	ST354 Cplx
2192	76	273	12	13	17	11	25	
2193	64	7	47	44	8	8	6	
2194	31	4	15	1	15	33	17	
2195	43	41	42	18	11	7	6	ST101 Cplx
2196	51	48	45	287	229	218	37	
2197	10	11	4	8	8	219	174	
2198	20	45	41	16	5	50	46	
2199	6	4	4	43	24	8	14	
2200	62	50	22	49	37	41	191	
2201	76	335	10	15	30	14	13	
2202	6	31	83	288	1	1	2	ST350 Cplx
2203	10	11	4	1	230	8	2	
2204	6	8	4	1	9	221	7	
2205	8	7	1	8	8	186	6	
2206	6	19	12	1	20	26	3	
2207	10	174	4	8	8	222	2	
2208	45	240	192	99	91	159	142	
2209	6	35	4	10	7	8	6	
2210	70	7	4	8	8	18	6	
2211	10	11	4	8	96	8	2	
2212	232	11	4	279	8	205	73	
2213	157	4	4	16	24	8	65	
2214	21	4	67	6	97	8	4	
2215	20	45	41	43	97	32	170	
2216	20	45	41	43	231	32	2	
2217	6	11	32	10	24	8	7	
2218	37	38	19	37	17	223	26	ST95 Cplx
2219	10	11	4	8	8	220	2	
2220	10	11	4	8	42	8	2	
2221	92	4	87	290	70	58	2	ST648 Cplx
2223	6	11	5	8	7	8	2	
2224	228	170	85	284	116	149	106	
2225	6	31	5	289	1	1	2	ST350 Cplx
2226	10	336	4	8	8	8	2	
2227	38	39	30	13	17	25	197	
2228	10	11	4	149	8	13	73	ST10 Cplx
2229	43	41	15	18	11	224	6	ST101 Cplx
2230	6	346	12	1	20	13	7	ST23 Cplx
2235	35	40	29	25	4	28	73	ST405 Cplx
2236	13	115	9	13	16	5	9	ST12 Cplx
2237	6	29	32	16	11	10	44	ST156 Cplx
2238	18	106	17	6	5	8	39	ST31 Cplx
2240	6	4	14	25	20	62	7	
2241	4	26	151	1	5	5	19	ST38 Cplx
2242	6	19	32	18	11	7	2	
2243	92	4	47	13	70	28	29	
2244	9	4	5	56	9	26	6	
2245	53	4	47	13	36	28	29	ST131 Cplx
2246	13	4	19	36	23	11	10	
2247	13	4	156	14	17	25	17	
2248	6	6	15	16	7	23	7	
2249	6	6	12	1	20	18	7	
2251	6	11	33	16	11	8	6	
2252	53	11	47	13	36	28	29	ST131 Cplx
2253	6	11	4	10	7	7	6	
2254	14	12	10	200	17	7	10	ST14 Cplx
2255	6	13	159	140	112	1	17	
2256	20	14	9	273	7	16	46	
2257	14	14	259	14	17	92	10	ST14 Cplx
2258	13	13	9	22	238	37	25	
2260	13	14	19	22	17	14	193	
2261	36	14	9	13	17	11	25	ST73 Cplx
2262	36	16	9	13	17	11	25	ST73 Cplx
2263	6	19	259	26	11	8	7	
2264	6	65	12	1	20	13	7	
2265	9	4	5	1	9	13	6	ST469 Cplx
2266	18	11	4	8	8	13	2	ST10 Cplx
2267	37	38	19	37	17	227	26	ST95 Cplx
2268	53	40	47	13	36	28	198	ST131 Cplx
2270	36	349	9	13	17	11	25	ST73 Cplx
2271	87	350	155	297	24	22	17	
2272	6	4	12	1	20	12	205	ST23 Cplx
2273	6	4	12	298	20	18	7	
2274	43	19	15	21	11	8	6	
2275	10	11	257	8	8	13	73	ST10 Cplx
2276	10	11	4	8	8	132	2	
2277	4	26	2	25	5	5	39	ST38 Cplx
2278	53	40	47	13	36	5	29	ST131 Cplx
2279	53	40	47	13	36	8	29	ST131 Cplx
2280	6	4	15	246	11	8	14	
2281	13	52	10	14	17	25	7	
2282	8	7	1	1	1	8	7	
2283	9	351	5	231	11	194	7	
2284	8	7	14	16	8	8	6	
2285	13	14	272	36	23	11	10	
2286	13	14	78	36	23	11	10	
2287	85	88	272	29	59	58	62	ST354 Cplx
2288	8	7	9	220	8	8	2	
2289	13	13	5	13	16	10	9	ST12 Cplx
2290	270	2	2	4	4	4	4	
2291	4	2	2	4	4	4	206	
2292	6	65	15	18	9	8	6	
2293	6	7	5	1	8	186	2	ST206 Cplx
2295	8	7	14	8	8	8	6	
2296	8	7	1	8	6	8	7	ST46 Cplx
2297	10	11	4	299	8	8	2	
2298	6	4	12	300	20	12	7	
2299	55	38	12	37	17	11	26	ST95 Cplx
2300	37	38	19	16	17	11	26	ST95 Cplx
2301	10	11	163	8	8	13	2	
2302	51	48	45	118	34	42	37	
2303	6	11	7	1	8	8	20	
2304	51	48	48	139	34	42	37	
2305	46	140	37	25	5	16	33	
2306	36	6	33	1	24	8	7	ST86 Cplx
2307	6	4	33	136	99	8	6	
2308	6	65	5	1	11	8	6	
2309	271	26	39	25	5	31	19	ST38 Cplx
2310	6	4	12	1	20	12	47	ST23 Cplx
2311	92	4	87	96	70	58	181	ST648 Cplx
2312	33	26	47	31	5	16	19	
2313	6	23	3	26	9	8	7	
2314	34	36	47	25	28	16	4	
2315	6	8	32	185	9	23	7	
2316	92	231	87	95	70	58	2	ST648 Cplx
2317	6	4	159	44	12	1	12	
2318	6	26	39	25	5	8	19	
2319	64	4	5	83	138	8	6	
2320	80	4	15	18	9	18	7	
2321	43	106	17	6	5	5	4	
2322	6	263	4	18	9	26	7	
2323	159	89	4	8	8	2	181	
2324	203	352	250	27	240	232	182	
2325	8	7	4	8	8	18	6	
2326	6	4	3	16	61	8	6	
2327	6	4	15	18	24	18	7	
2328	6	95	3	18	11	122	6	
2329	9	6	33	18	7	8	7	
2330	272	29	5	18	11	8	2	
2331	273	14	273	13	30	115	13	
2332	274	4	96	1	24	8	6	
2333	6	6	274	9	9	73	7	
2334	10	23	275	8	8	8	2	
2336	100	23	277	45	7	3	7	
2337	34	36	39	87	67	233	4	ST349 Cplx
2338	6	6	5	18	9	234	6	
2339	10	11	4	8	8	8	207	
2340	6	4	4	16	24	8	208	
2341	10	11	4	52	8	8	2	
2342	10	27	5	10	42	1	164	
2343	10	27	5	10	42	8	2	
2344	10	27	5	10	42	9	2	
2345	10	7	4	12	8	18	2	
2346	129	15	13	150	91	14	25	
2347	15	15	10	15	18	12	11	
2348	35	37	29	25	4	8	73	ST405 Cplx
2349	6	11	4	10	8	8	2	
2350	6	19	14	16	11	12	7	
2351	6	19	32	16	9	8	7	
2352	6	4	4	18	9	8	2	
2353	6	5	4	107	8	8	2	
2354	6	6	5	26	7	8	14	
2355	10	353	5	10	42	9	2	
2356	129	354	13	13	30	14	13	
2357	6	355	4	8	8	8	2	
2358	9	175	33	33	24	8	7	ST86 Cplx
2359	10	21	4	301	17	14	15	
2360	13	21	13	301	17	14	15	ST28 Cplx
2361	21	35	61	301	5	5	4	
2362	13	43	13	302	18	5	92	
2363	10	7	4	8	12	184	2	
2364	10	11	4	8	8	40	2	
2365	10	11	278	8	8	8	2	
2366	275	11	1	1	8	8	6	
2367	6	11	4	303	7	8	6	
2368	275	357	1	1	8	8	6	
2369	80	90	280	30	193	2	2	
2370	6	31	83	28	1	1	66	ST350 Cplx
2371	276	356	279	304	242	235	210	
2372	40	21	13	22	17	14	15	ST28 Cplx
2373	35	37	27	25	4	5	73	ST405 Cplx
2374	10	27	5	1	8	7	2	
2375	6	4	12	1	9	38	7	
2376	9	8	3	16	9	18	6	
2377	40	21	13	97	305	14	25	
2378	4	26	2	8	5	5	19	ST38 Cplx
2379	9	11	15	56	11	26	6	
2380	6	29	33	16	167	8	2	
2381	277	8	3	306	9	18	6	
2382	20	45	12	43	70	32	2	
2383	52	116	55	101	113	30	38	
2384	6	358	3	26	11	8	6	
2385	6	359	5	1	9	8	6	
2386	6	359	5	1	9	8	12	
2387	6	19	3	18	9	12	6	
2388	6	4	3	16	9	8	7	
2389	6	360	12	1	9	2	7	
2391	6	63	7	11	14	7	7	
2394	136	11	4	1	1	8	2	
2395	11	63	7	1	13	7	7	ST152 Cplx
2396	6	61	6	11	1	3	50	ST245 Cplx
2397	6	61	75	11	13	3	50	ST245 Cplx
2398	1	4	6	1	13	1	50	
2399	6	61	1	11	14	3	50	ST245 Cplx
2400	6	63	7	1	8	7	7	
2401	6	61	1	11	1	1	1	
2402	6	61	6	11	11	3	50	ST245 Cplx
2403	1	10	7	1	1	1	1	ST243 Cplx
2404	10	11	4	8	90	1	2	
2405	1	10	1	1	1	1	7	
2406	11	63	7	1	14	7	6	ST152 Cplx
2407	11	63	6	109	13	3	50	
2408	56	61	119	208	13	3	50	
2409	6	61	6	11	13	23	50	ST245 Cplx
2410	6	61	6	11	13	1	50	ST245 Cplx
2411	11	63	7	1	14	7	50	ST152 Cplx
2412	6	61	6	11	14	3	50	ST245 Cplx
2413	1	4	1	5	1	1	50	
2414	1	61	6	11	13	3	1	ST245 Cplx
2415	6	61	6	11	6	3	50	ST245 Cplx
2417	6	63	6	1	13	7	50	
2418	6	61	71	11	13	3	50	ST245 Cplx
2419	6	63	6	11	13	2	50	
2420	11	61	6	11	13	3	50	ST245 Cplx
2421	11	63	7	7	14	7	7	ST152 Cplx
2422	11	61	7	1	14	50	7	
2423	6	61	6	11	13	3	1	ST245 Cplx
2424	6	61	7	1	14	7	7	
2425	6	6	3	18	9	7	6	
2426	6	61	6	1	13	3	50	ST245 Cplx
2427	6	13	6	11	13	3	50	ST245 Cplx
2428	6	61	7	11	13	3	50	ST245 Cplx
2429	6	63	7	1	14	12	7	
2430	61	63	6	11	13	3	50	ST245 Cplx
2431	61	61	6	11	13	3	50	ST245 Cplx
2432	45	53	119	84	42	99	94	
2433	53	40	47	13	36	13	29	ST131 Cplx
2434	63	11	102	8	8	8	2	
2435	6	152	4	10	9	8	7	
2436	1	4	44	309	11	35	148	
2437	8	7	281	8	8	18	6	
2439	21	37	27	6	5	5	4	
2440	157	7	5	1	8	186	2	ST206 Cplx
2441	10	367	4	12	8	45	2	ST10 Cplx
2443	6	11	4	10	7	8	73	
2444	10	11	4	16	8	13	73	ST10 Cplx
2445	109	88	262	281	59	215	196	
2446	13	39	13	13	18	10	13	
2447	6	368	14	16	24	8	14	
2448	6	23	14	18	9	8	14	
2449	62	372	17	31	5	5	4	
2450	8	7	1	8	8	13	6	
2451	53	40	47	13	36	28	2	ST131 Cplx
2453	6	4	4	16	24	12	104	ST155 Cplx
2454	10	11	4	1	8	12	2	
2455	10	373	7	8	8	7	2	
2456	6	374	4	10	8	8	2	
2457	10	11	4	8	8	8	213	
2458	6	95	33	18	9	238	14	
2459	21	35	27	6	5	2	4	
2460	6	4	3	16	24	8	14	
2461	6	11	4	8	8	243	2	
2462	10	11	4	8	7	242	2	
2463	10	11	4	8	8	241	2	
2464	6	23	5	16	24	240	6	
2465	6	11	284	8	8	8	2	
2466	278	11	5	1	8	8	6	
2467	197	376	55	214	35	40	145	
2468	6	4	12	1	11	2	214	
2469	6	11	50	8	8	8	2	
2470	1	11	4	8	8	8	2	
2471	10	11	4	12	8	177	2	ST10 Cplx
2473	6	19	3	18	9	13	6	
2474	13	363	30	119	17	68	96	
2475	6	377	12	1	9	2	7	
2476	6	4	285	18	11	8	7	
2477	20	45	41	43	5	32	14	
2479	6	95	33	18	9	45	14	
2480	43	41	15	77	11	7	6	ST101 Cplx
2481	6	11	4	8	42	8	2	
2482	10	11	4	12	42	45	2	ST10 Cplx
2483	6	295	22	77	11	8	7	
2484	6	4	4	77	24	8	14	
2485	6	4	159	140	112	1	17	
2486	280	378	5	10	42	8	2	
2487	24	11	4	8	42	8	2	
2488	43	6	266	16	11	8	7	ST448 Cplx
2489	97	40	93	8	23	25	66	
2490	13	40	13	8	23	25	66	
2491	10	11	4	8	7	8	2	
2492	6	11	4	8	42	244	2	
2493	18	22	17	310	5	5	4	ST31 Cplx
2494	88	43	9	36	17	44	212	
2495	35	37	5	25	4	5	73	ST405 Cplx
2496	10	7	4	8	12	8	6	
2497	6	11	14	16	24	8	14	
2498	6	6	15	85	7	18	6	
2499	6	6	4	16	24	8	14	
2500	10	11	4	8	248	8	2	
2501	6	379	12	1	20	12	7	ST23 Cplx
2502	6	19	14	16	11	12	217	
2503	4	26	2	31	5	16	19	
2504	33	11	4	8	8	13	2	ST10 Cplx
2505	6	41	12	1	20	13	7	ST23 Cplx
2506	33	26	87	31	5	16	19	
2507	99	6	2	33	24	8	7	ST86 Cplx
2508	53	380	47	13	36	28	29	ST131 Cplx
2509	6	95	33	18	9	8	6	
2511	10	36	39	87	67	16	29	
2512	6	4	1	95	69	236	20	ST399 Cplx
2513	85	106	17	6	5	5	4	
2514	10	11	1	1	8	8	2	
2515	10	11	144	1	8	8	2	
2516	223	271	13	29	70	146	167	
2517	6	4	12	1	11	2	7	
2518	6	4	4	16	20	8	7	
2519	10	29	4	8	8	13	73	
2520	9	29	5	56	9	8	6	
2521	6	19	3	135	11	8	6	
2522	6	29	5	18	11	8	2	
2523	77	7	7	151	65	56	7	
2524	10	7	1	8	8	8	2	
2526	6	41	3	18	11	8	14	
2528	6	381	5	18	11	8	14	
2529	6	165	179	13	7	8	6	
2530	6	4	4	16	24	1	14	ST155 Cplx
2531	6	4	1	95	69	8	7	
2532	268	6	5	292	20	23	6	
2533	14	14	10	14	17	226	74	ST14 Cplx
2534	137	19	15	88	7	193	7	
2536	6	19	3	18	9	2	6	
2537	6	19	3	135	11	8	200	
2538	35	22	2	27	182	5	182	
2539	6	23	15	26	9	8	7	ST205 Cplx
2540	6	23	33	18	9	122	7	
2541	148	29	33	16	11	8	41	
2542	6	29	33	16	11	8	41	
2543	80	29	33	16	167	25	141	
2544	6	31	9	28	17	11	2	
2545	36	35	9	13	17	11	25	ST73 Cplx
2546	35	35	2	52	5	9	4	
2547	6	35	12	1	20	13	7	ST23 Cplx
2548	21	35	27	6	5	228	4	
2550	145	243	28	52	5	16	182	
2551	13	38	93	13	17	28	109	
2552	13	195	93	13	233	25	202	
2553	262	38	19	37	17	11	26	ST95 Cplx
2554	13	39	50	13	16	230	25	
2555	9	40	15	56	11	26	6	
2556	96	40	268	100	23	28	122	
2557	36	43	19	13	16	10	25	
2558	76	43	30	37	17	10	96	
2559	51	48	220	287	235	229	37	
2560	13	52	269	14	17	25	17	
2561	52	54	46	48	35	122	38	
2562	120	54	46	48	239	40	38	
2563	6	65	3	26	11	13	6	
2564	6	95	33	26	11	32	2	
2565	13	96	10	13	30	25	25	
2566	100	100	17	23	232	5	199	
2567	13	108	10	97	18	94	93	
2568	23	108	271	27	37	16	19	
2569	6	260	225	291	80	1	204	
2570	261	284	185	31	45	1	4	
2571	2	348	36	23	11	10	10	
2572	36	352	9	13	17	11	25	ST73 Cplx
2576	53	341	47	13	36	28	29	ST131 Cplx
2577	35	342	29	25	4	5	73	ST405 Cplx
2579	76	344	10	119	17	225	96	
2581	53	40	47	293	36	28	29	ST131 Cplx
2582	13	38	84	13	8	68	34	
2583	111	14	109	8	8	8	2	
2584	87	187	22	52	22	129	4	
2585	54	187	28	314	28	16	4	
2586	111	23	19	36	23	11	10	
2587	281	24	10	14	17	92	10	
2588	38	24	84	13	17	237	34	
2589	6	30	288	1	24	8	21	
2590	13	365	9	119	30	44	25	
2591	6	366	3	18	9	38	14	
2592	37	38	19	296	17	11	26	ST95 Cplx
2593	13	40	13	13	17	28	30	
2594	13	38	19	13	17	10	29	
2595	6	4	4	16	36	8	14	
2597	53	44	10	13	17	10	25	ST73 Cplx
2598	6	4	4	16	43	18	6	
2599	267	6	5	26	9	13	98	
2600	64	7	4	1	8	8	6	
2601	10	7	4	10	12	8	2	
2602	6	95	3	274	9	8	2	
2603	10	369	4	8	8	13	73	
2604	13	13	9	13	244	10	9	ST12 Cplx
2605	13	361	9	13	16	10	9	ST12 Cplx
2606	6	4	1	95	69	8	2	ST399 Cplx
2607	6	4	22	18	11	8	7	
2608	8	7	4	8	8	7	6	
2609	4	26	2	25	5	78	19	ST38 Cplx
2610	13	362	19	36	23	11	10	
2611	80	364	6	316	249	1	2	
2612	218	371	53	313	247	2	216	
2613	36	24	9	13	245	11	25	ST73 Cplx
2614	31	276	83	140	1	187	2	
2615	13	218	271	27	37	16	19	
2616	76	23	3	18	9	8	7	
2617	27	32	287	29	26	19	22	ST59 Cplx
2618	282	32	24	29	26	19	22	ST59 Cplx
2619	37	38	286	37	17	11	26	ST95 Cplx
2620	13	14	19	315	23	11	10	
2622	13	363	10	97	17	94	93	
2623	261	26	52	27	5	16	215	
2624	6	370	4	8	8	78	2	
2625	14	273	10	14	17	7	74	ST14 Cplx
2626	13	43	9	36	30	8	25	
2627	6	65	32	317	11	8	2	
2628	148	29	5	18	9	47	14	
2629	64	11	1	1	8	18	20	
2630	13	11	95	104	8	8	2	
2631	14	26	2	211	5	5	19	ST38 Cplx
2632	101	4	87	96	70	58	2	ST648 Cplx
2633	13	13	9	13	16	11	9	
2634	6	4	4	16	43	11	26	
2635	18	375	289	25	5	16	19	
2636	18	106	20	6	5	5	4	
2637	13	40	13	13	20	25	66	
2638	21	35	2	6	5	5	39	
2639	53	347	47	13	36	28	29	ST131 Cplx
2640	20	52	9	295	7	16	46	
2641	36	43	9	13	17	11	25	ST73 Cplx
2642	14	14	10	14	17	7	73	ST14 Cplx
2643	283	273	9	13	17	11	25	ST73 Cplx
2644	43	41	15	151	11	7	6	ST101 Cplx
2645	6	55	4	199	7	8	6	
2647	6	4	293	18	11	7	14	
2649	127	228	186	286	157	153	138	
2650	13	44	9	13	16	10	34	
2651	6	31	5	29	1	1	2	ST350 Cplx
2652	83	332	136	29	193	1	2	
2653	83	23	155	29	133	1	2	
2654	35	22	111	25	5	5	4	
2655	85	53	231	29	1	187	2	
2656	35	37	47	25	4	5	73	ST405 Cplx
2657	53	40	2	13	36	28	29	ST131 Cplx
2658	4	26	29	211	5	5	19	ST38 Cplx
2659	4	26	2	312	5	8	19	ST38 Cplx
2660	76	319	30	37	17	13	96	
2661	87	45	41	140	5	32	2	
2662	20	45	41	43	5	10	9	
2663	4	26	2	28	5	5	19	ST38 Cplx
2664	4	26	2	12	5	5	19	ST38 Cplx
2665	85	88	78	25	59	58	62	ST354 Cplx
2666	13	40	47	13	36	28	29	ST131 Cplx
2667	6	4	159	6	112	1	17	
2668	20	45	41	44	5	32	2	
2669	35	37	29	43	4	5	73	ST405 Cplx
2670	18	88	78	6	59	58	62	
2671	127	389	260	141	112	185	17	
2672	52	116	55	101	113	40	224	
2673	6	4	12	1	253	13	7	
2674	6	6	5	10	9	8	7	
2675	10	7	1	1	8	8	6	
2676	6	31	83	28	1	245	67	ST350 Cplx
2677	138	4	44	9	11	35	7	
2678	13	14	19	22	17	14	203	
2679	163	391	85	328	257	66	75	
2680	293	395	85	330	68	248	226	
2681	134	164	85	169	254	69	103	
2682	132	170	296	207	116	206	106	
2683	163	394	255	330	256	247	226	
2684	6	390	3	18	7	7	6	ST20 Cplx
2685	272	4	3	18	7	7	6	ST20 Cplx
2686	291	393	134	189	255	246	225	
2687	10	11	4	8	9	8	2	
2688	6	4	32	16	8	7	6	
2689	10	11	4	12	8	1	227	
2690	6	11	4	8	258	8	2	
2691	8	397	1	8	8	8	6	
2692	6	4	12	1	8	18	7	
2693	10	11	4	331	8	45	2	ST10 Cplx
2694	10	27	5	10	259	1	2	
2695	13	13	9	13	16	9	9	ST12 Cplx
2696	294	11	4	8	8	8	2	
2697	6	368	33	16	11	8	6	
2698	6	6	5	9	7	249	6	
2699	6	7	57	1	8	250	2	
2700	133	399	91	189	110	113	76	
2701	6	7	5	1	8	251	2	ST206 Cplx
2702	9	6	32	1	11	8	6	
2703	228	170	85	332	116	206	106	
2704	53	400	47	13	36	28	29	ST131 Cplx
2705	10	11	4	10	7	8	2	
2706	10	7	290	140	8	8	2	
2707	9	23	64	18	11	8	219	ST278 Cplx
2708	10	11	4	8	8	8	220	
2710	11	8	5	1	9	8	7	
2711	120	54	46	48	35	40	38	
2712	20	67	56	64	17	50	45	
2713	148	29	3	16	11	8	41	
2714	137	19	5	26	11	8	6	
2715	197	116	55	214	35	40	145	
2716	286	228	26	75	159	1	157	
2717	6	7	57	1	8	8	6	
2718	6	29	47	16	9	8	6	
2721	51	48	45	287	34	42	37	
2722	6	23	32	26	9	8	7	ST205 Cplx
2723	6	23	5	136	9	7	7	
2725	6	29	14	16	1	8	2	
2726	6	29	14	16	11	7	2	
2727	6	29	15	18	11	16	6	
2728	6	29	3	26	11	8	6	
2729	6	29	5	18	11	16	2	
2730	6	4	1	95	69	5	20	ST399 Cplx
2731	6	4	12	1	20	12	6	ST23 Cplx
2732	46	26	208	6	5	16	4	
2733	85	240	78	29	8	58	62	
2734	18	140	39	87	67	16	4	ST349 Cplx
2735	10	88	78	29	59	58	62	ST354 Cplx
2736	85	88	4	29	59	58	62	ST354 Cplx
2737	6	88	56	177	67	5	11	
2738	35	103	61	52	5	5	39	
2739	6	11	102	8	8	8	2	
2740	9	140	39	87	8	16	4	
2741	43	41	15	18	11	8	6	
2742	37	38	19	37	8	11	6	
2743	33	160	39	63	5	5	4	
2744	109	60	5	1	9	13	14	ST469 Cplx
2745	10	11	78	12	59	8	2	
2746	232	7	4	8	12	8	2	
2747	33	160	2	63	5	5	4	
2748	232	11	4	8	8	8	6	
2749	232	4	4	8	8	13	73	ST10 Cplx
2750	232	11	4	8	8	8	2	
2751	10	11	109	8	8	2	2	
2752	18	22	17	6	8	5	4	ST31 Cplx
2753	10	11	5	10	8	8	6	
2754	6	7	78	1	8	18	2	ST206 Cplx
2755	10	11	4	8	7	18	6	
2756	6	11	5	8	8	78	2	
2757	18	4	3	18	9	8	2	
2758	10	27	5	8	8	8	2	
2759	6	67	5	9	9	8	2	
2760	6	4	12	10	11	1	7	
2761	6	4	15	88	43	8	7	
2762	6	4	21	1	20	12	7	ST23 Cplx
2763	6	4	22	18	9	24	7	
2764	6	4	280	44	112	1	17	
2765	6	4	4	88	11	8	14	
2766	6	4	5	1	11	8	6	
2767	6	4	5	16	9	47	6	
2768	6	4	5	16	9	8	6	
2769	6	4	5	24	20	8	14	
2770	6	4	54	247	11	5	6	
2771	6	6	1	16	9	162	2	
2772	6	6	3	26	7	8	6	
2773	6	6	3	26	9	8	2	
2774	6	6	5	26	24	13	98	
2775	6	6	69	18	24	18	6	
2776	6	7	1	9	9	8	7	
2777	6	95	15	18	9	8	7	
2778	6	95	178	18	9	8	7	
2779	80	6	5	1	20	5	6	
2780	80	6	5	1	20	8	6	
2781	9	4	3	26	9	8	14	
2782	92	4	87	18	9	58	2	ST648 Cplx
2783	99	6	33	33	24	12	7	ST86 Cplx
2784	53	405	47	13	36	28	29	ST131 Cplx
2785	6	4	32	18	24	47	7	
2786	4	26	39	25	11	31	19	ST38 Cplx
2787	6	402	22	18	11	8	7	
2788	10	45	5	10	12	8	49	ST165 Cplx
2789	295	403	55	333	260	40	38	
2790	6	4	33	136	99	8	2	
2791	6	29	4	18	1	8	6	
2792	87	53	231	140	1	187	2	
2794	33	26	2	16	5	16	19	
2795	64	4	5	1	8	8	6	
2796	52	54	76	101	35	40	38	
2797	203	26	27	27	40	5	73	
2798	92	4	87	10	70	8	6	
2799	64	126	5	36	70	8	6	
2800	13	363	49	14	17	199	34	
2801	88	43	9	334	17	44	96	
2802	76	103	247	335	30	10	228	
2803	12	406	298	30	15	2	2	
2804	13	43	9	37	118	252	85	
2805	83	260	299	12	1	1	2	
2806	13	14	19	22	30	11	229	
2807	76	407	10	336	30	14	230	
2808	13	24	19	36	262	14	25	
2809	17	37	13	96	26	146	91	
2810	80	23	42	12	1	2	2	
2811	164	22	160	6	137	16	19	
2812	6	260	225	291	80	1	138	
2813	13	24	10	14	30	14	92	
2814	87	276	53	24	55	178	2	
2815	10	11	4	1	8	13	2	
2816	35	183	29	1	4	5	73	ST405 Cplx
2817	10	11	4	1	11	13	2	
2818	18	187	22	52	180	129	19	
2819	163	393	85	338	68	66	225	
2820	6	37	33	26	11	8	6	
2821	10	11	4	55	8	13	2	ST10 Cplx
2822	10	11	216	187	42	212	73	
2823	6	4	4	18	24	156	14	ST155 Cplx
2824	34	140	39	87	67	129	4	ST349 Cplx
2825	6	4	5	26	7	13	6	
2826	6	6	14	339	9	7	7	
2827	10	268	4	8	9	35	2	
2828	10	35	61	52	5	16	4	
2829	13	24	10	14	17	25	17	
2830	40	43	9	36	30	44	77	
2831	13	52	10	14	17	27	17	
2832	37	38	19	36	17	44	26	ST95 Cplx
2833	64	4	33	10	20	12	7	
2834	168	371	225	30	15	22	2	
2835	10	11	138	8	42	13	2	ST10 Cplx
2836	6	135	12	16	9	7	7	
2837	27	32	47	29	26	11	22	ST59 Cplx
2838	53	40	47	192	36	28	29	ST131 Cplx
2839	10	11	4	8	187	8	2	
2840	40	137	9	13	16	10	9	ST12 Cplx
2841	227	137	9	13	16	10	9	ST12 Cplx
2842	35	183	29	25	132	5	73	ST405 Cplx
2843	13	137	9	192	16	10	9	ST12 Cplx
2844	160	24	9	13	17	11	25	ST73 Cplx
