ST	AAT1a	ACC1	ADP1	MPIb	SYA1	VPS13	ZWF1b	clonal_complex
818	7	3	3	3	3	39	95	
819	4	3	54	2	2	149	5	
820	3	3	5	3	2	100	6	
821	2	5	5	4	2	24	5	
822	8	32	64	34	7	55	5	
823	23	3	5	3	57	100	136	
824	47	13	4	2	2	53	22	
825	34	3	5	3	57	150	6	
826	23	3	2	3	115	100	6	
827	59	55	35	62	44	30	6	
828	35	7	4	4	4	117	4	
829	35	7	65	4	4	26	20	
830	35	2	14	4	4	26	4	
831	35	4	17	4	4	26	20	
832	58	3	8	4	7	44	8	
833	13	10	6	2	93	151	22	
834	13	17	21	19	27	32	22	
835	35	7	4	4	7	10	4	
836	5	5	5	4	116	6	5	
837	4	7	35	6	74	76	8	
838	21	14	41	4	6	147	47	
839	30	12	21	1	6	30	22	
840	6	3	37	2	38	46	12	
841	70	14	8	4	34	10	8	
842	33	14	38	2	117	122	15	
843	35	7	4	4	4	148	4	
844	4	56	14	4	4	26	26	
845	4	4	14	4	4	26	26	
846	4	3	6	3	118	20	12	
847	8	7	30	4	7	44	8	
848	2	3	5	2	2	24	16	
849	39	14	50	6	4	118	15	
850	39	14	50	6	4	118	137	
851	58	14	8	4	7	44	8	
852	2	5	5	2	2	24	2	
853	14	14	8	4	2	3	8	
854	3	5	5	2	2	68	5	
855	21	8	14	18	72	102	84	
856	21	8	14	18	72	47	84	
857	36	29	4	4	4	4	4	
858	4	2	14	4	4	117	4	
859	21	8	21	19	27	152	22	
860	2	5	5	2	2	153	2	
861	8	5	2	2	2	6	49	
862	4	7	66	4	32	26	20	
863	39	14	50	6	4	118	22	
864	70	14	6	4	7	3	8	
865	13	7	15	6	42	37	22	
866	62	3	21	1	6	4	4	
867	3	3	3	2	119	39	138	
868	13	10	15	6	50	37	15	
869	62	3	3	2	3	154	22	
870	2	5	5	2	2	155	27	
871	31	2	5	2	2	20	49	
872	2	2	5	2	2	20	49	
873	8	2	5	2	2	155	5	
874	62	3	21	4	6	30	4	
875	30	3	21	1	6	30	4	
876	58	14	8	4	50	3	35	
877	3	2	25	18	120	32	6	
878	8	3	20	6	26	69	22	
879	8	5	20	6	26	69	22	
880	62	3	21	1	6	30	4	
881	35	7	67	63	4	156	4	
882	35	7	67	63	4	26	4	
883	4	17	21	6	27	84	22	
884	13	57	15	6	7	32	15	
885	2	5	5	2	2	83	5	
886	87	14	6	1	65	157	22	
887	87	14	6	5	65	157	22	
888	2	5	20	6	12	69	22	
889	4	17	21	6	27	158	22	
890	13	10	68	6	50	159	139	
891	88	12	69	1	6	30	4	
892	62	12	21	1	6	4	4	
893	62	3	21	4	34	30	4	
894	62	3	21	1	34	30	4	
895	8	2	5	2	2	6	27	
896	47	14	52	28	18	4	6	
897	62	58	21	1	6	30	4	
898	13	7	15	6	42	160	22	
899	62	3	70	1	6	4	4	
900	2	5	5	2	2	161	4	
901	62	12	21	1	6	4	15	
902	2	5	5	2	2	155	5	
903	30	12	21	1	6	4	4	
904	60	10	21	1	7	11	4	
905	62	3	3	3	3	3	22	
906	89	12	21	1	6	30	4	
907	78	12	21	1	6	30	4	
908	3	59	21	1	121	162	4	
909	6	13	21	1	7	11	4	
910	90	4	4	4	4	26	22	
911	8	3	20	6	43	163	22	
912	62	12	21	1	6	30	20	
913	2	5	5	9	2	6	25	
914	8	14	8	4	7	164	8	
915	8	3	6	4	7	10	8	
916	35	4	14	4	4	26	4	
917	2	2	5	2	2	24	8	
918	62	3	3	3	3	39	95	
919	15	7	16	7	122	51	14	
920	2	5	5	2	2	6	27	
921	4	7	16	7	13	165	20	
922	9	10	21	1	7	11	15	
923	91	32	21	9	55	53	66	
924	8	14	6	4	7	3	8	
925	9	13	21	1	7	11	15	
926	58	7	8	4	7	3	8	
927	43	14	8	4	7	10	8	
928	24	3	6	4	31	20	15	
929	9	32	4	28	34	27	15	
930	62	3	3	36	3	39	95	
931	62	12	21	1	6	30	140	
932	53	31	10	64	84	114	111	
933	92	32	3	3	12	101	95	
934	13	3	21	6	6	32	6	
935	13	3	21	6	6	166	6	
936	33	3	21	6	6	32	6	
937	62	3	71	1	6	30	4	
938	8	5	5	2	2	6	20	
939	2	2	2	4	2	24	5	
940	2	2	2	4	2	24	20	
941	2	2	5	4	2	24	20	
942	53	31	10	37	84	114	111	
943	53	31	10	37	24	114	111	
944	5	14	2	4	7	3	8	
945	2	5	2	65	2	24	5	
946	2	26	2	2	2	24	5	
947	4	17	21	19	27	84	22	
948	8	14	2	4	7	3	8	
949	2	2	2	9	2	79	5	
950	2	60	5	2	7	79	4	
951	3	2	5	9	2	6	5	
952	13	7	10	1	34	32	15	
953	13	10	15	6	7	167	15	
954	2	5	6	2	2	24	5	
955	35	2	4	25	4	35	4	
956	11	8	6	1	34	10	119	
957	13	7	15	6	7	32	15	
958	35	4	4	4	4	35	4	
959	13	2	6	2	4	77	27	
960	35	2	6	4	4	26	4	
961	1	7	6	5	123	29	141	
962	13	10	14	6	7	37	15	
963	71	14	8	4	7	10	8	
964	13	10	15	66	7	37	15	
965	93	3	21	1	6	30	4	
966	31	2	2	2	2	24	5	
967	35	4	4	67	4	26	4	
968	3	5	5	9	2	6	5	
969	8	14	8	4	50	10	8	
970	4	2	4	1	49	26	31	
971	2	5	5	1	2	6	5	
972	8	14	8	1	7	10	22	
973	8	14	8	1	7	3	22	
974	34	5	6	1	2	24	5	
975	2	2	5	1	2	6	5	
976	36	4	6	1	4	26	4	
977	2	2	5	2	2	6	142	
978	36	4	4	1	4	26	7	
979	94	3	8	4	7	10	35	
980	13	11	15	6	34	37	12	
981	13	11	72	6	7	55	12	
982	2	5	5	2	2	6	49	
983	47	7	73	28	2	30	6	
984	3	3	21	1	6	30	4	
985	62	3	21	1	6	8	4	
986	33	7	6	2	30	123	15	
987	2	5	5	28	2	6	5	
988	4	7	43	7	122	19	14	
989	87	14	6	36	65	10	12	
990	75	7	16	7	34	51	14	
991	8	5	20	6	4	70	22	
992	13	5	6	6	2	21	22	
993	57	4	20	2	71	104	12	
994	33	7	6	2	31	123	15	
995	2	2	2	2	2	79	5	
996	62	12	74	1	6	4	4	
997	62	3	3	1	3	3	22	
998	62	12	75	1	34	162	125	
999	95	61	4	4	4	26	22	
1000	13	10	15	6	7	168	15	
1001	13	10	15	6	2	37	40	
1002	96	12	21	5	6	30	4	
1003	2	3	5	2	2	24	20	
1004	52	14	8	4	7	3	8	
1005	13	5	2	2	2	6	16	
1006	4	2	4	68	4	26	18	
1007	35	2	14	4	34	26	4	
1008	2	5	5	9	2	5	12	
1009	98	5	5	2	46	20	5	
1010	21	26	14	32	72	102	84	
1011	36	4	4	4	34	24	4	
1012	47	14	35	28	44	20	6	
1013	2	5	5	4	2	20	117	
1014	5	2	5	69	2	21	5	
1015	12	5	5	4	2	20	5	
1016	21	62	41	2	4	76	27	
1017	80	26	10	59	113	109	12	
1018	12	63	10	71	112	14	11	
1019	53	31	10	36	83	113	111	
1020	13	32	76	19	7	74	5	
1021	4	7	16	7	13	19	20	
1022	4	17	42	19	53	32	22	
1023	4	7	6	4	4	117	4	
1024	4	2	14	4	4	26	4	
1025	3	3	6	3	57	100	6	
1026	3	3	6	3	57	100	136	
1027	98	5	5	2	2	20	5	
1028	98	2	5	2	2	20	5	
1029	33	14	4	54	6	45	15	
1030	74	22	6	18	64	53	15	
1031	12	9	10	72	11	14	11	
1032	13	7	10	6	2	37	15	
1033	23	14	21	2	30	46	12	
1034	8	5	5	9	2	6	5	
1035	13	7	14	6	2	37	15	
1036	4	4	6	4	4	26	4	
1037	49	4	6	35	124	157	95	
1038	99	58	6	1	6	20	143	
1039	2	5	77	4	2	6	5	
1040	2	5	2	4	2	6	5	
1041	36	2	6	4	4	4	4	
1042	87	7	6	35	64	157	95	
1043	3	3	37	73	26	46	12	
1044	13	7	78	6	7	32	15	
1045	28	3	20	4	6	104	58	
1046	36	7	14	4	4	24	4	
1047	8	2	5	2	2	6	5	
1048	4	3	6	19	64	20	15	
1049	13	10	15	6	7	140	22	
1050	13	64	15	6	7	140	15	
1051	2	5	6	2	2	6	12	
1052	4	7	4	4	34	26	4	
1053	2	3	5	9	2	169	12	
1054	62	3	21	1	6	20	22	
1055	3	5	5	28	2	24	5	
1056	60	10	21	5	7	11	15	
1057	96	58	21	1	6	30	4	
1058	2	2	5	2	2	6	12	
1059	2	5	5	2	2	20	16	
1060	2	5	5	21	2	20	5	
1061	8	7	8	4	2	10	8	
1062	8	3	5	2	2	24	5	
1063	62	3	79	3	3	32	95	
1064	35	7	4	74	4	26	72	
1065	13	65	41	2	4	76	27	
1066	62	12	21	1	6	170	4	
1067	37	64	21	1	34	266	264	
1068	1	54	80	1	1	1	145	
1069	53	31	10	36	83	171	111	
1070	100	14	8	4	34	3	8	
1071	23	58	6	1	6	20	143	
1072	33	7	32	75	2	61	48	
1073	13	64	15	6	7	37	15	
1074	11	26	6	4	34	172	119	
1075	62	3	43	3	3	39	95	
1076	2	5	5	2	2	173	5	
1077	5	13	21	34	7	55	5	
1078	30	3	43	3	3	32	12	
1079	30	3	43	3	26	32	12	
1080	35	7	4	4	49	26	4	
1081	35	7	4	4	49	4	4	
1082	23	3	6	3	57	100	6	
1083	4	2	14	4	4	4	4	
1084	13	2	41	12	34	76	27	
1085	13	10	15	6	58	37	15	
1086	33	3	38	2	78	47	15	
1087	2	3	5	76	2	20	5	
1088	2	5	5	9	2	24	146	
1089	2	3	6	9	2	6	5	
1090	13	7	15	6	7	55	5	
1091	2	3	6	2	2	6	49	
1092	2	5	5	2	50	6	5	
1093	101	5	5	2	2	6	12	
1094	35	2	14	4	4	24	4	
1095	33	14	38	2	78	122	22	
1096	35	4	14	4	4	4	4	
1097	13	26	5	3	93	53	12	
1098	35	4	4	25	4	35	4	
1099	6	3	10	12	125	46	12	
1100	13	66	15	6	7	32	15	
1101	8	14	6	4	7	10	8	
1102	4	67	5	2	126	148	5	
1103	62	3	3	3	26	39	95	
1104	13	10	15	4	7	32	12	
1105	33	14	38	2	78	47	12	
1106	33	7	6	3	6	27	37	
1107	24	7	16	7	13	19	14	
1108	13	3	21	6	6	174	6	
1109	59	34	15	1	60	20	70	
1110	13	10	15	6	7	32	15	
1111	2	5	5	77	2	6	5	
1112	33	3	38	2	78	122	15	
1113	60	7	10	1	7	11	15	
1114	5	7	24	3	34	65	6	
1115	13	7	15	6	127	140	15	
1116	13	2	5	2	2	6	5	
1117	2	3	5	2	2	175	147	
1118	55	3	4	54	6	45	15	
1119	13	19	15	6	7	37	15	
1120	1	3	21	1	1	1	90	
1121	4	68	6	78	18	148	5	
1122	102	7	6	3	43	176	148	
1123	13	3	21	6	6	53	6	
1124	13	3	21	6	24	52	6	
1125	13	3	31	6	24	52	6	
1126	13	3	15	6	6	52	6	
1127	13	3	15	79	6	52	6	
1128	13	3	21	60	6	52	12	
1129	53	31	10	36	83	177	111	
1130	13	7	14	6	7	55	15	
1131	2	69	5	2	2	6	5	
1132	4	22	6	18	64	53	15	
1133	2	5	5	2	2	5	5	
1134	35	2	14	4	4	4	4	
1135	80	2	5	76	2	41	82	
1136	80	15	5	28	1	6	30	
1137	13	13	15	6	2	32	40	
1138	8	3	5	2	85	24	25	
1139	33	14	38	2	78	68	15	
1140	2	3	5	2	2	20	97	
1141	23	3	5	9	2	21	30	
1142	33	14	38	2	78	122	20	
1143	2	3	2	2	2	148	5	
1144	2	3	2	2	2	21	5	
1145	2	3	2	4	2	21	5	
1146	3	2	2	2	2	6	5	
1147	36	4	4	4	4	26	52	
1148	36	2	4	4	4	4	52	
1149	58	14	8	80	2	10	8	
1150	8	2	5	9	2	20	5	
1151	2	70	13	2	2	6	20	
1152	21	14	25	18	128	47	152	
1153	6	3	37	2	30	181	12	
1154	4	7	4	4	4	56	153	
1155	6	3	82	2	30	181	12	
1156	21	14	25	18	128	59	152	
1157	2	71	6	2	2	7	20	
1158	8	14	16	9	129	20	157	
1159	8	14	16	9	129	20	81	
1160	8	3	5	55	2	5	5	
1161	2	2	5	9	2	68	5	
1162	54	31	10	36	66	182	111	
1163	13	13	137	6	50	32	15	
1164	2	5	5	12	2	6	154	
1165	2	5	5	2	2	6	154	
1166	108	5	5	2	2	6	5	
1167	47	14	57	28	44	30	136	
1168	109	7	10	4	65	110	155	
1169	13	7	15	6	7	55	156	
1170	13	73	15	6	7	37	5	
1171	55	14	4	54	6	6	15	
1172	20	3	6	2	51	36	5	
1173	25	7	6	3	34	24	37	
1174	70	14	6	4	35	10	8	
1175	2	8	2	2	2	6	5	
1176	42	5	5	19	2	6	5	
1177	13	10	15	2	2	37	15	
1178	33	14	38	2	78	122	5	
1179	2	2	6	2	2	6	5	
1180	60	3	3	3	3	39	95	
1181	47	14	57	28	44	30	5	
1182	60	3	3	3	3	39	3	
1183	2	5	2	4	2	24	5	
1184	2	5	5	27	2	71	5	
1185	2	2	5	4	2	6	5	
1186	35	2	4	4	36	4	4	
1187	2	7	6	3	6	27	37	
1188	21	17	21	19	27	27	22	
1189	31	5	6	2	2	6	5	
1190	47	14	52	28	44	30	6	
1191	8	5	2	2	2	24	5	
1192	13	11	15	15	50	37	15	
1193	47	3	52	28	44	4	6	
1194	4	7	43	7	13	19	14	
1195	21	3	5	18	72	102	84	
1196	8	5	5	9	2	6	59	
1197	13	13	15	6	7	35	15	
1198	107	12	21	1	6	30	4	
1199	2	5	5	2	2	27	16	
1200	2	2	5	2	2	27	16	
1201	62	72	21	1	130	183	4	
1202	36	7	4	4	4	184	50	
1203	62	12	21	4	6	30	4	
1204	2	2	2	2	2	21	5	
1205	80	26	10	59	113	47	12	
1206	2	3	5	81	2	20	12	
1207	8	2	5	2	2	6	20	
1208	8	2	5	2	2	24	20	
1209	21	26	14	82	72	102	84	
1210	13	7	15	6	7	140	15	
1211	14	7	30	4	2	10	8	
1212	14	7	30	4	2	3	8	
1213	24	7	10	4	4	118	22	
1214	53	3	10	36	83	182	10	
1215	13	26	14	18	76	102	55	
1216	11	26	6	4	34	24	119	
1217	107	3	10	3	131	185	95	
1218	24	7	137	6	65	186	3	
1219	2	5	5	2	2	6	97	
1220	5	32	10	34	7	74	5	
1221	60	13	21	4	34	126	15	
1222	5	32	10	34	50	74	5	
1223	62	3	21	4	6	20	4	
1224	2	2	2	2	2	20	5	
1225	4	7	57	33	74	76	22	
1226	53	31	10	36	83	32	158	
1227	36	5	14	4	4	4	4	
1228	8	3	6	4	7	3	8	
1229	60	10	21	4	7	11	15	
1230	62	3	3	3	67	39	12	
1231	2	3	5	9	2	6	12	
1232	14	3	6	4	56	3	8	
1233	33	7	38	31	78	122	15	
1234	2	2	2	27	2	24	5	
1235	2	2	2	31	2	24	5	
1236	13	32	15	6	7	140	15	
1237	73	5	5	9	2	127	20	
1238	35	2	4	4	49	4	4	
1239	2	23	5	2	2	63	5	
1240	13	10	15	24	50	37	15	
1241	13	3	21	6	4	52	6	
1242	62	12	21	1	6	8	4	
1243	35	4	6	4	4	24	4	
1244	35	23	6	4	4	24	4	
1245	6	2	25	44	24	45	6	
1246	70	14	8	4	7	44	22	
1247	21	29	6	35	132	21	3	
1248	54	31	10	36	83	171	111	
1249	43	3	8	4	7	3	8	
1250	3	5	5	2	2	24	5	
1251	53	31	10	36	133	113	111	
1252	2	5	2	12	2	6	5	
1253	2	5	5	12	2	6	5	
1254	34	5	6	12	2	24	5	
1255	8	3	5	12	2	6	12	
1256	2	3	5	12	2	82	5	
1257	60	13	21	4	7	11	15	
1258	13	10	85	6	7	32	15	
1259	13	7	15	6	7	32	22	
1260	87	14	6	35	24	157	95	
1261	52	14	8	4	7	13	8	
1262	21	3	14	18	72	102	55	
1263	8	14	8	4	2	3	22	
1264	105	2	5	2	2	24	5	
1265	13	28	15	6	7	160	15	
1266	62	12	2	1	6	30	4	
1267	13	28	14	4	7	32	15	
1268	6	3	37	2	125	46	12	
1269	2	2	5	65	2	6	5	
1270	62	58	75	4	6	30	4	
1271	112	5	2	2	2	6	5	
1272	21	26	14	30	72	102	55	
1273	8	3	5	9	2	190	5	
1274	2	2	2	12	2	5	5	
1275	13	75	11	6	7	32	105	
1276	13	19	86	6	7	32	40	
1277	24	45	8	6	7	40	35	
1278	8	28	4	28	34	27	15	
1279	53	31	21	4	34	30	72	
1280	13	3	4	6	34	130	143	
1281	13	14	8	6	7	3	8	
1282	8	3	87	84	83	22	159	
1283	53	14	10	85	83	22	159	
1284	113	31	10	84	83	22	159	
1285	53	31	10	84	83	22	159	
1286	53	31	2	2	6	20	19	
1287	62	12	2	2	2	20	19	
1288	8	2	2	2	2	20	19	
1289	113	2	21	2	54	32	66	
1290	8	2	88	2	34	53	66	
1291	36	7	6	4	4	26	87	
1292	36	4	14	4	34	4	4	
1293	36	4	4	4	4	41	4	
1294	21	26	14	18	72	86	84	
1295	35	2	14	4	4	4	50	
1296	35	2	4	4	4	4	87	
1297	35	2	6	4	34	4	4	
1298	35	7	4	4	49	26	52	
1299	62	3	3	3	3	48	95	
1300	31	2	5	2	2	20	25	
1301	8	5	5	2	2	5	20	
1302	35	2	36	4	4	4	4	
1303	35	7	4	4	4	26	87	
1304	58	14	8	4	2	3	8	
1305	52	14	30	4	7	10	8	
1306	43	14	30	4	7	10	8	
1307	47	14	10	2	59	80	3	
1308	36	2	4	4	4	4	4	
1309	2	26	5	2	2	5	5	
1310	2	26	5	2	2	21	5	
1311	2	26	5	2	2	24	5	
1312	43	14	8	4	7	3	35	
1313	35	4	4	4	49	24	22	
1314	35	4	6	4	72	4	4	
1315	21	26	14	18	72	65	4	
1316	8	14	8	4	7	4	8	
1317	2	12	6	2	2	27	7	
1318	4	10	4	28	30	133	160	
1319	8	5	6	6	43	69	22	
1320	36	7	4	4	4	41	4	
1321	36	2	14	4	34	4	4	
1322	8	14	8	4	7	13	8	
1323	2	5	5	4	2	6	12	
1324	2	74	5	2	2	6	5	
1325	2	74	5	4	2	6	12	
1326	62	3	3	3	3	32	95	
1327	62	12	21	1	6	30	22	
1328	62	3	3	3	3	178	95	
1329	62	12	21	5	6	30	22	
1330	110	3	3	3	3	39	95	
1331	110	12	84	1	6	30	4	
1332	4	17	21	19	30	83	22	
1333	8	2	39	6	43	32	22	
1334	80	3	6	4	31	45	35	
1335	13	7	6	4	2	126	162	
1336	87	3	6	35	24	20	95	
1337	4	26	14	9	72	102	84	
1338	87	14	6	5	24	157	95	
1339	105	2	5	55	2	24	5	
1340	111	8	6	18	34	191	15	
1341	62	3	3	3	67	39	95	
1342	62	3	21	1	6	30	22	
1343	28	3	38	27	78	122	15	
1344	2	15	5	2	2	24	5	
1345	8	7	8	4	7	10	22	
1346	3	2	15	18	135	50	165	
1347	13	65	41	2	134	47	27	
1348	80	15	5	28	1	188	30	
1349	22	3	3	14	2	16	13	
1350	33	14	38	2	136	192	29	
1351	23	77	5	28	2	193	20	
1352	80	61	5	9	2	5	15	
1353	80	3	5	2	2	20	95	
1354	2	3	5	65	2	20	94	
1355	35	50	4	4	4	4	64	
1356	23	23	5	9	2	121	15	
1357	23	15	5	28	2	63	30	
1358	47	14	57	28	44	30	12	
1359	2	3	5	9	2	21	5	
1360	55	14	4	54	6	45	137	
1361	2	5	5	2	2	34	5	
1362	4	7	16	2	13	19	14	
1363	74	7	16	7	13	19	14	
1364	2	5	2	9	2	6	5	
1365	6	3	37	2	38	99	12	
1366	2	3	20	2	2	5	5	
1367	13	10	83	6	84	32	15	
1368	35	4	4	4	34	4	144	
1369	4	7	4	4	34	4	4	
1370	60	28	21	1	7	11	15	
1371	62	3	3	3	3	16	94	
1372	62	58	21	1	24	30	4	
1373	5	5	5	2	2	6	5	
1374	14	3	30	4	7	3	8	
1375	8	14	8	4	34	3	67	
1376	62	12	21	4	6	194	4	
1377	4	8	21	19	53	135	22	
1378	8	2	5	2	2	21	5	
1379	24	7	6	34	61	30	5	
1380	8	5	20	6	38	70	22	
1381	36	7	4	4	49	148	4	
1382	13	2	20	6	38	3	22	
1383	4	7	16	2	122	19	14	
1384	3	3	5	3	97	100	6	
1385	107	3	14	4	13	45	28	
1386	8	14	8	4	89	3	8	
1387	62	5	5	4	2	6	5	
1388	8	2	5	2	1	6	5	
1389	58	14	8	4	50	3	8	
1390	58	14	8	4	7	3	8	
1391	62	3	3	3	2	39	95	
1392	13	2	20	6	43	73	22	
1393	3	5	5	2	2	6	25	
1394	102	7	6	3	43	164	61	
1395	2	78	5	9	2	6	5	
1396	35	4	4	4	4	3	4	
1397	54	31	10	36	83	113	197	
1398	35	4	4	4	95	26	198	
1399	2	5	2	2	2	35	5	
1400	2	5	5	31	2	6	5	
1401	4	5	6	4	34	60	119	
1402	6	3	92	4	38	46	12	
1403	8	14	8	4	50	10	22	
1404	21	28	21	19	27	135	22	
1405	43	79	8	4	7	10	8	
1406	74	7	16	7	2	3	14	
1407	21	17	93	19	27	32	22	
1408	8	3	2	2	2	188	52	
1409	3	3	21	1	6	4	4	
1410	8	3	20	19	43	69	22	
1411	120	3	6	9	2	78	28	
1412	30	3	21	100	6	59	26	
1413	8	3	5	2	2	24	19	
1414	2	5	2	2	2	64	5	
1415	2	2	5	2	2	5	20	
1416	2	5	5	2	2	6	28	
1417	13	2	15	6	2	32	15	
1418	25	7	6	3	17	45	151	
1419	33	14	38	2	78	81	15	
1420	105	5	3	3	3	6	3	
1421	107	3	10	3	3	32	3	
1422	103	3	3	3	3	39	94	
1423	60	13	15	1	34	55	15	
1424	4	17	21	19	27	16	22	
1425	106	3	6	3	57	100	165	
1426	2	5	5	2	2	6	21	
1427	2	5	5	31	2	106	25	
1428	2	23	5	102	2	20	20	
1429	3	3	3	3	67	16	95	
1430	8	2	2	2	2	6	5	
1431	4	35	6	4	58	15	200	
1432	4	26	61	4	34	60	202	
1433	8	3	6	4	116	3	22	
1434	13	7	6	4	18	32	12	
1435	8	3	6	4	18	3	22	
1436	44	3	6	4	116	3	22	
1437	3	3	6	14	116	3	22	
1438	13	19	6	4	34	4	22	
1439	24	13	6	4	18	45	22	
1440	14	3	6	4	34	4	22	
1441	13	8	6	4	34	13	36	
1442	13	9	10	19	76	4	62	
1443	4	9	6	4	76	4	156	
1444	13	43	6	19	76	58	156	
1445	8	7	30	4	2	3	22	
1446	13	3	6	19	2	4	12	
1447	4	3	6	19	53	32	22	
1448	4	8	6	19	53	32	12	
1449	29	8	10	14	53	20	12	
1450	3	3	6	14	97	20	12	
1451	14	3	6	4	34	13	12	
1452	44	3	6	4	34	13	12	
1453	8	3	37	4	18	13	12	
1454	13	13	52	4	2	55	12	
1455	13	9	10	4	116	58	12	
1456	13	3	6	14	116	3	12	
1457	4	9	14	14	76	195	22	
1458	3	3	2	14	97	20	12	
1459	13	9	10	4	67	4	82	
1460	4	13	6	4	67	58	12	
1461	4	9	6	4	76	79	12	
1462	13	13	10	4	67	4	82	
1463	5	9	10	4	18	55	12	
1464	13	13	10	4	18	4	82	
1465	13	19	10	4	67	4	12	
1466	42	9	10	4	67	4	82	
1467	13	3	10	4	18	4	12	
1468	13	19	10	4	18	4	194	
1469	8	3	30	4	116	3	22	
1470	13	13	10	4	18	13	82	
1471	42	9	10	4	18	4	20	
1472	42	19	10	4	67	4	12	
1473	13	19	10	19	67	4	12	
1474	13	3	6	4	67	54	12	
1475	13	9	52	4	18	4	82	
1476	77	3	6	14	24	45	22	
1477	13	9	52	4	18	58	20	
1478	13	9	10	19	18	4	20	
1479	13	13	10	4	10	4	12	
1480	13	9	10	19	18	4	12	
1481	13	9	10	4	18	4	12	
1482	13	13	10	4	18	4	20	
1483	13	13	10	4	34	4	20	
1484	13	13	10	4	10	58	20	
1485	4	8	10	19	53	13	12	
1486	28	14	38	2	78	47	201	
1487	2	3	5	4	2	190	20	
1488	9	7	6	1	7	11	203	
1489	4	10	4	28	93	133	160	
1490	70	14	8	4	7	4	8	
1491	3	5	20	2	2	20	5	
1492	4	7	4	4	4	56	123	
1493	8	5	13	2	2	5	5	
1494	96	12	21	1	6	30	4	
1495	36	4	4	4	4	26	22	
1496	35	2	4	4	49	26	4	
1497	123	2	6	2	126	21	96	
1498	124	2	6	40	95	196	96	
1499	112	2	4	2	4	5	12	
1500	33	7	98	2	106	122	15	
1501	35	2	6	4	4	26	205	
1502	21	26	14	18	72	102	55	
1503	35	7	6	1	4	4	204	
1504	122	26	14	18	72	102	84	
1505	36	4	4	4	4	4	31	
1506	35	2	14	4	4	4	87	
1507	35	7	4	4	4	26	52	
1508	36	2	4	4	4	24	4	
1509	21	26	14	18	72	65	84	
1510	33	14	6	2	78	81	15	
1511	2	5	5	12	2	20	65	
1512	55	7	4	9	34	45	208	
1513	5	32	44	34	7	55	207	
1514	77	7	6	14	34	45	12	
1515	42	2	2	4	2	45	82	
1516	33	7	6	48	76	47	22	
1517	13	9	14	4	26	4	22	
1518	42	77	2	48	2	54	82	
1519	4	3	52	4	26	54	60	
1520	4	3	39	48	26	20	60	
1521	42	77	6	48	2	20	82	
1522	3	3	6	87	2	45	12	
1523	4	7	6	4	34	47	136	
1524	42	2	6	48	2	20	11	
1525	77	3	14	14	17	45	22	
1526	42	77	2	9	2	20	82	
1527	42	3	6	4	2	20	82	
1528	42	3	14	14	2	45	156	
1529	13	7	13	6	2	197	15	
1530	13	10	13	6	7	49	15	
1531	13	10	13	6	42	37	15	
1532	13	10	13	6	7	37	15	
1533	5	5	5	9	2	6	56	
1534	2	5	5	9	2	35	56	
1535	2	5	5	9	2	21	56	
1536	80	7	6	107	18	4	15	
1537	25	7	6	34	61	30	5	
1538	126	35	6	78	154	27	3	
1539	100	47	6	4	7	199	8	
1540	126	35	6	78	154	20	3	
1541	25	32	5	2	156	45	22	
1542	47	14	99	50	6	30	12	
1543	126	8	6	78	97	27	3	
1544	4	7	6	2	96	111	12	
1545	33	7	4	3	155	45	15	
1546	21	17	21	19	27	198	22	
1547	128	26	6	4	34	60	119	
1548	80	29	21	106	31	45	6	
1549	80	29	21	106	31	45	152	
1550	47	14	99	50	24	30	12	
1551	4	8	21	19	27	32	211	
1552	129	8	6	78	154	27	3	
1553	107	3	3	3	3	3	95	
1554	28	5	6	28	6	201	209	
1555	125	14	30	9	93	20	13	
1556	125	14	8	2	93	20	13	
1557	54	3	10	36	94	113	197	
1558	14	32	6	103	7	45	206	
1559	127	3	6	2	38	105	12	
1560	59	14	99	50	6	30	12	
1561	80	8	21	106	34	41	6	
1562	1	3	4	3	2	73	112	
1563	1	7	10	6	61	105	112	
1564	1	7	15	4	61	105	112	
1565	2	2	6	2	2	21	5	
1566	2	3	5	2	2	35	5	
1567	2	3	5	4	2	21	5	
1568	2	5	5	2	2	63	20	
1569	4	4	6	2	96	32	15	
1570	4	7	6	2	96	111	15	
1571	4	8	6	4	34	13	119	
1572	4	17	21	19	53	83	22	
1573	4	26	6	4	34	13	119	
1574	4	26	6	4	34	60	119	
1575	100	32	6	105	7	200	206	
1576	13	14	8	6	7	32	12	
1577	43	14	8	4	7	10	22	
1578	23	3	5	2	7	100	6	
1579	5	10	37	4	57	105	5	
1580	25	32	5	2	156	202	8	
1581	78	14	8	4	156	10	22	
1582	39	35	6	4	7	29	201	
1583	13	10	15	6	7	49	212	
1584	13	80	6	108	2	105	12	
1585	21	3	48	32	31	32	15	
1586	21	26	48	18	31	32	15	
1587	21	26	48	32	31	32	15	
1588	29	26	54	3	7	102	12	
1589	13	13	8	4	7	37	8	
1590	2	3	6	2	120	97	5	
1591	4	10	14	28	7	195	160	
1592	39	35	6	4	61	29	15	
1593	5	32	10	6	7	74	5	
1594	5	32	21	6	7	74	5	
1595	5	7	37	4	34	105	22	
1596	5	32	21	14	7	74	49	
1597	5	32	21	19	34	55	5	
1598	5	32	21	34	2	74	5	
1599	5	32	21	34	7	74	25	
1600	5	32	21	34	56	74	5	
1601	5	32	53	34	7	55	5	
1602	5	45	21	19	7	55	5	
