ST	arcC	ddl	gki	recP	tdk	tpi	yqiL	clonal_complex
703	1	1	2	2	17	3	13	ST-143 complex
704	6	2	3	3	17	1	3	ST-86 complex
705	3	2	3	3	17	1	13	ST-86 complex
706	5	1	4	1	6	1	3	
707	3	1	4	3	17	1	3	ST-86 complex
708	19	1	2	1	17	1	3	ST-5 complex
709	3	1	3	2	17	1	3	ST-143 complex
710	3	1	5	2	58	1	3	
711	20	1	5	2	17	1	3	ST-143 complex
712	25	1	5	2	17	1	3	ST-143 complex
713	3	10	5	2	58	1	3	
714	21	1	5	2	17	1	10	
715	4	1	4	2	17	1	10	
716	4	1	4	3	3	1	3	
717	6	2	3	2	13	4	3	ST-86 complex
718	4	10	3	2	13	1	3	ST-86 complex
719	1	1	2	2	17	6	3	ST-143 complex
720	19	2	3	3	13	4	3	ST-86 complex
721	18	1	5	2	17	6	10	ST-143 complex
722	3	4	5	3	17	2	3	
723	18	24	5	2	17	4	3	ST-143 complex
724	4	7	4	3	37	1	10	
725	18	1	2	3	17	3	3	ST-143 complex
726	20	22	6	13	22	4	15	
727	19	1	4	3	13	1	3	ST-86 complex
728	3	2	3	1	5	1	3	ST-86 complex
729	4	4	3	2	4	1	10	
730	1	1	3	2	17	1	13	
731	3	1	3	4	17	6	13	
732	3	1	3	3	17	4	3	ST-143 complex
733	32	1	5	1	16	1	7	
734	1	1	2	1	17	1	9	ST-5 complex
735	4	1	3	3	4	1	3	ST-86 complex
736	1	1	3	3	17	1	3	ST-86 complex
737	3	4	3	4	5	4	3	
738	1	1	2	1	17	1	3	ST-5 complex
739	1	1	2	1	17	2	3	ST-5 complex
740	1	1	2	1	17	3	3	ST-5 complex
741	1	1	5	1	17	1	3	ST-5 complex
742	21	1	4	2	4	1	10	
743	1	1	2	1	17	1	7	ST-5 complex
744	1	1	2	1	17	6	7	ST-5 complex
745	1	1	5	1	17	1	7	ST-5 complex
746	18	1	2	1	17	1	7	ST-5 complex
747	6	1	3	3	17	1	3	ST-86 complex
748	6	2	4	1	17	1	3	
749	18	2	3	2	17	1	3	ST-143 complex
750	19	2	3	4	13	1	3	ST-86 complex
751	19	4	3	4	13	1	3	ST-86 complex
752	19	2	20	4	17	1	3	
753	3	1	2	4	17	6	3	ST-143 complex
754	1	1	2	4	17	4	14	ST-143 complex
755	1	1	2	4	17	6	13	
756	1	1	2	12	17	4	14	ST-143 complex
757	3	4	3	3	13	1	3	ST-86 complex
758	3	10	5	3	13	1	3	ST-86 complex
759	18	1	2	1	17	1	3	ST-143 complex
760	1	1	2	2	2	1	14	ST-5 complex
761	1	1	13	1	17	1	14	ST-5 complex
762	18	1	2	2	17	1	7	ST-143 complex
763	18	1	2	2	24	1	3	ST-143 complex
764	18	1	2	2	58	1	3	ST-143 complex
765	18	1	5	2	17	1	3	ST-143 complex
766	18	2	2	2	13	1	3	ST-143 complex
767	1	1	5	4	17	6	14	
768	6	1	5	4	17	6	14	
769	6	7	4	2	37	1	3	
770	2	42	12	1	63	19	3	
771	1	37	43	2	76	19	17	
772	2	30	12	1	26	19	3	
773	2	37	4	1	67	19	3	
774	1	37	4	1	67	19	3	
775	2	37	10	2	43	19	3	
776	40	37	4	1	10	19	36	
777	2	30	4	4	63	19	3	
778	6	1	5	2	17	2	58	
779	42	18	4	2	58	4	10	
780	3	28	41	2	3	2	3	
781	29	1	4	2	17	4	10	ST-143 complex
782	57	1	5	1	2	1	7	ST-5 complex
783	1	1	2	2	7	1	57	ST-5 complex
784	58	10	5	3	34	1	17	
785	4	1	4	25	84	1	3	
786	4	1	3	2	82	2	3	
787	9	23	49	2	55	4	3	
788	1	1	3	2	7	1	58	
789	57	1	4	24	2	1	3	
790	1	1	12	2	2	2	3	
791	3	2	36	3	3	2	3	ST-86 complex
792	3	37	3	2	5	4	3	
793	4	1	12	3	3	3	5	
794	1	1	4	2	2	1	7	ST-5 complex
795	4	4	3	2	3	2	3	
796	4	1	3	3	5	4	3	
797	2	1	43	2	2	1	3	
798	3	4	3	2	5	1	3	ST-86 complex
799	1	1	12	1	65	1	10	ST-5 complex
800	21	4	3	4	5	4	3	
801	42	2	32	2	47	4	38	
802	9	7	7	2	28	4	2	
803	9	23	5	1	55	4	23	
804	3	25	3	12	5	2	3	
805	9	1	5	2	55	4	10	
806	5	1	4	3	12	1	10	
807	3	1	4	2	13	1	3	ST-86 complex
808	3	1	3	2	3	4	3	ST-143 complex
809	3	1	12	2	2	1	3	
810	3	28	41	2	3	4	3	
811	3	1	3	2	5	2	3	
812	3	1	5	2	2	3	7	
813	59	1	4	2	83	4	63	
814	62	2	3	2	28	4	3	
815	56	1	3	2	2	18	3	
816	1	57	3	2	1	1	3	
817	20	2	54	2	4	1	10	
818	18	4	5	1	87	1	3	
819	4	53	5	2	21	1	3	
820	18	1	5	4	17	28	14	
821	18	1	5	2	17	30	3	ST-143 complex
822	4	54	4	2	13	1	3	
823	6	2	5	27	13	4	3	
824	3	2	52	3	13	1	3	ST-86 complex
825	6	2	3	27	13	4	3	ST-86 complex
826	3	2	4	3	86	4	3	ST-86 complex
827	4	10	5	2	85	1	3	
828	18	1	3	1	17	30	7	
829	18	1	50	2	17	1	3	ST-143 complex
830	1	1	5	2	88	1	3	
831	3	16	3	2	13	2	62	
832	1	1	2	1	17	30	3	ST-5 complex
833	1	1	2	2	17	29	7	ST-143 complex
834	18	1	53	2	17	1	3	ST-143 complex
835	1	24	5	2	17	4	61	
836	18	1	2	1	17	30	3	ST-143 complex
837	20	2	54	2	17	1	10	
838	61	1	5	2	17	6	3	ST-143 complex
839	6	2	3	2	87	4	10	
840	3	1	51	2	17	1	3	ST-143 complex
841	1	1	13	29	17	6	3	
842	6	55	4	1	17	1	3	
843	1	1	2	28	17	1	3	ST-5 complex
844	1	1	5	4	17	6	59	
845	60	4	3	3	17	1	3	ST-86 complex
846	1	1	2	26	17	1	3	ST-5 complex
847	4	10	5	3	37	1	60	
848	1	1	3	1	17	31	9	
849	1	1	2	1	17	31	3	ST-5 complex
850	3	1	4	1	3	2	3	
851	3	1	4	2	5	1	3	
852	3	2	3	4	9	4	3	ST-86 complex
853	3	7	5	3	3	1	3	ST-86 complex
854	3	1	37	2	13	1	2	
855	9	1	27	2	39	1	3	
856	25	1	27	2	17	2	3	ST-143 complex
857	1	1	6	2	16	1	3	
858	6	24	5	19	16	1	3	
859	44	25	5	2	5	2	3	
860	9	1	4	2	4	1	3	
861	9	1	4	2	2	2	3	
862	9	28	27	2	39	1	3	
863	9	1	4	2	2	1	3	
864	2	1	6	2	17	2	3	ST-143 complex
865	3	28	3	2	5	2	3	
866	4	1	43	2	2	1	3	
867	3	2	3	2	5	4	3	ST-86 complex
868	3	1	3	2	3	2	3	
869	3	8	3	4	3	4	17	
870	9	1	4	2	4	2	3	
871	9	7	5	3	13	1	10	
872	1	1	37	2	1	1	6	
873	25	1	27	2	2	18	3	
874	1	1	5	2	1	1	3	
875	2	2	2	1	2	1	3	ST-5 complex
876	1	1	4	1	65	1	3	ST-5 complex
877	2	1	4	2	2	1	3	
878	2	1	4	1	76	1	3	
879	2	1	3	2	1	1	3	
880	2	37	5	2	1	1	3	
881	2	37	56	3	2	4	3	
882	4	1	5	2	2	1	3	
883	4	1	4	1	62	4	3	
884	8	1	6	4	3	2	3	
885	21	5	5	1	2	1	3	
886	29	1	56	2	17	4	10	ST-143 complex
887	42	2	43	2	48	4	17	
888	1	1	5	1	7	1	3	ST-5 complex
889	1	1	4	1	1	1	10	ST-5 complex
890	2	1	10	3	2	2	3	
891	3	24	5	4	13	1	3	ST-86 complex
892	1	23	2	2	2	1	3	ST-5 complex
893	1	1	12	12	28	1	3	
894	8	1	6	3	3	2	3	
895	5	42	5	2	2	3	3	
896	1	1	1	2	2	1	2	ST-5 complex
897	1	1	12	1	7	1	10	ST-5 complex
898	9	4	3	4	3	1	3	
899	4	1	10	2	2	1	10	
900	1	3	5	2	65	1	7	
901	2	1	5	2	2	1	7	
902	1	23	12	1	7	3	7	
903	1	1	5	1	84	1	3	ST-5 complex
904	1	1	2	2	2	3	10	ST-5 complex
905	3	23	12	2	2	3	10	
906	1	1	4	2	2	1	3	ST-5 complex
907	57	1	2	1	2	1	3	ST-5 complex
908	4	1	12	3	3	3	3	
909	1	1	2	1	7	1	10	ST-5 complex
910	3	58	41	2	3	4	3	
911	5	1	4	3	13	1	47	
912	1	37	5	1	17	1	3	
913	1	37	4	1	17	1	3	
914	2	1	4	1	65	1	3	
915	57	1	4	2	65	1	3	
916	1	1	43	1	7	1	10	ST-5 complex
917	1	23	5	2	2	1	3	
918	2	3	10	2	2	1	3	
919	57	1	5	2	2	1	7	
920	1	1	3	2	28	2	3	
921	1	1	43	1	1	1	10	ST-5 complex
922	57	49	5	1	1	1	10	
923	2	1	2	2	28	1	7	
924	35	1	5	2	2	1	7	
925	4	1	12	3	3	2	3	
926	3	23	5	2	55	1	10	
927	1	37	3	1	17	1	3	
928	1	1	4	2	17	1	7	
929	1	37	5	1	2	1	3	ST-5 complex
930	57	1	5	2	2	3	10	
931	2	1	10	3	2	3	3	
932	1	1	3	2	17	1	10	
933	1	30	2	2	2	1	10	ST-5 complex
934	42	1	12	12	58	1	3	
935	1	49	2	1	2	1	7	ST-5 complex
936	1	30	5	2	2	1	10	
937	4	2	3	4	5	17	3	
938	9	7	5	3	55	4	10	
939	35	1	4	3	17	1	10	
940	5	1	5	2	17	4	10	ST-143 complex
941	9	2	45	2	55	1	10	
942	42	1	4	2	65	1	3	
943	9	2	5	2	20	4	3	
944	1	1	2	1	2	1	7	ST-5 complex
945	30	7	4	2	13	1	3	
946	3	1	12	3	3	3	3	
947	4	1	3	2	3	2	3	
948	1	1	5	1	2	1	10	ST-5 complex
949	1	1	5	2	7	3	10	
950	1	23	12	2	7	3	10	
951	1	49	2	1	65	1	7	ST-5 complex
952	2	1	43	1	7	1	10	
953	1	1	2	1	7	1	3	ST-5 complex
954	1	1	43	1	1	1	7	ST-5 complex
955	4	1	12	2	65	1	10	
956	4	1	5	3	7	1	3	
957	1	2	4	4	95	1	3	
958	1	1	3	2	7	1	65	
959	64	1	5	1	2	1	3	ST-5 complex
960	64	1	12	1	2	1	10	ST-5 complex
961	1	61	4	2	62	1	67	
962	3	2	3	4	93	2	3	ST-86 complex
963	42	59	4	1	58	4	10	
964	2	37	5	1	97	1	3	
965	64	5	5	1	76	1	3	
966	66	1	4	3	13	1	47	
967	5	1	5	2	95	1	3	
968	3	2	3	4	95	1	3	ST-86 complex
969	64	5	10	1	76	1	3	
970	5	2	5	4	32	32	3	
971	9	23	5	2	98	4	3	
972	29	24	3	2	98	1	10	
973	66	1	4	3	94	1	47	
974	65	1	3	2	3	2	10	
975	65	49	2	2	2	1	66	
976	2	60	4	2	3	4	27	
977	2	1	57	1	43	1	3	
978	4	1	5	2	28	1	68	
979	10	1	4	2	46	33	10	
980	1	61	5	1	96	1	3	
981	4	23	5	3	2	3	69	
982	2	1	58	1	2	1	3	ST-5 complex
983	9	23	4	32	55	1	10	
984	9	1	5	2	17	1	17	
985	6	2	3	3	3	2	3	ST-86 complex
986	3	1	5	1	2	34	10	
987	54	51	59	19	99	35	42	
988	2	2	34	2	31	4	70	
989	54	51	59	19	99	4	42	
990	9	1	3	2	17	1	7	
991	19	1	5	2	17	1	3	ST-143 complex
992	2	2	4	33	31	36	70	
993	2	1	4	2	2	2	3	
994	1	1	5	2	100	11	7	
995	1	1	37	4	17	2	3	
996	1	1	37	3	17	2	3	
997	1	1	3	3	3	2	3	
998	1	1	37	4	17	18	3	
999	1	1	56	2	24	39	3	
1000	1	1	2	2	17	2	3	ST-143 complex
1001	1	1	37	3	101	2	5	
1002	1	1	37	3	17	4	3	ST-143 complex
1003	1	1	37	2	17	2	3	ST-143 complex
1004	1	15	3	2	17	18	3	
1005	1	15	43	2	17	1	71	
1006	2	1	4	2	28	37	3	
1007	2	1	4	2	3	1	3	
1008	2	5	24	2	2	40	3	
1009	2	1	2	4	2	18	3	
1010	2	2	1	4	2	18	3	
1011	2	1	4	2	13	1	3	
1012	2	2	2	4	2	18	3	
1013	2	1	4	2	2	1	10	
1014	2	64	27	2	39	1	3	
1015	2	2	2	4	13	2	3	
1016	2	1	1	2	1	1	3	
1017	3	2	3	4	3	2	3	ST-86 complex
1018	3	1	3	4	9	1	3	ST-86 complex
1019	3	2	28	2	3	2	3	
1020	3	2	3	4	2	18	5	
1021	3	1	3	2	17	2	3	ST-143 complex
1022	3	1	3	1	9	2	3	
1023	3	2	3	2	5	2	3	ST-86 complex
1024	3	15	3	2	17	2	3	
1025	4	2	56	3	3	2	3	
1026	6	15	37	2	17	18	3	
1027	6	1	37	1	28	2	3	
1028	6	15	62	2	17	18	3	
1029	6	64	56	2	104	4	3	
1030	6	1	56	2	17	39	3	ST-143 complex
1031	6	64	56	2	3	4	3	
1032	6	63	37	34	17	18	3	
1033	9	1	27	2	39	1	10	
1034	9	1	2	3	103	2	10	
1035	9	2	3	3	3	4	13	
1036	9	1	27	2	5	1	3	
1037	20	1	5	2	17	4	3	ST-143 complex
1038	56	1	56	2	3	39	3	
1039	56	1	56	2	3	1	3	
1040	56	1	56	2	102	39	3	
1041	67	1	37	2	28	2	3	
1042	68	2	3	3	5	2	3	ST-86 complex
1043	69	2	34	35	24	4	10	
1044	69	1	3	2	5	2	3	
1045	69	2	61	3	3	1	3	ST-86 complex
1046	69	2	3	1	3	18	3	
1047	69	62	60	33	24	4	3	
1048	69	62	4	34	28	38	71	
1049	70	15	3	2	3	2	10	
1050	70	2	3	2	3	18	3	
1051	3	2	3	4	5	2	3	ST-86 complex
1052	2	15	2	2	17	2	3	ST-143 complex
1053	1	15	2	2	17	2	3	ST-143 complex
1054	1	62	4	34	24	38	71	
1055	5	1	56	2	3	39	3	
1056	56	5	37	2	17	18	3	
1057	3	15	2	2	17	2	3	ST-143 complex
1058	1	2	63	19	106	4	27	
1059	21	2	63	19	106	4	27	
1060	9	33	5	2	17	4	10	
1061	4	3	2	2	2	1	7	
1062	1	1	3	2	1	1	35	
1063	10	15	4	4	1	2	10	
1064	5	1	5	2	20	1	3	
1065	2	1	5	1	2	1	3	ST-5 complex
1066	1	1	4	17	2	1	3	ST-5 complex
1067	5	42	5	1	2	3	3	
1068	35	1	3	3	2	3	5	
1069	3	1	5	2	2	2	3	
1070	4	4	36	4	5	2	3	
1071	3	1	4	3	2	1	10	
1072	4	29	36	3	62	3	10	
1073	9	1	5	3	17	1	10	
1074	4	2	9	3	3	3	5	
1075	5	4	5	2	2	1	3	
1076	1	1	2	1	2	3	3	ST-5 complex
1077	4	1	4	2	62	1	3	
1078	4	49	2	1	65	1	7	
1079	3	1	4	2	2	3	3	
1080	2	1	4	2	2	3	3	
1081	2	1	4	4	2	1	3	
1082	2	1	2	4	2	1	3	ST-5 complex
1083	5	1	5	2	1	2	3	
1084	5	4	5	2	28	2	3	
1085	20	1	2	2	2	3	3	ST-143 complex
1086	4	1	3	4	40	2	3	
1087	3	1	3	4	3	2	3	
1088	4	4	3	2	5	2	3	
1089	29	1	4	2	1	4	30	
1090	2	49	4	1	62	1	3	
1091	1	42	4	1	7	1	3	
1092	1	42	4	2	7	1	3	
1093	9	1	2	2	2	1	3	ST-5 complex
1094	3	3	10	2	2	1	3	
1095	1	1	4	2	62	1	3	
1096	4	1	4	2	43	1	3	
1097	29	4	5	2	32	4	30	
1098	4	23	9	6	4	3	3	
1099	19	5	5	6	58	4	3	
1100	5	4	5	2	28	2	23	
1101	9	23	5	2	39	11	10	
1102	9	2	5	3	20	1	10	
1103	25	1	4	2	1	1	3	
1104	25	1	4	4	1	1	3	
1105	4	3	2	1	2	1	3	ST-5 complex
1106	4	28	12	3	3	3	5	
1107	2	19	4	1	62	1	3	
1108	20	1	37	3	2	1	3	
1109	4	4	36	2	5	2	3	
1110	3	1	5	2	2	2	23	
1111	4	4	3	2	5	2	2	
1112	16	1	4	2	33	4	3	ST-143 complex
1113	35	1	4	3	2	1	3	
1114	1	1	5	1	65	1	7	ST-5 complex
1115	31	9	5	12	13	4	3	
1116	1	2	5	2	28	4	3	
1117	4	1	3	2	13	1	3	ST-86 complex
1118	5	42	5	2	2	2	3	
1119	20	4	2	1	2	3	3	
1120	1	49	2	1	2	1	10	ST-5 complex
1121	25	1	3	2	5	4	3	ST-143 complex
1122	5	2	5	2	34	4	3	
1123	2	49	4	2	65	1	3	
1124	3	4	6	4	5	1	3	
1125	1	42	5	1	17	1	3	
1126	4	4	4	3	2	1	10	
1127	2	1	5	1	65	1	3	
1128	2	1	5	2	2	1	3	
1129	4	1	5	3	17	3	5	
1130	4	1	4	4	3	2	3	
1131	5	1	3	3	3	3	3	
1132	3	1	12	4	6	2	3	
1133	29	1	4	3	2	4	3	
1134	3	1	6	4	5	2	3	
1135	1	37	4	1	2	1	3	ST-5 complex
1136	2	37	2	1	2	1	10	ST-5 complex
1137	2	3	5	1	2	1	7	
1138	1	33	12	1	2	1	3	ST-5 complex
1139	4	23	5	3	40	3	10	
1140	3	1	6	4	3	2	3	
1141	1	1	4	1	7	1	3	ST-5 complex
1142	1	1	2	1	17	1	5	ST-5 complex
1143	1	1	2	2	2	1	5	ST-5 complex
1144	21	2	4	3	10	4	30	
1145	1	37	5	2	2	1	3	
1146	2	1	5	1	2	1	7	ST-5 complex
1147	1	1	2	1	2	1	5	ST-5 complex
1148	1	10	3	2	1	1	35	
1149	1	1	10	2	2	1	3	ST-5 complex
1150	2	8	2	1	2	1	14	ST-5 complex
1151	2	37	43	2	2	1	3	
1152	1	1	4	17	65	1	3	
1153	5	1	5	4	28	2	3	
1154	3	1	5	4	3	2	10	
1155	1	1	4	17	7	1	3	
1156	1	3	4	1	2	1	7	ST-5 complex
1157	1	1	12	2	7	1	7	
1158	4	1	3	3	28	4	3	
1159	1	4	2	2	2	1	3	ST-5 complex
1160	16	1	5	11	71	4	3	
1161	4	1	36	2	5	3	3	
1162	1	1	5	3	42	1	10	
1163	46	25	11	10	3	6	3	
1164	5	15	5	2	2	3	3	
1165	4	1	4	3	2	3	10	
1166	42	1	4	2	29	1	34	
1167	4	1	34	2	29	4	15	
1168	10	1	5	1	46	4	15	
1169	17	7	34	2	29	4	15	
1170	3	2	3	2	3	4	9	
1171	4	2	34	2	51	4	30	
1172	10	2	34	1	47	33	15	
1173	25	1	4	3	17	1	10	
1174	9	1	4	3	2	1	10	
1175	3	2	5	3	3	2	3	ST-86 complex
1176	4	1	5	2	44	4	5	
1177	4	1	5	2	44	4	10	
1178	10	1	5	2	45	4	5	
1179	9	1	4	3	17	1	10	
1180	2	2	29	2	29	4	15	
1181	3	1	3	4	3	4	3	
1182	4	42	11	2	46	33	30	
1183	42	2	32	2	47	33	38	
1184	4	1	5	2	44	4	15	
1185	3	2	5	3	34	4	3	ST-86 complex
1186	4	1	5	2	44	4	38	
1187	4	1	9	3	42	4	5	
1188	4	2	5	4	9	1	3	
1189	10	1	5	2	46	4	3	ST-143 complex
1190	3	58	41	2	3	2	3	
1191	35	24	3	2	3	1	3	
1192	4	1	5	2	44	4	3	ST-143 complex
1193	9	1	4	3	44	1	10	
1194	10	2	4	2	47	33	38	
1195	5	1	4	2	33	4	3	ST-143 complex
1196	3	1	4	2	3	2	3	
1197	1	61	4	1	2	1	36	ST-5 complex
1198	3	1	3	1	9	4	3	
1199	3	1	5	2	3	2	3	
1200	3	2	3	2	31	4	3	ST-86 complex
1201	2	1	64	1	76	1	3	
1203	1	1	3	2	13	4	3	ST-143 complex
1204	3	6	5	2	10	4	10	
1205	2	1	43	2	107	1	3	
1206	21	5	4	1	2	1	3	
1207	42	11	4	2	51	4	15	
1208	40	37	43	2	49	1	74	
1210	8	2	3	16	3	1	3	ST-86 complex
1211	2	37	5	1	39	1	74	
1213	2	1	1	1	2	1	3	ST-5 complex
1214	2	1	1	1	22	1	3	
1215	2	1	43	1	22	1	3	
1216	2	1	43	1	2	1	3	ST-5 complex
1217	2	1	43	1	100	1	3	
1218	2	1	43	1	84	1	3	
1219	2	1	43	2	22	1	3	
1220	2	1	43	33	84	1	3	
1221	2	1	1	2	22	1	3	
1222	42	1	27	2	107	1	3	
1225	42	8	5	2	13	1	3	
1226	79	1	5	2	26	4	3	ST-143 complex
1227	75	1	65	1	2	1	3	ST-5 complex
1228	1	1	4	1	2	41	3	ST-5 complex
1229	8	1	65	1	62	1	3	
1230	3	8	4	1	108	4	3	
1231	81	68	4	36	46	43	15	
1232	3	65	3	4	5	2	3	
1233	10	1	5	1	46	4	75	
1234	84	10	66	2	111	45	76	
1235	10	67	4	2	46	33	10	
1236	4	4	3	1	44	4	77	
1237	10	1	5	2	45	43	30	
1238	7	1	67	2	73	4	5	
1239	10	67	5	2	45	4	10	
1240	10	68	5	2	45	43	30	
1241	40	1	68	2	17	4	78	ST-143 complex
1242	80	1	4	1	13	1	3	
1243	5	1	70	1	13	1	10	
1244	3	2	3	2	110	2	3	ST-86 complex
1245	21	4	63	2	10	43	15	
1246	81	10	3	2	112	7	38	
1247	42	10	70	2	111	4	27	
1248	21	2	63	2	6	43	15	
1249	4	1	16	1	13	4	81	
1250	82	1	5	2	45	4	38	
1251	42	67	4	2	46	33	30	
1252	3	1	5	2	112	7	5	
1253	10	67	4	1	46	4	33	
1254	42	10	70	2	29	4	27	
1255	4	67	32	2	46	4	38	
1256	81	10	3	2	115	4	15	
1257	3	1	5	2	112	7	62	
1258	83	10	70	2	111	4	27	
1259	10	68	6	2	45	43	30	
1260	4	68	69	2	116	43	30	
1261	9	1	4	3	113	1	10	
1262	10	67	4	1	46	4	79	
1263	2	1	4	2	114	4	34	
1264	40	10	69	36	115	44	80	
1265	3	41	4	2	3	1	10	
1266	4	1	11	2	46	33	30	
1267	4	1	11	2	46	33	3	
1268	3	2	5	3	9	2	3	ST-86 complex
1269	6	1	3	2	2	34	3	
1270	3	1	5	1	2	34	3	
1271	3	1	5	2	2	34	10	
1272	1	1	5	2	2	34	10	
1273	1	1	5	1	2	34	10	ST-5 complex
1274	1	1	5	2	17	1	17	
1275	9	10	3	1	117	4	23	
1276	5	1	4	2	13	1	3	
1277	9	69	3	1	117	4	23	
1278	21	2	5	3	33	4	3	
1279	5	4	4	2	13	1	3	
1280	1	1	5	1	2	46	3	ST-5 complex
1281	2	1	65	1	62	1	3	
1282	1	1	3	1	2	34	10	ST-5 complex
1283	1	1	3	2	16	1	7	
1284	2	1	3	1	54	2	3	
1285	81	30	30	1	115	47	38	
1286	85	66	5	37	109	7	5	
1287	81	68	4	36	118	43	15	
1288	2	2	69	2	119	4	10	
1289	58	1	43	1	22	1	3	
1290	2	1	1	2	100	1	3	
1291	2	1	1	2	96	1	3	
1292	2	1	1	2	2	1	3	
1293	1	1	23	2	2	34	38	
1294	3	1	5	2	2	1	38	
1295	4	1	43	2	22	1	3	
1296	3	1	5	2	2	34	3	
1297	3	1	71	4	5	3	3	
1298	21	28	3	3	17	1	82	
1299	9	1	2	4	32	1	83	
1300	9	70	3	2	28	4	3	
1301	5	1	2	16	120	1	3	
1302	12	1	4	4	3	1	3	
1303	3	4	4	4	9	2	3	
1304	12	28	4	3	13	1	3	ST-86 complex
1305	9	2	3	2	6	3	3	
1306	9	1	5	3	20	3	10	
1307	42	1	2	1	17	1	5	ST-5 complex
1308	1	1	12	3	2	1	3	ST-5 complex
1309	5	4	4	2	4	1	10	
1310	9	1	2	4	32	1	3	
1311	5	1	5	3	11	11	3	
1312	57	1	4	2	7	3	3	
1313	4	4	12	4	13	3	3	
1314	3	1	6	4	9	2	3	
1315	9	1	5	1	32	1	3	
1316	5	1	4	4	32	1	10	
1317	3	1	36	4	3	3	3	
1318	20	1	5	4	28	1	3	
1319	3	1	4	2	28	1	3	
1320	12	1	9	2	56	1	10	
1321	1	1	2	1	16	1	2	ST-5 complex
1322	9	15	25	3	4	3	3	
1323	3	1	4	4	3	3	3	
1324	3	4	36	4	5	2	84	
1325	1	1	5	1	2	1	7	ST-5 complex
1326	1	1	5	1	16	1	2	ST-5 complex
1327	3	1	5	3	2	1	38	
1328	1	1	5	2	2	34	38	
1329	1	1	5	3	2	1	38	ST-5 complex
1330	1	1	5	2	2	2	3	
1331	1	1	5	2	2	2	7	
1332	1	1	5	2	17	34	3	ST-143 complex
1333	2	1	34	2	3	6	38	
1334	2	47	34	2	3	6	38	
1335	1	1	5	1	2	4	10	ST-5 complex
1336	5	1	3	3	48	1	3	ST-86 complex
1337	1	1	4	2	2	2	10	
1338	1	1	5	1	3	1	3	ST-5 complex
1339	1	24	13	2	17	1	3	
1340	3	1	3	2	2	34	38	
1341	32	1	5	2	3	3	7	
1342	1	1	5	2	2	2	38	
1343	1	1	5	2	2	34	7	
1344	3	1	3	1	42	4	38	
1345	1	1	7	3	38	2	32	
1346	4	1	2	2	2	2	3	ST-143 complex
1347	4	1	4	1	2	1	1	ST-5 complex
1348	1	49	43	1	2	1	3	ST-5 complex
1349	4	4	3	16	3	2	2	
1350	1	1	2	23	1	1	2	ST-5 complex
1351	4	4	3	16	3	2	3	
1352	4	1	12	5	2	1	3	
1353	1	1	2	1	2	3	2	ST-5 complex
1354	3	4	11	2	5	2	3	
1355	12	4	6	3	13	4	3	
1356	1	1	2	23	2	1	1	ST-5 complex
1357	2	1	2	5	2	1	2	ST-5 complex
1358	2	1	2	16	2	1	2	ST-5 complex
1359	2	1	2	23	2	1	2	ST-5 complex
1360	1	1	2	2	5	1	1	ST-5 complex
1361	1	1	12	2	2	3	3	
1362	1	3	2	1	1	1	2	ST-5 complex
1363	5	1	4	2	13	4	3	ST-143 complex
1364	3	1	38	4	3	3	3	
1365	4	1	1	1	16	1	2	ST-5 complex
1366	42	3	5	2	48	4	3	
1367	1	1	12	1	7	1	7	ST-5 complex
1368	3	30	4	2	9	2	3	
1369	8	4	6	2	14	2	3	
1370	1	19	2	1	7	3	7	
1371	4	4	3	4	3	3	3	
1372	21	1	10	2	2	1	3	
1373	2	1	65	1	122	1	3	
1374	2	1	5	1	122	1	3	
1375	1	37	4	2	62	1	3	
1376	3	37	5	2	62	1	3	
1377	1	1	4	2	123	1	3	
1378	2	33	4	2	124	1	3	
1379	1	37	5	2	62	1	3	
1380	3	4	41	2	3	2	3	
1381	9	1	75	2	13	51	3	
1382	9	1	4	2	13	51	3	
1383	3	73	74	2	128	4	15	
1384	2	1	3	2	7	2	10	
1385	91	1	5	3	33	4	3	
1386	3	2	36	4	127	2	3	
1387	3	6	41	1	3	2	23	
1388	5	1	5	3	28	4	3	
1389	3	6	41	1	3	2	3	
1390	1	1	78	1	2	1	2	ST-5 complex
1391	5	1	42	3	9	4	3	
1392	5	1	5	2	32	1	10	
1393	35	1	4	1	17	1	10	
1394	4	1	4	1	17	4	10	
1395	5	1	5	3	9	49	3	
1396	30	23	5	2	9	11	10	
1397	2	1	2	2	2	1	67	ST-5 complex
1398	88	1	76	3	5	4	3	
1399	2	5	4	2	43	1	3	
1400	89	1	4	3	17	1	3	
1401	4	24	4	2	17	1	10	
1402	3	7	5	2	10	2	10	
1403	1	1	5	2	17	3	7	
1404	3	1	4	2	2	1	3	
1405	9	23	5	1	17	4	10	
1406	9	5	5	3	13	4	85	
1407	90	6	5	2	13	2	10	
1408	1	5	4	2	2	3	7	
1409	5	28	3	3	106	1	82	
1410	3	1	4	4	5	2	3	
1411	3	6	41	2	3	2	3	
1412	5	1	5	4	3	50	10	
1413	2	4	3	2	126	2	10	
1414	2	1	2	1	125	1	2	ST-5 complex
1415	12	1	4	3	13	1	3	ST-86 complex
1416	12	10	5	3	13	1	17	
1417	93	6	41	1	3	2	3	
1418	3	6	41	4	3	2	3	
1419	3	30	3	2	5	2	3	
1420	9	1	5	2	13	2	5	
1421	9	1	5	2	55	11	10	
1422	92	2	5	2	34	4	3	
1423	9	23	5	2	13	1	10	
