ST	atpD	gltB	gyrB	recA	lepA	phaC	trpB	clonal_complex
804	335	389	577	7	404	96	390	
805	14	330	578	138	405	42	132	
806	13	9	83	12	7	42	391	
807	16	11	271	143	11	6	147	
808	158	372	559	176	388	298	270	
809	122	373	98	7	230	96	376	
810	323	374	560	342	389	299	377	
811	324	375	561	343	390	300	378	
812	180	390	579	354	214	310	392	
813	337	391	583	355	407	311	393	
814	7	50	532	141	7	96	5	
815	338	392	584	356	408	311	394	
816	13	395	586	133	144	312	390	
817	16	11	522	14	11	6	79	
818	6	396	543	357	1	313	395	
819	13	397	283	133	231	96	4	
820	158	271	589	176	112	125	149	
821	25	17	159	109	70	43	396	
822	15	11	580	14	11	6	147	
823	339	393	587	14	1	93	48	
824	15	11	581	14	11	141	79	
825	339	393	587	37	1	93	48	
826	15	11	582	14	11	6	147	
827	131	394	585	14	11	6	79	
828	16	16	588	19	68	278	13	
829	340	11	442	14	11	6	79	
830	16	16	588	14	68	278	13	
831	15	11	582	37	11	6	48	
832	15	394	184	14	11	6	79	
833	16	264	381	177	406	6	180	
834	130	11	558	14	11	141	147	
835	13	358	165	80	7	96	132	
836	9	50	169	81	409	96	133	
837	66	109	49	3	3	40	13	
838	15	93	96	103	42	1	21	
839	15	11	487	14	11	6	79	
840	1	386	344	3	3	1	53	
841	15	11	593	14	11	6	79	
842	341	395	308	11	410	96	391	
843	131	11	187	143	11	6	79	
844	130	11	590	14	11	6	147	
845	15	11	591	14	11	6	12	
846	15	11	592	14	11	6	147	
847	7	270	4	81	137	35	5	
848	2	398	594	37	1	62	101	
849	154	229	335	216	411	184	397	
850	342	399	596	359	412	314	398	
851	343	400	597	360	393	315	399	
852	344	401	598	346	413	303	400	
853	345	402	599	361	414	316	401	
854	16	160	189	15	153	6	402	
855	180	403	600	146	415	317	217	
856	16	11	179	14	11	6	79	
857	16	11	179	109	70	9	15	
858	16	11	179	14	63	150	133	
859	16	50	179	14	63	150	133	
860	13	5	601	133	10	96	369	
861	13	404	315	133	353	96	369	
862	16	136	595	358	93	8	14	
863	346	405	602	364	416	318	403	
864	16	98	603	365	417	41	404	
865	205	406	420	366	245	191	247	
866	168	408	608	133	64	285	253	
867	131	11	537	143	11	6	405	
868	347	409	609	367	418	319	406	
869	15	11	182	14	11	185	147	
870	348	410	610	368	419	320	407	
871	13	163	163	151	10	42	16	
872	349	164	224	71	226	73	74	
873	10	50	604	141	37	35	5	
874	13	407	606	362	10	35	132	
875	13	369	607	363	259	42	391	
876	350	5	611	133	7	45	408	
877	343	411	612	369	420	314	409	
878	17	176	613	180	375	283	361	
879	13	191	260	135	46	96	410	
880	336	61	97	11	64	96	104	
881	113	170	614	168	27	72	72	
882	13	334	483	12	199	42	4	
883	41	31	615	31	19	19	28	
884	298	369	97	11	145	150	390	
885	349	164	224	71	226	6	74	
886	15	11	616	14	11	6	147	
887	351	412	617	370	421	321	411	
888	352	413	618	371	422	322	375	
889	353	414	619	372	423	323	412	
890	7	270	4	81	37	35	5	
891	13	61	620	133	424	42	6	
892	10	60	4	81	37	35	67	
893	25	18	42	109	70	324	413	
894	354	415	621	85	123	58	414	
895	6	416	622	373	425	325	51	
896	12	6	118	9	63	35	6	
897	355	358	623	133	64	96	132	
898	10	50	477	237	37	35	5	
899	13	7	6	10	224	42	415	
900	356	417	255	139	10	42	4	
901	223	309	624	374	360	269	416	
902	223	337	625	375	360	225	417	
903	223	308	626	254	303	214	417	
904	6	419	627	376	34	326	418	
905	357	420	628	377	426	19	28	
906	358	421	629	53	427	93	48	
907	13	185	254	151	200	42	6	
908	13	142	161	110	137	96	66	
909	13	163	163	110	10	42	4	
910	89	217	630	71	39	327	419	
911	23	136	352	15	69	8	14	
912	64	192	631	378	428	118	420	
913	89	422	632	71	39	54	161	
914	359	205	532	141	37	12	7	
915	360	50	633	237	63	96	66	
916	201	423	634	379	428	97	421	
917	13	424	635	7	46	42	422	
918	184	312	636	308	429	53	423	
919	68	425	637	380	430	174	424	
920	2	354	638	2	1	62	48	
921	5	426	639	381	4	328	102	
922	361	325	640	382	431	329	330	
923	34	74	88	97	432	89	98	
924	39	29	641	29	17	17	26	
925	71	47	126	26	292	159	112	
926	114	131	152	84	131	113	82	
927	36	418	151	84	130	114	26	
928	179	23	20	26	13	158	233	
929	195	72	329	98	234	48	231	
930	196	47	642	26	13	158	23	
931	40	30	644	30	18	18	27	
932	44	34	645	52	95	91	83	
933	363	427	646	384	434	330	426	
934	59	44	647	43	28	331	89	
935	89	216	648	71	217	332	161	
936	107	252	139	49	102	41	122	
937	4	3	498	3	3	3	53	
938	5	94	649	53	41	94	102	
939	102	120	543	385	41	101	427	
940	52	91	31	386	78	27	36	
941	48	28	341	54	22	23	32	
942	103	428	289	127	124	109	127	
943	89	217	630	71	217	73	70	
944	92	81	650	40	89	31	41	
945	31	22	19	25	435	13	22	
946	223	429	651	387	436	225	428	
947	223	308	652	254	303	214	261	
948	223	430	653	265	360	269	428	
949	223	431	654	312	360	225	209	
950	67	146	220	49	437	117	429	
951	223	432	655	254	303	333	261	
952	223	433	624	388	360	225	430	
953	364	434	656	389	438	225	431	
954	223	435	655	254	303	334	261	
955	223	309	657	390	360	225	428	
956	223	436	655	312	360	269	312	
957	365	437	658	391	439	335	432	
958	223	337	654	388	440	269	428	
959	366	437	659	392	439	335	433	
960	1	195	45	1	1	279	21	
961	4	386	49	3	2	1	21	
962	6	52	3	113	5	5	3	
963	365	437	659	392	439	335	433	
964	15	11	487	14	11	6	147	
965	223	308	660	254	303	214	261	
966	223	436	626	265	440	269	312	
967	223	437	660	393	441	269	312	
968	367	308	655	254	303	214	261	
969	27	19	16	22	12	187	17	
970	368	438	661	394	442	225	434	
971	223	308	655	254	303	214	261	
972	223	337	662	312	360	269	435	
973	369	439	663	395	443	225	436	
974	27	19	107	23	12	11	268	
975	223	308	652	254	303	214	417	
976	27	19	107	23	12	56	81	
977	223	429	664	387	436	225	428	
978	27	20	15	23	49	56	17	
979	27	231	15	22	12	56	17	
980	27	231	173	23	36	56	81	
981	223	431	665	396	360	225	437	
982	223	440	666	397	444	336	312	
983	365	437	667	391	439	335	432	
984	27	231	248	23	163	131	81	
985	365	440	668	392	439	335	432	
986	370	434	669	265	303	225	435	
987	27	233	248	23	12	180	81	
988	223	337	670	398	318	225	312	
989	365	441	671	391	439	335	432	
990	223	440	672	390	360	225	428	
991	223	308	404	254	303	214	417	
992	223	440	665	265	445	269	209	
993	369	442	673	395	446	225	438	
994	27	233	248	96	363	131	81	
995	223	308	664	254	448	214	261	
996	248	443	408	258	304	217	276	
997	223	309	492	393	360	225	437	
998	223	309	492	312	445	269	312	
999	365	440	654	392	449	335	432	
1000	27	233	248	209	163	131	188	
1001	223	437	675	312	360	269	312	
1002	223	437	655	265	360	269	312	
1003	223	308	655	254	303	225	261	
1004	372	308	670	254	303	214	261	
1005	27	350	221	174	363	132	81	
1006	370	337	664	375	318	225	435	
1007	223	437	655	265	360	269	417	
1008	223	429	676	387	360	225	440	
1009	27	350	223	174	36	131	188	
1010	223	309	665	390	360	269	428	
1011	223	440	677	265	360	225	312	
1012	223	337	492	387	440	269	428	
1013	223	440	417	265	318	225	312	
1014	373	434	654	400	450	269	441	
1015	223	437	678	312	440	225	312	
1016	223	308	660	254	303	214	417	
1017	223	434	655	265	445	225	442	
1018	223	437	655	388	440	269	209	
1019	374	444	679	394	451	225	443	
1020	265	310	394	251	296	219	269	
1021	18	85	680	170	183	74	134	
1022	96	118	130	112	452	99	110	
1023	9	50	84	141	37	96	7	
1024	246	445	401	253	329	211	291	
1025	46	446	681	401	97	92	85	
1026	104	125	136	118	127	104	121	
1027	210	48	392	36	77	196	244	
1028	25	68	682	109	70	43	61	
1029	29	20	17	22	12	11	80	
1030	27	20	17	23	36	11	17	
1031	27	350	248	48	363	180	81	
1032	27	350	248	96	363	187	81	
1033	27	350	248	174	363	187	81	
1034	53	38	398	38	56	212	46	
1035	57	41	68	40	26	32	41	
1036	67	175	326	49	94	8	122	
1037	89	422	113	71	39	54	70	
1038	106	274	302	339	68	295	205	
1039	165	161	328	144	156	123	45	
1040	27	19	16	23	35	11	17	
1041	167	189	400	187	202	153	242	
1042	259	284	503	267	74	32	41	
1043	302	11	50	350	288	249	387	
1044	10	50	4	237	37	35	66	
1045	64	80	683	217	454	338	444	
1046	312	19	16	23	12	187	17	
1047	375	447	684	402	455	339	445	
1048	27	80	546	217	122	288	214	
1049	6	448	685	321	41	313	446	
1050	27	231	202	22	12	56	17	
1051	125	154	98	140	144	14	136	
1052	15	11	487	14	456	6	447	
1053	16	11	686	14	11	6	79	
1054	15	11	186	14	11	6	79	
1055	16	11	474	14	11	6	79	
1056	376	19	62	111	35	11	17	
1057	27	231	202	23	49	56	17	
1058	377	449	687	403	457	340	448	
1059	15	450	688	14	11	6	79	
1060	17	209	86	49	458	8	14	
1061	15	11	236	317	11	6	79	
1062	16	341	496	15	94	41	449	
1063	2	57	689	37	1	93	48	
1064	27	20	15	22	35	11	17	
1065	378	451	690	404	459	290	450	
1066	122	395	98	80	144	96	451	
1067	16	16	691	136	102	341	124	
1068	1	336	692	1	1	1	21	
1069	13	61	5	7	7	42	105	
1070	8	5	5	7	37	42	105	
1071	13	452	693	133	460	342	390	
1072	9	60	170	405	37	35	66	
1073	121	138	167	138	260	42	132	
1074	130	11	184	143	11	6	147	
1075	13	452	693	133	364	96	390	
1076	15	11	694	14	11	6	12	
1077	13	62	695	110	45	14	452	
1078	10	75	4	79	7	35	67	
1079	193	453	695	207	461	343	4	
1080	16	175	696	313	359	41	60	
1081	223	454	655	254	303	214	261	
1082	27	103	15	23	35	11	17	
1083	100	256	697	113	108	4	103	
1084	9	50	84	141	37	35	5	
1085	67	146	698	49	146	344	402	
1086	16	134	699	406	462	8	453	
1087	43	33	27	206	21	21	30	
1088	122	148	164	80	10	45	302	
1089	379	167	700	24	463	345	454	
1090	1	455	692	1	1	1	21	
1091	25	456	701	291	70	346	173	
1092	27	20	16	23	12	11	81	
1093	16	134	196	15	69	6	14	
1094	27	457	16	174	35	347	81	
1095	380	456	213	109	70	348	173	
1096	381	458	702	43	464	331	89	
1097	382	459	703	407	465	349	455	
1098	383	460	704	408	466	350	473	
1099	400	477	721	425	481	367	456	
1100	399	476	720	424	480	366	472	
1101	397	474	718	422	479	364	470	
1102	396	473	717	421	478	363	469	
1103	395	472	716	420	477	362	468	
1104	394	471	715	419	476	361	467	
1105	393	470	714	418	475	360	466	
1106	392	469	713	417	474	359	465	
1107	391	468	712	416	473	358	464	
1108	390	467	711	415	472	357	463	
1109	388	465	709	413	471	355	461	
1110	387	464	708	412	470	354	460	
1111	386	463	707	411	469	353	459	
1112	385	462	706	410	468	352	458	
1113	384	461	705	409	467	351	457	
1114	389	466	710	414	482	356	462	
1115	398	475	719	423	483	365	471	
1116	16	136	86	49	93	8	14	
1117	12	6	118	9	10	42	4	
1118	27	20	173	111	36	179	81	
1119	16	16	239	19	68	41	182	
1120	402	479	722	426	484	303	474	
1121	342	480	724	360	413	368	398	
1122	343	509	732	360	496	377	504	
1123	327	495	809	453	413	393	399	
1124	343	478	790	433	485	314	399	
1125	343	400	768	472	413	314	399	
1126	342	537	781	360	499	314	505	
1127	343	522	786	466	485	314	481	
1128	327	519	736	469	506	383	485	
1129	423	505	748	469	519	314	483	
1130	343	530	801	465	485	371	501	
1131	423	478	764	435	485	375	399	
1132	327	478	845	435	485	314	398	
1133	423	478	807	346	518	314	500	
1134	327	478	827	435	485	383	475	
1135	417	533	787	346	508	314	517	
1136	417	533	766	435	520	314	493	
1137	420	478	790	448	485	314	493	
1138	343	522	779	346	485	314	511	
1139	327	540	827	469	485	372	398	
1140	344	556	822	346	503	368	382	
1141	434	484	800	346	500	314	382	
1142	401	542	723	427	485	314	475	
1143	327	544	736	439	485	383	398	
1144	343	557	780	346	485	314	478	
1145	423	528	811	346	485	390	493	
1146	401	491	839	346	485	372	475	
1147	420	478	790	447	485	372	398	
1148	423	478	844	438	508	388	485	
1149	343	549	828	442	485	314	523	
1150	327	551	764	461	485	372	475	
1151	415	551	799	346	508	372	502	
1152	327	550	778	457	506	314	398	
1153	343	505	746	461	485	314	486	
1154	343	489	818	453	413	315	399	
1155	154	562	725	428	486	369	487	
1156	420	478	754	346	516	314	481	
1157	217	521	755	429	521	397	510	
1158	344	524	737	480	510	373	398	
1159	327	539	824	346	485	314	475	
1160	401	518	839	446	485	372	481	
1161	403	536	825	346	506	314	509	
1162	343	490	777	360	494	392	399	
1163	343	478	736	346	509	383	498	
1164	343	545	840	469	519	314	493	
1165	343	561	826	369	505	314	409	
1166	343	527	776	434	413	314	480	
1167	327	495	823	360	413	315	497	
1168	343	400	775	475	504	315	399	
1169	343	526	774	464	393	395	399	
1170	327	478	806	469	485	372	502	
1171	327	517	805	470	511	383	399	
1172	344	401	741	444	413	382	519	
1173	217	500	742	445	502	381	382	
1174	343	561	753	369	420	314	508	
1175	344	486	804	346	413	314	507	
1176	343	499	773	346	485	314	496	
1177	327	478	838	346	485	372	502	
1178	444	538	738	461	485	380	481	
1179	344	484	565	346	495	303	400	
1180	343	489	843	463	413	314	507	
1181	343	516	739	346	413	303	507	
1182	327	546	824	476	506	396	500	
1183	343	478	837	437	485	314	481	
1184	343	478	772	442	485	314	500	
1185	434	378	729	346	413	368	382	
1186	423	533	821	462	520	314	517	
1187	343	512	819	438	485	314	482	
1188	461	401	729	346	490	384	382	
1189	343	515	801	360	501	314	480	
1190	401	522	811	346	511	394	398	
1191	343	560	803	459	413	387	518	
1192	343	498	752	469	508	375	399	
1193	403	478	820	346	508	314	398	
1194	327	514	801	346	413	314	480	
1195	343	411	771	474	515	314	495	
1196	327	505	799	461	485	372	516	
1197	327	478	841	452	517	372	481	
1198	423	530	835	438	485	314	481	
1199	423	545	802	443	508	314	501	
1200	342	513	724	360	412	314	506	
1201	343	478	736	346	413	371	485	
1202	434	524	733	441	492	373	382	
1203	342	485	798	360	499	314	398	
1204	327	478	769	346	508	372	494	
1205	327	492	785	346	485	314	485	
1206	423	488	797	435	485	314	399	
1207	327	543	748	346	485	383	398	
1208	343	481	818	360	413	315	399	
1209	343	483	746	473	413	393	480	
1210	327	553	770	432	413	376	514	
1211	343	511	796	471	413	314	505	
1212	405	508	739	346	413	303	521	
1213	343	378	751	346	514	314	400	
1214	435	526	795	440	498	379	500	
1215	343	401	727	346	510	384	400	
1216	405	378	794	346	393	373	522	
1217	344	378	729	346	514	378	399	
1218	327	378	727	346	510	382	515	
1219	405	496	731	346	413	384	399	
1220	343	530	750	438	485	314	481	
1221	343	478	790	346	485	314	493	
1222	343	535	834	433	485	383	493	
1223	405	378	739	346	413	303	521	
1224	434	378	793	346	413	303	382	
1225	343	510	833	435	485	371	500	
1226	462	559	836	460	506	314	493	
1227	343	555	740	346	497	368	400	
1228	343	523	832	433	508	371	500	
1229	327	497	749	451	513	386	398	
1230	327	478	792	435	485	314	475	
1231	343	505	814	346	485	314	513	
1232	344	496	731	346	413	384	399	
1233	423	525	816	346	508	314	500	
1234	343	507	842	433	519	371	481	
1235	327	522	783	468	485	390	491	
1236	343	553	767	459	495	376	514	
1237	327	378	737	346	393	384	480	
1238	401	534	749	346	512	386	483	
1239	401	554	736	439	485	372	503	
1240	327	507	791	346	485	314	481	
1241	343	532	817	458	511	375	484	
1242	420	478	790	457	485	314	493	
1243	403	533	766	469	485	314	480	
1244	343	525	816	346	508	314	398	
1245	343	401	784	346	495	382	400	
1246	461	378	565	346	393	314	400	
1247	343	553	730	479	495	376	494	
1248	423	522	736	454	518	314	399	
1249	343	506	765	360	413	315	480	
1250	344	484	729	346	413	384	382	
1251	327	549	748	469	485	385	481	
1252	343	495	738	453	413	392	399	
1253	343	493	830	346	485	372	500	
1254	343	558	789	360	413	314	398	
1255	327	552	786	469	485	372	502	
1256	420	532	812	436	506	314	483	
1257	420	530	758	346	485	314	481	
1258	327	522	811	469	485	314	493	
1259	343	530	758	435	485	314	478	
1260	327	541	763	360	493	374	476	
1261	327	544	815	439	485	383	502	
1262	327	487	738	453	413	315	480	
1263	423	549	788	438	485	314	500	
1264	327	549	786	451	509	371	482	
1265	343	548	760	469	508	314	398	
1266	343	506	597	455	413	315	399	
1267	343	482	762	456	413	391	480	
1268	343	547	782	360	413	314	398	
1269	343	378	735	480	413	303	382	
1270	344	524	737	480	510	373	382	
1271	327	478	747	478	485	314	481	
1272	405	494	728	346	510	382	400	
1273	343	521	757	431	521	398	492	
1274	420	478	808	467	506	399	481	
1275	420	532	814	477	506	314	481	
1276	343	478	761	437	506	314	512	
1277	403	533	787	346	508	314	501	
1278	343	521	757	430	522	398	480	
1279	327	378	746	346	393	303	480	
1280	420	532	813	436	506	314	483	
1281	327	505	831	470	485	372	477	
1283	343	378	726	346	492	382	520	
1285	420	478	812	454	508	314	398	
1286	327	523	811	469	485	314	493	
1287	343	504	746	453	413	315	399	
1288	234	563	846	325	523	1	21	
1289	131	11	847	14	11	6	79	
1290	343	378	810	346	393	303	400	
1291	327	532	736	346	485	314	398	
1292	343	478	758	433	507	314	399	
1293	343	492	785	433	485	314	398	
1294	343	503	759	450	495	314	480	
1295	404	564	848	481	524	311	524	
1296	420	531	841	435	506	314	500	
1297	406	565	849	482	525	400	525	
1298	15	11	850	14	11	6	147	
1299	16	11	574	14	11	141	147	
1300	407	11	851	317	11	401	79	
1301	154	502	745	216	489	369	479	
1302	408	267	852	483	526	208	526	
1303	409	225	853	484	527	402	527	
1304	320	367	854	485	528	403	205	
1305	410	566	855	486	529	294	205	
1306	180	210	856	146	530	162	217	
1307	154	229	743	216	491	389	499	
1308	154	529	744	216	488	370	490	
1309	154	520	756	449	487	389	489	
1310	154	502	734	216	487	370	488	
1311	411	567	857	487	531	144	528	
1312	230	568	858	339	532	403	205	
1313	343	501	829	346	485	314	398	
1314	409	569	859	249	533	402	529	
1315	412	570	860	329	534	144	529	
1316	413	124	861	59	535	78	114	
1317	414	405	862	364	536	404	39	
1318	416	571	863	488	537	405	530	
1319	418	572	864	489	538	406	529	
1320	409	269	389	249	533	244	303	
1321	419	40	34	364	539	404	39	
1322	421	38	863	38	540	407	531	
1323	62	112	92	47	541	36	87	
1324	424	574	867	491	543	409	533	
1325	122	148	164	80	353	45	302	
1326	67	176	869	15	188	6	122	
1327	422	573	866	490	542	408	532	
1328	16	347	870	49	544	276	234	
1329	17	576	871	186	69	41	534	
1330	13	575	868	133	10	296	374	
1331	124	577	304	149	316	410	146	
1332	60	43	872	42	27	72	72	
1333	425	113	112	492	545	84	108	
1334	145	578	873	157	165	133	159	
1335	124	137	198	149	316	87	146	
1336	145	579	204	162	169	133	159	
1337	45	35	874	100	96	60	84	
1338	145	579	875	162	546	133	159	
1339	128	250	876	493	159	126	69	
1340	343	580	877	360	547	314	536	
1341	343	580	877	360	547	314	537	
1342	426	305	394	494	296	219	269	
1343	427	582	879	495	549	411	146	
1344	20	92	878	61	548	29	37	
1345	53	147	33	38	23	212	46	
1346	41	31	26	31	19	19	538	
1347	428	583	880	496	550	412	539	
1348	30	21	127	24	291	13	20	
1349	123	50	169	141	37	35	5	
1350	16	209	881	49	93	8	144	
1351	429	205	532	497	37	35	5	
1352	365	584	658	498	439	335	433	
1353	2	53	882	114	108	4	540	
1354	430	343	508	499	133	58	82	
1355	265	305	394	251	296	219	269	
1356	431	585	883	500	551	413	541	
1357	432	586	884	501	552	414	542	
1358	433	308	626	502	303	214	417	
1359	193	587	325	185	10	96	256	
1360	436	588	885	503	553	126	543	
1361	10	205	52	137	63	35	215	
1362	158	271	559	176	112	142	149	
1363	437	11	442	14	11	6	12	
1364	67	15	886	186	225	169	213	
1365	438	590	887	505	554	416	544	
1366	439	300	888	506	555	417	545	
1367	440	591	889	507	556	418	546	
1368	441	592	890	508	557	419	547	
1369	442	593	891	509	558	420	548	
1370	443	594	892	510	559	421	549	
1371	445	595	893	511	560	422	550	
1372	446	596	894	512	561	423	551	
1373	447	597	895	513	562	424	552	
1374	448	598	896	514	563	425	553	
1375	449	599	897	515	564	426	554	
1376	450	600	898	516	565	427	555	
1377	451	601	899	517	566	428	556	
1378	452	602	900	518	567	429	557	
1379	453	603	901	519	568	430	558	
1380	454	604	902	520	569	431	559	
1381	428	589	903	504	550	415	539	
1382	455	205	52	521	63	35	215	
1383	232	60	170	405	37	35	66	
1384	13	424	635	7	46	42	132	
1385	2	57	904	522	570	93	561	
1386	131	11	905	14	11	6	79	
1387	15	158	574	14	11	6	12	
1388	67	605	86	15	93	6	14	
1389	16	341	496	15	94	41	563	
1390	456	606	906	523	571	432	562	
1391	170	379	907	524	300	213	196	
1392	16	136	121	365	155	8	144	
1393	73	607	909	59	121	78	120	
1394	73	608	910	526	113	78	120	
1395	67	15	911	186	225	169	213	
1396	9	205	4	81	575	35	66	
1397	1	55	913	103	1	1	21	
1398	187	161	908	175	182	123	45	
1399	106	130	915	528	113	78	114	
1400	2	612	912	37	427	93	48	
1401	89	164	914	71	168	73	161	
1402	457	609	918	531	572	433	564	
1403	89	166	224	156	578	434	161	
1404	458	613	916	525	579	74	565	
1405	1	386	919	103	573	1	567	
1406	457	610	920	532	574	433	568	
1407	16	611	496	49	437	117	122	
1408	459	610	921	533	574	433	569	
1409	187	161	922	534	576	436	570	
1410	459	609	921	531	577	433	568	
1411	459	609	921	531	572	433	568	
1412	457	609	918	531	577	433	564	
1413	465	616	926	493	580	440	574	
1414	131	11	174	14	11	6	147	
1415	18	85	47	90	90	74	148	
1416	189	230	917	163	216	178	163	
1417	468	619	929	540	385	295	577	
1418	469	620	930	541	583	443	578	
1419	147	621	931	71	226	171	161	
1420	470	164	932	156	226	73	161	
1421	89	164	933	156	164	98	579	
1422	471	239	934	542	584	183	580	
1423	472	386	935	103	585	1	21	
1424	58	622	247	543	586	32	581	
1425	73	124	936	59	121	78	120	
1426	16	335	485	15	47	6	11	
1427	473	623	937	544	41	226	48	
1428	460	614	923	212	581	174	169	
1429	463	615	924	527	582	435	566	
1430	476	42	940	41	589	32	584	
1431	477	386	941	3	1	1	21	
1432	464	617	925	529	587	29	571	
1433	89	627	943	160	226	73	161	
1434	479	563	944	325	523	1	21	
1435	6	628	945	37	591	5	586	
1436	16	629	946	548	592	447	587	
1437	135	630	312	144	177	123	588	
1438	16	16	947	19	68	278	13	
1439	6	631	50	114	44	286	589	
1440	480	632	948	205	593	448	590	
1441	265	633	949	251	309	219	269	
1442	481	634	950	549	594	449	591	
1443	482	635	951	550	365	4	592	
1444	1	55	952	103	595	1	21	
1445	466	618	927	530	588	437	572	
1446	467	624	928	535	590	438	573	
1447	6	55	955	551	41	101	593	
1448	483	607	956	552	121	78	120	
1449	466	625	938	536	596	439	575	
1450	485	197	399	190	300	213	196	
1451	474	626	938	537	598	441	576	
1452	459	609	958	531	597	433	569	
1453	170	379	959	190	300	213	595	
1454	475	636	927	538	599	442	576	
1455	459	609	921	531	572	433	597	
1456	478	637	939	539	601	444	582	
1457	466	638	942	545	604	445	583	
1458	73	607	963	59	121	78	120	
1459	73	608	909	556	121	78	120	
1460	484	625	953	536	606	439	583	
1461	6	642	955	114	41	38	51	
1462	486	639	954	546	607	446	585	
1463	487	640	957	547	608	450	594	
1464	478	637	960	539	601	444	582	
1465	488	641	709	553	609	451	596	
1466	490	643	971	211	584	183	225	
1467	491	239	972	562	600	452	225	
1468	67	644	973	68	157	453	599	
1469	483	607	956	59	121	78	120	
1470	489	645	961	554	610	454	598	
1471	492	646	962	413	612	455	596	
1472	478	637	964	539	601	444	582	
1473	343	580	977	360	602	314	536	
1474	493	647	965	555	613	354	600	
1475	15	11	182	14	11	6	212	
1476	478	637	966	539	614	444	582	
1477	16	649	574	14	11	6	147	
1478	494	650	980	565	603	456	603	
1479	494	650	981	566	603	456	603	
1480	496	652	982	567	605	458	605	
1481	478	648	960	539	601	444	582	
1482	309	570	984	329	531	144	606	
1483	495	651	967	557	615	457	601	
1484	497	653	968	558	616	459	602	
1485	66	654	969	103	1	1	21	
1486	498	655	970	561	617	460	604	
1487	499	656	974	563	618	461	607	
1488	500	657	975	564	619	462	608	
1489	230	263	991	339	611	207	205	
1490	501	658	976	568	620	463	609	
1491	502	659	978	569	621	464	610	
1492	503	660	979	570	622	465	611	
1493	248	661	410	258	304	466	307	
1494	15	667	574	14	11	6	12	
1495	15	11	182	14	11	6	12	
1496	507	11	989	14	271	6	147	
1497	16	11	442	14	11	6	79	
1498	23	16	352	15	94	8	14	
1499	16	11	85	14	11	6	147	
1500	16	134	352	15	93	8	144	
1501	67	175	988	571	146	6	613	
1502	15	11	206	14	11	141	79	
1503	2	393	983	572	38	62	48	
1504	504	664	131	4	34	4	446	
1505	1	662	50	1	1	1	614	
1506	16	159	188	14	11	6	147	
1507	365	437	654	391	439	335	433	
1508	223	308	664	254	303	334	261	
1509	223	437	492	312	445	269	312	
1510	184	666	235	574	59	467	615	
1511	505	346	53	7	7	8	390	
1512	13	397	283	135	623	42	340	
1513	97	332	170	81	37	35	5	
1514	9	75	623	133	63	35	66	
1515	9	50	170	81	37	35	5	
1516	13	369	601	573	46	96	132	
1517	13	665	987	133	10	42	390	
1518	508	664	990	53	4	286	3	
1519	17	668	57	15	93	8	144	
1520	61	45	235	102	626	145	88	
1521	61	669	336	212	240	186	228	
1522	27	663	985	23	49	11	17	
1523	27	20	322	174	35	11	17	
1524	27	19	390	22	624	187	17	
1525	17	16	86	15	155	8	14	
1526	91	336	490	311	625	1	21	
1527	506	440	986	390	624	225	612	
1528	87	38	73	38	56	407	47	
1529	21	14	122	18	67	85	8	
1530	9	223	445	81	137	35	215	
1531	215	227	214	109	70	10	174	
1532	230	263	994	233	283	207	616	
1533	17	16	992	186	155	8	14	
1534	509	664	990	53	4	286	3	
1535	6	120	993	357	628	4	617	
1536	16	16	86	15	93	124	140	
1537	16	16	995	19	68	41	13	
1538	23	605	307	15	93	8	144	
1539	15	11	996	14	11	6	212	
1540	510	670	997	576	629	468	618	
1541	89	164	933	156	164	98	158	
1542	512	189	268	187	202	153	241	
1543	513	189	1001	577	630	153	241	
1544	61	672	210	167	179	174	170	
1545	126	143	1002	150	150	99	150	
1546	514	671	1003	578	631	469	620	
1547	15	11	206	14	11	6	147	
1548	516	676	1006	579	635	472	625	
1549	515	675	1006	579	635	471	622	
1550	516	678	1004	583	633	470	626	
1551	517	673	1007	582	632	475	623	
1552	519	677	1007	581	632	475	624	
1553	515	675	1006	579	635	474	621	
1554	518	674	1005	580	634	473	625	
1555	146	679	1010	214	167	148	160	
1556	42	32	91	32	636	20	29	
1557	146	681	1012	214	172	135	160	
1558	6	121	1013	322	369	101	190	
1559	81	67	103	57	638	77	18	
1560	49	89	30	584	197	24	33	
1561	157	48	109	60	77	81	107	
1562	165	178	240	144	177	123	183	
1563	94	16	58	204	641	41	152	
1564	58	42	1016	41	74	32	41	
1565	25	685	159	293	70	10	62	
1566	520	686	509	588	41	39	630	
1567	153	687	1017	589	463	13	344	
1568	206	274	403	224	246	192	631	
1569	257	680	1011	34	637	482	627	
1570	141	682	148	155	162	483	155	
1571	142	689	1018	590	242	129	229	
1572	143	690	1019	585	643	477	628	
1573	48	77	1014	586	55	478	632	
1574	521	274	1015	591	639	479	205	
1575	522	104	1020	587	640	480	629	
1576	259	684	1021	592	642	481	282	
1577	146	688	1022	214	403	309	160	
1578	6	691	1023	114	644	286	190	
1579	13	60	542	81	37	35	5	
1580	530	195	1053	1	1	1	388	
1581	91	336	1025	1	3	1	21	
1582	75	695	1030	1	3	1	21	
1583	1	195	1034	1	573	279	21	
1584	1	699	1043	1	585	1	639	
1585	1	692	1026	1	645	486	633	
1586	534	709	1060	1	652	1	645	
1587	526	386	1042	1	652	3	638	
1588	527	58	1046	1	654	493	21	
1589	1	195	1050	1	656	62	21	
