ST	aroE	gdh	gki	recP	spi	xpt	ddl	clonal_complex
5150	7	17	4	35	6	28	9	
5151	8	33	1	1	17	3	8	
5152	8	13	14	1	17	25	14	
5153	8	13	2	4	17	25	15	
5154	8	5	14	12	9	3	15	
5155	10	5	36	4	17	25	31	
5156	11	19	2	17	72	22	14	
5157	11	60	36	12	17	21	14	
5158	11	14	4	1	17	28	8	
5159	15	13	19	15	6	40	26	
5160	15	65	19	15	6	20	26	
5161	18	13	2	6	6	6	8	
5162	5	8	4	1	1	14	14	
5163	7	60	62	43	6	1	6	
5164	2	5	29	12	16	333	14	
5165	4	247	2	4	4	1	1	
5166	7	13	250	6	1	10	8	
5167	4	16	19	15	6	20	379	
5168	8	29	4	15	17	12	380	
5169	7	248	8	16	25	6	8	
5170	1	5	251	10	6	79	18	
5171	18	249	4	44	14	77	97	
5172	2	5	36	12	231	21	14	
5173	1	5	4	5	232	11	8	
5174	13	5	4	5	5	3	8	
5175	1	5	5	30	88	19	6	
5176	6	17	5	30	88	88	6	
5177	18	5	2	5	27	8	9	
5178	18	5	2	5	27	19	9	
5179	12	62	9	10	3	20	6	
5180	7	17	9	1	2	19	14	
5181	137	22	82	1	6	19	17	
5182	1	34	54	5	217	130	31	
5183	7	5	8	6	25	6	8	
5184	15	13	146	17	6	22	14	
5185	8	5	4	11	9	3	8	
5186	2	16	9	18	6	20	6	
5187	2	5	36	5	17	21	14	
5188	2	32	9	47	6	1	17	
5189	1	18	4	1	7	19	9	
5190	15	8	4	1	6	16	31	
5191	13	16	4	1	7	19	9	
5192	1	5	36	12	17	21	14	
5193	7	11	10	8	233	8	106	
5194	2	5	36	146	8	21	14	
5195	12	19	36	17	6	334	14	
5196	2	13	70	16	6	19	18	
5197	2	5	4	43	14	1	19	
5198	1	250	4	5	5	3	8	
5199	2	13	4	5	234	6	14	
5200	1	5	4	16	11	38	8	
5201	1	5	2	5	5	3	8	
5202	8	13	14	4	235	4	14	
5203	2	13	2	4	9	4	18	
5204	10	60	4	1	14	12	29	
5205	5	175	1	8	10	28	11	
5206	1	5	4	12	6	28	8	
5207	1	5	9	12	94	28	6	
5208	5	25	9	1	6	14	264	
5209	15	13	4	16	6	19	17	
5210	1	8	252	1	9	14	14	
5211	167	9	2	1	6	1	17	
5212	168	31	4	1	236	335	6	
5213	2	10	1	147	6	31	6	
5214	7	9	10	1	11	58	90	
5215	43	60	9	1	6	1	6	
5216	7	41	2	6	10	1	1	
5217	7	6	1	2	6	15	381	
5218	169	5	8	1	8	5	7	
5219	170	11	10	1	6	58	1	
5220	8	37	9	29	237	12	53	
5221	7	251	9	8	6	3	29	
5222	7	12	1	1	6	12	5	
5223	43	37	4	117	36	259	74	
5224	43	5	4	117	36	259	20	
5225	1	168	9	8	9	19	6	
5226	15	16	19	15	6	22	4	
5227	10	19	2	1	6	22	14	
5228	137	8	4	10	15	303	14	
5229	1	12	223	47	17	19	2	
5230	7	15	2	10	6	1	382	
5231	15	17	4	148	6	1	17	
5232	2	29	4	1	6	121	121	
5233	2	13	2	5	6	121	14	
5234	7	15	2	10	6	1	383	
5235	7	12	7	1	116	20	29	
5236	7	12	1	1	10	1	11	
5237	10	16	150	1	30	1	29	
5238	2	5	2	149	6	121	121	
5239	12	8	13	5	16	336	20	
5240	5	19	2	17	6	22	14	
5241	7	9	8	6	1	6	384	
5242	7	13	8	6	1	337	8	
5243	8	8	4	16	77	1	26	
5244	2	168	2	5	6	121	385	
5245	2	13	19	5	6	124	29	
5246	7	13	8	6	1	138	8	
5247	1	29	8	6	6	6	14	
5248	1	5	54	38	15	83	74	
5249	1	8	73	47	36	1	31	
5250	1	9	9	18	6	1	31	
5251	1	11	54	5	6	1	5	
5252	1	60	136	1	6	26	14	
5253	1	13	8	5	6	6	124	
5254	10	18	4	1	7	393	9	
5255	2	5	23	4	267	3	18	
5256	1	254	4	4	15	20	28	
5257	2	2	36	55	17	21	14	
5258	2	5	4	10	13	1	18	
5259	2	5	36	4	17	20	14	
5260	7	8	8	6	17	388	14	
5261	2	8	62	18	6	28	309	
5262	2	11	4	1	6	112	14	
5263	2	11	4	15	6	111	111	
5264	2	13	4	18	6	108	14	
5265	10	16	40	1	17	394	17	
5266	2	18	6	10	17	1	19	
5267	201	15	2	10	6	267	22	
5268	5	5	4	1	27	1	118	
5269	5	5	4	4	27	1	118	
5270	7	11	4	1	17	112	64	
5271	7	28	4	2	6	1	9	
5272	20	28	1	1	15	395	14	
5273	1	8	34	5	268	396	17	
5274	15	290	223	5	6	1	8	
5275	2	5	9	5	9	1	432	
5276	2	5	36	12	17	386	340	
5277	10	8	73	47	36	1	5	
5278	15	16	291	15	6	20	26	
5279	2	288	4	113	7	123	9	
5280	16	10	15	10	17	388	9	
5281	8	10	2	16	6	26	422	
5282	16	289	4	83	15	20	168	
5283	10	11	4	5	6	111	111	
5284	10	11	34	16	36	1	145	
5285	2	5	36	12	17	386	14	
5286	8	19	2	27	17	389	71	
5287	10	13	4	5	15	1	145	
5288	10	43	283	18	13	49	6	
5289	2	296	4	1	6	16	31	
5290	16	38	9	16	17	88	424	
5291	13	5	292	30	15	1	6	
5292	2	32	165	171	6	112	145	
5293	7	38	1	2	6	20	423	
5294	12	5	1	2	6	1	269	
5295	7	25	4	1	15	362	433	
5296	7	13	12	6	17	6	434	
5297	8	5	2	16	49	26	1	
5298	2	5	29	1	16	3	14	
5299	2	297	2	10	6	1	22	
5300	1	5	27	20	1	1	14	
5301	12	62	1	2	6	1	6	
5302	12	62	1	2	6	1	5	
5303	7	5	8	10	10	6	14	
5304	16	9	75	3	17	115	5	
5305	7	5	8	35	10	6	14	
5306	7	11	10	1	6	13	14	
5307	7	11	10	12	6	58	14	
5308	1	8	9	16	6	4	6	
5309	7	11	10	16	6	58	14	
5310	7	13	8	6	10	112	14	
5311	43	5	4	16	6	20	255	
5312	2	13	9	1	10	19	14	
5313	7	15	2	12	6	1	22	
5314	7	43	9	8	7	28	6	
5315	1	9	4	18	36	1	31	
5316	12	8	13	5	17	4	8	
5317	10	11	34	6	15	1	145	
5318	7	25	4	10	42	20	15	
5319	8	9	5	10	7	1	1	
5320	12	293	2	17	6	22	14	
5321	12	8	230	5	6	1	6	
5322	12	11	54	2	6	1	5	
5323	1	21	1	1	6	4	6	
5324	13	5	4	10	15	115	168	
5325	16	9	2	3	15	16	5	
5326	50	9	15	1	36	3	31	
5327	2	9	54	5	6	288	389	
5328	8	13	14	6	6	4	9	
5329	16	9	253	3	9	16	5	
5330	13	60	9	1	9	338	6	
5331	5	9	5	1	7	1	1	
5332	16	5	29	5	17	92	17	
5333	2	5	62	10	6	112	5	
5334	7	32	9	4	15	20	28	
5335	8	5	9	10	17	83	118	
5336	8	5	36	1	6	1	6	
5337	7	11	74	10	6	14	18	
5338	10	8	10	1	15	1	75	
5339	5	5	4	1	10	1	118	
5340	1	11	74	5	6	103	18	
5341	5	5	4	1	10	177	14	
5342	7	13	8	5	6	6	14	
5343	10	43	9	1	15	1	5	
5344	12	8	9	1	3	20	18	
5345	8	8	2	3	6	27	168	
5346	7	136	4	3	9	6	8	
5347	1	8	4	47	36	1	5	
5348	10	65	10	1	27	1	6	
5349	2	17	1	76	6	115	14	
5350	2	5	4	10	17	28	110	
5351	10	43	9	63	15	1	5	
5352	12	5	89	8	6	1	14	
5353	16	17	1	76	6	115	14	
5354	6	57	83	6	7	1	9	
5355	5	5	6	10	9	1	19	
5356	2	5	36	3	6	1	1	
5357	7	13	62	5	9	6	8	
5358	7	13	8	6	25	115	8	
5359	16	43	9	5	17	33	1	
5360	12	11	9	3	3	20	17	
5361	2	11	54	5	6	129	44	
5362	6	57	83	6	7	1	18	
5363	1	16	4	10	25	1	31	
5364	8	5	36	3	6	1	31	
5365	8	5	4	1	7	1	14	
5366	7	32	4	5	9	6	8	
5367	2	5	4	1	10	1	118	
5368	10	65	10	16	15	1	75	
5369	12	19	2	17	7	22	14	
5370	8	5	4	1	15	1	14	
5371	12	9	69	5	9	88	168	
5372	2	13	4	1	15	112	14	
5373	58	32	14	1	6	12	8	
5374	7	5	8	10	9	1	8	
5375	8	88	4	18	25	112	19	
5376	2	11	254	16	6	112	15	
5377	171	5	36	3	6	1	9	
5378	16	9	253	3	9	16	18	
5379	12	62	1	2	6	339	14	
5380	12	62	1	1	84	1	15	
5381	7	9	4	55	15	20	28	
5382	43	5	4	1	7	79	255	
5383	12	19	2	16	42	22	14	
5384	12	62	1	5	84	1	15	
5385	5	5	4	3	6	1	118	
5386	6	57	83	28	7	1	18	
5387	8	5	9	16	2	12	14	
5388	6	8	59	6	10	6	14	
5389	6	5	213	5	17	20	148	
5390	10	11	4	1	6	111	111	
5391	10	65	4	16	15	1	75	
5392	13	5	4	10	17	28	168	
5393	8	5	4	3	6	1	17	
5394	1	10	36	3	6	1	9	
5395	54	62	4	10	15	142	386	
5396	10	5	54	1	238	1	6	
5397	12	62	1	2	239	1	15	
5398	8	8	29	1	240	1	6	
5399	172	5	36	3	6	1	6	
5400	175	8	8	29	6	6	14	
5401	2	13	2	8	17	341	288	
5402	16	44	1	150	9	11	17	
5403	2	13	2	2	17	341	288	
5404	5	13	2	8	17	341	288	
5405	1	5	2	8	13	342	15	
5406	18	5	2	5	13	343	14	
5407	142	10	4	5	17	33	277	
5408	8	5	36	3	6	345	5	
5409	1	25	54	12	27	88	387	
5410	16	2	53	5	241	1	5	
5411	2	8	1	16	1	19	14	
5412	2	9	54	5	205	288	15	
5413	16	5	8	3	9	1	5	
5414	1	8	54	47	36	1	5	
5415	1	8	53	47	36	1	5	
5416	50	8	4	47	36	1	5	
5417	54	5	54	1	6	1	1	
5418	2	9	54	5	205	79	15	
5419	2	62	54	25	6	20	6	
5420	7	13	4	1	6	28	14	
5421	10	11	9	1	10	4	31	
5422	2	53	2	1	6	277	14	
5423	10	29	14	1	6	1	29	
5424	7	29	1	2	6	15	14	
5425	7	29	1	1	10	1	21	
5426	9	29	2	1	6	9	17	
5427	10	29	4	5	13	10	18	
5428	2	32	9	47	223	21	17	
5429	5	15	4	1	5	218	6	
5430	5	15	4	1	42	218	6	
5431	2	5	1	2	197	220	27	
5432	2	5	1	2	7	220	27	
5433	7	137	1	2	6	1	18	
5434	2	29	94	1	6	28	14	
5435	2	5	36	12	6	20	269	
5436	7	15	2	10	223	1	22	
5437	5	153	6	10	9	92	75	
5438	7	11	34	1	6	277	14	
5439	8	8	1	6	6	6	14	
5440	1	8	4	12	224	3	18	
5441	10	25	150	1	17	1	29	
5442	12	205	208	5	197	268	6	
5443	1	60	53	15	72	1	120	
5444	2	57	54	5	103	1	9	
5445	7	62	1	2	17	20	5	
5446	8	60	4	1	187	192	6	
5447	5	5	6	1	9	1	14	
5448	7	8	4	18	15	1	17	
5449	8	2	1	1	6	28	14	
5450	1	2	1	2	14	4	14	
5451	2	9	9	5	6	1	70	
5452	7	8	4	18	2	3	17	
5453	7	13	4	18	15	1	17	
5454	2	19	2	17	223	22	14	
5455	10	16	150	1	6	1	29	
5456	10	13	1	16	15	2	31	
5457	16	5	1	5	115	1	18	
5458	7	11	10	43	6	8	1	
5459	43	16	19	15	55	20	26	
5460	1	5	4	5	27	28	8	
5461	7	2	69	8	6	4	8	
5462	5	42	52	11	9	173	18	
5463	1	5	5	5	6	1	14	
5464	7	2	1	5	6	4	14	
5465	16	2	111	29	10	1	14	
5466	1	8	9	16	6	7	5	
5467	7	2	1	1	6	4	14	
5468	1	5	4	18	15	48	8	
5469	10	8	2	1	6	14	6	
5470	7	8	4	43	15	20	28	
5471	7	2	1	5	6	1	14	
5472	7	5	62	5	6	79	14	
5473	1	8	9	2	6	4	7	
5474	10	16	4	1	6	14	6	
5475	10	43	41	15	13	49	6	
5476	8	8	4	16	6	14	388	
5477	7	13	8	1	6	328	6	
5478	26	252	15	14	9	16	19	
5479	8	9	256	1	6	1	17	
5480	173	5	29	12	9	3	6	
5481	1	253	69	1	1	3	14	
5482	5	5	257	5	8	344	7	
5483	8	11	255	47	6	346	9	
5484	1	5	255	18	36	340	296	
5485	7	5	12	10	6	1	5	
5486	7	255	1	1	10	1	21	
5487	1	8	258	4	6	1	1	
5488	7	5	1	1	6	31	390	
5489	174	31	4	5	6	28	44	
5490	7	256	10	1	6	8	14	
5491	1	5	4	5	30	20	8	
5492	15	17	4	16	6	1	1	
5493	7	5	1	8	14	11	26	
5494	2	13	2	1	6	121	400	
5495	22	16	19	15	6	20	401	
5496	7	257	9	6	25	6	14	
5497	5	6	1	2	242	1	271	
5498	7	5	1	1	10	1	6	
5499	1	13	9	151	94	28	20	
5500	1	1	9	12	94	28	20	
5501	7	25	19	4	15	20	28	
5502	1	13	9	152	94	28	20	
5503	6	17	4	5	6	1	17	
5504	8	88	103	18	36	142	161	
5505	1	5	9	16	6	4	197	
5506	2	8	62	16	6	27	5	
5507	7	60	4	5	27	20	6	
5508	7	2	29	1	10	1	11	
5509	6	5	2	18	67	1	5	
5510	1	17	4	11	6	1	17	
5511	12	5	4	10	11	1	9	
5512	8	5	4	10	11	1	9	
5513	5	6	1	1	10	1	4	
5514	16	12	9	1	7	19	9	
5515	5	16	8	8	6	142	14	
5516	2	8	4	18	15	4	31	
5517	118	8	4	12	25	19	6	
5518	60	60	4	4	9	1	28	
5519	6	57	259	28	7	1	9	
5520	13	258	4	1	7	19	14	
5521	2	8	62	16	6	27	309	
5522	1	8	193	18	6	1	8	
5523	1	16	4	10	243	1	31	
5524	2	5	36	12	17	122	14	
5525	5	259	9	18	14	1	74	
5526	15	16	90	153	6	1	19	
5527	1	25	4	4	6	122	28	
5528	10	13	53	1	72	277	31	
5529	25	31	4	16	32	28	29	
5530	1	5	193	16	6	4	6	
5531	5	6	1	2	6	1	6	
5532	13	8	4	1	6	19	14	
5533	6	5	5	5	27	1	5	
5534	7	43	4	154	6	3	8	
5535	10	13	34	1	15	111	31	
5536	7	2	4	4	15	173	18	
5537	97	2	4	4	15	173	18	
5538	13	9	4	18	15	1	9	
5539	12	19	2	8	6	22	14	
5540	18	12	2	16	17	19	245	
5541	15	5	15	1	15	1	18	
5542	50	9	101	1	36	225	5	
5543	1	134	101	18	130	1	6	
5544	11	16	4	8	6	142	18	
5545	7	16	4	8	6	142	14	
5546	11	41	8	1	19	277	5	
5547	7	19	8	10	6	6	8	
5548	2	5	9	10	17	1	18	
5549	7	13	8	10	6	6	8	
5550	7	19	8	10	6	6	18	
5551	7	260	260	6	17	60	14	
5552	7	260	36	6	17	60	14	
5553	2	37	9	12	17	21	59	
5554	7	43	4	6	6	3	8	
5555	12	28	1	2	6	26	9	
5556	1	8	146	15	25	231	14	
5557	1	8	146	15	25	231	9	
5558	7	77	2	1	130	4	31	
5559	5	25	52	5	2	142	14	
5560	172	262	261	5	42	49	168	
5561	176	5	36	12	17	21	14	
5562	2	5	36	12	17	21	8	
5563	2	5	6	12	17	21	14	
5564	2	8	4	16	6	1	309	
5565	177	134	4	18	1	83	18	
5566	6	261	10	18	36	354	5	
5567	12	19	2	17	7	22	5	
5568	6	5	2	5	17	1	17	
5569	7	13	9	10	6	6	8	
5570	7	5	8	8	15	355	235	
5571	7	13	8	6	239	28	8	
5572	8	134	70	1	13	346	8	
5573	7	206	1	6	15	60	14	
5574	10	11	34	16	244	1	145	
5575	1	5	1	52	218	28	9	
5576	1	5	2	8	13	342	399	
5577	1	5	4	155	15	16	20	
5578	1	8	4	5	6	347	168	
5579	1	8	4	35	6	4	68	
5580	1	8	4	156	6	3	18	
5581	1	8	19	5	6	3	391	
5582	1	8	266	2	6	4	6	
5583	1	13	2	8	17	341	288	
5584	1	13	4	1	6	147	14	
5585	1	32	97	10	6	88	18	
5586	1	37	267	12	6	3	41	
5587	2	5	1	2	93	220	27	
5588	2	5	29	131	16	3	14	
5589	2	5	36	12	17	348	14	
5590	2	5	268	5	6	1	17	
5591	2	8	11	16	7	19	309	
5592	2	10	2	16	1	26	1	
5593	2	13	269	4	6	1	20	
5594	2	29	4	66	10	6	11	
5595	2	29	29	12	16	3	14	
5596	2	53	2	157	6	19	68	
5597	2	62	1	158	9	20	14	
5598	2	263	4	5	6	14	14	
5599	2	264	29	18	42	3	18	
5600	5	5	1	18	49	1	392	
5601	5	5	4	1	245	14	14	
5602	5	5	4	47	17	19	393	
5603	5	6	270	2	6	3	4	
5604	5	15	4	1	6	218	6	
5605	5	15	4	1	7	218	6	
5606	5	265	7	7	8	5	7	
5607	5	266	8	66	9	1	245	
5608	5	250	29	10	6	123	19	
5609	8	13	14	4	17	4	618	
5610	7	2	4	10	6	4	14	
5611	7	8	4	8	15	4	28	
5612	7	10	4	18	17	3	18	
5613	7	13	4	16	6	1	14	
5614	7	13	162	16	15	14	44	
5615	7	15	2	10	217	1	22	
5616	7	15	262	10	6	1	22	
5617	7	22	1	2	6	349	14	
5618	7	29	1	1	10	1	30	
5619	7	267	1	5	6	4	14	
5620	7	268	2	10	6	1	22	
5621	7	269	8	6	25	6	8	
5622	7	270	36	18	15	20	28	
5623	8	8	1	5	6	28	14	
5624	8	8	36	5	6	4	394	
5625	8	8	263	1	6	104	14	
5626	8	8	263	15	6	104	14	
5627	8	128	4	158	15	116	72	
5628	10	5	1	4	6	99	1	
5629	10	5	4	4	15	350	6	
5630	10	5	28	11	217	111	17	
5631	10	5	53	5	9	3	5	
5632	10	18	4	1	7	351	9	
5633	10	18	4	1	15	19	9	
5634	10	20	14	1	4	1	29	
5635	10	53	4	159	6	28	313	
5636	10	162	2	1	246	28	41	
5637	10	162	2	1	246	28	403	
5638	10	162	2	1	246	38	41	
5639	10	162	2	79	246	38	41	
5640	10	271	32	1	15	28	31	
5641	12	5	54	38	27	1	6	
5642	12	5	89	8	6	19	14	
5643	12	8	54	5	7	112	17	
5644	12	8	62	160	6	88	14	
5645	12	11	10	1	6	8	14	
5646	13	5	69	1	13	26	31	
5647	15	5	54	1	197	1	168	
5648	15	8	4	1	39	14	395	
5649	15	13	8	144	42	6	8	
5650	15	16	19	15	6	20	396	
5651	15	16	19	101	247	20	31	
5652	15	29	4	21	30	1	397	
5653	15	29	4	21	30	352	14	
5654	15	153	111	1	9	14	6	
5655	16	2	1	5	241	1	5	
5656	16	5	264	5	10	16	14	
5657	16	8	73	5	6	16	313	
5658	16	10	4	1	6	353	6	
5659	16	12	9	1	248	33	33	
5660	16	13	4	18	6	356	14	
5661	16	272	9	10	17	1	6	
5662	18	5	4	1	137	20	15	
5663	18	13	8	6	3	6	398	
5664	20	28	1	1	148	20	14	
5665	25	16	4	5	32	28	44	
5666	43	5	4	10	36	357	74	
5667	43	5	193	161	6	1	404	
5668	54	5	1	162	6	28	6	
5669	58	273	6	10	9	1	75	
5670	140	5	15	15	10	1	14	
5671	178	5	1	1	15	12	15	
5672	179	5	4	1	17	19	9	
5673	180	5	4	5	10	19	402	
5674	168	5	29	12	16	3	14	
5675	187	5	265	1	6	28	5	
5676	181	16	19	15	3	20	8	
5677	181	16	19	15	71	20	26	
5678	182	18	4	1	13	19	9	
5679	183	25	4	4	15	20	28	
5680	184	9	15	11	178	58	70	
5681	185	153	6	10	9	1	75	
5682	186	175	4	16	6	19	31	
5683	188	5	29	12	16	333	14	
5684	5	5	4	1	9	1	405	
5685	7	25	4	4	249	20	28	
5686	16	10	1	1	6	187	18	
5687	7	12	1	1	6	12	6	
5688	7	25	8	6	25	1	8	
5689	7	13	4	8	6	22	18	
5690	5	6	1	2	15	1	8	
5691	16	38	4	16	15	14	31	
5692	7	77	1	2	15	60	406	
5693	8	5	1	1	6	142	14	
5694	7	8	4	1	15	28	8	
5695	2	5	6	5	9	54	19	
5696	7	60	4	4	15	20	5	
5697	1	5	53	1	6	88	20	
5698	23	12	4	1	43	12	28	
5699	15	16	19	15	6	1	14	
5700	15	16	19	15	6	21	14	
5701	15	16	19	28	6	20	19	
5702	2	8	9	10	17	83	6	
5703	41	13	19	6	25	6	8	
5704	2	8	9	10	17	4	6	
5705	7	13	1	1	6	6	74	
5706	10	5	4	10	11	1	9	
5707	23	12	4	1	43	12	31	
5708	7	17	4	8	42	22	18	
5709	60	86	1	4	42	122	28	
5710	6	57	34	28	6	20	9	
5711	5	6	9	1	19	11	14	
5712	8	214	4	18	15	4	31	
5713	15	6	1	35	6	1	14	
5714	16	214	4	18	15	38	31	
5715	16	214	4	18	15	225	31	
5716	16	214	4	18	15	4	31	
5717	5	13	1	2	10	1	14	
5718	16	214	4	12	15	1	31	
5719	15	17	4	16	6	123	161	
5720	11	17	4	16	16	1	17	
5721	8	60	103	18	9	142	161	
5722	5	5	36	3	6	1	9	
5723	15	5	36	3	6	1	9	
5724	5	5	36	3	6	21	9	
5725	15	5	1	1	6	1	14	
5726	1	16	54	10	6	1	31	
5727	1	5	4	4	15	20	5	
5728	118	10	4	12	17	19	6	
5729	7	11	4	1	6	112	271	
5730	7	11	72	1	6	112	14	
5731	7	16	8	28	6	142	271	
5732	8	11	4	1	6	112	14	
5733	10	5	36	10	11	1	9	
5734	16	38	4	16	7	358	28	
5735	7	8	1	5	42	60	271	
5736	8	8	4	12	17	19	6	
5737	7	214	4	18	15	20	31	
5738	16	214	271	18	15	225	31	
5739	7	214	1	5	42	49	14	
5740	8	5	4	15	16	20	4	
5741	32	28	1	1	6	52	14	
5742	15	274	4	16	6	1	17	
5743	15	29	4	21	30	359	14	
5744	1	5	4	5	5	360	8	
5745	2	8	272	4	6	75	17	
5746	7	15	2	10	250	1	22	
5747	2	13	4	1	6	1	8	
5748	4	16	19	15	74	20	1	
5749	8	13	14	4	6	273	14	
5750	43	5	4	3	7	79	255	
5751	5	11	4	1	6	1	118	
5752	2	5	36	3	6	339	1	
5753	10	5	54	1	9	1	6	
5754	12	8	9	1	3	20	14	
5755	2	8	54	16	6	112	118	
5756	10	16	54	1	32	20	118	
5757	16	13	4	18	6	1	14	
5758	2	11	10	12	6	129	17	
5759	16	11	9	3	3	20	57	
5760	5	9	4	1	7	1	14	
5761	16	32	4	5	17	1	17	
5762	12	11	9	3	3	20	14	
5763	5	65	4	1	27	1	118	
5764	10	11	4	5	6	111	18	
5765	7	8	4	2	6	1	9	
5766	12	8	9	104	3	20	74	
5767	16	9	253	6	9	16	5	
5768	2	5	36	3	6	22	1	
5769	12	8	9	1	3	20	57	
5770	51	66	1	1	10	1	108	
5771	12	65	9	3	3	20	275	
5772	1	5	36	3	6	28	9	
5773	13	5	4	10	17	1	110	
5774	51	66	1	1	6	6	108	
5775	51	66	1	1	17	21	108	
5776	10	65	10	16	15	1	31	
5777	10	5	4	1	6	103	118	
5778	2	11	10	5	6	111	6	
5779	12	65	4	16	15	112	75	
5780	7	13	36	5	6	6	124	
5781	1	8	62	16	6	130	309	
5782	8	9	2	1	6	1	5	
5783	1	8	1	5	6	4	6	
5784	7	8	13	5	17	4	8	
5785	7	13	8	1	10	3	14	
5786	5	2	2	5	17	20	148	
5787	8	9	2	1	6	3	14	
5788	10	5	54	1	238	1	118	
5789	12	62	1	2	7	1	14	
5790	8	10	2	35	1	26	1	
5791	1	8	74	104	3	1	6	
5792	1	32	97	5	6	1	18	
5793	2	5	36	55	15	21	14	
5794	23	8	62	5	6	387	14	
5795	10	11	4	16	42	1	145	
5796	1	5	255	18	36	340	269	
5797	12	5	89	10	6	112	14	
5798	12	5	19	104	238	177	9	
5799	43	5	4	16	7	1	255	
5800	5	5	4	1	59	1	19	
5801	7	13	1	2	6	1	14	
5802	190	18	4	1	7	19	9	
5803	16	12	9	1	41	361	33	
5804	191	12	9	1	41	33	33	
5805	7	10	8	16	25	6	1	
5806	16	10	2	16	1	4	1	
5807	10	41	47	16	6	14	1	
5808	1	5	1	5	6	3	5	
5809	58	8	4	12	17	19	6	
5810	15	5	15	1	15	1	407	
5811	58	8	4	12	17	19	18	
5812	118	10	4	12	17	112	309	
5813	8	13	29	8	6	22	34	
5814	7	13	8	1	25	6	8	
5815	16	8	253	3	9	16	5	
5816	10	8	30	4	6	1	9	
5817	7	13	62	6	25	33	8	
5818	192	19	36	17	6	20	14	
5819	1	5	9	1	17	3	14	
5820	7	11	109	1	6	112	14	
5821	7	5	12	163	1	49	408	
5822	7	13	273	6	6	6	8	
5823	1	32	227	1	15	26	11	
5824	13	5	7	18	6	16	6	
5825	7	8	9	5	6	4	6	
5826	1	1	4	1	18	5	17	
5827	7	14	4	5	1	1	14	
5828	4	16	19	15	55	20	409	
5829	1	5	27	20	1	279	1	
5830	5	6	1	2	6	1	42	
5831	2	13	2	5	6	124	29	
5832	7	9	4	16	1	6	384	
5833	7	13	1	6	6	6	121	
5834	7	28	1	2	6	1	5	
5835	1	1	1	10	251	4	5	
5836	4	4	29	4	4	1	1	
5837	7	41	2	43	10	26	28	
5838	8	128	4	1	83	187	72	
5839	2	13	54	6	67	6	8	
5840	5	35	29	1	30	39	18	
5841	15	275	4	2	10	1	14	
5842	10	16	150	1	13	1	29	
5843	8	13	14	4	252	4	14	
5844	15	29	4	21	30	22	14	
5845	1	16	19	6	6	1	14	
5846	2	13	4	5	6	58	410	
5847	1	5	74	8	13	342	17	
5848	29	10	2	16	1	26	1	
5849	7	13	2	6	6	12	8	
5850	7	6	1	43	6	15	14	
5851	1	8	8	1	9	14	14	
5852	7	2	1	1	17	1	21	
5853	88	11	10	1	6	58	1	
5854	45	10	6	12	9	14	14	
5855	7	25	9	4	6	14	264	
5856	1	276	7	12	17	1	14	
5857	1	5	4	1	18	58	17	
5858	2	8	2	4	6	1	18	
5859	12	19	2	6	6	1	18	
5860	1	1	4	1	18	58	6	
5861	16	13	4	4	6	26	18	
5862	7	13	8	13	6	6	14	
5863	5	16	6	1	9	14	1	
5864	7	30	2	6	4	39	14	
5865	7	5	33	5	10	6	14	
5866	7	30	41	6	6	6	31	
5867	7	9	2	6	1	6	384	
5868	2	3	2	47	6	3	14	
5869	7	60	67	5	6	1	384	
5870	7	25	4	1	15	362	28	
5871	2	8	9	164	25	1	9	
5872	2	128	4	1	14	1	72	
5873	1	16	34	1	6	11	9	
5874	2	5	2	4	1	1	1	
5875	16	6	2	3	9	16	5	
5876	16	9	2	3	9	16	5	
5877	7	11	4	4	11	19	18	
5878	5	11	4	4	11	19	18	
5879	12	5	19	1	238	177	9	
5880	1	112	4	4	15	20	118	
5881	1	32	9	155	15	83	72	
5882	51	60	255	1	6	177	5	
5883	7	5	1	10	6	1	14	
5884	2	5	36	3	15	339	1	
5885	2	9	54	1	6	288	389	
5886	163	32	4	5	15	1	15	
5887	10	66	4	1	7	19	9	
5888	10	8	4	2	6	1	14	
5889	8	5	4	5	27	3	1	
5890	10	8	4	8	6	1	14	
5891	7	8	73	47	15	1	8	
5892	13	60	9	1	7	14	6	
5893	10	181	2	1	6	392	14	
5894	16	9	2	3	9	16	9	
5895	12	62	9	2	6	22	5	
5896	16	12	9	1	41	28	33	
5897	2	11	10	5	6	129	6	
5898	1	10	4	61	9	3	14	
5899	1	5	9	2	9	3	14	
5900	8	5	4	5	15	3	1	
5901	2	5	62	16	6	112	5	
5902	8	5	36	3	6	1	6	
5903	10	11	4	16	15	170	145	
5904	8	62	1	2	6	1	14	
5905	7	11	4	1	6	112	5	
5906	7	11	4	1	6	112	124	
5907	16	32	29	5	17	92	17	
5908	2	5	36	55	17	6	14	
5909	7	13	8	5	6	21	124	
5910	12	5	19	104	238	6	9	
5911	7	13	8	5	6	177	124	
5912	10	19	2	17	6	22	14	
5913	1	11	95	1	103	19	9	
5914	7	8	8	6	25	1	8	
5915	16	12	9	1	15	19	33	
5916	10	18	4	1	7	33	1	
5917	2	5	36	55	17	49	14	
5918	7	43	2	18	13	21	6	
5919	10	18	4	1	7	20	1	
5920	7	9	255	10	9	1	14	
5921	7	13	8	5	6	112	124	
5922	1	11	74	5	6	1	18	
5923	12	8	230	1	6	1	1	
5924	8	5	4	1	6	6	6	
