ST	aroC	dnaN	hemD	hisD	purE	sucA	thrA
1867	60	429	17	16	13	16	4	
1868	15	14	341	8	7	19	18	
1869	30	28	31	27	467	29	476	
1870	10	59	23	549	38	9	477	
1871	10	7	20	9	5	7	18	
1872	45	4	35	119	27	56	8	
1873	16	347	146	219	8	9	2	
1874	16	2	8	18	8	9	339	
1875	33	26	30	282	21	87	473	
1876	451	26	30	84	21	92	80	
1877	452	26	30	144	131	145	134	
1878	88	26	30	55	470	68	471	
1879	5	14	3	7	6	6	11	
1880	255	26	30	282	21	229	28	
1881	88	255	30	55	21	68	471	
1883	111	109	17	149	41	221	23	
1885	14	72	21	12	6	19	478	
1886	14	13	18	550	14	18	1	
1887	445	251	80	22	55	184	240	
1888	445	425	333	68	296	418	249	
1889	291	430	43	143	90	426	1	
1890	18	7	47	9	5	427	12	
1891	152	14	344	551	89	313	2	
1901	10	7	343	9	5	9	2	
1916	453	431	10	552	471	39	82	
1917	92	137	8	524	206	313	330	
1918	5	2	3	7	64	6	11	
1919	1	1	1	1	1	1	9	
1920	10	7	12	553	5	9	2	
1921	10	432	12	9	5	9	2	
1922	10	7	12	554	5	9	2	
1923	173	293	21	91	115	12	293	
1924	173	6	8	8	7	8	13	
1925	454	2	3	7	6	6	11	
1928	197	187	10	234	8	9	22	
1932	5	3	7	9	6	3	7	
1934	5	21	18	33	6	12	480	
1935	10	71	12	12	190	9	18	
1936	10	7	3	9	5	19	2	
1937	12	2	10	14	11	10	16	
1938	45	4	8	555	27	56	8	
1939	45	4	8	44	27	430	8	
1940	5	2	3	7	6	431	11	
1941	117	135	21	12	76	162	38	
1942	13	140	25	526	12	13	4	
1943	15	222	3	131	6	180	338	
1954	11	10	25	42	337	13	4	
1955	17	18	22	17	90	21	19	
1956	147	13	346	123	15	19	17	
1958	10	19	12	9	5	434	2	
1959	313	445	3	507	480	388	333	
1960	14	2	78	236	31	161	281	
1961	5	2	3	7	31	41	2	
1963	10	19	12	9	5	469	2	
1964	14	210	377	14	38	470	12	
1965	11	10	25	42	10	13	4	
1966	11	10	25	42	334	13	4	
1967	492	2	3	7	6	6	11	
1968	140	392	40	592	140	180	18	
1969	10	7	12	596	5	9	2	
1970	497	2	3	7	6	6	11	
1971	101	64	25	163	438	19	383	
1972	5	67	3	14	5	192	1	
1973	5	2	360	7	6	6	11	
1974	5	2	378	7	6	6	11	
1975	5	2	374	7	5	6	10	
1976	5	2	379	7	6	6	11	
1977	5	2	380	7	6	6	11	
1978	214	2	381	7	507	6	11	
1980	5	2	382	597	6	471	508	
1981	5	2	3	7	6	6	508	
1982	5	2	3	597	6	6	508	
1983	5	2	3	591	6	6	11	
1984	5	2	3	7	6	6	509	
1985	14	81	111	564	39	226	41	
1986	51	48	85	50	42	43	45	
1987	203	83	48	13	12	23	4	
1988	71	139	25	565	36	156	147	
1989	210	11	17	113	59	71	4	
1990	6	4	46	124	2	175	12	
1991	11	41	25	560	10	23	4	
1992	17	15	8	128	71	185	419	
1993	140	105	8	93	2	10	58	
1994	15	199	283	43	115	162	483	
1995	5	101	18	561	36	12	12	
1996	17	303	3	238	199	10	12	
1997	199	4	43	128	6	9	182	
1998	110	4	8	184	84	19	22	
1999	127	439	350	163	76	438	124	
2000	17	14	10	500	5	10	14	
2001	5	440	10	563	2	207	452	
2002	168	14	347	559	5	90	12	
2003	463	2	9	88	2	14	12	
2004	14	15	15	64	8	2	12	
2005	469	133	40	33	150	226	95	
2006	140	13	18	88	475	12	482	
2007	14	2	108	562	105	19	104	
2008	161	147	348	178	155	436	142	
2009	72	32	40	33	139	79	324	
2010	136	90	111	33	39	226	41	
2011	5	2	3	12	2	19	16	
2012	117	436	15	124	156	439	8	
2013	464	435	8	196	184	437	446	
2014	18	436	349	12	193	14	12	
2015	5	14	18	561	36	12	12	
2016	466	438	10	195	312	64	101	
2017	127	441	133	96	2	157	484	
2018	127	41	40	279	304	101	4	
2019	161	147	348	178	155	12	142	
2020	13	46	25	49	146	16	4	
2021	467	152	40	216	39	103	153	
2022	127	439	350	163	84	19	124	
2023	18	437	10	121	193	9	319	
2024	14	2	331	7	477	19	12	
2025	117	14	23	127	151	7	157	
2026	2	2	43	7	162	9	17	
2027	13	10	351	347	12	440	283	
2028	140	94	85	66	214	10	58	
2029	82	455	26	12	115	78	70	
2030	484	15	78	576	391	2	503	
2031	46	14	15	12	36	19	18	
2032	12	2	15	578	11	14	16	
2033	168	14	15	559	5	90	12	
2034	16	2	366	43	36	39	42	
2035	127	90	40	94	122	100	327	
2036	41	332	79	579	28	14	96	
2037	5	2	3	6	5	448	10	
2038	436	4	8	159	100	3	95	
2039	2	2	9	7	105	19	86	
2040	302	8	11	11	5	11	15	
2041	42	169	48	16	12	23	4	
2042	39	410	298	577	184	101	41	
2043	110	410	298	577	184	101	41	
2044	10	348	21	14	494	12	420	
2045	16	16	26	18	478	12	18	
2046	47	64	108	96	491	455	303	
2047	487	46	38	384	403	284	504	
2048	486	245	27	359	55	67	490	
2049	2	443	15	7	5	443	16	
2050	41	89	8	33	94	456	94	
2051	346	133	356	94	488	226	4	
2052	93	4	368	90	5	96	87	
2053	483	28	355	454	493	29	30	
2054	397	446	121	99	485	9	406	
2055	378	26	30	55	21	28	28	
2056	127	4	25	163	84	19	22	
2057	145	26	30	25	496	145	28	
2058	488	28	31	151	22	29	30	
2059	485	71	365	130	6	162	115	
2060	83	63	296	13	40	23	63	
2061	2	15	10	581	323	7	72	
2062	18	2	18	12	495	7	12	
2063	11	10	353	13	40	13	4	
2064	41	332	367	62	28	14	96	
2065	6	14	26	583	8	9	38	
2066	10	456	12	9	70	9	2	
2067	10	7	12	9	5	461	2	
2068	112	175	85	584	111	19	108	
2069	11	10	25	13	500	35	193	
2070	145	452	30	282	141	87	28	
2071	2	7	9	9	5	9	33	
2072	10	457	12	9	5	9	2	
2073	118	4	8	106	2	462	22	
2074	10	7	12	589	112	9	2	
2075	22	11	25	13	102	107	4	
2076	10	7	370	9	5	9	2	
2077	112	162	85	98	503	465	108	
2078	10	19	12	586	5	9	2	
2079	10	19	12	9	5	467	2	
2080	10	7	12	585	112	9	2	
2081	490	458	369	587	502	463	385	
2082	10	7	12	9	5	464	2	
2083	10	7	12	568	5	9	2	
2084	5	21	18	588	6	12	17	
2085	128	119	371	27	22	129	30	
2086	30	28	372	27	22	29	30	
2087	10	7	12	9	501	9	2	
2088	11	10	373	13	10	468	4	
2089	10	7	12	590	5	9	2	
2090	491	347	18	438	2	347	170	
2091	5	2	3	595	6	6	11	
2092	5	14	21	9	6	458	17	
2093	10	7	12	9	5	9	505	
2094	10	7	12	9	5	466	2	
2095	161	147	151	178	155	12	142	
2096	136	133	40	94	189	101	126	
2097	48	31	35	14	26	44	8	
2098	5	460	375	7	60	6	507	
2099	12	2	15	14	11	14	498	
2100	494	430	78	593	505	6	506	
2101	495	147	348	178	155	436	142	
2102	5	2	3	594	6	6	11	
2103	183	7	12	570	5	9	2	
2104	5	39	3	38	5	19	18	
2105	136	133	40	94	2	9	95	
2106	10	459	3	589	6	6	11	
2107	5	460	3	7	60	6	11	
2108	496	436	376	7	505	18	34	
2109	280	252	337	53	55	184	49	
2110	10	19	35	9	5	9	2	
2111	18	7	128	9	39	9	481	
2112	477	245	27	359	55	184	490	
2113	2	14	24	14	2	19	488	
2114	43	47	49	149	41	15	4	
2115	18	7	47	567	5	9	175	
2116	86	77	27	22	18	152	25	
2117	18	7	35	9	5	9	12	
2118	46	71	365	130	6	162	115	
2119	2	31	10	62	14	19	34	
2120	101	64	25	163	84	6	22	
2121	14	2	108	139	105	19	104	
2122	72	32	40	33	476	79	324	
2123	468	104	25	21	12	13	4	
2124	10	60	58	66	6	65	39	
2125	2	4	40	43	481	2	425	
2126	22	462	25	21	40	23	4	
2127	65	25	29	82	20	50	51	
2128	41	4	248	12	5	132	12	
2129	41	129	18	153	8	9	22	
2130	173	442	352	566	132	442	322	
2131	65	25	29	24	20	50	497	
2132	62	53	54	60	508	53	54	
2133	499	463	10	36	25	46	36	
2136	13	140	16	42	33	71	4	
2137	13	10	25	113	509	71	4	
2138	1	465	2	1	1	1	5	
2139	501	129	10	599	8	142	18	
2140	25	466	187	22	277	264	511	
2141	15	70	93	78	510	6	68	
2142	30	28	31	580	497	29	30	
2143	35	4	3	33	482	449	41	
2144	5	2	3	7	6	6	512	
2145	25	132	80	22	85	184	91	
2146	17	18	22	600	5	21	19	
2147	465	75	8	216	8	146	97	
2148	33	26	30	26	511	32	28	
2149	127	90	40	361	2	226	513	
2150	50	80	25	601	40	58	4	
2151	5	2	361	7	31	41	11	
2152	13	80	25	16	40	58	4	
2153	502	467	25	402	136	472	3	
2154	103	98	384	115	100	473	514	
2155	83	12	25	148	33	23	63	
2156	117	124	358	470	76	65	17	
2157	444	179	21	12	38	19	515	
2158	30	468	31	473	512	29	30	
2159	503	12	17	72	33	23	4	
2160	1	1	385	3	1	1	5	
2161	17	469	47	9	5	9	16	
2162	39	142	17	346	337	58	516	
2163	405	82	27	214	18	474	249	
2164	398	435	90	196	39	437	446	
2165	504	64	40	128	513	475	517	
2166	14	14	21	172	5	19	17	
2167	10	14	15	31	514	20	33	
2168	155	138	121	99	145	444	146	
2169	41	470	43	58	9	12	2	
2170	505	58	56	62	51	59	16	
2172	2	71	41	17	370	19	12	
2173	1	1	2	1	1	476	5	
2174	22	104	25	113	12	107	4	
2175	42	46	48	48	40	477	4	
2176	360	18	8	122	206	97	36	
2177	16	16	20	602	8	12	18	
2178	13	11	16	85	12	15	63	
2179	6	7	10	10	8	478	14	
2180	507	31	10	62	14	19	34	
2181	17	18	22	603	5	21	19	
2182	478	11	48	149	12	13	4	
2183	130	97	25	125	84	9	519	
2185	31	472	386	151	22	29	30	
2186	18	473	12	9	5	18	21	
2187	101	64	3	163	76	90	101	
2188	60	12	17	16	13	479	4	
2189	84	76	25	197	167	71	3	
2190	168	14	112	12	8	126	12	
2191	111	140	49	526	516	16	4	
2192	145	26	30	144	21	480	475	
2193	509	474	32	27	22	29	30	
2194	162	475	387	604	517	6	16	
2195	510	245	27	68	518	67	520	
2196	56	25	388	605	519	26	27	
2197	470	28	31	151	22	29	30	
2198	10	115	3	606	4	128	8	
2199	10	7	12	9	5	9	521	
2200	9	9	6	12	9	481	2	
2201	128	119	100	27	22	129	522	
2202	11	11	389	149	33	58	4	
2203	12	2	390	14	11	14	16	
2204	13	426	391	607	5	132	161	
2205	311	476	40	608	63	482	323	
2206	376	477	219	275	490	295	385	
2207	161	1	56	316	520	12	142	
2208	346	4	8	125	76	19	101	
2209	1	1	2	1	484	1	5	
2210	10	7	12	609	5	9	2	
2211	10	7	12	9	8	9	2	
2212	10	7	12	9	5	9	523	
2214	10	7	392	9	5	9	2	
2215	14	14	43	172	96	483	2	
2217	401	383	290	582	498	459	409	
2218	511	1	2	1	1	1	5	
2219	2	31	10	62	14	19	495	
2220	13	127	92	113	114	107	524	
2221	11	41	25	195	10	23	4	
2222	437	41	109	279	2	100	95	
2223	127	133	40	94	2	484	95	
2224	41	332	79	16	28	14	96	
2225	127	81	111	564	39	226	41	
2226	140	105	394	93	14	10	3	
2227	111	47	49	42	12	58	525	
2228	30	28	395	611	22	148	30	
2229	41	42	43	612	9	12	2	
2230	1	1	1	1	1	1	526	
2231	512	1	2	1	1	1	5	
2232	11	206	38	16	311	35	527	
2233	1	478	2	1	1	1	5	
2235	346	4	25	125	76	19	124	
2236	216	479	25	613	311	485	528	
2237	514	34	38	16	33	35	410	
2238	15	70	396	78	113	6	68	
2239	133	241	34	614	266	137	32	
2240	50	80	25	85	40	58	529	
2241	515	389	397	492	521	295	376	
2242	39	3	398	615	161	9	272	
2244	1	1	2	616	1	1	5	
2245	18	14	15	14	193	19	12	
2246	231	38	400	617	236	216	209	
2247	75	14	21	12	115	78	530	
2248	117	90	40	163	39	90	22	
2249	127	41	109	279	2	100	95	
2250	516	13	401	131	522	2	531	
2251	13	481	17	16	13	16	4	
2252	471	77	27	22	18	85	91	
2253	52	63	48	186	36	35	426	
2254	1	1	340	1	1	486	5	
2255	231	38	402	363	342	216	209	
2256	5	85	79	88	76	95	501	
2257	65	143	29	618	20	26	60	
2258	517	63	48	186	36	83	426	
2259	392	154	127	471	486	369	402	
2260	42	46	48	619	40	35	4	
2261	430	288	219	275	523	295	291	
2262	46	7	47	12	36	19	18	
2263	5	37	250	122	2	9	532	
2264	72	90	40	33	39	226	95	
2265	380	482	276	458	240	360	392	
2266	208	483	26	620	524	119	90	
2267	518	133	356	94	488	226	4	
2268	41	42	43	58	9	487	2	
2269	11	41	55	42	525	58	4	
2270	519	129	18	153	8	9	22	
2271	111	484	403	8	206	488	128	
2272	140	94	18	621	214	9	58	
2273	520	4	85	116	214	489	194	
2274	521	252	27	53	46	184	49	
2275	522	353	27	53	55	184	289	
2276	523	2	3	7	6	6	11	
2277	13	485	71	80	59	83	4	
2278	11	41	55	42	515	58	4	
2279	13	11	16	15	12	490	4	
2280	285	26	30	213	21	87	28	
2281	294	28	31	622	22	29	533	
2282	342	25	28	24	48	26	534	
2283	17	18	22	17	5	491	19	
2284	524	109	8	120	117	45	4	
2285	525	467	25	402	136	472	3	
2286	430	288	219	275	362	492	376	
2287	303	118	111	623	150	132	4	
2288	47	15	8	12	71	303	419	
2289	137	435	10	196	526	359	102	
2290	6	486	404	624	25	2	535	
2291	145	26	30	268	141	272	28	
2292	358	46	25	625	161	16	4	
2293	312	288	219	626	63	328	376	
2294	526	31	10	62	14	19	34	
2295	110	153	260	441	187	493	536	
2296	2	14	24	14	527	19	107	
2297	10	7	12	9	528	9	2	
2298	312	477	219	275	490	494	291	
2299	16	487	20	18	8	447	18	
2300	110	97	25	125	84	19	537	
2301	56	25	405	24	357	26	538	
2302	110	46	119	187	483	450	3	
2303	84	76	38	16	12	13	539	
2304	527	4	8	106	2	117	16	
2305	5	410	406	72	36	389	126	
2306	30	488	31	27	22	29	540	
2307	25	77	27	380	18	24	25	
2308	16	16	20	18	8	447	18	
2309	30	28	31	151	22	29	30	
2310	39	83	8	72	33	16	4	
2311	10	4	3	130	529	128	370	
2312	41	13	10	627	5	19	12	
2313	65	25	29	82	20	50	27	
2314	161	489	124	175	391	161	150	
2315	17	188	15	7	5	9	22	
2316	242	221	407	81	243	84	377	
2317	312	490	408	450	362	495	346	
2318	41	332	409	16	28	14	96	
2319	216	127	8	628	33	496	4	
2320	10	2	9	12	76	14	8	
2321	173	117	68	629	530	2	38	
2322	16	2	45	630	36	39	42	
2323	70	491	7	631	100	149	164	
2324	117	124	284	470	76	65	17	
2325	230	38	228	632	236	216	209	
2326	11	41	55	42	34	58	541	
2327	11	41	16	13	34	13	4	
2328	43	41	16	13	41	13	4	
2329	43	41	16	13	531	13	4	
2330	22	11	25	21	102	23	4	
2331	1	1	1	633	1	1	5	
2332	3	3	7	4	3	446	7	
2333	528	46	25	42	40	23	3	
2334	10	7	12	9	112	197	2	
2335	346	3	108	524	2	319	126	
2336	48	31	35	14	26	40	542	
2337	1	1	2	1	1	497	5	
2338	1	492	1	1	1	1	5	
2339	529	1	2	3	1	1	5	
2341	1	1	1	1	532	1	5	
2342	1	1	1	1	1	1	543	
2343	530	1	1	1	1	1	5	
2344	397	446	121	99	411	9	406	
2345	2	59	23	64	38	457	12	
2346	105	5	116	9	76	443	96	
2347	168	14	15	7	5	90	2	
2348	4	6	8	8	499	460	87	
2350	531	1	1	1	1	1	5	
2351	2	7	9	634	5	9	12	
2352	532	1	2	3	1	1	5	
2353	1	1	2	1	1	1	544	
2355	1	1	2	1	1	1	500	
2356	1	1	2	635	1	1	5	
2357	2	7	9	9	533	9	12	
2358	46	122	3	18	6	19	281	
2359	1	1	1	1	1	1	545	
2360	1	1	1	1	1	498	5	
2361	117	295	10	100	38	9	303	
2362	533	2	45	43	36	39	42	
2363	10	7	21	14	15	12	546	
2364	10	7	21	12	15	12	492	
2365	16	2	45	43	534	39	42	
2366	10	7	21	636	15	12	12	
2367	534	2	45	43	36	39	42	
2368	16	494	45	43	36	39	42	
2369	535	7	21	12	15	12	12	
2370	16	2	45	43	36	39	547	
2371	16	2	45	43	535	39	42	
2372	10	7	21	637	15	12	12	
2373	127	133	40	94	2	9	95	
2374	33	26	30	282	229	87	28	
2375	117	135	21	12	76	162	548	
2376	33	495	30	282	21	87	473	
2377	41	332	411	16	28	499	96	
2378	162	496	412	536	8	2	102	
2379	10	19	363	9	5	9	2	
2380	13	11	16	15	12	15	549	
2381	10	7	12	9	5	500	2	
2382	536	4	8	44	27	9	8	
2383	537	97	25	125	84	9	101	
2384	537	97	25	125	537	9	101	
2385	10	7	12	9	5	501	2	
2386	83	46	25	13	33	23	3	
2387	17	15	86	638	8	502	1	
2388	42	169	48	149	40	23	4	
2389	538	497	15	33	191	9	550	
2390	173	293	21	639	115	12	293	
2391	62	53	54	60	538	53	54	
2392	10	7	12	9	539	9	2	
2393	107	4	413	109	107	45	105	
2394	13	12	17	16	13	503	4	
2395	83	161	49	62	12	13	23	
2396	75	14	18	110	25	2	14	
2397	20	4	23	14	16	54	56	
2398	341	11	8	404	61	504	341	
2399	46	67	15	12	2	14	551	
2400	312	288	219	640	63	328	382	
2402	56	25	28	83	207	26	78	
2403	258	77	27	465	540	373	24	
2404	15	70	93	78	113	6	502	
2405	84	76	38	641	12	13	552	
2406	169	18	15	642	95	505	553	
2407	14	318	8	123	214	115	120	
2408	110	111	364	33	2	372	405	
2410	5	85	79	88	76	506	501	
2411	5	2	3	7	6	6	554	
2412	2	2	3	643	2	2	6	
2413	130	97	414	125	84	9	101	
2414	2	14	415	14	2	19	8	
2415	13	169	16	21	12	454	422	
2416	361	327	258	415	366	329	363	
2417	2	4	40	43	541	2	425	
2418	41	42	416	58	9	12	2	
2419	353	499	249	492	542	295	376	
2420	191	23	27	22	85	24	174	
2421	127	287	417	644	122	157	95	
2422	231	38	288	427	236	216	209	
2423	541	332	79	62	28	14	96	
2424	10	7	21	12	15	507	12	
2425	541	332	79	130	28	14	96	
2427	312	288	219	640	362	328	382	
2428	145	229	30	282	21	508	555	
2429	2	4	419	645	66	2	425	
2430	151	77	80	646	18	85	25	
2431	184	143	29	82	129	178	78	
2433	312	448	219	424	490	295	291	
2434	18	2	43	14	6	18	1	
2435	84	76	38	16	12	13	558	
2436	12	2	15	647	11	14	16	
2438	5	21	18	648	6	12	17	
2439	542	80	25	85	40	58	4	
2440	13	80	25	649	40	58	4	
2441	10	500	15	31	25	20	33	
2442	42	11	48	650	12	13	4	
2444	15	70	420	78	113	6	68	
2445	41	84	36	20	2	94	559	
2446	41	299	421	46	336	12	305	
2447	231	501	422	651	236	216	209	
2448	111	502	17	149	41	13	23	
2449	15	126	101	652	8	19	18	
2450	11	11	16	653	161	71	4	
2451	14	72	21	12	489	19	15	
2452	543	498	85	11	118	388	506	
2453	5	2	3	654	31	41	11	
2455	373	317	43	573	76	43	496	
2456	50	10	25	13	10	510	4	
2457	312	288	219	626	63	492	385	
2458	544	16	26	18	8	12	18	
2459	45	297	22	12	128	511	18	
2460	545	503	68	656	157	101	3	
2461	81	504	18	7	8	512	1	
2462	2	2	9	7	105	513	86	
2463	172	166	10	122	36	90	153	
2464	39	35	40	247	376	9	128	
2465	127	4	141	33	544	226	95	
2466	124	64	10	204	5	9	560	
2467	2	124	248	17	2	19	18	
2468	328	348	242	384	184	45	4	
2469	39	177	123	156	95	327	105	
2470	546	169	48	16	12	23	4	
2471	547	44	46	46	38	18	34	
2473	230	381	402	658	342	216	209	
2474	5	36	87	103	29	514	102	
2475	39	75	97	659	513	515	34	
2476	145	26	30	212	546	87	561	
2477	128	119	423	316	22	129	30	
2478	62	444	79	20	39	7	105	
2479	33	26	30	282	229	87	134	
2480	88	26	30	55	547	87	80	
2481	548	10	13	13	10	13	4	
2482	84	505	68	8	548	9	562	
2483	222	105	46	660	225	115	115	
2485	82	38	26	661	115	516	70	
2486	14	177	40	33	27	53	513	
2487	45	84	40	129	95	517	18	
2488	516	4	15	131	522	518	531	
2489	2	9	43	7	15	187	361	
2490	549	28	31	151	22	29	30	
2491	46	44	46	46	549	18	34	
2492	5	14	21	9	479	12	17	
2493	72	32	40	33	8	101	126	
2494	60	429	17	662	13	16	4	
2495	115	75	8	663	2	116	110	
2496	20	7	8	664	89	171	12	
2498	136	90	111	33	84	226	4	
2499	378	26	30	665	21	28	28	
2500	13	12	17	16	13	16	564	
2501	18	2	18	12	25	7	8	
2502	50	224	25	72	59	71	63	
2503	41	332	411	16	28	14	96	
2504	25	232	425	22	18	24	25	
2505	483	28	355	454	22	29	30	
2506	15	337	3	162	36	9	565	
2507	188	199	426	62	36	2	2	
2508	127	506	153	4	76	449	566	
2509	65	25	28	56	48	519	51	
2510	550	507	8	225	399	157	166	
2511	296	26	30	144	464	87	28	
2512	471	77	27	324	18	204	567	
2513	145	26	30	666	21	87	134	
2514	39	338	93	429	36	343	65	
2515	3	3	7	4	3	3	485	
2516	33	26	30	26	21	145	457	
2517	6	188	15	7	336	14	568	
2518	18	7	128	9	39	9	487	
2519	210	11	17	113	33	107	4	
2521	16	16	427	18	8	447	18	
2522	2	7	43	7	105	394	442	
2523	65	248	29	82	20	50	246	
2524	150	123	78	106	140	285	84	
2525	346	64	25	125	84	6	22	
2526	75	113	15	7	551	439	72	
2527	551	4	23	14	16	19	18	
2528	14	308	40	163	100	101	95	
2529	124	110	35	204	95	521	16	
2530	552	14	428	500	5	10	14	
2531	13	11	17	16	13	522	4	
2532	35	133	417	159	8	53	126	
2533	22	11	25	21	184	23	4	
2534	553	31	18	143	5	142	22	
2535	232	4	25	86	76	19	101	
2536	84	11	25	653	114	350	4	
2537	127	4	25	125	13	90	298	
2538	118	118	8	106	2	117	349	
2539	285	26	30	668	464	87	134	
2540	11	10	25	21	41	13	4	
2541	312	288	219	453	362	328	569	
2542	92	187	54	349	418	90	565	
2543	16	453	20	18	8	12	18	
2544	10	129	18	153	8	523	22	
2545	2	14	24	14	2	524	8	
2546	2	14	24	14	179	19	8	
2547	554	218	156	669	553	70	50	
2548	138	4	133	33	76	74	124	
2549	555	117	429	670	12	168	3	
2550	10	129	18	153	554	9	22	
2551	81	69	36	671	68	12	17	
2552	10	129	18	153	8	525	22	
2553	543	69	101	12	370	130	347	
2554	81	283	101	672	124	130	17	
2555	444	2	10	98	76	9	151	
2556	13	11	25	197	12	71	83	
2557	72	32	40	33	139	101	324	
2558	556	508	10	466	2	437	48	
2559	481	18	10	124	5	10	14	
2560	14	509	134	516	39	9	570	
2561	40	73	8	36	29	12	34	
2562	18	7	47	9	5	526	22	
2563	124	37	10	10	6	10	14	
2564	41	5	430	673	555	12	305	
2565	72	107	8	129	107	109	530	
2566	22	104	48	113	114	107	4	
2567	127	447	111	33	122	143	95	
2568	557	24	29	83	20	26	27	
2569	191	22	431	22	18	85	169	
2570	33	26	432	282	229	87	28	
2571	88	26	30	26	21	68	471	
2572	121	454	8	116	119	7	115	
2573	401	383	433	674	498	459	571	
2574	13	46	71	16	161	35	572	
2575	50	63	25	72	40	292	63	
2576	2	14	24	14	2	19	573	
2577	558	10	13	13	10	13	4	
2578	75	14	18	110	325	146	574	
2579	139	174	68	132	133	161	168	
2580	527	12	16	149	556	527	57	
2581	179	166	10	122	61	8	157	
2582	2	2	43	7	105	19	442	
2583	559	73	224	196	163	528	575	
2584	417	36	123	20	5	327	576	
2585	25	77	171	22	557	181	25	
2586	2	15	21	138	130	19	12	
2587	117	319	8	46	140	208	38	
2588	39	510	8	111	558	8	559	
2589	111	47	49	42	559	58	3	
2590	560	338	434	675	33	440	283	
2592	11	140	209	49	33	16	4	
2593	11	10	13	678	10	13	4	
2594	25	511	80	679	294	211	577	
2595	5	110	35	122	560	19	22	
2596	152	101	47	680	169	7	578	
2597	465	75	8	216	5	146	97	
2599	191	77	27	22	277	264	174	
2600	41	9	15	12	2	14	580	
2601	166	512	35	216	95	8	105	
2602	562	245	27	682	46	184	49	
2603	5	110	35	683	2	530	102	
2604	563	208	25	76	161	71	186	
2605	33	26	30	684	229	87	28	
2606	146	32	40	33	139	79	324	
2607	83	169	49	569	12	23	4	
2608	303	41	40	94	561	226	95	
2609	22	104	25	113	562	107	4	
2610	6	13	98	381	2	19	338	
2611	564	288	219	275	362	295	385	
2612	5	407	354	516	441	7	166	
2613	102	15	8	46	140	208	38	
2614	30	28	355	151	22	29	30	
2615	16	16	20	18	8	445	18	
2616	108	191	233	96	95	75	184	
2617	41	89	8	33	94	100	94	
2618	17	123	85	573	391	451	45	
2619	12	2	15	14	96	14	16	
2620	62	107	54	4	8	108	491	
2622	476	118	3	130	346	128	8	
2623	13	12	17	16	13	16	493	
2624	56	25	357	24	237	26	340	
2625	565	26	30	282	21	145	28	
2626	103	98	384	163	100	473	581	
2627	101	64	3	86	76	90	22	
2628	566	118	259	129	2	9	166	
2629	346	97	25	125	84	6	582	
2630	138	41	435	644	122	132	95	
2631	451	26	339	460	21	353	471	
2632	563	11	25	76	161	71	186	
2633	101	4	25	125	84	22	101	
2634	5	4	8	96	132	146	583	
2635	11	63	16	13	77	15	4	
2636	2	188	43	7	193	19	12	
2637	550	3	8	227	39	97	584	
2638	169	183	8	115	6	75	452	
2639	139	174	68	132	563	9	168	
2640	2	513	23	64	38	61	12	
2641	156	70	68	686	61	12	149	
2642	37	4	46	205	5	175	164	
2643	72	4	3	203	2	58	94	
2644	72	331	40	33	39	226	95	
2645	10	7	12	469	5	9	17	
2646	567	283	101	12	124	130	17	
2648	569	4	436	688	2	531	22	
2649	570	24	28	24	564	26	27	
2650	7	6	8	8	6	8	13	
2651	83	46	25	13	33	23	63	
2652	5	2	437	7	6	6	11	
2653	71	65	67	16	61	9	64	
2654	571	11	16	15	12	15	4	
2655	106	514	46	210	325	2	2	
2656	479	410	38	574	184	452	499	
2657	4	164	134	195	8	105	22	
2658	84	405	309	625	438	322	137	
2659	33	26	30	689	283	87	28	
2660	349	449	359	415	366	329	363	
2661	11	11	25	13	10	58	4	
2662	30	28	31	333	22	29	585	
2663	376	515	438	690	63	532	385	
2664	13	12	17	691	13	16	4	
2665	55	149	439	692	233	70	50	
2666	15	516	3	131	6	180	338	
2667	39	117	47	402	565	45	57	
2668	13	140	25	526	12	13	586	
2669	376	517	440	693	566	295	385	
2670	14	518	10	121	96	14	14	
2671	572	519	25	402	567	9	354	
2672	56	24	29	24	568	26	131	
2673	62	520	54	60	5	53	54	
2674	2	14	24	14	2	533	8	
2675	10	14	15	31	25	534	33	
2676	30	28	31	333	22	29	30	
2677	339	161	25	694	569	35	4	
2678	84	76	38	695	12	13	4	
2679	2	4	40	696	541	2	425	
2681	158	143	29	174	20	50	587	
2683	13	11	8	15	12	15	4	
2684	230	38	422	431	236	216	209	
2685	575	13	226	12	96	65	588	
2686	61	294	25	575	136	45	126	
2687	209	31	3	46	76	7	22	
2688	2	5	441	88	5	19	12	
2689	576	2	18	12	25	7	12	
2690	41	332	79	62	570	14	96	
2691	56	25	29	83	79	26	79	
2692	119	10	17	42	12	535	4	
2693	126	521	8	216	29	146	322	
2694	158	78	29	82	20	536	51	
2695	30	522	31	698	22	29	30	
2696	11	41	25	16	10	23	4	
2697	231	38	442	699	236	340	209	
2698	5	14	18	9	571	12	17	
2699	18	101	46	12	193	14	12	
2700	231	523	422	431	342	216	209	
2701	10	60	443	66	6	65	16	
2702	13	10	17	73	9	9	4	
2704	5	2	360	7	6	6	589	
2706	15	2	21	12	96	19	12	
2707	14	37	108	700	105	19	135	
2708	145	26	30	26	21	537	28	
2709	84	11	444	42	40	71	4	
2710	579	28	31	151	22	538	30	
2711	110	31	10	62	14	19	34	
2712	13	524	25	16	223	35	590	
2713	6	2	8	62	76	9	34	
2714	360	177	445	78	61	9	84	
2715	39	410	406	72	483	389	126	
2716	172	152	40	701	5	74	22	
