ST	ack	cpn60	fdh	pta	purA	sar	tuf	clonal_complex
820	2	8	2	2	6	1	2	
821	2	8	2	2	7	1	1	
822	2	9	2	4	5	1	2	
823	2	9	3	19	7	1	1	
824	2	9	3	1	10	4	1	
825	2	11	2	11	5	2	2	
826	2	13	2	1	13	2	1	
827	2	13	2	1	11	5	2	
828	2	13	2	2	11	2	2	
829	2	14	2	1	7	1	2	
830	2	24	4	8	11	1	1	
831	3	2	2	8	1	1	1	
832	3	2	2	8	11	1	1	
833	3	2	2	1	11	1	2	
834	3	8	2	1	7	1	2	
835	3	8	2	1	8	2	1	
836	3	9	2	1	38	1	2	
837	3	13	2	8	5	1	1	
838	3	13	2	1	11	1	1	
839	3	24	3	1	21	1	2	
840	3	43	2	1	11	1	2	
841	4	2	1	23	11	1	2	
842	4	2	1	1	8	1	2	
843	4	2	1	23	1	5	2	
844	4	2	2	1	14	2	2	
845	4	2	2	1	11	1	2	
846	4	7	2	1	14	1	2	
847	4	7	2	1	7	1	2	
848	4	8	1	2	3	2	2	
849	4	9	2	23	7	4	2	
850	4	9	2	4	3	2	1	
851	4	9	2	23	11	1	1	
852	4	9	3	1	8	2	1	
853	4	11	2	1	10	1	1	
854	4	13	1	23	1	5	1	
855	4	13	1	23	1	5	2	
856	4	13	1	1	8	1	2	
857	4	13	2	23	1	1	1	
858	4	13	2	23	1	5	1	
859	4	13	2	1	7	1	2	
860	4	13	2	1	11	5	1	
861	4	21	1	1	14	2	2	
862	4	21	2	1	11	1	2	
863	4	21	3	1	11	1	2	
864	4	24	2	20	19	1	2	
865	5	6	1	1	11	1	2	
866	5	6	3	1	7	2	2	
867	5	10	1	4	1	1	1	
868	5	13	4	25	11	1	5	
869	5	13	4	1	11	2	1	
870	5	24	11	8	11	5	2	
871	6	2	2	1	11	1	1	
872	6	2	3	1	2	1	2	
873	6	7	1	1	13	2	2	
874	6	7	2	4	14	1	2	
875	6	13	2	1	11	2	2	
876	6	13	2	20	5	1	2	
877	6	26	1	1	8	1	2	
878	6	43	1	4	7	1	2	
879	8	73	6	8	11	1	1	
880	10	30	3	2	11	1	2	
881	12	2	1	1	5	1	2	
882	12	2	1	1	7	5	2	
883	12	7	2	1	7	2	1	
884	12	24	2	1	7	1	2	
885	3	7	3	4	19	1	2	
886	4	7	2	1	1	2	14	
887	1	2	4	4	1	3	1	
888	27	7	2	1	11	24	2	
889	27	8	11	1	54	1	2	
890	27	2	2	2	11	1	2	
891	28	10	1	4	1	1	1	
892	21	77	5	1	11	25	2	
893	5	8	2	54	8	1	2	
894	1	76	2	1	25	1	1	
895	2	2	2	53	55	1	1	
896	3	2	19	8	11	1	1	
897	5	2	21	1	7	2	2	
898	1	3	2	4	11	1	15	
899	3	7	3	2	21	2	16	
900	35	24	2	1	11	5	2	
901	30	13	2	1	1	1	2	
902	31	8	4	1	5	1	2	
903	1	7	2	8	57	1	1	
904	2	13	5	20	58	1	1	
905	4	13	2	1	5	28	2	
906	32	7	3	1	8	1	2	
907	2	54	2	2	13	26	2	
908	34	8	1	1	11	2	1	
909	2	13	2	55	5	5	2	
910	5	9	20	1	9	1	2	
911	1	78	18	1	8	1	2	
912	11	7	2	1	11	27	2	
913	4	79	2	8	11	1	1	
914	2	80	2	1	56	1	1	
915	10	8	2	44	59	2	1	
916	29	3	2	1	11	1	1	
917	33	11	2	11	5	1	2	
918	26	11	2	11	5	1	2	
919	7	8	1	1	1	1	1	
920	7	8	1	1	1	2	1	
921	1	3	4	1	1	3	1	
922	7	8	1	1	1	1	2	
923	29	3	2	1	11	2	1	
924	1	11	4	1	20	1	1	
925	1	9	4	23	7	1	1	
926	1	11	4	2	6	2	2	
927	36	7	2	23	11	5	2	
928	3	7	2	1	11	2	1	
929	1	29	2	1	6	3	1	
930	2	81	3	1	1	2	1	
931	1	2	2	1	1	1	2	
932	1	9	2	1	8	1	1	
933	37	2	1	1	1	1	1	
934	1	13	1	56	3	1	2	
935	1	7	3	1	16	5	1	
936	1	10	2	1	1	5	2	
937	5	9	4	1	1	1	2	
938	5	7	8	1	11	2	2	
939	1	2	2	1	5	2	1	
940	5	8	2	2	41	1	2	
941	1	21	4	1	7	1	1	
942	5	2	4	4	1	2	1	
943	1	2	2	1	7	1	2	
944	5	13	2	4	1	2	1	
945	12	13	2	1	8	1	1	
946	1	6	1	1	8	4	2	
947	19	2	2	20	1	1	2	
948	3	9	2	1	7	4	1	
949	1	9	2	1	3	1	1	
950	5	18	1	4	11	2	2	
951	1	2	2	1	22	1	1	
952	9	2	2	1	1	2	2	
953	1	25	4	4	8	1	1	
954	1	2	2	20	18	1	1	
955	5	7	1	8	8	1	1	
956	1	60	2	1	11	2	1	
957	3	9	1	1	3	1	1	
958	5	8	2	1	1	1	1	
959	11	3	4	2	11	1	2	
960	5	2	2	57	11	1	1	
961	5	8	2	1	8	1	1	
962	7	2	2	1	5	2	2	
963	1	19	4	8	13	4	1	
964	5	13	2	2	41	2	2	
965	5	6	2	33	8	1	2	
966	1	3	2	8	3	2	1	
967	5	7	2	36	36	1	1	
968	2	8	1	1	3	1	1	
969	2	25	2	8	8	1	2	
970	3	2	2	1	11	4	1	
971	5	18	2	1	1	1	1	
972	5	2	4	1	11	29	1	
973	1	9	4	1	3	1	1	
974	5	2	2	1	6	1	2	
975	1	20	2	22	3	2	1	
976	5	18	2	36	2	1	2	
977	7	2	3	1	11	1	1	
978	6	2	2	2	11	1	2	
979	1	26	4	58	1	2	17	
980	5	2	4	1	2	1	1	
981	1	21	2	2	18	1	2	
982	5	24	2	1	3	2	2	
983	5	18	4	1	5	1	2	
984	1	2	2	1	3	2	1	
985	1	29	1	32	1	1	2	
986	2	2	2	23	7	1	1	
987	1	26	2	1	60	1	2	
988	5	2	2	22	1	2	1	
989	1	13	4	1	6	1	2	
990	1	3	2	20	11	1	1	
991	3	7	2	4	5	1	2	
992	1	9	2	1	3	5	2	
993	1	8	4	1	13	1	2	
994	1	29	4	1	11	1	2	
995	1	2	4	1	16	3	2	
996	1	57	4	32	7	1	2	
997	5	24	4	32	7	1	1	
998	1	24	2	1	5	1	2	
999	7	8	4	1	11	1	1	
1000	1	7	11	1	5	1	2	
1001	1	13	2	32	13	1	2	
1002	5	24	2	1	7	1	1	
1003	1	24	1	1	5	1	2	
1004	5	8	4	1	5	1	2	
1005	5	24	1	1	7	1	2	
1006	1	7	4	32	7	1	2	
1007	16	9	4	32	7	1	1	
1008	4	11	2	1	32	1	1	
1009	7	11	2	1	3	1	1	
1010	3	8	4	4	2	1	1	
1011	5	8	4	32	7	1	2	
1012	8	24	1	32	7	6	2	
1013	16	24	1	1	5	1	2	
1014	1	24	1	1	32	1	2	
1015	21	25	4	1	7	1	2	
1016	5	9	2	1	7	1	2	
1017	5	8	4	1	32	1	2	
1018	4	8	2	1	33	1	1	
1019	1	9	2	32	11	1	2	
1020	5	24	1	1	7	1	1	
1021	1	57	2	32	7	1	1	
1022	2	6	3	59	11	1	1	
1023	20	8	2	4	16	1	1	
1024	5	13	4	4	13	2	2	
1025	5	2	2	1	6	2	1	
1026	1	2	2	4	11	2	1	
1027	1	18	2	22	11	1	1	
1028	3	8	2	4	1	10	2	
1029	5	13	2	1	3	1	2	
1030	5	24	4	49	7	30	2	
1031	8	13	4	60	5	1	1	
1032	8	13	2	61	61	1	2	
1033	8	82	4	1	16	1	2	
1034	21	9	2	62	62	3	2	
1035	1	8	1	60	15	1	2	
1036	8	83	22	1	63	1	1	
1037	1	6	2	63	7	1	1	
1038	3	9	1	2	1	31	1	
1039	22	8	4	64	7	3	1	
1040	8	85	24	66	65	32	19	
1041	5	25	2	1	5	1	2	
1042	8	13	2	61	66	1	2	
1043	5	8	1	1	11	3	2	
1044	38	8	4	64	7	3	1	
1045	4	13	2	1	11	5	20	
1046	3	7	2	1	13	2	1	
1047	1	13	4	4	13	1	2	
