ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
4387	10	5	18	9	3	9	17	ST-23 complex
4388	4	10	2	5	38	315	9	
4389	16	2	9	24	77	25	112	ST-1117 complex
4390	27	6	9	17	9	26	16	
4391	12	5	19	17	11	10	124	
4392	8	7	9	17	9	18	8	ST-167 complex
4393	9	20	9	9	341	6	2	ST-41/44 complex
4394	3	6	9	5	3	6	5	ST-41/44 complex
4395	2	16	12	11	123	22	17	ST-254 complex
4396	226	25	7	17	21	26	49	ST-1157 complex
4397	9	5	15	17	3	24	2	ST-60 complex
4398	2	5	6	53	26	41	3	ST-162 complex
4399	8	4	6	17	5	18	16	ST-103 complex
4400	9	20	9	9	16	6	2	ST-41/44 complex
4401	4	10	2	8	38	11	9	ST-269 complex
4402	3	7	9	5	344	22	9	ST-41/44 complex
4403	8	10	5	4	343	3	7	ST-32 complex
4404	3	7	9	337	9	22	9	ST-41/44 complex
4405	81	5	48	57	165	42	176	
4406	80	45	98	100	89	44	56	
4407	84	49	48	50	92	44	45	ST-640 complex (lactamica)
4408	302	6	9	10	9	6	16	ST-41/44 complex
4409	88	51	39	45	90	42	37	ST-1494 complex (lactamica)
4410	40	65	54	338	95	44	43	
4411	6	41	108	56	9	6	9	
4412	16	7	6	17	9	18	8	ST-167 complex
4413	283	45	98	97	86	44	37	
4414	88	216	39	45	134	42	37	ST-1494 complex (lactamica)
4415	4	6	11	9	6	18	12	ST-35 complex
4416	80	90	98	100	89	44	56	
4417	3	5	49	5	9	6	9	ST-41/44 complex
4418	4	10	2	17	6	10	12	ST-35 complex
4419	4	4	2	17	5	18	2	ST-103 complex
4420	91	46	102	89	342	82	82	ST-595 complex (lactamica)
4421	82	47	215	95	330	46	88	
4422	88	43	98	45	65	44	37	ST-1494 complex (lactamica)
4423	80	45	98	100	94	44	56	ST-613 complex (lactamica)
4424	61	5	328	213	11	218	196	
4425	3	6	18	60	9	9	9	ST-41/44 complex
4426	5	4	17	15	14	323	12	ST-198 complex
4427	17	6	9	244	9	6	9	ST-41/44 complex
4428	2	3	63	2	8	5	2	ST-8 complex
4429	2	3	7	2	34	5	22	ST-8 complex
4430	9	6	9	24	9	6	2	ST-41/44 complex
4431	3	6	9	5	79	6	9	ST-41/44 complex
4432	20	5	4	35	3	208	17	
4433	294	29	2	5	71	65	53	
4434	8	5	9	60	8	19	15	ST-4240/6688 complex
4435	2	7	6	17	5	18	16	ST-167 complex
4436	2	7	6	17	9	18	15	ST-167 complex
4437	2	3	7	2	34	5	32	ST-8 complex
4438	3	4	9	5	9	6	9	ST-41/44 complex
4439	11	5	9	17	11	24	8	ST-22 complex
4440	12	2	19	17	11	26	2	ST-60 complex
4441	3	6	34	60	9	20	9	ST-41/44 complex
4442	4	10	2	5	78	11	9	ST-269 complex
4443	304	29	2	26	26	58	20	
4444	3	6	9	60	9	38	9	ST-41/44 complex
4445	2	3	4	310	316	4	6	ST-11 complex
4446	10	208	18	17	317	9	17	ST-23 complex
4447	4	10	9	5	38	11	9	ST-269 complex
4448	3	6	9	5	11	6	15	ST-41/44 complex
4449	3	6	9	5	9	6	178	ST-41/44 complex
4450	289	10	208	327	216	40	12	
4451	4	10	15	9	8	51	9	ST-269 complex
4452	301	6	9	24	9	41	9	ST-41/44 complex
4453	9	6	9	9	9	6	20	ST-41/44 complex
4454	298	6	9	5	9	6	9	ST-41/44 complex
4455	10	6	63	5	9	6	13	ST-41/44 complex
4456	12	6	154	9	9	6	9	ST-41/44 complex
4457	3	6	9	5	9	322	9	ST-41/44 complex
4458	63	133	4	2	8	204	184	
4459	6	6	354	9	9	6	17	ST-41/44 complex
4460	3	6	9	5	9	22	32	ST-41/44 complex
4461	20	6	63	17	9	319	9	
4462	10	6	63	5	9	64	12	
4463	8	10	5	4	347	3	8	ST-32 complex
4464	4	10	11	18	345	10	329	ST-35 complex
4465	16	2	159	8	77	25	112	ST-1117 complex
4466	5	4	17	11	14	7	12	ST-198 complex
4467	80	5	98	214	86	44	166	
4468	88	5	39	8	11	42	37	ST-1494 complex (lactamica)
4469	88	43	39	45	94	42	37	ST-1494 complex (lactamica)
4470	29	5	42	94	93	46	94	
4471	10	6	9	60	9	6	9	ST-41/44 complex
4472	11	5	18	8	26	24	21	ST-22 complex
4473	9	20	9	9	9	6	21	ST-41/44 complex
4474	2	10	105	17	6	13	12	
4475	11	5	367	8	11	4	21	ST-22 complex
4476	16	16	12	3	3	60	7	ST-254 complex
4477	33	25	39	17	142	46	63	
4478	8	6	9	3	9	6	218	ST-41/44 complex
4479	82	5	215	95	330	46	88	
4480	17	5	19	17	3	26	10	ST-60 complex
4481	80	5	98	182	89	44	56	
4482	7	5	1	9	321	53	321	ST-213 complex
4483	16	16	6	17	9	18	8	ST-167 complex
4484	11	5	18	11	11	24	21	ST-22 complex
4485	12	6	34	1	26	6	2	
4486	3	211	4	13	8	18	325	ST-92 complex
4487	8	4	6	3	5	18	318	ST-103 complex
4488	8	4	6	17	8	18	2	ST-103 complex
4489	11	6	9	5	9	6	9	ST-41/44 complex
4490	4	5	34	229	73	24	17	ST-174 complex
4491	4	4	19	340	3	5	2	
4492	8	3	7	6	8	5	2	ST-8 complex
4493	11	3	7	2	8	5	2	ST-8 complex
4494	8	5	19	135	58	1	12	
4495	11	3	4	3	21	4	6	ST-11 complex
4496	10	6	34	5	11	6	9	ST-41/44 complex
4497	3	6	9	5	349	6	9	ST-41/44 complex
4498	10	7	63	5	9	18	12	
4499	3	6	9	35	9	6	17	ST-41/44 complex
4500	10	5	12	35	192	4	17	ST-461 complex
4501	11	5	18	9	11	9	17	ST-23 complex
4502	3	3	4	3	8	4	6	ST-11 complex
4503	11	6	108	5	9	6	9	ST-41/44 complex
4504	11	3	4	3	8	4	6	ST-11 complex
4505	2	5	139	16	8	13	62	
4506	2	17	25	7	5	324	16	
4507	2	6	9	9	58	6	16	ST-41/44 complex
4508	12	6	9	17	9	6	12	ST-41/44 complex
4509	4	5	13	53	26	41	3	ST-162 complex
4510	11	10	5	4	6	3	8	ST-32 complex
4511	305	10	11	18	6	10	12	ST-35 complex
4512	4	6	11	17	118	6	12	
4513	13	3	353	26	3	10	9	ST-364 complex
4514	20	6	72	58	5	326	2	
4515	3	6	9	5	9	4	9	ST-41/44 complex
4516	306	6	9	5	9	4	70	ST-41/44 complex
4517	2	201	7	2	8	5	2	ST-8 complex
4518	2	3	6	17	1	18	6	ST-167 complex
4519	3	6	9	110	9	25	9	ST-41/44 complex
4520	13	3	9	26	3	15	9	ST-364 complex
4521	27	6	9	17	9	11	9	ST-41/44 complex
4522	9	6	9	32	9	64	9	ST-41/44 complex
4523	12	6	9	9	9	4	9	ST-41/44 complex
4524	4	10	340	17	6	10	12	ST-35 complex
4525	3	6	9	328	9	6	9	ST-41/44 complex
4526	3	6	9	5	9	313	9	ST-41/44 complex
4527	3	6	9	5	8	6	156	ST-41/44 complex
4528	2	5	12	3	60	22	17	ST-461 complex
4529	11	5	203	17	176	280	49	
4530	16	2	159	13	77	25	112	ST-1117 complex
4531	7	5	1	13	17	53	15	ST-213 complex
4532	7	5	1	2	36	53	15	ST-213 complex
4533	7	8	10	116	11	15	20	
4534	111	5	18	9	11	24	21	ST-22 complex
4535	8	26	9	24	334	20	18	ST-212 complex
4536	8	7	9	24	26	20	18	ST-212 complex
4537	11	5	18	8	11	15	21	ST-22 complex
4538	3	2	72	58	15	5	77	
4539	2	16	6	17	9	18	21	ST-167 complex
4540	16	2	6	9	36	25	22	ST-53 complex
4541	52	6	9	186	9	6	9	ST-41/44 complex
4542	12	26	248	9	9	6	9	ST-41/44 complex
4543	61	5	328	213	348	218	196	
4544	20	20	2	13	26	11	9	
4545	201	144	335	241	217	302	287	
4546	27	6	9	251	9	6	16	ST-41/44 complex
4547	7	195	1	13	36	53	15	ST-213 complex
4548	42	26	4	24	2	20	17	ST-282 complex
4549	7	5	2	13	36	53	15	ST-213 complex
4550	7	5	1	143	36	53	8	ST-213 complex
4551	46	7	6	17	9	18	8	ST-167 complex
4552	3	6	12	5	9	6	1	ST-41/44 complex
4553	1	5	13	53	26	7	3	ST-162 complex
4554	3	6	20	5	11	6	9	ST-41/44 complex
4555	6	5	2	9	12	10	14	
4556	6	5	2	12	11	13	14	
4557	1	3	1	1	1	327	3	ST-1 complex
4558	2	3	4	3	8	321	6	ST-11 complex
4559	8	6	9	24	9	6	9	ST-41/44 complex
4560	4	10	64	17	38	11	9	ST-269 complex
4561	141	5	226	250	350	308	230	
4562	7	5	1	25	36	53	15	ST-213 complex
4563	2	7	6	13	9	18	8	ST-167 complex
4564	7	5	11	13	36	53	15	ST-213 complex
4565	20	5	345	58	178	21	20	
4566	303	2	159	92	77	25	112	ST-1117 complex
4567	307	16	6	17	9	18	8	ST-167 complex
4568	3	6	9	5	351	6	9	ST-41/44 complex
4569	7	16	55	10	5	56	46	ST-178 complex
4570	1	3	1	1	13	1	3	ST-1 complex
4571	1	3	1	9	1	1	3	ST-1 complex
4572	4	10	15	11	8	11	9	ST-269 complex
4573	4	10	11	18	352	10	12	ST-35 complex
4574	16	2	6	92	77	25	112	ST-1117 complex
4575	5	4	38	7	22	40	13	ST-1136 complex
4576	10	5	152	9	9	6	9	ST-41/44 complex
4577	5	4	38	277	22	40	13	ST-1136 complex
4578	155	35	9	9	5	65	9	
4579	12	16	146	35	9	22	17	ST-461 complex
4580	10	5	2	35	6	68	20	
4581	4	10	2	5	8	11	20	ST-269 complex
4582	28	6	2	24	9	6	9	ST-41/44 complex
4583	12	138	12	35	60	22	17	ST-461 complex
4584	2	5	12	35	3	18	22	
4585	16	2	6	25	17	25	7	ST-53 complex
4586	3	5	9	5	11	6	9	ST-41/44 complex
4587	1	6	13	53	26	223	3	ST-162 complex
4588	10	5	18	17	5	24	16	
4589	11	5	18	17	5	24	19	ST-22 complex
4590	12	5	4	85	13	9	53	
4591	12	6	9	2	9	6	9	ST-41/44 complex
4592	12	5	4	40	59	8	18	
4593	13	5	6	9	9	9	18	ST-334 complex
4594	13	5	4	40	3	8	16	
4595	13	5	87	9	9	8	18	ST-334 complex
4596	13	3	52	9	3	11	9	ST-364 complex
4597	13	5	4	40	26	8	18	
4598	13	141	6	40	3	8	18	ST-334 complex
4599	13	5	15	6	3	8	15	
4600	15	3	133	21	8	19	15	
4601	15	10	5	4	6	3	2	ST-32 complex
4602	15	3	133	13	8	18	15	
4603	15	3	133	13	11	19	15	
4604	17	5	19	17	13	26	2	ST-60 complex
4605	17	6	9	2	26	6	2	
4606	17	5	19	2	3	26	2	ST-60 complex
4607	2	7	6	26	9	18	8	ST-167 complex
4608	2	6	9	2	9	6	9	ST-41/44 complex
4609	2	3	175	2	8	160	2	ST-8 complex
4610	2	3	7	4	34	5	2	ST-8 complex
4611	2	3	7	17	8	5	2	ST-8 complex
4612	2	3	34	13	8	11	2	ST-8 complex
4613	2	3	34	13	9	11	2	
4614	2	16	12	11	3	60	30	ST-254 complex
4615	3	5	18	17	5	24	16	
4616	4	2	11	5	58	10	21	
4617	4	10	15	2	8	11	18	ST-269 complex
4618	4	10	5	4	8	4	2	ST-32 complex
4619	4	5	2	5	38	11	15	
4620	4	10	15	9	43	11	9	ST-269 complex
4621	4	3	11	55	6	10	12	ST-35 complex
4622	4	29	135	9	8	11	9	ST-269 complex
4623	43	3	133	13	8	19	15	
4624	43	5	9	13	6	19	15	
4625	7	4	10	116	10	15	20	
4626	8	10	5	4	6	3	7	ST-32 complex
4627	8	16	12	17	43	39	7	
4628	8	5	6	5	26	78	2	ST-549 complex
4629	8	10	9	9	70	6	9	ST-41/44 complex
4630	8	10	6	5	58	86	12	
4631	8	10	5	4	6	3	17	ST-32 complex
4632	9	6	25	8	58	6	9	ST-41/44 complex
4633	7	2	55	16	3	56	46	ST-178 complex
4634	8	5	15	6	1	44	2	ST-865 complex
4635	1	3	4	3	8	4	6	ST-11 complex
4636	9	6	9	40	13	6	9	ST-41/44 complex
4637	8	5	4	5	1	78	2	
4638	4	2	4	5	8	11	9	ST-269 complex
4639	4	6	7	9	8	11	20	ST-269 complex
4640	4	10	11	9	6	9	12	ST-35 complex
4641	4	10	5	4	6	3	11	ST-32 complex
4642	4	10	15	7	8	11	2	ST-269 complex
4643	6	5	6	17	26	68	2	
4644	2	3	4	3	43	4	6	ST-11 complex
4645	4	10	5	4	6	21	8	ST-32 complex
4646	4	6	2	1	8	124	20	
4647	4	10	15	9	21	11	16	ST-269 complex
4648	9	26	46	37	9	20	18	
4649	43	5	9	76	215	11	21	
4650	13	3	7	13	21	11	2	ST-364 complex
4651	2	3	7	2	34	4	2	ST-8 complex
4652	2	6	4	85	26	6	9	
4653	15	3	133	13	8	16	15	
4654	6	5	19	17	3	26	2	ST-60 complex
4655	2	3	7	3	34	5	8	ST-8 complex
4656	2	3	7	2	46	5	2	ST-8 complex
4657	8	6	12	11	3	22	7	ST-254 complex
4658	2	5	12	143	29	285	7	
4659	4	10	15	9	8	6	16	ST-269 complex
4660	12	5	9	17	9	6	9	ST-41/44 complex
4661	4	10	15	9	21	11	6	ST-269 complex
4662	26	6	9	17	9	6	9	ST-41/44 complex
4663	3	5	9	5	10	6	9	ST-41/44 complex
4664	4	10	5	40	6	3	2	ST-32 complex
4665	37	2	53	259	259	116	2	
4666	6	5	6	9	3	21	2	ST-334 complex
4667	9	26	46	37	9	20	17	ST-282 complex
4668	8	5	6	17	26	78	2	ST-549 complex
4669	6	7	4	314	26	18	8	ST-175 complex
4670	2	3	7	17	34	5	2	ST-8 complex
4671	4	10	15	5	8	6	9	ST-269 complex
4672	6	6	9	60	9	6	9	ST-41/44 complex
4673	14	6	46	24	118	20	18	
4674	2	16	6	17	9	18	9	ST-167 complex
4675	8	10	5	4	1	3	8	ST-32 complex
4676	2	10	12	11	8	39	7	ST-254 complex
4677	2	3	4	11	8	4	6	ST-11 complex
4678	6	6	9	5	10	6	9	ST-41/44 complex
4679	43	5	274	7	215	20	15	
4680	308	6	9	9	26	6	9	ST-41/44 complex
4681	9	6	17	9	9	6	9	ST-41/44 complex
4682	9	220	9	17	9	6	9	ST-41/44 complex
4683	9	220	9	17	353	6	9	ST-41/44 complex
4684	4	3	15	7	8	11	1	ST-269 complex
4685	80	45	48	100	94	44	56	ST-613 complex (lactamica)
4686	8	5	15	2	8	21	2	ST-865 complex
4687	2	7	6	17	9	18	92	ST-167 complex
4688	16	2	6	9	9	25	298	ST-53 complex
4689	3	6	175	5	354	6	9	ST-41/44 complex
4690	311	2	53	259	259	116	2	
4691	15	3	133	13	158	19	15	
4692	80	209	98	57	86	44	56	
4693	2	5	2	9	15	20	37	ST-750 complex
4694	2	3	4	6	8	4	6	ST-11 complex
4695	2	3	4	3	8	8	6	ST-11 complex
4696	7	5	7	3	36	53	15	ST-213 complex
4697	11	5	7	8	11	4	21	ST-22 complex
4698	2	3	4	3	8	4	331	ST-11 complex
4699	4	3	5	4	6	3	18	ST-32 complex
4700	3	6	4	3	9	6	9	ST-41/44 complex
4701	4	10	9	4	6	328	8	ST-32 complex
4702	309	6	9	5	9	22	9	ST-41/44 complex
4703	2	3	4	3	8	4	332	ST-11 complex
4704	4	10	9	8	6	328	8	ST-32 complex
4705	3	6	9	9	9	329	9	ST-41/44 complex
4706	2	3	4	3	3	4	6	ST-11 complex
4707	8	4	6	17	5	136	2	ST-103 complex
4708	2	106	245	17	10	1	9	
4709	310	3	4	3	8	4	6	ST-11 complex
4710	4	3	2	5	3	11	9	ST-364 complex
4711	8	6	9	1	9	6	9	ST-41/44 complex
4712	27	6	369	341	9	6	16	
4713	4	10	34	5	38	11	330	
4714	16	2	6	25	17	25	74	ST-53 complex
4715	16	2	6	51	17	25	22	ST-53 complex
4716	2	3	7	25	8	5	2	ST-8 complex
4717	16	2	6	25	17	25	2	ST-53 complex
4718	16	2	6	92	77	56	112	ST-1117 complex
4719	5	5	18	9	11	9	17	ST-23 complex
4720	16	2	92	92	77	25	112	ST-1117 complex
4721	40	5	54	15	3	30	43	
4722	16	4	6	25	17	25	22	ST-53 complex
4723	5	141	17	15	30	7	6	ST-198 complex
4724	7	6	6	8	11	137	15	
4725	2	4	17	15	14	7	12	ST-198 complex
4726	16	5	98	92	77	25	112	ST-1117 complex
4727	2	16	18	11	123	22	6	
4728	2	16	6	17	9	22	8	ST-167 complex
4729	16	2	92	25	77	25	112	ST-1117 complex
4730	4	5	19	17	3	26	2	ST-60 complex
4731	20	5	4	3	3	208	17	
4732	16	16	6	25	17	25	22	ST-53 complex
4733	16	16	12	11	3	60	7	ST-254 complex
4734	16	3	333	3	8	4	6	ST-11 complex
4735	145	2	15	183	17	87	22	
4736	10	6	9	5	9	6	2	ST-41/44 complex
4737	7	5	1	13	36	25	322	ST-213 complex
4738	11	5	18	17	8	24	16	ST-22 complex
4739	3	6	9	5	9	6	12	ST-41/44 complex
4740	9	132	9	9	58	6	16	ST-41/44 complex
4741	4	6	9	24	9	6	9	ST-41/44 complex
4742	3	6	34	5	11	6	328	ST-41/44 complex
4743	180	133	2	343	217	204	8	
4744	2	5	18	16	41	15	16	ST-292 complex
4745	12	7	4	36	5	21	16	
4746	7	68	10	19	10	6	2	ST-18 complex
4747	2	221	10	19	187	1	2	ST-18 complex
4748	314	8	10	26	10	1	16	ST-18 complex
4749	12	27	6	3	355	331	9	ST-226 complex
4750	12	27	6	3	26	18	9	ST-226 complex
4751	7	8	371	19	10	1	2	ST-18 complex
4752	7	8	10	26	10	332	16	ST-18 complex
4753	3	27	124	3	8	30	9	ST-226 complex
4754	12	8	15	26	10	6	16	
4755	12	27	6	3	8	6	9	ST-226 complex
4756	24	8	10	19	25	88	2	ST-18 complex
4757	12	27	6	3	8	331	9	ST-226 complex
4758	7	6	10	26	10	1	10	ST-18 complex
4759	12	27	26	3	29	18	28	ST-226 complex
4760	6	8	10	26	10	1	16	ST-18 complex
4761	24	8	10	19	25	35	333	
4762	7	20	10	19	8	1	2	ST-18 complex
4763	7	222	10	19	10	1	2	ST-18 complex
4764	24	8	10	19	25	35	2	ST-18 complex
4765	7	8	18	54	10	1	17	ST-18 complex
4766	1	5	18	3	356	15	16	ST-292 complex
4767	7	8	10	26	10	15	16	ST-18 complex
4768	7	8	10	26	10	1	2	ST-18 complex
4769	7	106	10	19	10	1	2	ST-18 complex
4770	7	8	10	19	8	18	2	ST-18 complex
4771	7	8	15	19	13	1	2	ST-18 complex
4772	13	8	72	19	10	1	9	ST-18 complex
4773	13	3	15	40	3	105	9	ST-364 complex
4774	23	5	9	68	13	32	8	
4775	12	5	12	21	60	22	17	ST-461 complex
4776	313	8	10	26	10	1	16	ST-18 complex
4777	7	8	10	33	10	1	16	ST-18 complex
4778	9	6	372	13	9	6	9	ST-41/44 complex
4779	7	8	10	19	10	1	9	ST-18 complex
4780	9	6	9	34	249	6	9	ST-41/44 complex
4781	12	4	15	110	58	6	27	
4782	2	5	9	36	9	177	18	
4783	2	5	9	110	9	18	8	
4784	2	5	9	9	9	4	8	
4785	7	2	10	26	10	333	16	
4786	8	10	4	4	6	3	8	ST-32 complex
4787	7	8	10	26	10	1	3	ST-18 complex
4788	9	2	159	92	77	25	112	ST-1117 complex
4789	1	1	2	1	3	334	19	ST-5 complex
4790	1	1	2	24	3	2	3	ST-5 complex
4791	12	26	9	9	38	6	9	ST-41/44 complex
4792	12	5	12	35	8	22	17	ST-461 complex
4793	145	2	15	90	201	25	13	
4794	23	5	9	3	26	32	2	
4795	35	24	370	48	6	48	41	ST-192 complex
4796	317	6	9	5	9	6	9	ST-41/44 complex
4797	9	6	9	344	9	6	9	ST-41/44 complex
4798	318	3	10	19	10	1	2	ST-18 complex
4799	7	8	10	26	21	1	16	ST-18 complex
4800	7	8	10	26	10	21	16	ST-18 complex
4801	7	8	10	40	10	1	16	ST-18 complex
4802	7	8	10	26	6	333	16	
4803	7	8	10	26	10	11	16	ST-18 complex
4804	12	17	73	13	9	34	109	
4805	1	8	10	26	10	1	355	ST-18 complex
4806	7	8	185	26	10	4	16	
4807	6	8	10	3	116	1	16	
4808	7	8	27	26	10	1	16	ST-18 complex
4809	7	106	10	26	10	1	2	ST-18 complex
4810	7	8	10	26	10	333	16	ST-18 complex
4811	7	8	10	17	10	1	3	ST-18 complex
4812	7	8	10	26	10	1	20	ST-18 complex
4813	7	8	18	19	10	1	2	ST-18 complex
4814	7	5	10	19	5	1	2	ST-18 complex
4815	12	2	15	11	13	87	10	ST-37 complex
4816	2	3	8	10	8	5	9	ST-8 complex
4817	2	3	7	2	43	5	2	ST-8 complex
4818	8	26	18	21	115	20	18	ST-212 complex
4819	13	3	7	2	34	5	2	ST-8 complex
4820	3	3	58	275	30	5	255	ST-4821 complex
4821	222	3	58	275	30	5	255	ST-4821 complex
4822	2	5	76	125	6	3	2	
4823	222	3	374	4	26	7	255	
4824	7	8	35	26	10	1	16	ST-18 complex
4825	16	20	10	26	17	339	16	
4826	7	8	15	3	10	1	8	ST-18 complex
4827	319	14	10	19	14	1	2	ST-18 complex
4828	7	8	10	26	10	1	9	ST-18 complex
4829	8	7	6	17	9	24	8	ST-167 complex
4830	311	2	53	259	259	6	13	
4831	8	3	4	275	30	5	255	ST-4821 complex
4832	222	3	58	275	6	11	255	ST-4821 complex
4833	222	3	58	275	30	5	21	ST-4821 complex
4834	222	3	58	4	26	5	17	ST-4821 complex
4835	165	2	34	25	5	5	21	
4836	2	3	4	261	263	5	255	
4837	222	3	58	113	30	7	255	ST-4821 complex
4838	8	10	366	4	6	3	8	ST-32 complex
4839	3	6	34	5	11	111	9	ST-41/44 complex
4840	9	6	9	5	9	6	2	ST-41/44 complex
4841	4	3	11	56	118	10	12	ST-35 complex
4842	300	6	9	9	249	6	22	ST-41/44 complex
4843	9	2	15	76	13	21	10	ST-37 complex
4844	12	227	15	5	13	21	10	ST-37 complex
4845	9	2	9	9	9	6	9	ST-41/44 complex
4846	12	5	15	9	13	21	10	ST-37 complex
4847	12	2	15	5	13	343	10	ST-37 complex
4848	20	5	75	347	21	135	337	
4849	2	29	9	26	26	24	338	
4850	322	6	7	348	1	1	3	
4851	9	6	9	9	6	6	96	ST-41/44 complex
4852	12	2	15	5	13	21	339	ST-37 complex
4853	9	228	9	9	9	6	2	ST-41/44 complex
4854	13	3	15	13	3	11	9	ST-364 complex
4855	9	6	9	9	362	6	62	ST-41/44 complex
4856	13	5	6	349	3	8	18	ST-334 complex
4857	12	2	15	5	58	21	9	ST-37 complex
4858	13	3	52	3	3	11	9	ST-364 complex
4859	13	5	9	13	3	11	9	ST-364 complex
4860	2	3	7	2	8	5	340	ST-8 complex
4861	9	7	9	9	9	344	8	ST-41/44 complex
4862	323	5	4	17	26	21	341	
4863	12	2	4	8	13	21	342	ST-231 complex
4864	13	5	6	40	59	5	18	
4865	43	5	9	76	26	8	15	
4866	8	6	7	3	9	20	8	
4867	2	16	12	11	3	22	7	ST-254 complex
4868	2	5	6	9	3	8	16	ST-334 complex
4869	2	3	7	18	43	5	2	ST-8 complex
4870	4	2	11	5	58	10	13	
4871	12	3	2	72	8	13	2	
4872	15	5	6	9	3	8	16	ST-334 complex
4873	11	5	18	26	5	24	16	ST-22 complex
4874	20	4	2	5	26	1	10	
4875	8	5	9	9	26	86	17	
4876	2	16	12	11	169	60	12	ST-254 complex
4877	2	3	7	11	8	5	2	ST-8 complex
4878	2	4	2	26	26	65	53	
4879	2	7	11	17	6	10	12	ST-35 complex
4880	44	6	133	8	9	6	9	ST-41/44 complex
4881	2	16	12	11	169	60	7	ST-254 complex
4882	3	6	9	5	10	6	2	ST-41/44 complex
4883	2	10	5	4	6	3	2	ST-32 complex
4884	1	3	2	1	3	2	13	ST-5 complex
4885	15	5	133	13	8	6	15	
4886	3	5	34	5	9	6	9	ST-41/44 complex
4887	12	6	9	32	9	6	9	ST-41/44 complex
4888	9	6	9	17	9	6	20	ST-41/44 complex
4889	43	5	6	9	3	19	15	ST-334 complex
4890	6	41	9	13	9	6	9	ST-41/44 complex
4891	6	5	2	17	6	6	14	
4892	3	6	9	5	9	40	9	ST-41/44 complex
4893	3	6	9	350	9	6	9	ST-41/44 complex
4894	222	3	374	4	26	5	343	
4895	324	2	34	25	5	5	21	
4896	222	3	58	275	30	345	255	ST-4821 complex
4897	222	3	58	275	30	18	8	ST-4821 complex
4898	1	1	376	1	3	2	19	ST-5 complex
4899	6	11	72	313	363	40	12	
4900	28	6	9	24	9	6	323	ST-41/44 complex
4901	24	8	10	17	25	35	10	
4902	4	10	42	4	6	3	8	ST-32 complex
4903	7	8	10	26	1	1	16	ST-18 complex
4904	7	8	10	26	307	1	16	ST-18 complex
4905	10	5	13	53	26	41	3	ST-162 complex
4906	17	93	19	17	3	26	2	ST-60 complex
4907	27	5	19	3	9	6	16	
4908	11	5	18	8	11	11	112	ST-22 complex
4909	6	5	173	13	5	24	8	ST-174 complex
4910	7	18	133	140	114	128	18	
4911	16	2	159	92	77	346	112	ST-1117 complex
4912	2	6	6	5	9	6	9	ST-41/44 complex
4913	10	6	9	5	9	36	112	ST-41/44 complex
4914	7	5	1	13	36	53	228	ST-213 complex
4915	1	5	1	53	26	41	3	ST-162 complex
4916	4	10	47	17	26	2	6	
4917	3	6	11	40	9	6	9	ST-41/44 complex
4918	3	6	9	35	9	6	9	ST-41/44 complex
4919	3	7	6	5	9	22	9	ST-41/44 complex
4920	9	6	9	5	9	22	9	ST-41/44 complex
4921	6	5	173	35	5	24	17	ST-174 complex
4922	3	6	1	5	9	6	9	ST-41/44 complex
4923	3	6	6	5	9	6	112	ST-41/44 complex
4924	8	4	1	17	5	24	2	ST-103 complex
4925	3	6	9	17	9	22	9	ST-41/44 complex
4926	1	10	11	4	6	10	12	ST-35 complex
4927	4	10	161	5	6	21	18	
4928	8	10	11	9	6	3	8	ST-32 complex
4929	3	25	9	5	9	6	9	ST-41/44 complex
4930	7	106	10	19	10	1	6	ST-18 complex
4931	3	6	9	110	11	6	9	ST-41/44 complex
4932	9	5	10	8	11	13	21	ST-22 complex
4933	10	6	9	5	9	4	9	ST-41/44 complex
4934	10	6	9	5	9	6	112	ST-41/44 complex
4935	7	8	10	40	10	18	16	ST-18 complex
4936	17	3	9	17	9	6	8	
4937	4	10	15	7	8	11	20	ST-269 complex
4938	2	7	6	16	16	18	8	ST-167 complex
4939	4	10	2	16	1	11	9	ST-269 complex
4940	4	10	2	9	8	11	20	ST-269 complex
4941	13	10	52	5	3	11	9	ST-364 complex
4942	6	7	4	9	26	18	8	ST-175 complex
4943	8	10	18	21	8	11	17	
4944	9	20	35	17	5	15	21	
4945	58	16	12	11	3	60	8	ST-254 complex
4946	4	10	2	9	8	11	8	ST-269 complex
4947	4	5	2	17	8	11	20	
4948	4	10	5	4	6	6	8	ST-32 complex
4949	327	10	5	4	6	3	8	ST-32 complex
4950	4	10	11	324	6	10	344	ST-35 complex
4951	3	229	9	5	9	6	12	ST-41/44 complex
4952	328	5	120	9	3	8	18	ST-334 complex
4953	8	105	52	11	3	11	7	ST-1572 complex
4954	6	5	105	12	6	13	17	
4955	12	3	166	11	242	40	238	
4956	7	5	1	11	36	53	15	ST-213 complex
4957	4	3	2	11	8	11	20	
4958	145	230	72	342	21	330	123	
4959	300	231	53	24	30	8	3	
4960	3	6	9	3	240	6	22	ST-41/44 complex
4961	3	6	9	3	192	6	17	ST-41/44 complex
4962	8	10	5	4	5	347	8	ST-32 complex
4963	8	4	6	17	5	24	2	ST-103 complex
4964	8	10	5	4	6	3	57	ST-32 complex
4965	3	6	12	5	9	6	9	ST-41/44 complex
4966	329	5	1	13	11	53	6	ST-213 complex
4967	7	17	378	19	10	1	2	ST-18 complex
4968	12	17	26	34	24	34	28	
4969	9	16	6	17	9	11	44	
4970	17	5	19	17	94	26	2	ST-60 complex
4971	3	6	9	32	9	6	9	ST-41/44 complex
