ST	abcZ	adk	efp	fumC	glyBeta	mutY	ppa	trpE
911	161	2	2	3	2	169	3	2
912	162	8	2	18	20	22	2	2
913	27	18	2	2	10	171	9	2
914	38	41	104	147	12	11	66	1
915	45	10	11	146	219	170	135	1
916	36	6	12	2	50	26	3	2
917	121	100	75	100	177	138	113	45
918	128	117	88	100	153	151	113	62
919	116	100	75	100	177	138	113	45
920	127	102	74	148	156	147	115	81
921	127	102	74	148	156	147	115	58
922	163	139	105	149	220	172	136	82
930	3	20	2	7	83	15	8	2
946	3	3	3	4	57	125	3	2
950	2	20	3	2	15	15	3	2
951	2	3	2	3	14	9	3	2
953	2	17	11	2	10	6	3	2
955	3	76	3	9	43	3	52	2
957	2	20	6	3	15	15	8	2
958	8	3	6	4	57	22	2	2
960	8	3	2	3	14	29	3	2
961	8	6	3	3	50	19	3	2
962	3	3	6	2	15	15	3	2
966	52	8	2	2	46	15	3	2
968	9	6	12	7	10	3	9	2
969	40	34	2	3	42	3	3	2
971	53	3	2	3	57	3	36	2
977	85	2	12	2	32	2	2	2
979	8	24	6	45	242	9	9	2
980	97	71	58	76	243	122	81	3
981	67	88	135	84	11	12	98	3
982	40	3	2	2	42	3	3	2
983	91	2	51	56	57	3	3	2
984	28	3	12	3	6	31	21	2
985	8	8	2	3	146	18	17	2
986	3	2	2	177	244	3	3	2
987	119	111	73	178	155	140	115	45
990	3	3	12	3	136	3	2	2
992	9	3	3	7	39	9	3	2
997	53	3	2	3	57	28	3	2
998	2	18	2	3	36	28	2	2
999	8	19	2	3	82	9	34	2
1000	8	8	2	7	20	19	3	2
1002	2	3	2	9	57	3	3	2
1003	2	3	12	3	36	31	2	2
1004	9	8	3	7	39	3	3	2
1005	8	25	2	4	57	22	2	2
1008	53	3	6	2	57	28	3	2
1009	2	3	2	3	2	3	2	2
1010	2	3	2	2	17	3	8	5
1011	28	3	12	3	83	22	2	2
1012	2	6	3	2	149	3	3	2
1016	51	8	3	7	39	3	3	2
1018	8	26	2	3	36	31	25	2
1019	22	20	2	18	29	31	3	2
1020	8	8	2	3	43	3	3	2
1021	184	6	2	7	2	6	2	2
1022	3	3	3	4	3	28	3	2
1023	2	6	3	2	20	2	3	2
1024	185	6	3	2	20	26	3	2
1025	22	3	2	18	29	3	3	2
1026	5	11	8	6	247	74	59	7
1027	2	19	59	3	107	3	3	2
1028	8	18	137	3	29	3	3	2
1029	8	24	138	7	30	3	23	2
1030	5	180	150	193	248	210	179	96
1031	2	18	2	3	2	2	2	2
1032	2	18	3	4	3	9	3	2
1033	28	3	2	3	31	211	21	2
1034	2	17	12	2	3	19	3	2
1035	2	2	20	3	2	2	3	2
1036	3	20	6	7	43	37	3	2
1037	2	22	2	18	29	31	3	2
1039	67	4	11	5	88	212	58	1
1040	2	181	2	18	20	22	2	2
1041	99	91	2	2	19	213	3	2
1042	51	182	7	12	249	12	58	1
1043	53	3	2	18	57	3	3	2
1044	3	3	12	9	57	3	3	2
1045	2	6	2	18	20	22	2	2
1046	8	25	2	4	20	15	3	2
1047	22	22	2	4	29	15	17	2
1048	3	3	2	9	8	3	8	2
1049	2	20	6	2	15	15	8	2
1050	8	3	6	3	27	31	3	2
1051	2	17	11	2	36	31	34	2
1052	24	26	2	3	2	22	25	2
1053	3	3	2	2	20	15	8	2
1054	2	6	2	9	6	54	3	2
1055	3	39	2	9	20	8	17	5
1056	2	3	2	3	2	19	9	2
1058	189	183	152	195	251	214	181	97
