ST	ace	gltB	gmhD	lepA	lipA	narK	ndh	clonal_complex
823	3	1	11	4	5	2	1	
824	3	1	3	1	6	3	1	
825	1	1	3	1	6	3	1	
826	1	1	3	1	1	10	1	
827	1	4	28	2	5	4	1	
828	1	4	3	2	1	10	1	
829	1	4	2	2	1	2	1	
830	1	1	13	1	1	4	1	
831	3	2	11	1	1	3	1	
832	1	2	28	2	5	3	1	
833	1	2	12	1	1	4	1	
834	3	1	6	1	1	29	1	
835	1	4	28	1	1	4	1	
836	1	1	2	2	5	4	1	
837	1	4	3	2	47	1	1	
838	1	2	52	22	4	19	1	
839	1	15	13	4	6	2	1	
840	4	2	3	4	1	22	1	
841	1	15	3	4	15	8	1	
842	8	15	3	2	6	12	13	
843	1	16	3	2	5	2	7	
844	1	2	51	2	1	8	1	
845	4	6	13	4	17	12	1	
846	1	1	3	4	42	2	1	
847	1	6	3	2	1	8	1	
848	1	1	3	4	15	6	11	
849	4	4	3	2	1	22	1	
850	22	16	14	2	1	2	1	
851	1	23	13	2	1	22	1	
852	1	16	3	2	1	6	1	
853	1	6	3	4	15	19	1	
854	4	2	6	2	1	1	1	
855	30	2	52	1	1	2	1	
856	4	2	10	2	1	2	1	
857	4	12	3	2	1	8	3	
858	1	12	3	2	1	1	1	
859	4	12	3	2	1	1	1	
860	4	16	13	18	6	6	1	
861	1	4	27	4	1	38	11	
862	1	1	13	2	8	6	11	
863	1	49	14	2	1	27	1	
864	2	50	13	2	2	2	2	
865	1	2	13	2	6	19	1	
866	15	2	31	2	6	27	15	
867	4	4	10	2	1	8	11	
868	1	6	42	2	15	22	1	
869	4	2	13	4	1	12	1	
870	1	4	3	2	15	22	1	
871	1	4	2	1	1	4	1	
872	1	1	2	1	1	10	1	
873	3	4	6	3	5	4	3	
874	1	4	3	2	1	4	1	
875	3	1	2	42	1	4	3	
876	1	2	13	2	15	2	1	
877	1	12	3	43	1	27	1	
878	1	2	31	2	1	22	1	
879	1	1	10	2	6	1	39	
880	1	16	13	2	1	27	1	
881	4	1	6	1	8	60	1	
882	1	16	3	4	1	12	11	
883	1	2	3	4	15	24	1	
884	1	2	3	2	1	3	1	
885	1	15	14	2	1	8	1	
886	1	4	13	4	15	12	1	
887	1	1	3	22	3	22	1	
888	10	4	14	2	15	12	1	
889	13	1	3	4	1	27	1	
890	1	2	3	4	3	21	1	
891	1	2	13	4	3	19	1	
892	1	1	47	2	1	12	1	
893	1	2	44	2	1	8	1	
894	1	2	3	4	20	22	11	
895	1	2	3	14	1	8	1	
896	1	2	3	2	16	2	1	
897	8	2	3	4	20	12	1	
898	1	1	2	3	5	1	1	
899	12	4	3	19	15	22	1	
900	1	2	3	4	6	61	1	
901	1	6	3	2	6	27	11	
902	8	6	3	12	15	12	1	
903	1	39	3	28	1	2	11	
904	4	47	13	2	20	33	1	
905	8	1	13	44	1	2	1	
906	1	4	13	1	8	22	6	
907	1	2	54	2	48	33	1	
908	10	48	13	2	5	6	1	
909	4	1	3	1	1	22	1	
910	1	2	4	2	1	4	1	
911	1	1	2	1	1	4	3	
912	1	1	6	2	1	1	1	
913	1	1	3	4	1	3	1	
914	4	2	2	1	1	1	1	
915	4	2	28	3	1	4	1	
916	1	4	3	1	1	1	1	
917	1	1	28	1	1	4	1	
918	4	1	28	3	1	4	1	
919	3	4	2	1	1	29	1	
920	1	4	2	2	6	16	1	
921	1	4	2	1	6	4	1	
922	3	4	2	4	1	4	6	
923	1	4	12	1	1	1	1	
924	1	26	6	1	5	22	1	
925	1	1	28	1	1	3	1	
926	1	1	12	2	1	3	3	
927	4	1	55	3	1	4	1	
928	1	4	3	1	1	62	1	
929	4	4	3	1	1	22	1	
930	1	1	3	2	5	1	1	
931	3	1	3	4	5	2	1	
932	1	1	3	3	6	2	1	
933	1	4	12	2	1	3	1	
934	1	4	6	3	1	2	1	
935	1	1	3	1	5	4	1	
936	1	4	28	3	47	1	1	
937	3	1	3	3	1	3	1	
938	1	4	37	4	1	2	1	
939	3	1	3	4	5	29	1	
940	4	4	55	2	1	4	1	
941	1	4	3	2	6	4	1	
942	1	1	6	2	1	63	1	
943	1	1	28	3	6	1	1	
944	1	4	14	4	3	42	1	
945	4	1	3	3	1	42	3	
946	1	1	28	2	5	3	1	
947	1	4	2	2	5	4	1	
948	1	1	2	2	5	29	1	
949	1	2	11	1	1	2	1	
950	1	1	4	1	6	3	1	
951	1	1	2	1	1	1	1	
952	1	4	11	3	5	2	1	
953	1	4	3	2	8	8	1	
954	1	6	47	4	18	2	1	
955	8	6	13	2	3	6	11	
956	1	2	13	2	1	45	11	
957	8	2	3	2	6	9	1	
958	1	2	14	22	1	8	1	
959	1	12	3	22	1	38	4	
960	1	2	3	2	1	1	3	
961	1	2	4	1	6	3	1	
962	33	54	58	45	49	65	42	
963	24	52	45	37	50	66	35	
964	24	53	45	37	50	67	35	
965	1	2	14	25	15	8	1	
966	8	15	23	4	6	12	11	
967	1	2	3	2	15	12	1	
968	1	7	3	21	29	6	13	
969	1	4	13	18	32	35	1	
970	1	7	26	4	1	22	13	
971	1	55	3	4	1	19	1	
972	1	1	13	4	1	6	1	
973	1	15	3	4	1	2	1	
974	34	2	3	4	8	35	1	
975	1	4	3	47	1	12	1	
976	1	2	13	2	1	33	43	
977	4	2	3	2	15	8	11	
978	1	2	13	4	2	6	2	
979	12	2	3	1	1	19	1	
980	4	2	13	2	1	12	1	
981	1	2	13	2	51	9	1	
982	1	1	3	4	8	8	27	
983	1	7	26	4	1	6	13	
984	22	4	14	4	1	6	1	
985	1	2	20	2	1	9	1	
986	22	4	14	2	1	12	1	
987	1	2	6	4	15	19	1	
988	1	2	20	2	1	9	11	
989	1	4	3	46	1	6	1	
990	1	3	3	2	6	27	11	
991	1	2	3	2	1	22	15	
992	1	2	6	4	15	27	1	
993	12	16	44	2	15	21	1	
994	1	15	3	2	5	6	1	
995	1	6	59	1	1	21	1	
996	8	4	22	1	6	22	44	
997	4	1	13	1	8	60	1	
998	1	15	3	14	1	8	11	
999	2	50	13	2	2	2	1	
1000	1	2	6	4	20	2	1	
1001	4	2	6	1	1	29	1	
1002	31	51	56	48	52	64	40	
1003	32	51	57	48	52	64	41	
1004	1	1	2	1	6	4	1	
1005	3	1	4	1	6	4	1	
1006	1	1	12	1	1	3	1	
1007	3	1	2	1	6	4	1	
1008	1	3	3	1	5	1	1	
1009	1	1	37	3	1	1	1	
1010	1	1	6	1	1	1	1	
1011	4	4	3	2	1	4	1	
1012	1	4	3	2	53	2	3	
1013	35	56	61	49	54	68	37	
1014	36	57	62	50	55	69	37	
1015	24	52	45	37	50	70	35	
1016	1	4	3	2	15	2	6	
1017	9	23	44	4	1	2	1	
1018	1	32	3	2	18	8	1	
1019	4	23	13	51	17	2	1	
1020	1	2	13	22	18	38	13	
1021	1	58	14	4	1	71	1	
1022	1	7	6	14	1	22	1	
1023	16	59	63	52	56	72	45	
1024	4	2	3	28	15	12	32	
1025	8	2	23	4	1	22	1	
1026	1	4	3	2	15	2	11	
1027	37	24	13	2	1	22	1	
1028	1	2	6	4	15	2	1	
1029	1	2	22	1	6	6	13	
1030	1	7	13	31	15	6	1	
1031	1	15	13	2	6	33	1	
1032	1	1	13	43	15	6	13	
1033	1	2	13	4	1	12	1	
1034	4	60	3	2	1	1	3	
1035	38	61	64	54	57	73	37	
1036	39	62	65	55	58	68	37	
1037	40	63	66	49	59	74	37	
1038	1	1	2	56	5	1	1	
1039	41	64	67	57	60	6	46	
1040	4	15	3	1	2	6	1	
1041	8	2	13	4	1	6	11	
1042	1	2	3	2	1	21	1	
1043	4	1	3	2	5	2	1	
1044	4	23	13	4	17	2	1	
1045	3	3	3	2	1	29	1	
1046	1	2	13	4	1	6	11	
1047	42	32	3	28	6	9	1	
1048	1	1	22	2	18	12	1	
1049	13	22	13	58	1	6	11	
1050	1	2	14	4	1	71	1	
1051	1	12	6	1	1	2	1	
1052	24	53	45	53	61	67	47	
1053	4	12	3	2	5	2	1	
1054	4	12	34	1	5	2	1	
1055	1	3	13	2	1	33	1	
1056	8	2	13	2	3	38	1	
1057	3	1	3	3	1	2	3	
1058	40	65	68	59	62	68	37	
1059	40	70	71	61	66	68	50	
1060	40	71	68	64	67	77	48	
1061	40	72	66	61	68	68	37	
1062	46	73	72	49	67	68	37	
1063	47	74	66	61	69	78	51	
1064	40	67	70	61	64	68	37	
1065	40	67	73	49	70	69	37	
1066	40	75	66	65	71	79	37	
1067	40	76	66	49	72	68	48	
1068	40	77	74	61	73	77	37	
1069	44	66	69	60	63	76	49	
1070	1	2	14	4	1	22	1	
1071	40	69	75	61	74	77	37	
1072	40	78	66	61	75	68	37	
1073	40	61	62	50	76	68	37	
1074	8	28	3	18	1	6	6	
1075	1	4	14	4	26	22	27	
1076	48	61	73	61	77	68	37	
1077	49	79	76	61	78	80	37	
1078	48	80	77	61	73	68	37	
1079	43	61	61	50	54	75	48	
1080	43	61	62	50	71	68	52	
1081	50	81	78	66	76	68	53	
1082	45	68	64	62	65	77	37	
1083	41	64	67	57	60	68	46	
1084	51	82	79	57	79	68	54	
1085	52	64	80	67	80	68	54	
1086	48	83	62	55	81	81	55	
1087	53	64	81	57	82	68	54	
1088	51	84	79	67	82	68	54	
1089	1	3	2	1	1	2	1	
1090	3	2	3	4	1	1	1	
1091	3	4	2	1	1	4	3	
1092	1	3	6	1	1	2	1	
1093	4	4	3	3	5	1	3	
1094	1	2	28	3	1	9	3	
1095	1	12	3	2	1	2	3	
1096	3	4	28	1	1	3	1	
1097	1	1	11	3	1	4	1	
1098	1	4	2	1	5	1	3	
1099	1	12	3	2	1	2	1	
1100	3	1	13	1	1	4	3	
1101	1	4	11	1	1	22	1	
1102	1	12	2	2	5	29	1	
1103	3	1	3	1	1	3	1	
1104	3	1	36	3	5	2	3	
1105	1	4	2	3	5	4	1	
1106	1	2	28	3	8	4	3	
1107	1	4	3	1	1	22	1	
1108	3	1	2	68	1	4	3	
1109	1	2	2	1	1	4	1	
1110	1	12	3	2	1	22	3	
1111	3	4	11	4	1	4	1	
1112	1	85	3	2	5	27	11	
1113	4	26	6	1	5	1	1	
1114	1	12	3	2	3	22	3	
1115	1	2	6	1	1	29	1	
1116	1	2	6	1	1	8	1	
1117	18	4	6	2	1	1	3	
1118	54	12	6	4	1	42	3	
1119	1	7	3	31	1	12	56	
1120	40	86	72	61	83	82	37	
1121	1	18	13	2	5	6	1	
1122	1	1	19	2	5	2	1	
1123	1	2	3	2	15	22	1	
1124	4	4	10	2	1	2	1	
1125	10	22	14	4	1	3	1	
1126	6	5	9	5	7	7	5	
1127	1	1	10	2	5	2	39	
1128	1	1	10	2	5	1	39	
1129	8	4	24	2	1	12	11	
1130	3	1	2	69	1	3	3	
1131	3	1	2	4	1	4	6	
1132	1	12	6	2	1	1	3	
1133	1	4	10	1	1	1	1	
1134	4	12	6	2	1	1	3	
1135	1	2	6	4	1	2	57	
1136	1	2	6	2	1	2	57	
1137	1	2	6	2	1	8	3	
1138	4	4	3	4	1	1	3	
1139	8	2	6	4	1	2	3	
1140	4	2	6	2	1	1	3	
1141	1	2	14	2	1	1	1	
1142	1	12	13	2	5	2	58	
1143	1	4	3	2	1	2	3	
1144	1	2	14	2	3	1	3	
1145	1	2	6	2	1	2	3	
1146	1	12	6	2	20	1	3	
1147	1	12	6	2	1	8	3	
1148	55	4	14	2	1	2	1	
1149	1	1	2	1	5	6	1	
1150	56	57	62	59	73	83	48	
1151	57	87	78	66	84	68	59	
1152	1	4	3	4	1	2	3	
1153	40	61	83	49	86	85	37	
1154	59	89	84	71	87	68	60	
1155	48	90	61	55	88	86	61	
1156	60	91	85	61	89	87	37	
1157	50	92	86	66	90	88	53	
1158	61	93	87	57	82	68	54	
1159	38	61	64	72	91	89	62	
1160	38	61	88	62	92	90	37	
1161	62	94	62	72	93	77	37	
1162	43	95	62	61	78	81	55	
1163	48	61	66	61	94	69	37	
1164	63	61	70	61	95	91	37	
1165	64	96	62	73	96	81	63	
1166	65	97	89	54	97	68	64	
1167	66	105	90	54	98	68	37	
1168	67	56	91	62	99	68	64	
1169	50	98	91	62	99	68	64	
1170	43	161	62	61	100	81	55	
1171	49	61	66	61	101	92	37	
1172	68	99	66	50	54	93	37	
1173	40	61	92	49	102	94	37	
1174	40	100	93	50	103	68	37	
1175	69	105	94	54	97	68	64	
1176	70	101	95	61	104	68	37	
1177	71	102	66	74	105	95	37	
1178	72	103	64	75	106	77	37	
1179	4	4	10	2	1	8	20	
1180	40	77	66	61	67	68	37	
1181	43	61	62	50	81	68	55	
1182	73	106	62	76	73	96	37	
1183	74	61	62	49	107	97	37	
1184	40	61	66	50	108	98	37	
1185	40	67	65	49	109	82	37	
1186	40	107	66	77	110	68	37	
1187	75	108	90	54	99	68	37	
1188	74	61	75	61	74	68	37	
1189	40	86	73	61	111	99	55	
1190	50	109	96	78	112	68	37	
1191	76	73	62	79	113	82	55	
1192	56	57	70	49	114	83	37	
1193	40	63	97	80	115	68	37	
1194	59	110	84	71	116	68	37	
1195	43	111	62	61	81	100	37	
1196	48	112	62	50	117	101	37	
1197	49	56	73	81	118	102	37	
1198	77	61	98	62	76	68	65	
1199	40	113	99	64	119	77	37	
1200	78	98	100	54	120	68	64	
1201	50	114	62	82	106	88	55	
1202	47	115	62	83	121	103	37	
1203	50	114	98	84	122	104	37	
1204	43	116	72	49	67	105	37	
1205	50	61	101	62	116	68	66	
1206	66	108	100	54	99	68	64	
1207	74	61	75	55	74	68	37	
1208	79	105	102	54	123	68	64	
1209	80	117	103	62	100	68	37	
1210	81	118	102	54	99	68	64	
1211	82	108	103	85	100	68	37	
1212	75	119	104	62	66	68	65	
1213	81	105	91	62	120	68	64	
1214	40	120	66	50	119	106	37	
1215	40	121	68	86	121	81	37	
1216	48	122	95	87	124	107	37	
1217	69	108	105	88	99	68	37	
1218	47	123	62	50	88	68	37	
1219	35	61	66	89	125	107	37	
1220	40	111	61	61	126	68	37	
1221	40	65	66	90	127	68	67	
1222	83	124	62	54	128	77	37	
1223	75	114	62	91	129	88	55	
1224	40	100	62	89	76	77	48	
1225	35	126	70	61	67	69	48	
1226	85	69	106	92	131	108	37	
1227	81	127	100	54	99	68	64	
1228	86	128	62	93	88	109	68	
1229	40	126	72	61	71	69	37	
1230	40	100	62	89	83	77	37	
1231	80	108	91	54	99	68	64	
1232	84	125	66	61	130	68	37	
1233	56	61	107	61	132	68	48	
1234	77	61	104	94	76	68	65	
1235	85	69	106	92	131	77	37	
1236	87	81	68	61	133	69	37	
1237	50	61	98	62	134	68	69	
1238	40	56	108	95	135	110	37	
1239	43	56	66	61	136	83	55	
1240	40	100	68	61	137	77	37	
1241	38	129	109	96	106	77	37	
1242	81	130	110	54	120	68	64	
1243	38	129	64	54	57	73	37	
1244	40	71	68	50	59	111	37	
1245	88	129	64	72	138	77	37	
1246	43	131	111	61	70	112	37	
1247	40	132	66	61	139	82	37	
1248	40	100	68	97	121	69	48	
1249	89	133	112	98	140	113	70	
1250	38	129	64	72	57	77	37	
1251	90	129	64	99	141	73	37	
1252	53	82	113	57	82	68	71	
1253	69	61	110	62	142	68	37	
1254	50	61	114	100	143	68	37	
1255	78	108	86	54	99	68	64	
1256	4	4	11	3	145	22	3	
1257	1	1	4	1	1	2	1	
1258	3	1	11	1	1	2	1	
1259	1	1	2	3	5	2	3	
1260	1	12	34	2	5	2	1	
1261	72	68	105	54	146	73	37	
1262	85	56	107	97	147	110	37	
1263	43	134	68	90	148	68	37	
1264	43	135	62	102	67	68	37	
1265	40	136	73	59	113	68	48	
1266	92	61	68	89	149	81	37	
1267	92	61	95	89	149	81	37	
1268	40	137	83	55	73	68	37	
1269	58	88	82	103	85	84	37	
1270	38	138	115	72	150	77	37	
1271	93	71	116	49	151	77	55	
1272	59	139	84	71	152	68	60	
1273	40	140	117	83	77	68	37	
1274	88	129	62	104	141	73	37	
1275	50	141	96	105	153	68	60	
1276	58	143	86	106	45	84	72	
1277	38	61	64	62	141	77	37	
1278	49	144	61	95	154	68	37	
1279	94	142	78	62	155	68	55	
1280	50	119	105	62	76	68	55	
1281	81	118	91	54	99	68	64	
1282	50	108	91	54	130	68	64	
1283	77	56	105	94	76	68	37	
1284	40	75	68	76	71	79	37	
1285	40	100	118	61	156	68	37	
1286	40	86	73	61	125	99	37	
1287	38	61	115	72	146	73	37	
1288	72	103	88	107	150	114	37	
1289	79	108	102	54	123	68	64	
1290	86	145	119	83	157	115	55	
1291	66	56	91	54	99	68	37	
1292	40	134	72	61	67	68	37	
1293	40	74	99	64	127	77	37	
1294	93	146	62	108	72	69	37	
1295	48	83	62	61	81	81	55	
1296	66	114	91	54	76	68	64	
1297	49	56	73	81	83	102	37	
1298	40	132	66	49	159	116	37	
1299	40	56	107	61	88	68	37	
1300	40	147	68	49	160	117	37	
1301	40	69	66	61	162	98	37	
1302	69	127	100	54	99	68	64	
1303	40	132	66	61	163	82	37	
1304	43	95	62	61	73	83	55	
1305	69	108	91	54	99	68	73	
1306	47	80	62	55	73	68	37	
1307	40	83	120	55	73	68	55	
1308	40	147	66	102	164	68	37	
1309	40	75	66	65	71	68	48	
1310	45	119	104	94	76	68	74	
1311	59	148	84	71	87	68	60	
1312	40	149	62	49	67	81	37	
1313	95	150	71	109	165	59	75	
1314	1	2	14	4	1	8	1	
1315	1	2	4	3	6	3	1	
1316	1	1	4	2	3	4	1	
1317	3	4	2	1	5	4	3	
1318	3	4	2	1	6	4	3	
1319	3	1	11	2	5	4	6	
1320	3	2	11	4	5	4	6	
1321	1	4	2	3	5	2	3	
1322	3	12	11	1	5	4	6	
1323	3	1	11	4	5	4	1	
1324	1	1	11	34	5	4	1	
1325	4	26	3	1	5	22	1	
1326	12	2	2	5	3	1	1	
1327	3	1	3	4	1	2	1	
1328	40	56	70	49	166	118	48	
1329	66	108	91	54	142	68	64	
1330	40	81	99	64	167	116	37	
1331	40	151	68	97	135	78	37	
1332	38	152	121	72	168	77	37	
1333	40	61	99	50	105	119	37	
1334	50	119	62	54	90	120	37	
1335	95	150	82	111	169	121	76	
1336	96	64	122	57	82	68	54	
1337	91	46	98	101	144	68	66	
1338	3	1	11	69	1	3	3	
1339	3	1	2	4	1	4	3	
1340	1	16	14	2	1	8	1	
1341	1	12	14	2	1	2	3	
1342	4	12	3	2	1	1	3	
1343	1	153	11	4	5	4	6	
1344	1	16	47	4	15	12	1	
1345	3	1	2	3	1	3	3	
1346	3	4	2	1	1	3	3	
1347	3	1	11	1	1	4	3	
1348	1	2	13	18	1	22	11	
1349	1	1	2	1	1	29	1	
1350	3	1	2	3	1	3	1	
1351	3	1	11	3	1	4	1	
1352	3	1	2	1	6	36	1	
1353	3	3	3	2	3	1	1	
1354	4	154	5	113	1	29	1	
1355	1	156	2	2	5	1	1	
1356	1	2	13	4	1	24	11	
1357	1	157	14	14	1	8	1	
1358	1	4	2	1	5	4	3	
1359	3	4	11	4	5	4	1	
1360	9	2	25	2	6	8	1	
1361	12	2	27	4	3	3	1	
1362	1	4	3	4	1	21	1	
1363	8	1	3	2	1	22	1	
1364	1	4	3	2	1	1	1	
1365	1	12	14	112	170	2	1	
1366	1	3	3	2	3	1	1	
1367	97	1	2	3	1	4	3	
1368	1	4	6	4	1	1	3	
1369	1	2	6	4	6	1	3	
1370	1	1	6	4	1	2	3	
1371	4	4	6	4	1	2	3	
1372	4	4	6	4	1	1	3	
1373	1	4	6	1	1	1	3	
1374	4	4	3	4	5	1	3	
1375	4	1	3	2	171	2	3	
1376	1	37	14	4	3	2	11	
1377	1	4	123	2	18	6	1	
1378	1	4	24	2	1	122	11	
1379	1	2	3	1	6	2	3	
1380	1	12	14	4	1	1	1	
1381	8	1	3	2	1	2	1	
1382	3	1	2	6	5	4	3	
1383	3	2	6	3	5	4	1	
1384	2	1	2	3	1	4	3	
1385	3	2	3	1	1	3	16	
1386	3	4	11	4	5	2	1	
1387	3	1	4	1	1	4	3	
1388	3	4	11	23	5	4	8	
1389	1	1	4	1	1	4	3	
1390	1	3	6	1	1	3	1	
1391	10	4	3	2	1	2	1	
1392	1	12	2	1	3	29	1	
1393	3	3	2	3	5	4	3	
1394	1	1	6	1	1	29	3	
1395	3	1	28	1	1	2	1	
1396	1	2	6	1	1	22	3	
1397	1	2	13	1	1	2	1	
1398	1	1	3	1	1	40	1	
1399	1	4	3	1	1	4	3	
1400	9	6	13	4	1	22	1	
1401	1	2	14	18	1	8	1	
1402	1	6	3	1	6	8	1	
1403	1	4	13	2	15	6	11	
1404	12	4	22	2	8	27	1	
1405	1	4	3	2	8	50	11	
1406	1	2	13	2	1	2	11	
1407	1	2	6	15	15	22	1	
1408	1	16	3	2	5	19	1	
1409	1	4	13	4	1	8	1	
1410	1	2	3	2	8	2	11	
1411	1	2	3	2	8	27	11	
1412	1	4	13	18	1	8	1	
1413	4	4	3	2	1	2	1	
1414	1	158	3	22	18	124	1	
1415	1	159	3	2	1	19	1	
1416	8	160	3	2	1	1	11	
1417	1	159	3	4	2	8	1	
1418	6	10	15	8	11	14	9	
1419	6	10	16	29	10	51	9	
1420	1	1	11	1	5	3	1	
1421	4	4	2	3	1	2	1	
1422	6	10	16	8	10	14	78	
1423	6	10	16	8	9	14	78	
1424	1	1	13	12	1	35	1	
1425	1	4	12	1	1	6	1	
1426	3	1	14	2	1	3	1	
1427	4	2	3	2	1	1	1	
1428	1	4	13	2	1	11	1	
1429	1	4	13	1	1	1	3	
1430	4	2	3	1	5	1	1	
1431	1	2	3	1	5	1	1	
1432	4	2	3	2	5	2	1	
1433	4	1	34	2	5	2	1	
1434	1	2	14	2	5	2	1	
1435	1	4	6	2	1	1	1	
1436	1	2	14	2	5	2	3	
1437	4	4	3	2	1	1	3	
1438	1	2	124	2	1	8	3	
1439	18	4	3	4	1	1	1	
1440	6	43	45	37	38	49	35	
1441	98	59	125	52	23	13	22	
1442	4	4	3	4	1	1	20	
1443	1	3	126	1	5	2	1	
1444	1	22	3	2	5	27	11	
1445	1	2	3	4	1	24	1	
1446	1	1	3	4	1	12	1	
1447	1	15	3	2	3	12	1	
1448	1	2	3	1	5	19	1	
1449	1	1	13	4	5	38	11	
1450	1	1	3	14	158	27	1	
1451	1	22	3	2	8	26	79	
1452	1	4	3	18	1	6	11	
1453	1	1	3	19	1	2	1	
1454	1	1	7	2	5	6	1	
1455	1	1	13	2	1	6	1	
1456	1	1	13	2	1	22	1	
1457	1	1	2	1	1	6	1	
1458	1	1	7	2	1	6	1	
1459	1	1	7	1	5	1	1	
1460	1	1	2	1	4	1	1	
1461	1	1	13	2	5	2	1	
1462	1	1	2	1	161	6	1	
1463	1	1	7	1	5	125	1	
1464	3	4	2	1	1	4	6	
1465	1	2	13	17	1	4	1	
1466	3	1	11	4	25	4	6	
1467	3	1	3	1	18	2	2	
1468	1	1	3	1	1	1	6	
1469	3	2	3	2	25	3	1	
1470	3	1	2	3	5	4	57	
1471	3	4	11	4	5	4	3	
1472	100	164	128	110	173	126	81	
1473	24	53	129	115	61	66	35	
1474	24	165	45	37	174	127	35	
1475	16	59	130	116	175	128	29	
1476	24	52	45	37	38	67	47	
1477	3	1	3	3	5	2	6	
1478	4	12	6	2	1	8	3	
1479	1	1	10	2	5	1	3	
1480	3	3	2	1	1	3	3	
1481	3	1	5	1	5	4	1	
1482	3	4	2	3	5	4	6	
1483	1	1	11	1	5	4	1	
1484	1	1	2	3	1	4	3	
1485	1	2	14	2	1	8	1	
1486	12	4	13	2	6	129	1	
1487	1	7	13	15	177	2	1	
1488	1	16	13	4	15	22	1	
1489	1	2	3	2	1	19	1	
1490	1	6	23	4	1	2	1	
1491	1	2	13	21	15	19	1	
1492	1	1	2	2	1	1	1	
1493	1	27	14	1	1	8	1	
1494	1	42	13	18	1	22	1	
1495	1	2	59	2	1	2	1	
1496	9	23	14	18	15	21	1	
1497	1	15	13	4	15	22	6	
1498	1	16	132	4	1	2	1	
1499	1	4	3	4	5	12	1	
1500	1	7	14	7	1	12	1	
1501	1	167	133	2	6	27	1	
1502	1	18	3	1	1	22	1	
1503	3	1	36	1	5	3	3	
1504	8	2	13	2	1	8	1	
1505	1	7	13	21	15	9	1	
1506	1	1	3	4	20	1	3	
1507	1	4	3	4	1	1	3	
1508	4	4	6	2	1	2	3	
1509	1	1	6	2	171	2	3	
1510	1	1	3	2	1	2	3	
1511	1	1	3	2	171	2	3	
1512	1	1	3	4	1	2	3	
1513	1	2	6	4	1	1	3	
1514	1	12	6	2	1	1	1	
1515	1	12	6	4	1	2	1	
1516	1	4	6	4	1	1	1	
1517	1	12	6	4	1	1	3	
1518	1	2	3	4	1	2	3	
1519	4	12	6	2	1	2	3	
1520	4	4	6	1	1	1	3	
1521	1	23	14	118	1	2	1	
1522	3	2	3	2	1	4	1	
1523	1	4	4	3	1	4	1	
1524	1	2	3	4	1	12	83	
1525	1	16	3	2	1	6	11	
1526	1	1	3	4	1	130	11	
1527	1	16	3	4	1	8	7	
1528	3	1	37	3	8	4	3	
1529	3	2	11	1	1	4	1	
1530	1	2	4	17	1	22	1	
1531	3	1	12	2	1	3	1	
1532	4	2	3	1	1	3	1	
1533	3	12	11	3	5	4	6	
1534	1	2	13	17	6	4	1	
1535	3	1	4	1	6	3	1	
1536	4	2	3	3	1	4	1	
1537	3	1	5	1	1	48	1	
1538	3	1	4	1	1	36	1	
1539	3	1	5	1	1	2	1	
1540	4	1	2	1	6	1	1	
1541	1	1	13	1	1	10	1	
1542	1	4	12	3	1	4	1	
1543	3	4	2	4	5	4	6	
1544	1	2	4	1	1	29	1	
1545	1	1	28	1	6	4	1	
1546	3	1	2	3	5	2	1	
1547	1	3	3	1	1	29	11	
1548	4	1	6	2	1	2	1	
1549	4	12	34	2	5	2	1	
1550	1	4	3	4	20	1	3	
1551	4	12	6	4	1	2	11	
1552	4	4	3	4	1	2	3	
1553	1	4	3	4	1	2	20	
1554	1	2	14	4	1	2	20	
1555	4	2	10	2	1	1	3	
1556	4	4	10	4	8	18	1	
1557	1	20	6	1	1	2	1	
1558	1	12	6	1	3	2	1	
1559	1	6	13	4	8	2	11	
1560	1	2	13	2	51	22	1	
1561	4	2	44	4	1	2	1	
1562	3	26	6	1	5	22	1	
1563	1	12	3	2	179	42	3	
1564	3	1	4	1	1	2	1	
1565	4	4	3	3	1	2	1	
1566	1	26	3	1	5	22	1	
1567	4	4	6	1	1	1	1	
1568	1	4	6	1	1	1	11	
1569	1	4	13	2	1	4	1	
1570	3	2	14	1	1	29	1	
1571	3	4	40	1	5	4	6	
1572	1	12	13	1	1	2	1	
1573	1	4	3	3	5	2	1	
1574	1	1	3	2	5	3	1	
1575	1	15	3	1	1	29	11	
1576	22	2	3	2	15	12	1	
1577	12	29	47	4	1	6	1	
1578	1	7	6	31	1	22	1	
1579	12	29	3	4	1	12	1	
1580	1	7	135	4	1	22	1	
1581	12	29	47	18	1	6	1	
1582	12	29	14	4	1	12	1	
1583	10	2	13	2	1	6	1	
1584	1	2	23	2	1	2	1	
1585	1	23	3	4	1	12	1	
1586	15	15	13	2	1	12	1	
1587	1	1	14	2	1	9	1	
1588	1	4	14	4	1	2	1	
1589	1	169	47	4	1	2	1	
1590	1	2	3	1	1	35	1	
1591	4	2	13	4	15	45	1	
1592	1	23	13	28	1	12	1	
1593	12	4	3	4	1	8	11	
1594	1	2	3	4	1	6	1	
1595	12	23	3	4	6	2	1	
1596	1	4	13	2	1	33	1	
1597	28	2	3	2	1	12	11	
1598	12	4	3	21	1	22	1	
1599	1	170	3	4	1	6	1	
1600	1	2	3	120	42	6	1	
1601	1	2	13	2	1	27	1	
1602	1	7	3	4	5	12	1	
1603	1	2	14	27	15	6	1	
1604	1	171	14	4	1	8	1	
1605	1	1	3	4	16	2	11	
1606	15	4	31	2	1	27	15	
1607	1	6	13	4	1	12	1	
