ST	gki	gtr	murI	mutS	recP	xpt	yqiL	clonal_complex
820	69	2	8	13	35	14	2	
821	11	6	14	88	9	17	19	
822	4	24	2	17	16	5	1	
823	5	108	8	5	15	2	1	
824	16	2	8	3	1	102	3	
825	4	2	9	89	44	103	4	
826	3	2	106	3	125	3	3	
827	16	35	76	5	61	3	119	
828	2	12	2	17	16	5	4	
829	11	109	1	3	12	8	7	
830	4	3	4	4	4	2	120	
831	4	3	107	4	35	14	4	
832	24	2	2	5	1	34	4	
833	69	2	54	7	1	3	2	
834	29	32	2	5	48	3	21	
835	4	53	8	5	19	3	4	
836	14	28	2	17	126	53	121	
837	38	2	2	23	121	2	1	
838	11	6	104	5	9	17	19	
839	5	52	5	5	5	4	118	
840	4	106	8	7	51	3	76	
841	5	2	2	6	6	104	2	
842	4	23	3	6	22	3	4	
843	13	107	10	12	20	2	3	
844	16	102	8	3	1	13	3	
845	11	113	14	5	9	17	19	
846	145	2	2	6	6	2	2	
847	16	2	8	3	3	13	3	
848	29	32	2	5	127	5	21	
849	42	37	8	17	33	3	4	
850	11	6	14	5	9	17	123	
851	11	114	1	3	12	3	7	
852	4	3	4	91	4	2	4	
853	2	2	2	86	37	3	2	
854	147	32	2	5	48	5	21	
855	18	20	7	9	128	2	15	
856	103	3	4	4	4	2	4	
857	16	103	8	93	1	13	3	
858	4	111	4	4	4	2	4	
859	11	6	14	5	9	105	19	
860	16	110	8	3	1	13	3	
861	11	2	1	3	12	3	124	
862	4	112	2	54	21	7	125	
863	29	32	2	92	48	5	21	
864	56	24	39	7	30	2	122	
865	19	21	108	1	5	106	28	
866	84	2	21	90	17	3	1	
867	95	2	4	4	4	2	1	
868	146	25	4	4	4	2	1	
869	68	35	8	4	129	3	10	
870	5	2	109	6	6	2	2	
871	13	115	14	1	9	3	1	
872	4	3	2	5	10	34	12	
873	4	2	2	5	53	3	81	
874	8	7	8	49	9	3	39	
875	13	32	7	20	19	3	2	
876	4	3	2	13	2	3	1	
877	4	2	3	16	17	3	1	
878	15	32	10	5	48	5	56	
879	4	2	88	5	19	98	3	
880	11	2	110	3	50	8	7	
881	4	2	2	3	2	3	31	
882	13	34	8	6	36	3	1	
883	13	45	8	22	76	3	6	
884	13	63	8	6	36	2	1	
885	3	2	8	5	58	107	4	
886	11	7	15	3	17	3	4	
887	54	116	14	4	1	2	8	
888	4	117	7	9	2	2	126	
889	2	2	8	5	2	3	127	
890	13	3	111	12	20	2	3	
891	15	122	7	18	19	3	1	
892	16	123	8	3	1	13	3	
893	2	2	2	94	37	3	2	
894	21	31	1	95	28	3	4	
895	4	2	2	5	70	2	129	
896	4	2	21	16	17	3	135	
897	4	3	4	4	4	2	132	
898	4	3	4	4	4	2	134	
899	4	3	4	4	4	109	4	
900	65	124	8	7	68	3	4	
901	104	80	2	7	13	2	107	
902	13	45	8	4	34	3	1	
903	24	45	2	5	35	3	1	
904	4	31	2	11	34	14	21	
905	5	2	8	1	6	9	2	
906	56	24	39	7	39	2	122	
907	3	4	6	7	1	24	0	
908	5	114	2	6	6	2	2	
909	38	6	60	23	39	2	1	
910	16	103	8	93	1	13	1	
911	5	128	8	5	15	2	1	
912	19	3	113	4	30	2	122	
913	3	4	6	5	3	5	0	
914	149	2	8	7	133	112	139	
915	5	7	8	5	47	2	1	
916	10	4	3	6	14	3	4	
917	11	6	3	82	6	2	2	
918	2	6	2	3	22	23	1	
919	24	24	8	31	13	66	1	
920	16	114	8	3	1	13	3	
921	16	2	8	3	89	13	3	
922	2	7	2	37	2	13	1	
923	4	3	4	4	4	49	4	
924	11	114	1	3	50	8	7	
925	84	114	21	16	17	3	1	
926	14	12	2	6	18	2	1	
927	49	2	8	5	35	14	2	
928	2	2	37	2	2	120	1	
929	3	4	6	5	1	5	11	
930	4	3	2	54	21	7	69	
931	4	3	4	4	4	2	141	
932	4	3	4	4	4	115	4	
933	4	6	2	54	21	113	69	
934	4	129	4	4	4	2	4	
935	5	2	2	6	6	2	140	
936	5	2	2	6	135	2	2	
937	5	2	2	99	6	2	2	
938	5	11	8	5	15	114	1	
939	5	52	5	5	5	4	144	
940	5	52	5	5	5	118	3	
941	5	130	8	5	15	2	1	
942	11	9	1	9	2	3	142	
943	16	2	8	3	1	13	143	
944	16	2	8	3	1	119	3	
945	16	2	8	3	136	13	3	
946	38	2	2	23	121	116	1	
947	56	24	39	7	30	117	122	
948	84	2	21	16	134	3	1	
949	138	2	54	100	35	24	12	
950	149	2	8	7	133	112	145	
951	150	2	2	6	137	3	6	
952	151	4	6	6	14	5	0	
953	2	2	2	3	2	3	156	
954	14	12	2	17	4	5	1	
955	138	80	8	13	35	3	76	
956	4	2	8	6	5	3	4	
957	4	6	2	25	35	3	1	
958	24	24	8	31	13	66	76	
959	4	2	3	7	6	2	2	
960	43	6	8	67	1	3	1	
961	68	13	8	5	66	49	1	
962	43	2	3	7	33	2	46	
963	2	6	8	3	22	23	1	
964	11	6	8	7	39	61	30	
965	95	25	4	5	4	2	1	
966	152	2	8	3	1	13	3	
967	13	45	8	5	34	3	1	
968	74	9	1	45	94	29	4	
969	4	12	36	5	4	23	1	
970	3	58	2	7	2	53	1	
971	24	24	8	6	13	66	1	
972	51	31	2	25	2	23	26	
973	47	131	2	5	10	34	12	
974	153	2	60	23	39	2	1	
975	68	13	114	5	139	49	1	
976	3	88	1	101	12	3	7	
977	11	2	14	7	22	35	2	
978	13	32	7	25	19	3	2	
979	4	31	2	67	34	3	12	
980	3	3	6	5	1	5	0	
981	2	132	35	7	2	57	1	
982	64	133	2	7	34	38	2	
983	63	2	115	35	34	2	2	
984	10	2	116	20	140	121	147	
985	29	32	117	5	33	5	4	
986	4	10	3	6	33	2	1	
987	4	4	3	6	14	3	1	
988	25	37	10	7	2	3	1	
989	13	2	3	20	5	3	1	
990	4	6	1	2	2	2	2	
991	5	2	2	58	6	2	2	
992	4	28	3	20	2	3	3	
993	89	3	8	6	4	3	4	
994	29	31	6	5	19	23	4	
995	24	37	82	5	2	3	12	
996	25	31	2	13	34	3	12	
997	29	32	2	5	19	5	21	
998	2	2	2	2	5	61	24	
999	13	2	8	1	13	13	28	
1000	2	7	2	31	34	3	39	
1001	1	31	8	103	36	53	4	
1002	58	6	8	7	2	51	149	
1003	2	134	9	13	2	14	2	
1004	3	2	3	3	1	3	150	
1005	78	53	14	5	4	124	49	
1006	160	2	1	2	2	2	2	
1007	163	2	14	3	2	3	64	
1008	69	2	2	3	145	127	2	
1009	5	11	121	5	15	2	1	
1010	158	6	120	5	4	3	10	
1011	162	2	2	2	31	3	2	
1012	85	2	14	5	19	125	31	
1013	4	31	59	25	33	3	151	
1014	4	3	123	4	4	86	4	
1015	3	38	119	7	1	8	24	
1016	164	6	2	3	23	3	11	
1017	159	31	2	25	2	43	32	
1018	156	2	2	21	1	29	16	
1019	161	2	2	6	6	2	2	
1020	157	37	8	22	33	3	4	
1021	16	42	122	7	1	2	17	
1022	4	4	4	104	4	2	1	
1023	13	6	2	3	23	128	11	
1024	16	15	19	7	146	129	17	
1025	11	136	7	46	143	126	6	
1026	42	3	2	5	2	2	148	
1027	4	26	51	105	34	2	27	
1028	2	6	8	106	22	23	1	
1029	10	137	8	3	96	3	12	
1030	11	136	7	46	44	126	6	
1031	16	135	34	7	45	2	17	
1032	14	17	14	6	9	122	38	
1033	90	6	8	7	4	3	152	
1034	155	2	3	7	6	3	2	
1035	36	35	118	36	30	35	12	
1036	154	42	22	7	40	3	17	
1037	11	6	8	102	1	3	1	
1038	4	2	2	5	13	25	1	
1039	27	2	4	4	32	2	1	
1040	1	2	9	5	2	8	41	
1041	5	11	8	5	15	123	1	
1042	165	3	54	5	34	8	44	
1043	11	6	14	5	138	17	19	
1044	4	3	4	4	131	2	4	
1045	4	31	2	67	34	3	3	
1046	5	11	8	5	148	2	1	
1047	3	4	6	5	1	130	0	
1048	4	2	2	13	149	24	4	
1049	4	6	2	54	150	7	69	
1050	5	2	2	6	6	132	2	
1051	11	2	1	3	12	131	7	
1052	16	2	8	107	1	13	3	
1053	51	7	124	26	9	35	2	
1054	1	31	8	40	60	8	42	
1055	4	53	7	5	1	3	47	
1056	11	6	8	9	2	3	1	
1057	39	2	8	7	2	2	1	
1058	5	11	8	5	15	133	1	
1059	38	2	2	96	39	2	25	
1060	2	2	1	2	2	2	153	
1061	2	6	8	5	22	3	154	
1062	49	2	2	3	4	24	155	
1063	2	2	9	13	151	14	2	
1064	4	3	4	108	4	2	4	
1065	2	2	125	3	18	24	2	
1066	5	11	126	5	15	2	1	
1067	166	6	14	5	9	17	19	
1068	167	2	2	6	6	2	2	
1069	168	8	1	1	1	3	4	
1070	29	32	2	5	48	5	25	
1071	4	31	2	11	34	2	21	
1072	5	11	8	5	152	2	1	
1073	4	6	2	7	153	7	1	
1074	95	2	4	4	147	2	1	
1075	4	10	2	6	33	2	21	
1076	16	2	8	3	142	3	2	
1077	2	138	1	2	2	134	2	
1078	102	2	44	6	144	3	74	
1079	11	77	101	5	9	17	19	
1080	4	2	2	52	1	24	44	
1081	1	2	2	6	44	8	4	
1082	51	31	2	25	141	43	32	
1083	29	32	2	5	48	135	4	
1084	2	2	9	110	2	14	2	
1085	4	2	3	111	1	5	72	
1086	4	2	3	11	17	136	1	
1087	6	5	7	1	5	0	3	
1088	2	6	74	3	9	3	1	
1089	25	2	8	109	30	25	25	
1090	16	2	8	112	1	13	3	
1091	24	2	2	5	1	2	25	
1092	13	10	25	6	36	3	22	
1093	4	3	2	5	2	11	1	
1094	11	6	14	5	9	17	157	
1095	16	139	8	3	1	13	3	
1096	4	4	73	11	34	3	4	
1097	4	126	2	44	1	3	1	
1098	2	125	37	2	2	13	1	
1099	89	4	2	98	132	111	1	
1100	31	2	8	3	130	14	12	
1101	4	3	4	97	4	2	4	
1102	55	6	8	5	4	3	10	
1103	2	29	112	5	2	3	2	
1104	5	52	5	5	5	4	137	
1105	5	2	2	6	6	2	138	
1106	171	24	8	31	13	66	1	
1107	27	25	4	4	14	2	1	
1108	169	10	128	6	17	2	1	
1109	2	2	32	114	2	2	2	
1110	3	2	3	113	1	3	3	
1111	4	3	129	4	4	2	4	
1112	4	31	2	11	34	14	4	
1113	10	6	2	6	155	3	6	
1114	25	2	8	115	30	25	25	
1115	170	80	8	13	35	3	76	
1116	4	2	2	5	53	137	81	
1117	172	6	14	5	9	17	3	
1118	28	2	2	36	2	24	1	
1119	4	2	130	6	5	3	4	
1120	16	2	8	116	1	13	3	
1121	11	140	1	7	2	8	3	
1122	2	2	2	86	156	3	2	
1123	24	2	2	3	1	2	1	
1124	2	7	2	6	2	13	1	
1125	57	6	2	3	23	3	11	
1126	79	2	8	36	51	8	51	
1127	173	15	19	7	1	2	17	
1128	5	141	2	6	6	2	2	
1129	5	2	122	6	6	2	2	
1130	11	144	1	9	2	3	4	
1131	11	147	14	5	9	17	19	
1132	24	45	2	5	161	3	1	
1133	3	2	131	9	35	16	1	
1134	4	143	3	11	17	3	1	
1135	4	3	4	4	4	2	130	
1136	4	31	2	117	157	2	159	
1137	57	37	8	31	1	3	78	
1138	4	119	4	4	4	2	4	
1139	4	124	4	4	4	2	4	
1140	51	6	14	26	43	35	31	
1141	179	2	1	118	160	3	43	
1142	4	10	3	6	14	3	162	
1143	177	2	8	3	1	13	3	
1144	174	106	8	7	51	3	76	
1145	118	3	2	7	35	2	41	
1146	4	3	4	4	154	2	4	
1147	40	2	9	5	2	8	12	
1148	178	2	2	6	6	2	2	
1149	2	12	24	5	159	23	6	
1150	4	146	8	5	47	81	25	
1151	117	80	8	13	35	3	160	
1152	2	26	8	5	2	3	53	
1153	11	142	14	5	9	17	19	
1154	3	2	3	3	1	3	161	
1155	63	2	115	35	34	2	74	
1156	2	145	8	5	2	3	2	
1157	2	13	8	4	2	3	1	
1158	14	17	132	6	9	40	46	
1159	51	2	14	26	43	98	6	
1160	176	142	14	5	9	17	19	
1161	175	2	2	5	13	25	1	
1162	2	6	8	5	158	3	2	
1163	3	6	31	2	103	61	46	
1164	4	31	2	13	34	3	12	
1165	3	4	6	6	14	5	1	
1166	18	20	133	9	2	2	15	
1167	2	148	14	6	9	40	46	
1168	4	3	4	4	159	2	4	
1169	16	2	127	3	1	13	3	
1170	11	77	14	5	9	17	158	
1171	4	3	4	4	162	2	4	
1172	4	149	4	4	4	2	4	
1173	4	24	134	5	51	3	25	
1174	5	2	5	5	8	4	3	
1175	4	3	135	4	4	2	4	
1176	42	36	8	7	51	3	76	
1177	15	14	7	18	19	139	1	
1178	11	150	1	9	2	3	4	
1179	1	2	87	5	35	3	109	
1180	2	6	69	3	22	140	83	
1181	3	4	6	7	163	24	0	
1182	4	10	3	6	14	3	15	
1183	4	31	2	25	34	3	4	
1184	5	2	2	6	6	141	2	
1185	18	20	7	9	2	143	15	
1186	31	2	2	6	6	2	2	
1187	10	25	7	5	166	2	12	
1188	4	12	3	32	111	2	164	
1189	11	77	14	5	138	17	19	
1190	13	2	8	19	1	142	4	
1191	11	6	7	46	19	3	6	
1192	69	96	89	6	35	3	1	
1193	16	2	136	3	1	13	3	
1194	18	20	7	9	164	2	15	
1195	28	31	14	4	68	3	4	
1196	56	24	39	119	30	2	122	
1197	181	2	1	3	50	8	7	
1198	69	96	89	6	14	3	1	
1199	183	77	14	5	9	17	19	
1200	16	35	76	36	61	3	119	
1201	3	2	8	5	2	3	4	
1202	69	35	47	3	2	3	12	
1203	138	2	2	5	51	3	41	
1204	65	154	2	44	1	3	1	
1205	29	32	2	5	77	5	1	
1206	2	2	9	6	41	8	12	
1207	2	153	9	13	71	11	2	
1208	4	31	2	13	34	14	41	
1209	79	2	44	36	62	14	49	
1210	30	2	9	13	44	14	1	
1211	79	3	107	4	35	14	4	
1212	31	2	2	3	44	14	41	
1213	182	3	107	4	35	14	4	
1214	138	2	54	5	35	14	163	
1215	4	2	2	5	18	24	1	
1216	4	2	9	3	2	34	31	
1217	69	2	2	13	70	34	41	
1218	184	23	2	37	19	44	4	
1219	4	2	88	5	19	98	1	
1220	4	31	7	117	14	144	12	
1221	4	55	137	120	1	145	1	
1222	4	6	28	7	167	146	1	
1223	4	3	54	5	34	147	44	
1224	4	3	4	4	4	138	4	
1225	4	3	4	4	165	2	4	
1226	4	151	4	4	4	2	4	
1227	4	152	4	4	4	2	4	
1228	43	2	3	7	33	2	165	
1229	185	2	82	5	30	3	1	
1230	186	6	1	2	2	2	2	
1231	180	3	4	4	4	2	4	
1232	140	4	7	20	30	148	25	
1233	2	6	1	2	2	3	2	
1234	2	2	13	13	2	14	2	
1235	188	8	1	1	1	3	4	
1236	11	6	8	7	39	61	167	
1237	4	31	2	13	168	3	4	
1238	13	60	2	9	69	8	56	
1239	5	2	2	6	6	149	2	
1240	4	6	2	54	21	7	166	
1241	15	157	7	18	19	3	1	
1242	4	6	2	54	21	151	69	
1243	4	3	4	4	4	152	4	
1244	11	2	69	3	84	153	83	
1245	13	45	8	4	34	3	168	
1246	13	155	2	3	23	3	11	
1247	4	156	4	4	4	2	4	
1248	80	2	2	17	51	5	1	
1249	4	80	47	9	35	150	52	
1250	2	10	35	7	2	57	6	
1251	4	24	2	5	19	2	25	
1252	4	53	47	6	19	3	44	
1253	189	2	8	3	1	13	3	
1254	47	6	28	7	21	7	1	
1255	3	4	6	7	11	5	0	
1256	25	2	13	6	30	25	25	
1257	4	6	4	4	4	2	1	
1258	9	8	1	1	1	154	4	
1259	1	2	8	6	60	3	4	
1260	2	158	1	2	2	3	2	
1261	2	159	8	5	2	3	2	
1262	4	6	138	54	21	7	1	
1263	4	63	53	5	73	3	4	
1264	165	3	4	4	4	2	4	
1265	4	3	80	4	4	2	4	
1266	89	3	2	25	4	3	4	
1267	187	143	1	1	1	2	169	
1268	4	25	139	4	4	2	4	
1269	4	25	4	4	76	2	4	
1270	4	3	4	4	4	155	4	
1271	71	21	1	1	5	3	3	
1272	16	2	11	3	1	13	170	
1273	4	2	3	39	17	3	1	
1274	4	3	4	4	4	156	4	
1275	43	2	2	7	1	34	1	
1276	3	4	6	7	1	5	1	
1277	16	160	8	3	1	13	3	
1278	11	9	1	5	2	3	3	
1279	4	2	3	6	14	3	171	
1280	0	4	6	5	1	5	0	
1281	190	2	2	6	6	2	2	
1282	16	161	8	3	1	13	3	
1283	4	2	3	4	1	5	35	
1284	4	31	91	5	44	8	12	
1285	16	2	1	3	1	13	3	
1286	56	31	14	5	66	2	4	
1287	85	2	14	5	19	8	58	
1288	1	31	2	6	60	8	42	
1289	24	2	2	3	34	2	1	
1290	138	2	3	5	51	3	1	
1291	191	2	2	6	6	2	2	
1292	192	2	143	44	171	103	1	
1293	193	3	4	4	4	2	4	
1294	194	2	3	5	1	3	1	
1295	195	2	8	3	1	13	3	
1296	196	2	8	3	1	102	3	
1297	5	162	5	5	5	4	174	
1298	13	163	2	13	113	3	25	
1299	4	3	140	4	4	2	4	
1300	4	3	141	4	4	2	4	
1301	16	2	142	3	1	13	3	
1302	4	2	144	6	35	2	1	
1303	16	2	8	3	169	13	3	
1304	4	3	4	4	170	2	4	
1305	108	2	2	5	35	157	12	
1306	16	2	8	3	169	158	3	
1307	4	2	3	11	17	159	1	
1308	39	23	2	37	34	44	172	
1309	9	8	1	1	1	3	173	
1310	5	52	5	5	5	4	174	
1311	16	2	8	3	1	13	175	
1312	187	133	1	1	1	2	169	
1313	13	7	8	1	9	22	176	
1314	36	33	2	5	19	24	177	
1315	197	4	24	5	4	23	6	
1316	16	2	142	3	169	13	3	
1317	16	2	8	3	172	13	3	
1318	36	2	2	13	1	24	112	
1319	4	3	4	121	4	2	4	
1320	3	2	1	3	12	3	7	
1321	43	2	14	6	173	2	2	
1322	13	6	2	3	174	3	11	
1323	11	6	7	46	143	126	6	
1324	5	164	2	82	6	2	2	
1325	31	2	2	5	18	14	12	
1327	1	2	2	5	35	3	109	
1328	4	10	3	5	2	3	162	
1329	4	10	1	6	14	3	162	
1330	3	2	8	5	58	3	4	
1331	4	114	2	6	1	49	4	
1332	4	2	2	5	70	24	109	
1333	2	114	1	2	2	2	2	
1337	4	2	2	6	35	49	4	
1340	4	2	2	6	1	49	4	
1348	4	10	3	6	14	136	162	
1349	36	2	88	5	19	98	1	
1351	2	2	9	5	71	14	2	
1353	16	2	8	3	1	38	1	
1360	39	2	8	3	2	33	1	
1367	47	31	8	5	2	8	4	
1389	39	31	2	11	34	3	12	
1400	4	31	2	11	35	3	4	
1401	4	31	2	11	35	24	4	
